日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,63.010,63.730,62.650,63.700,38704396.0,611400
2024-1-2,09:40,63.830,64.000,63.600,63.690,36616552.0,573500
2024-1-2,09:45,63.690,63.900,63.610,63.830,17683140.0,277400
2024-1-2,09:50,63.880,63.890,63.590,63.590,20343274.0,319300
2024-1-2,09:55,63.530,63.690,63.500,63.680,12221645.0,192200
2024-1-2,10:00,63.690,63.900,63.630,63.850,11637881.0,182500
2024-1-2,10:05,63.840,64.130,63.700,63.810,29313382.0,458300
2024-1-2,10:10,63.790,63.900,63.660,63.740,8133431.0,127500
2024-1-2,10:15,63.740,63.780,63.420,63.530,15369008.0,241700
2024-1-2,10:20,63.510,63.600,63.450,63.450,9629291.0,151600
2024-1-2,10:25,63.460,63.480,63.200,63.440,12065089.0,190500
2024-1-2,10:30,63.460,63.470,63.300,63.420,7126718.5,112400
2024-1-2,10:35,63.420,63.540,63.320,63.540,7273697.0,114700
2024-1-2,10:40,63.540,63.540,63.340,63.360,5037898.0,79400
2024-1-2,10:45,63.350,63.370,63.250,63.300,4818767.5,76100
2024-1-2,10:50,63.310,63.500,63.310,63.440,8111282.0,127900
2024-1-2,10:55,63.470,63.600,63.360,63.450,6643214.0,104600
2024-1-2,11:00,63.460,63.480,63.280,63.370,3920049.0,61900
2024-1-2,11:05,63.330,63.440,63.300,63.310,3569934.0,56400
2024-1-2,11:10,63.310,63.420,63.280,63.420,5661954.5,89400
2024-1-2,11:15,63.400,63.470,63.310,63.380,4299078.0,67800
2024-1-2,11:20,63.350,63.540,63.350,63.390,12495572.0,197200
2024-1-2,11:25,63.390,63.480,63.300,63.350,3683841.0,58100
2024-1-2,11:30,63.340,63.340,63.110,63.150,7150600.0,113100
2024-1-2,13:05,63.150,63.290,63.120,63.190,8637408.0,136700
2024-1-2,13:10,63.210,63.340,63.190,63.210,6072937.0,96000
2024-1-2,13:15,63.210,63.310,63.170,63.170,4705745.0,74400
2024-1-2,13:20,63.160,63.230,62.940,62.940,9789419.0,155300
2024-1-2,13:25,62.960,62.990,62.880,62.920,8023589.0,127500
2024-1-2,13:30,62.920,63.100,62.880,62.920,6478960.0,102900
2024-1-2,13:35,62.980,62.980,62.660,62.780,10627161.0,169200
2024-1-2,13:40,62.780,62.820,62.690,62.720,6939361.0,110600
2024-1-2,13:45,62.740,62.780,62.550,62.640,13310139.0,212400
2024-1-2,13:50,62.640,62.640,62.500,62.500,12607172.0,201500
2024-1-2,13:55,62.530,62.580,62.500,62.540,11043352.0,176600
2024-1-2,14:00,62.540,62.600,62.510,62.590,7606415.0,121600
2024-1-2,14:05,62.550,62.620,62.480,62.550,8342544.0,133400
2024-1-2,14:10,62.580,62.590,62.490,62.530,7822490.0,125100
2024-1-2,14:15,62.520,62.610,62.480,62.560,9742701.0,155800
2024-1-2,14:20,62.570,62.610,62.500,62.540,7733884.0,123600
2024-1-2,14:25,62.540,62.580,62.430,62.460,7544063.0,120700
2024-1-2,14:30,62.450,62.460,62.310,62.360,11031429.0,176800
2024-1-2,14:35,62.370,62.460,62.280,62.310,11352058.0,182000
2024-1-2,14:40,62.300,62.480,62.190,62.240,13855837.0,222300
2024-1-2,14:45,62.240,62.480,62.140,62.320,13213841.0,212000
2024-1-2,14:50,62.320,62.350,62.170,62.240,10479331.0,168300
2024-1-2,14:55,62.240,62.300,62.180,62.190,9755381.0,156800
2024-1-2,15:00,62.190,62.250,62.150,62.250,10886850.0,175000
2024-1-3,09:35,62.130,62.380,61.740,61.750,17090208.0,275600
2024-1-3,09:40,61.770,61.980,61.750,61.800,10332789.0,167000
2024-1-3,09:45,61.810,61.900,61.720,61.860,5285117.0,85500
2024-1-3,09:50,61.870,62.080,61.820,62.020,5537944.0,89400
2024-1-3,09:55,62.040,62.190,61.840,61.860,5987851.0,96600
2024-1-3,10:00,61.870,61.880,61.770,61.780,5935203.0,96000
2024-1-3,10:05,61.780,61.860,61.720,61.730,5433285.0,87900
2024-1-3,10:10,61.730,61.730,61.410,61.450,13338751.0,216600
2024-1-3,10:15,61.440,61.500,61.120,61.290,23324908.0,380600
2024-1-3,10:20,61.290,61.360,61.210,61.310,6970598.0,113700
2024-1-3,10:25,61.310,61.340,61.240,61.240,4253974.0,69400
2024-1-3,10:30,61.250,61.320,61.200,61.290,4789356.0,78200
2024-1-3,10:35,61.270,61.340,61.180,61.230,6063660.0,99000
2024-1-3,10:40,61.220,61.280,61.180,61.250,5234571.0,85500
2024-1-3,10:45,61.240,61.290,61.130,61.160,6779601.0,110800
2024-1-3,10:50,61.160,61.290,61.150,61.280,7259351.0,118600
2024-1-3,10:55,61.290,61.360,61.190,61.290,7229553.0,118000
2024-1-3,11:00,61.300,61.330,61.150,61.160,7231394.0,118100
2024-1-3,11:05,61.160,61.160,60.920,61.020,18742244.0,307100
2024-1-3,11:10,61.050,61.080,61.000,61.060,7771746.0,127400
2024-1-3,11:15,61.060,61.150,61.000,61.000,9585722.0,157000
2024-1-3,11:20,61.060,61.080,60.950,60.960,6997685.0,114700
2024-1-3,11:25,60.950,61.040,60.950,60.980,6397821.0,104900
2024-1-3,11:30,60.970,60.970,60.810,60.880,10640995.0,174800
2024-1-3,13:05,60.880,60.880,60.700,60.700,8935576.0,147000
2024-1-3,13:10,60.700,60.750,60.660,60.680,8929367.0,147100
2024-1-3,13:15,60.690,60.700,60.610,60.620,8753473.0,144300
2024-1-3,13:20,60.620,60.630,60.540,60.590,12356669.0,204000
2024-1-3,13:25,60.580,60.580,60.530,60.540,8304234.0,137100
2024-1-3,13:30,60.540,60.780,60.520,60.760,15004987.0,247600
2024-1-3,13:35,60.750,60.830,60.720,60.790,6167321.0,101500
2024-1-3,13:40,60.790,60.980,60.790,60.890,10214735.0,167700
2024-1-3,13:45,60.890,60.930,60.790,60.840,6391355.0,105000
2024-1-3,13:50,60.850,61.020,60.830,61.020,5786264.0,95000
2024-1-3,13:55,61.020,61.020,60.830,60.870,6066937.0,99700
2024-1-3,14:00,60.870,60.970,60.860,60.950,4793930.0,78700
2024-1-3,14:05,60.940,61.040,60.940,61.010,5822888.5,95500
2024-1-3,14:10,61.020,61.090,60.980,61.000,12739476.0,208800
2024-1-3,14:15,61.000,61.140,60.990,61.020,5740254.0,94000
2024-1-3,14:20,61.010,61.160,60.980,61.080,17541138.0,287400
2024-1-3,14:25,61.080,61.180,61.000,61.150,5400853.0,88400
2024-1-3,14:30,61.180,61.250,61.100,61.200,5776651.5,94400
2024-1-3,14:35,61.200,61.270,61.100,61.140,5915287.0,96700
2024-1-3,14:40,61.140,61.140,60.940,61.010,5839589.0,95700
2024-1-3,14:45,61.010,61.060,60.990,61.030,5098990.5,83500
2024-1-3,14:50,61.060,61.140,61.020,61.040,5007752.0,82100
2024-1-3,14:55,61.040,61.050,60.900,60.940,8111420.0,133000
2024-1-3,15:00,60.900,61.050,60.900,61.050,12025424.0,197100
2024-1-4,09:35,60.880,61.050,60.180,60.220,33165288.0,547900
2024-1-4,09:40,60.240,60.510,60.150,60.510,18566620.0,307800
2024-1-4,09:45,60.520,60.700,60.410,60.490,11419681.0,188500
2024-1-4,09:50,60.490,60.530,60.260,60.300,11595442.0,192100
2024-1-4,09:55,60.300,60.630,60.300,60.630,9659245.0,159700
2024-1-4,10:00,60.640,60.820,60.450,60.540,9878266.0,162900
2024-1-4,10:05,60.540,60.640,60.440,60.590,8829990.0,145900
2024-1-4,10:10,60.610,60.820,60.530,60.720,7844144.0,129300
2024-1-4,10:15,60.750,60.910,60.720,60.780,9096588.0,149600
2024-1-4,10:20,60.770,60.900,60.610,60.630,8425790.0,138800
2024-1-4,10:25,60.640,60.640,60.400,60.440,6145378.0,101600
2024-1-4,10:30,60.440,60.610,60.390,60.480,5157931.0,85300
2024-1-4,10:35,60.480,60.800,60.390,60.750,7375325.0,121800
2024-1-4,10:40,60.650,60.850,60.550,60.690,7128051.0,117400
2024-1-4,10:45,60.640,60.760,60.520,60.530,5282163.0,87100
2024-1-4,10:50,60.530,60.710,60.510,60.640,4407134.0,72700
2024-1-4,10:55,60.630,60.700,60.530,60.650,5220056.0,86100
2024-1-4,11:00,60.580,60.660,60.500,60.510,5742976.0,94800
2024-1-4,11:05,60.510,60.700,60.470,60.680,4307305.0,71100
2024-1-4,11:10,60.690,60.850,60.660,60.780,7613472.0,125300
2024-1-4,11:15,60.810,60.810,60.590,60.740,5846131.0,96300
2024-1-4,11:20,60.740,60.860,60.670,60.780,7221926.5,118800
2024-1-4,11:25,60.770,60.820,60.600,60.630,8341383.0,137300
2024-1-4,11:30,60.600,60.820,60.490,60.770,6198868.0,102200
2024-1-4,13:05,60.770,60.770,60.450,60.530,7797140.0,128700
2024-1-4,13:10,60.530,60.570,60.410,60.450,5544361.0,91700
2024-1-4,13:15,60.420,60.470,60.250,60.400,7678170.0,127200
2024-1-4,13:20,60.400,60.450,60.300,60.390,5174006.0,85700
2024-1-4,13:25,60.350,60.400,60.250,60.340,6719109.0,111400
2024-1-4,13:30,60.330,60.350,60.270,60.280,6530192.0,108300
2024-1-4,13:35,60.260,60.480,60.260,60.370,5719866.0,94800
2024-1-4,13:40,60.370,60.560,60.350,60.510,18110988.0,299500
2024-1-4,13:45,60.560,60.660,60.500,60.600,5754756.0,95000
2024-1-4,13:50,60.590,60.590,60.450,60.480,7467046.0,123400
