日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,37.760,38.070,37.390,38.050,6245886.0,165600
2024-1-2,09:40,38.010,38.130,37.750,37.750,4634483.0,122000
2024-1-2,09:45,37.790,37.950,37.740,37.920,2182374.0,57600
2024-1-2,09:50,37.930,38.100,37.900,38.100,3555731.0,93600
2024-1-2,09:55,38.090,38.300,37.960,38.010,5317694.0,139600
2024-1-2,10:00,38.050,38.550,38.010,38.310,9054412.0,236600
2024-1-2,10:05,38.310,38.550,38.310,38.550,7688413.0,200100
2024-1-2,10:10,38.540,38.740,38.470,38.510,13325988.0,344900
2024-1-2,10:15,38.530,38.800,38.480,38.670,7124000.0,184100
2024-1-2,10:20,38.670,38.800,38.670,38.680,4964073.0,128200
2024-1-2,10:25,38.680,38.800,38.640,38.660,7273103.0,187800
2024-1-2,10:30,38.660,38.850,38.580,38.830,8379224.0,216200
2024-1-2,10:35,38.830,38.880,38.760,38.880,6086125.0,156700
2024-1-2,10:40,38.870,38.990,38.820,38.830,4473118.0,115000
2024-1-2,10:45,38.830,38.900,38.800,38.890,2066618.0,53200
2024-1-2,10:50,38.900,38.930,38.820,38.910,2654428.0,68300
2024-1-2,10:55,38.910,38.920,38.830,38.850,1912779.0,49200
2024-1-2,11:00,38.850,38.900,38.810,38.820,1938795.0,49900
2024-1-2,11:05,38.810,38.950,38.800,38.900,3743528.0,96300
2024-1-2,11:10,38.890,38.950,38.870,38.870,3854569.0,99100
2024-1-2,11:15,38.900,38.930,38.850,38.910,4831314.0,124200
2024-1-2,11:20,38.910,38.950,38.900,38.900,3148210.0,80900
2024-1-2,11:25,38.910,39.030,38.840,39.000,9748080.0,250100
2024-1-2,11:30,38.980,39.010,38.930,38.980,3934591.0,100900
2024-1-2,13:05,38.970,39.030,38.920,39.000,4379410.0,112300
2024-1-2,13:10,39.020,39.030,38.950,39.000,3447406.0,88400
2024-1-2,13:15,39.030,39.090,39.000,39.040,2314484.0,59300
2024-1-2,13:20,39.040,39.040,38.910,38.920,2837492.0,72800
2024-1-2,13:25,38.920,38.980,38.900,38.960,2957145.0,75900
2024-1-2,13:30,38.960,39.000,38.900,39.000,2477980.0,63600
2024-1-2,13:35,39.000,39.020,38.940,39.020,3400018.0,87200
2024-1-2,13:40,39.000,39.020,38.920,39.000,5753246.0,147600
2024-1-2,13:45,38.990,39.020,38.900,38.990,3670287.0,94200
2024-1-2,13:50,38.980,39.030,38.960,39.010,4192051.0,107500
2024-1-2,13:55,39.010,39.030,38.900,38.990,2654529.0,68100
2024-1-2,14:00,38.990,38.990,38.850,38.930,2296742.0,59000
2024-1-2,14:05,38.900,38.960,38.870,38.910,2794888.0,71800
2024-1-2,14:10,38.900,38.990,38.900,38.980,2532274.0,65000
2024-1-2,14:15,39.000,39.000,38.920,38.970,4060713.0,104200
2024-1-2,14:20,38.950,38.980,38.900,38.940,2383126.0,61200
2024-1-2,14:25,38.930,38.970,38.890,38.920,2351852.0,60400
2024-1-2,14:30,38.920,38.970,38.900,38.900,2601153.0,66800
2024-1-2,14:35,38.900,38.940,38.770,38.790,2915733.0,75100
2024-1-2,14:40,38.790,38.840,38.750,38.750,2187234.0,56400
2024-1-2,14:45,38.760,38.790,38.700,38.790,4440611.0,114600
2024-1-2,14:50,38.790,38.820,38.780,38.780,4173539.0,107600
2024-1-2,14:55,38.790,38.810,38.760,38.770,3963697.0,102200
2024-1-2,15:00,38.750,38.760,38.720,38.750,3271043.0,84400
2024-1-3,09:35,38.750,38.870,38.510,38.720,5214242.0,134700
2024-1-3,09:40,38.740,38.800,38.690,38.720,3585857.0,92600
2024-1-3,09:45,38.700,38.800,38.700,38.750,2925587.0,75500
2024-1-3,09:50,38.700,38.790,38.700,38.740,1526721.0,39400
2024-1-3,09:55,38.720,38.770,38.720,38.770,1313621.0,33900
2024-1-3,10:00,38.770,38.800,38.740,38.750,1779343.0,45900
2024-1-3,10:05,38.770,38.860,38.750,38.840,2506903.0,64600
2024-1-3,10:10,38.840,38.860,38.820,38.830,1893775.0,48700
2024-1-3,10:15,38.830,38.830,38.710,38.710,3367618.0,86900
2024-1-3,10:20,38.710,38.900,38.710,38.830,9548804.0,246000
2024-1-3,10:25,38.860,39.040,38.840,38.890,16883058.0,433600
2024-1-3,10:30,38.930,38.930,38.750,38.810,2023014.0,52100
2024-1-3,10:35,38.820,38.840,38.760,38.830,1183534.0,30500
2024-1-3,10:40,38.830,38.830,38.760,38.780,740844.0,19100
2024-1-3,10:45,38.790,38.810,38.760,38.780,771681.0,19900
2024-1-3,10:50,38.800,38.820,38.750,38.800,1923587.0,49600
2024-1-3,10:55,38.810,38.850,38.800,38.840,500784.0,12900
2024-1-3,11:00,38.840,38.890,38.800,38.890,1243328.0,32000
2024-1-3,11:05,38.890,38.970,38.880,38.970,2028334.0,52100
2024-1-3,11:10,38.960,39.010,38.930,39.010,2257197.0,57900
2024-1-3,11:15,39.000,39.060,39.000,39.000,3562837.0,91300
2024-1-3,11:20,39.010,39.010,38.910,38.960,978369.0,25100
2024-1-3,11:25,38.960,38.960,38.850,38.860,995582.0,25600
2024-1-3,11:30,38.860,38.860,38.750,38.800,2463130.0,63500
2024-1-3,13:05,38.800,38.800,38.720,38.730,747928.0,19300
2024-1-3,13:10,38.730,38.740,38.710,38.730,553776.0,14300
2024-1-3,13:15,38.730,38.750,38.700,38.700,1088037.0,28100
2024-1-3,13:20,38.700,38.760,38.700,38.750,596464.0,15400
2024-1-3,13:25,38.750,38.790,38.730,38.780,348733.0,9000
2024-1-3,13:30,38.770,38.790,38.730,38.740,500103.0,12900
2024-1-3,13:35,38.730,38.760,38.730,38.760,344883.0,8900
2024-1-3,13:40,38.760,38.810,38.720,38.720,1136321.0,29300
2024-1-3,13:45,38.740,38.740,38.610,38.700,2270587.0,58700
2024-1-3,13:50,38.700,38.740,38.700,38.710,483956.0,12500
2024-1-3,13:55,38.710,38.730,38.700,38.730,956126.0,24700
2024-1-3,14:00,38.730,38.740,38.700,38.710,615558.0,15900
2024-1-3,14:05,38.710,38.720,38.700,38.710,638675.0,16500
2024-1-3,14:10,38.710,38.820,38.710,38.770,2004247.0,51700
2024-1-3,14:15,38.760,38.760,38.630,38.650,5088971.0,131400
2024-1-3,14:20,38.650,38.770,38.650,38.710,3237762.0,83600
2024-1-3,14:25,38.710,38.810,38.710,38.760,8091586.0,208800
2024-1-3,14:30,38.770,38.890,38.650,38.700,4622727.0,119300
2024-1-3,14:35,38.670,38.780,38.670,38.740,1432962.0,37000
2024-1-3,14:40,38.710,38.900,38.710,38.740,3179557.0,82000
2024-1-3,14:45,38.730,38.780,38.730,38.780,1216486.0,31400
2024-1-3,14:50,38.770,38.790,38.750,38.760,1508215.0,38900
2024-1-3,14:55,38.760,38.820,38.750,38.810,1706144.0,44000
2024-1-3,15:00,38.810,38.830,38.760,38.820,768402.0,19800
2024-1-4,09:35,38.600,38.660,38.410,38.510,5286860.0,137200
2024-1-4,09:40,38.510,38.580,38.430,38.510,3716632.0,96500
2024-1-4,09:45,38.500,38.500,38.300,38.410,7477666.0,194800
2024-1-4,09:50,38.400,38.500,38.370,38.460,1856726.0,48300
2024-1-4,09:55,38.440,38.600,38.370,38.550,1831427.0,47600
2024-1-4,10:00,38.540,38.610,38.470,38.610,1838054.0,47700
2024-1-4,10:05,38.600,38.670,38.500,38.610,3327692.0,86200
2024-1-4,10:10,38.620,38.730,38.620,38.710,4304149.0,111300
2024-1-4,10:15,38.720,38.740,38.590,38.650,6999694.0,180900
2024-1-4,10:20,38.650,38.760,38.600,38.710,3910549.0,101100
2024-1-4,10:25,38.700,38.700,38.610,38.650,2028668.0,52500
2024-1-4,10:30,38.640,38.710,38.640,38.710,1639548.0,42400
2024-1-4,10:35,38.700,38.740,38.640,38.720,2608082.0,67400
2024-1-4,10:40,38.700,38.710,38.620,38.670,1721079.0,44500
2024-1-4,10:45,38.640,38.680,38.610,38.660,1441562.0,37300
2024-1-4,10:50,38.640,38.710,38.610,38.690,1503855.0,38900
2024-1-4,10:55,38.660,38.700,38.610,38.630,1889897.0,48900
2024-1-4,11:00,38.640,38.710,38.610,38.610,1821234.0,47100
2024-1-4,11:05,38.670,38.690,38.630,38.640,839045.0,21700
2024-1-4,11:10,38.690,38.690,38.590,38.630,1923199.0,49800
2024-1-4,11:15,38.660,38.820,38.620,38.770,6498523.0,167800
2024-1-4,11:20,38.770,38.820,38.590,38.740,3563900.0,92100
2024-1-4,11:25,38.740,38.890,38.700,38.780,4470077.0,115200
2024-1-4,11:30,38.790,38.850,38.740,38.740,1858281.0,47900
2024-1-4,13:05,38.800,38.900,38.710,38.790,3024058.0,77900
2024-1-4,13:10,38.790,38.810,38.640,38.690,1642237.0,42400
2024-1-4,13:15,38.680,38.770,38.630,38.630,1724955.0,44600
2024-1-4,13:20,38.770,38.770,38.580,38.600,2202475.0,57000
2024-1-4,13:25,38.610,38.710,38.500,38.590,3119962.0,80900
2024-1-4,13:30,38.600,38.700,38.540,38.580,3579528.0,92700
2024-1-4,13:35,38.670,38.830,38.630,38.700,3447362.0,89000
2024-1-4,13:40,38.700,38.820,38.700,38.790,3052035.0,78700
2024-1-4,13:45,38.790,38.820,38.720,38.760,2323169.0,59900
2024-1-4,13:50,38.720,38.770,38.640,38.640,2100701.0,54300
2024-1-4,13:55,38.610,38.740,38.530,38.590,1652391.0,42800
2024-1-4,14:00,38.580,38.710,38.580,38.700,1128952.0,29200
2024-1-4,14:05,38.620,38.720,38.550,38.710,1739432.0,45000
2024-1-4,14:10,38.710,38.770,38.670,38.700,2516647.0,65000
