日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-4-1,09:35,45.700,46.460,45.700,45.890,3376386.0,73400
2024-4-1,09:40,45.990,46.250,45.800,46.220,2738221.0,59500
2024-4-1,09:45,46.180,46.180,45.800,45.810,1569676.0,34100
2024-4-1,09:50,45.800,45.940,45.380,45.420,2814459.0,61600
2024-4-1,09:55,45.420,45.980,45.170,45.830,7556545.0,166700
2024-4-1,10:00,45.710,46.000,45.690,45.810,750440.0,16400
2024-4-1,10:05,45.710,45.970,45.400,45.500,2765394.0,60600
2024-4-1,10:10,45.510,45.550,45.310,45.330,1621495.0,35700
2024-4-1,10:15,45.400,45.400,45.190,45.330,1667179.0,36800
2024-4-1,10:20,45.290,45.690,45.280,45.470,1323183.0,29100
2024-4-1,10:25,45.470,45.500,45.310,45.360,1298659.0,28600
2024-4-1,10:30,45.360,45.480,45.100,45.360,6691236.0,148000
2024-4-1,10:35,45.620,45.660,45.300,45.390,1412901.0,31100
2024-4-1,10:40,45.420,45.420,45.120,45.120,2884517.0,63800
2024-4-1,10:45,45.110,45.180,45.010,45.070,3289538.0,73000
2024-4-1,10:50,45.020,45.060,44.910,44.950,3496280.0,77700
2024-4-1,10:55,44.940,45.090,44.820,45.070,3631757.0,80800
2024-4-1,11:00,45.090,45.340,44.910,45.120,1809582.0,40100
2024-4-1,11:05,45.130,45.370,45.130,45.360,1154438.0,25500
2024-4-1,11:10,45.490,45.630,45.450,45.450,1912469.0,42000
2024-4-1,11:15,45.360,45.600,45.310,45.550,1323624.0,29100
2024-4-1,11:20,45.630,45.630,45.300,45.320,749582.0,16500
2024-4-1,11:25,45.510,45.600,45.340,45.430,1483196.0,32600
2024-4-1,11:30,45.450,45.630,45.450,45.610,505688.0,11100
2024-4-1,13:05,45.640,45.640,45.480,45.480,893382.0,19600
2024-4-1,13:10,45.520,45.520,45.350,45.400,1143759.0,25200
2024-4-1,13:15,45.400,45.400,45.220,45.270,964291.0,21300
2024-4-1,13:20,45.280,45.320,45.080,45.150,664593.0,14700
2024-4-1,13:25,45.100,45.220,45.060,45.090,1253786.0,27800
2024-4-1,13:30,45.100,45.300,45.070,45.110,1213810.0,26900
2024-4-1,13:35,45.110,45.140,44.880,44.880,3574289.0,79500
2024-4-1,13:40,44.880,45.190,44.850,45.000,2830251.0,63000
2024-4-1,13:45,44.900,44.960,44.830,44.840,2077816.0,46300
2024-4-1,13:50,44.860,45.000,44.860,44.900,1028908.0,22900
2024-4-1,13:55,44.990,45.100,44.900,45.080,912488.0,20300
2024-4-1,14:00,44.900,45.010,44.900,44.920,1046395.0,23300
2024-4-1,14:05,44.910,45.050,44.910,44.920,575725.0,12800
2024-4-1,14:10,44.910,45.000,44.910,44.980,804463.0,17900
2024-4-1,14:15,45.000,45.020,44.900,44.900,930498.0,20700
2024-4-1,14:20,44.890,45.000,44.880,44.920,1473029.0,32800
2024-4-1,14:25,44.930,45.120,44.930,45.120,1332210.0,29600
2024-4-1,14:30,45.100,45.140,45.020,45.040,838366.0,18600
2024-4-1,14:35,45.040,45.220,45.000,45.200,1817618.0,40300
2024-4-1,14:40,45.100,45.310,45.100,45.200,1360577.0,30100
2024-4-1,14:45,45.160,45.260,45.160,45.190,1695176.0,37500
2024-4-1,14:50,45.190,45.280,45.180,45.280,1885526.0,41700
2024-4-1,14:55,45.280,45.480,45.260,45.400,1538623.0,33900
2024-4-1,15:00,45.380,45.400,45.270,45.270,1966242.0,43400
2024-4-2,09:35,45.190,45.190,44.500,44.520,4199137.0,94000
2024-4-2,09:40,44.600,44.790,44.550,44.550,1708443.0,38300
2024-4-2,09:45,44.520,44.520,44.090,44.340,6599684.0,148900
2024-4-2,09:50,44.340,44.380,44.170,44.270,2529115.0,57100
2024-4-2,09:55,44.270,44.270,43.800,43.910,7027645.0,159800
2024-4-2,10:00,43.940,43.980,43.830,43.950,4799233.0,109300
2024-4-2,10:05,43.940,43.950,43.720,43.830,3932094.0,89700
2024-4-2,10:10,43.900,44.200,43.880,44.110,1266022.0,28800
2024-4-2,10:15,44.110,44.110,43.850,44.000,1304086.0,29700
2024-4-2,10:20,44.140,44.140,44.010,44.090,189450.0,4300
2024-4-2,10:25,44.030,44.150,43.930,44.120,1002829.0,22800
2024-4-2,10:30,44.150,44.150,43.970,44.040,299489.0,6800
2024-4-2,10:35,44.010,44.520,43.980,44.480,1652865.875,37400
2024-4-2,10:40,44.480,44.780,44.360,44.360,895213.0,20100
2024-4-2,10:45,44.360,44.410,44.310,44.310,168479.0,3800
2024-4-2,10:50,44.310,44.330,44.290,44.310,124053.0,2800
