日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-4-2,09:35,9.000,9.200,9.000,9.160,70160736.0,76690
2024-4-2,09:40,9.160,9.170,9.000,9.030,39129864.0,43105
2024-4-2,09:45,9.050,9.070,8.980,9.010,20458920.0,22675
2024-4-2,09:50,9.010,9.030,8.970,8.990,20890080.0,23205
2024-4-2,09:55,8.990,9.000,8.950,8.960,8766144.0,9759
2024-4-2,10:00,8.950,9.030,8.950,9.020,17894944.0,19910
2024-4-2,10:05,9.020,9.030,8.930,8.930,13379968.0,14875
2024-4-2,10:10,8.930,8.990,8.920,8.970,15252944.0,17025
2024-4-2,10:15,8.970,8.970,8.940,8.950,5645760.0,6305
2024-4-2,10:20,8.950,8.970,8.910,8.950,17517792.0,19575
2024-4-2,10:25,8.960,8.960,8.890,8.900,5054016.0,5664
2024-4-2,10:30,8.900,8.950,8.900,8.950,4317904.0,4835
2024-4-2,10:35,8.950,8.950,8.890,8.940,11009920.0,12340
2024-4-2,10:40,8.940,9.000,8.940,8.980,7875232.0,8775
2024-4-2,10:45,8.980,8.990,8.960,8.970,4398560.0,4900
2024-4-2,10:50,8.970,8.970,8.940,8.960,4592816.0,5130
2024-4-2,10:55,8.960,8.980,8.950,8.960,4093920.0,4565
2024-4-2,11:00,8.960,9.000,8.960,8.990,12819424.0,14260
2024-4-2,11:05,8.990,9.010,8.980,8.980,6111232.0,6795
2024-4-2,11:10,8.980,8.980,8.950,8.960,3350336.0,3735
2024-4-2,11:15,8.970,8.980,8.950,8.950,4281024.0,4775
2024-4-2,11:20,8.960,8.980,8.960,8.980,2045248.0,2280
2024-4-2,11:25,8.970,8.980,8.960,8.980,2776352.0,3095
2024-4-2,11:30,8.970,8.980,8.970,8.980,1704608.0,1900
2024-4-2,11:35,8.970,8.980,8.940,8.940,4188928.0,4680
2024-4-2,11:40,8.940,8.950,8.930,8.940,1385216.0,1550
2024-4-2,11:45,8.930,8.940,8.920,8.920,1325440.0,1485
2024-4-2,11:50,8.910,8.920,8.870,8.890,3997120.0,4495
2024-4-2,11:55,8.890,8.910,8.880,8.910,840192.0,945
2024-4-2,12:00,8.910,8.930,8.890,8.910,1304960.0,1465
2024-4-2,13:05,8.910,8.930,8.830,8.840,6090912.0,6850
2024-4-2,13:10,8.840,8.860,8.820,8.860,10443968.0,11810
2024-4-2,13:15,8.860,8.870,8.860,8.870,1702624.0,1920
2024-4-2,13:20,8.870,8.880,8.860,8.880,3423488.0,3860
2024-4-2,13:25,8.870,8.880,8.850,8.880,2911552.0,3284
2024-4-2,13:30,8.880,8.890,8.860,8.880,4736864.0,5340
2024-4-2,13:35,8.880,8.890,8.860,8.890,3999392.0,4505
2024-4-2,13:40,8.890,8.920,8.880,8.920,7608352.0,8554
2024-4-2,13:45,8.920,8.930,8.890,8.930,12220352.0,13705
2024-4-2,13:50,8.930,8.960,8.920,8.960,4432224.0,4954
2024-4-2,13:55,8.960,8.980,8.960,8.980,7819936.0,8720
2024-4-2,14:00,8.980,8.980,8.940,8.970,7514976.0,8390
2024-4-2,14:05,8.970,8.980,8.960,8.970,4103392.0,4575
2024-4-2,14:10,8.970,8.990,8.950,8.990,6444288.0,7184
2024-4-2,14:15,8.990,8.990,8.960,8.980,4028864.0,4490
2024-4-2,14:20,8.980,9.020,8.960,9.020,16045376.0,17840
2024-4-2,14:25,9.020,9.020,8.980,8.990,7616576.0,8460
2024-4-2,14:30,9.000,9.000,8.980,8.980,3188000.0,3547
2024-4-2,14:35,8.980,9.000,8.980,8.980,5138528.0,5715
2024-4-2,14:40,8.990,9.000,8.990,9.000,8872416.0,9860
2024-4-2,14:45,9.000,9.020,8.990,9.010,7936256.0,8815
2024-4-2,14:50,8.990,9.010,8.970,8.990,14430080.0,16045
2024-4-2,14:55,9.000,9.000,8.890,8.920,9052736.0,10135
2024-4-2,15:00,8.920,8.950,8.920,8.940,2450016.0,2740
2024-4-2,15:05,8.940,8.950,8.920,8.940,4025760.0,4505
2024-4-2,15:10,8.950,8.950,8.920,8.920,3257824.0,3645
2024-4-2,15:15,8.920,8.930,8.910,8.930,3580992.0,4015
2024-4-2,15:20,8.930,8.930,8.910,8.920,3153984.0,3534
2024-4-2,15:25,8.920,8.920,8.910,8.920,2312704.0,2595
2024-4-2,15:30,8.920,8.920,8.900,8.910,4487840.0,5035
2024-4-2,15:35,8.910,8.920,8.910,8.920,4248352.0,4765
2024-4-2,15:40,8.930,8.930,8.900,8.900,6330496.0,7105
2024-4-2,15:45,8.900,8.940,8.900,8.920,12512288.0,14030
2024-4-2,15:50,8.920,8.940,8.900,8.920,8874816.0,9950
2024-4-2,15:55,8.920,8.940,8.920,8.930,4228096.0,4735
2024-4-2,16:00,8.930,8.950,8.920,8.950,26048576.0,29120
2024-4-3,09:35,9.040,9.200,9.040,9.140,49884904.0,54432
2024-4-3,09:40,9.120,9.180,9.090,9.180,11772856.0,12860
2024-4-3,09:45,9.180,9.220,9.150,9.190,39821176.0,43310
2024-4-3,09:50,9.190,9.220,9.170,9.190,20268968.0,22045
2024-4-3,09:55,9.190,9.300,9.190,9.300,72762896.0,78765
2024-4-3,10:00,9.290,9.360,9.290,9.350,36927632.0,39633
2024-4-3,10:05,9.360,9.430,9.330,9.420,37213696.0,39664
2024-4-3,10:10,9.420,9.490,9.420,9.450,29311392.0,30985
2024-4-3,10:15,9.450,9.450,9.370,9.440,12643168.0,13415
2024-4-3,10:20,9.440,9.460,9.400,9.440,18370688.0,19470
2024-4-3,10:25,9.440,9.440,9.360,9.370,8017824.0,8540
2024-4-3,10:30,9.370,9.370,9.300,9.320,4895776.0,5250
2024-4-3,10:35,9.310,9.310,9.220,9.230,6050272.0,6530
2024-4-3,10:40,9.210,9.250,9.190,9.190,7366176.0,7992
2024-4-3,10:45,9.190,9.210,9.160,9.180,4814624.0,5244
2024-4-3,10:50,9.170,9.210,9.160,9.180,6779008.0,7390
2024-4-3,10:55,9.170,9.170,9.120,9.140,5810464.0,6360
2024-4-3,11:00,9.130,9.140,9.090,9.100,6374560.0,6995
2024-4-3,11:05,9.110,9.120,9.080,9.100,6778912.0,7450
2024-4-3,11:10,9.100,9.180,9.090,9.170,10307232.0,11270
2024-4-3,11:15,9.160,9.180,9.090,9.160,13230656.0,14475
2024-4-3,11:20,9.160,9.220,9.160,9.210,13904160.0,15115
2024-4-3,11:25,9.200,9.210,9.170,9.200,10107904.0,10990
2024-4-3,11:30,9.200,9.230,9.180,9.210,7196832.0,7815
2024-4-3,11:35,9.200,9.240,9.190,9.190,6652736.0,7215
2024-4-3,11:40,9.200,9.240,9.190,9.210,3298240.0,3580
2024-4-3,11:45,9.220,9.250,9.210,9.240,6619104.0,7170
2024-4-3,11:50,9.230,9.240,9.190,9.210,3297472.0,3580
2024-4-3,11:55,9.210,9.220,9.200,9.210,1404160.0,1525
2024-4-3,12:00,9.220,9.220,9.200,9.200,1110144.0,1205
2024-4-3,13:05,9.200,9.240,9.180,9.180,9316416.0,10119
2024-4-3,13:10,9.190,9.200,9.170,9.200,4749920.0,5170
2024-4-3,13:15,9.190,9.230,9.190,9.230,4629312.0,5025
2024-4-3,13:20,9.220,9.270,9.220,9.270,9192192.0,9940
2024-4-3,13:25,9.270,9.390,9.260,9.350,38323776.0,41055
2024-4-3,13:30,9.360,9.400,9.280,9.400,17371904.0,18565
2024-4-3,13:35,9.400,9.400,9.330,9.350,11662144.0,12455
2024-4-3,13:40,9.350,9.390,9.340,9.390,17896128.0,19110
2024-4-3,13:45,9.390,9.400,9.370,9.400,22968192.0,24450
2024-4-3,13:50,9.400,9.410,9.360,9.360,7723456.0,8225
2024-4-3,13:55,9.360,9.380,9.340,9.380,4661248.0,4980
2024-4-3,14:00,9.390,9.440,9.380,9.430,13364608.0,14200
2024-4-3,14:05,9.440,9.480,9.400,9.470,36053184.0,38165
2024-4-3,14:10,9.460,9.570,9.460,9.510,46770624.0,49204
2024-4-3,14:15,9.510,9.540,9.460,9.490,14188352.0,14920
2024-4-3,14:20,9.490,9.510,9.460,9.480,13930944.0,14688
2024-4-3,14:25,9.480,9.480,9.440,9.460,6438720.0,6810
2024-4-3,14:30,9.460,9.470,9.380,9.410,4891264.0,5185
2024-4-3,14:35,9.410,9.440,9.380,9.440,5232576.0,5565
2024-4-3,14:40,9.450,9.460,9.430,9.460,5904256.0,6255
2024-4-3,14:45,9.460,9.460,9.430,9.440,4182720.0,4430
2024-4-3,14:50,9.430,9.450,9.430,9.450,3313856.0,3509
2024-4-3,14:55,9.440,9.440,9.390,9.400,11545472.0,12260
2024-4-3,15:00,9.400,9.410,9.390,9.410,7029440.0,7480
2024-4-3,15:05,9.410,9.410,9.390,9.390,9923584.0,10560
2024-4-3,15:10,9.390,9.400,9.380,9.390,6545792.0,6970
2024-4-3,15:15,9.390,9.390,9.380,9.390,3828864.0,4080
2024-4-3,15:20,9.390,9.390,9.370,9.380,4109056.0,4380
2024-4-3,15:25,9.380,9.380,9.370,9.380,3071360.0,3274
2024-4-3,15:30,9.380,9.400,9.370,9.400,8116672.0,8645
2024-4-3,15:35,9.400,9.410,9.380,9.380,7197632.0,7660
2024-4-3,15:40,9.390,9.390,9.380,9.380,3031552.0,3229
2024-4-3,15:45,9.390,9.430,9.380,9.400,9403456.0,10000
2024-4-3,15:50,9.390,9.400,9.380,9.390,2919936.0,3110
2024-4-3,15:55,9.380,9.400,9.370,9.400,7684736.0,8189
2024-4-3,16:00,9.400,9.420,9.400,9.420,20533504.0,21805
2024-4-5,09:35,9.480,9.500,9.220,9.310,12867976.0,13735
2024-4-5,09:40,9.320,9.410,9.310,9.350,7584370.0,8095
2024-4-5,09:45,9.350,9.430,9.330,9.420,8621946.0,9205
2024-4-5,09:50,9.410,9.410,9.260,9.300,3406550.0,3660
2024-4-5,09:55,9.280,9.320,9.260,9.290,6304882.0,6795
2024-4-5,10:00,9.290,9.350,9.280,9.320,4346872.0,4665
2024-4-5,10:05,9.320,9.410,9.320,9.370,2135348.0,2275
2024-4-5,10:10,9.370,9.380,9.350,9.360,1081128.0,1155
2024-4-5,10:15,9.360,9.400,9.350,9.400,1798216.0,1920
2024-4-5,10:20,9.410,9.440,9.380,9.390,2032308.0,2160
2024-4-5,10:25,9.380,9.380,9.360,9.360,650968.0,695
2024-4-5,10:30,9.360,9.390,9.360,9.370,1710760.0,1825
2024-4-5,10:35,9.360,9.360,9.320,9.330,691168.0,740
2024-4-5,10:40,9.330,9.330,9.270,9.280,2198332.0,2365
2024-4-5,10:45,9.280,9.320,9.280,9.280,2402412.0,2585
2024-4-5,10:50,9.280,9.300,9.270,9.290,1336284.0,1440
2024-4-5,10:55,9.290,9.290,9.250,9.260,1408808.0,1520
2024-4-5,11:00,9.260,9.300,9.250,9.260,3109104.0,3355
2024-4-5,11:05,9.260,9.280,9.250,9.280,1500424.0,1620
2024-4-5,11:10,9.270,9.280,9.260,9.280,1427092.0,1540
2024-4-5,11:15,9.270,9.280,9.260,9.270,1326108.0,1430
2024-4-5,11:20,9.280,9.280,9.270,9.270,347872.0,375
2024-4-5,11:25,9.270,9.320,9.270,9.300,3208888.0,3450
2024-4-5,11:30,9.290,9.300,9.260,9.260,1476544.0,1590
2024-4-5,11:35,9.260,9.280,9.250,9.280,1416880.0,1530
2024-4-5,11:40,9.280,9.290,9.270,9.270,696064.0,750
2024-4-5,11:45,9.280,9.290,9.270,9.290,408320.0,440
2024-4-5,11:50,9.290,9.290,9.280,9.280,306472.0,330
2024-4-5,11:55,9.280,9.290,9.280,9.290,134640.0,145
2024-4-5,12:00,9.280,9.290,9.280,9.280,357408.0,385
2024-4-5,13:05,9.280,9.290,9.190,9.210,6233488.0,6765
2024-4-5,13:10,9.210,9.280,9.210,9.270,2011456.0,2175
2024-4-5,13:15,9.270,9.280,9.260,9.260,1250880.0,1350
2024-4-5,13:20,9.250,9.270,9.250,9.260,1713160.0,1850
2024-4-5,13:25,9.250,9.260,9.250,9.250,657224.0,710
2024-4-5,13:30,9.250,9.260,9.250,9.260,643184.0,695
2024-4-5,13:35,9.260,9.280,9.250,9.280,2385168.0,2575
2024-4-5,13:40,9.280,9.290,9.230,9.230,3188856.0,3440
2024-4-5,13:45,9.240,9.250,9.220,9.250,1984968.0,2150
2024-4-5,13:50,9.250,9.270,9.250,9.260,2587136.0,2795
2024-4-5,13:55,9.260,9.280,9.250,9.280,1103224.0,1190
2024-4-5,14:00,9.280,9.350,9.270,9.340,17664312.0,18995
2024-4-5,14:05,9.330,9.350,9.330,9.350,1144720.0,1225
2024-4-5,14:10,9.350,9.350,9.330,9.330,957088.0,1025
2024-4-5,14:15,9.330,9.340,9.320,9.340,932880.0,1000
2024-4-5,14:20,9.340,9.380,9.330,9.380,14187744.0,15180
2024-4-5,14:25,9.380,9.380,9.370,9.380,285936.0,305
2024-4-5,14:30,9.370,9.370,9.340,9.350,4698560.0,5020
2024-4-5,14:35,9.350,9.350,9.340,9.340,336432.0,360
2024-4-5,14:40,9.350,9.380,9.340,9.380,3583440.0,3830
2024-4-5,14:45,9.370,9.400,9.360,9.400,3935328.0,4195
2024-4-5,14:50,9.390,9.450,9.380,9.390,6810768.0,7230
2024-4-5,14:55,9.390,9.400,9.370,9.380,572272.0,610
2024-4-5,15:00,9.380,9.380,9.370,9.370,351856.0,375
2024-4-5,15:05,9.370,9.420,9.360,9.400,4957152.0,5285
2024-4-5,15:10,9.400,9.430,9.400,9.420,1841056.0,1955
2024-4-5,15:15,9.420,9.420,9.390,9.400,2123888.0,2258
2024-4-5,15:20,9.410,9.420,9.410,9.420,1633552.0,1735
2024-4-5,15:25,9.430,9.450,9.430,9.440,4187296.0,4435
2024-4-5,15:30,9.440,9.450,9.410,9.420,1259200.0,1335
2024-4-5,15:35,9.420,9.440,9.410,9.430,2949424.0,3130
2024-4-5,15:40,9.430,9.440,9.430,9.440,947712.0,1005
2024-4-5,15:45,9.430,9.430,9.400,9.400,4789680.0,5085
2024-4-5,15:50,9.390,9.410,9.390,9.400,2763600.0,2940
2024-4-5,15:55,9.400,9.410,9.400,9.400,1472144.0,1565
2024-4-5,16:00,9.410,9.410,9.370,9.370,16572816.0,17670
2024-4-8,09:35,9.500,9.850,9.500,9.620,59456980.0,60940
2024-4-8,09:40,9.630,9.770,9.630,9.770,23333100.0,24070
2024-4-8,09:45,9.760,9.860,9.760,9.850,35195888.0,35851
2024-4-8,09:50,9.850,9.850,9.700,9.710,23572960.0,24045
2024-4-8,09:55,9.710,9.760,9.650,9.730,19317568.0,19885
2024-4-8,10:00,9.720,9.760,9.680,9.750,22943520.0,23590
2024-4-8,10:05,9.750,9.830,9.720,9.810,16723296.0,17075
2024-4-8,10:10,9.810,9.830,9.780,9.810,14940512.0,15240
2024-4-8,10:15,9.810,9.870,9.800,9.870,22813344.0,23205
2024-4-8,10:20,9.870,9.910,9.820,9.880,20880096.0,21160
2024-4-8,10:25,9.880,9.950,9.820,9.840,15719184.0,15870
2024-4-8,10:30,9.840,9.880,9.810,9.830,10178912.0,10350
2024-4-8,10:35,9.830,9.880,9.830,9.850,8712608.0,8839
2024-4-8,10:40,9.840,9.880,9.810,9.870,7794336.0,7910
2024-4-8,10:45,9.860,9.870,9.790,9.790,12053216.0,12270
2024-4-8,10:50,9.780,9.790,9.710,9.730,12832640.0,13155
2024-4-8,10:55,9.730,9.800,9.700,9.790,13836704.0,14190
2024-4-8,11:00,9.790,9.800,9.760,9.790,20286976.0,20740
2024-4-8,11:05,9.790,9.890,9.790,9.880,14748928.0,14970
2024-4-8,11:10,9.890,9.900,9.850,9.900,5736224.0,5810
2024-4-8,11:15,9.900,9.930,9.810,9.840,15484960.0,15665
2024-4-8,11:20,9.840,9.870,9.780,9.790,5100000.0,5185
2024-4-8,11:25,9.780,9.790,9.750,9.760,3352000.0,3430
2024-4-8,11:30,9.750,9.770,9.680,9.700,16675136.0,17170
2024-4-8,11:35,9.700,9.720,9.680,9.710,7991936.0,8240
2024-4-8,11:40,9.710,9.750,9.700,9.730,4719104.0,4855
2024-4-8,11:45,9.730,9.770,9.720,9.750,2689024.0,2760
2024-4-8,11:50,9.760,9.770,9.720,9.720,3070240.0,3150
2024-4-8,11:55,9.720,9.730,9.700,9.730,1714016.0,1765
2024-4-8,12:00,9.730,9.760,9.720,9.760,4211840.0,4325
2024-4-8,13:05,9.730,9.760,9.720,9.730,5806400.0,5965
2024-4-8,13:10,9.710,9.770,9.700,9.770,5874816.0,6045
2024-4-8,13:15,9.770,9.800,9.770,9.770,6010112.0,6145
2024-4-8,13:20,9.790,9.800,9.770,9.790,5661088.0,5780
2024-4-8,13:25,9.780,9.790,9.720,9.780,14042016.0,14385
2024-4-8,13:30,9.780,9.800,9.780,9.790,3503840.0,3580
2024-4-8,13:35,9.790,9.830,9.780,9.790,20375840.0,20780
2024-4-8,13:40,9.790,9.830,9.750,9.810,21432256.0,21887
2024-4-8,13:45,9.810,9.830,9.790,9.830,6659744.0,6782
2024-4-8,13:50,9.830,9.830,9.790,9.810,9250592.0,9430
