日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,82.980,82.990,82.100,82.800,9694015.0,117300
2024-7-1,09:40,82.900,82.900,81.600,81.630,6909959.0,84100
2024-7-1,09:45,81.610,81.890,81.010,81.390,9512715.0,116900
2024-7-1,09:50,81.460,81.970,81.350,81.760,4569638.0,56000
2024-7-1,09:55,81.750,81.910,81.480,81.480,4190005.0,51300
2024-7-1,10:00,81.450,81.870,81.210,81.800,3187431.0,39100
2024-7-1,10:05,81.670,81.670,81.130,81.230,4329859.0,53200
2024-7-1,10:10,81.220,81.220,80.800,81.170,7578749.0,93600
2024-7-1,10:15,81.200,81.200,80.760,80.850,4499653.0,55600
2024-7-1,10:20,80.750,81.000,80.750,80.790,2200983.0,27300
2024-7-1,10:25,80.800,80.890,80.450,80.750,3789150.0,46900
2024-7-1,10:30,80.690,80.880,80.540,80.830,3713908.0,46100
2024-7-1,10:35,80.860,80.880,80.500,80.500,2781277.0,34400
2024-7-1,10:40,80.500,80.500,79.790,79.820,15129713.0,189000
2024-7-1,10:45,79.820,80.010,79.750,79.810,7415042.0,92800
2024-7-1,10:50,79.810,79.860,79.240,79.500,7441893.0,93600
2024-7-1,10:55,79.480,79.770,79.450,79.600,6363521.0,80000
2024-7-1,11:00,79.590,79.720,79.360,79.370,4329054.0,54500
2024-7-1,11:05,79.370,79.520,79.320,79.390,4934903.0,62100
2024-7-1,11:10,79.440,79.580,79.390,79.440,7867267.0,99000
2024-7-1,11:15,79.400,79.900,79.400,79.650,4037017.0,50700
2024-7-1,11:20,79.650,79.850,79.530,79.850,4212021.0,52900
2024-7-1,11:25,79.830,79.900,79.720,79.760,1175754.0,14700
2024-7-1,11:30,79.760,79.960,79.750,79.760,1274660.0,16000
2024-7-1,13:05,79.930,80.000,79.400,80.000,5239538.0,65700
2024-7-1,13:10,79.960,80.120,79.600,79.630,3282365.0,41100
2024-7-1,13:15,79.780,79.780,79.590,79.640,1028702.0,12900
2024-7-1,13:20,79.570,80.530,79.520,80.420,6012866.0,75100
2024-7-1,13:25,80.430,80.680,80.400,80.560,3299667.0,41000
2024-7-1,13:30,80.480,80.560,80.250,80.490,1723031.0,21400
2024-7-1,13:35,80.460,80.900,80.450,80.560,3890899.0,48200
2024-7-1,13:40,80.560,80.560,80.080,80.220,1231840.0,15400
2024-7-1,13:45,80.220,80.410,80.200,80.410,1233508.0,15300
2024-7-1,13:50,80.420,80.520,80.340,80.520,1273701.0,15900
2024-7-1,13:55,80.520,80.610,80.430,80.610,1080644.0,13400
2024-7-1,14:00,80.590,80.670,80.530,80.670,843101.0,10500
2024-7-1,14:05,80.660,80.820,80.660,80.810,2744007.0,33900
2024-7-1,14:10,80.790,81.340,80.790,81.170,3874265.0,47800
2024-7-1,14:15,81.110,81.110,80.730,80.990,2938504.0,36300
2024-7-1,14:20,81.000,81.070,80.690,80.690,1875009.0,23200
2024-7-1,14:25,80.690,80.710,80.580,80.610,960994.0,11900
2024-7-1,14:30,80.630,80.860,80.610,80.680,1307673.0,16200
2024-7-1,14:35,80.730,80.850,80.500,80.650,1973567.0,24500
2024-7-1,14:40,80.720,80.760,80.420,80.670,3408934.0,42300
2024-7-1,14:45,80.540,80.680,80.450,80.680,2277505.0,28300
2024-7-1,14:50,80.550,80.620,80.420,80.430,3267222.0,40500
2024-7-1,14:55,80.430,80.550,80.200,80.550,8384094.0,104300
2024-7-1,15:00,80.550,80.610,80.500,80.540,3878132.0,48200
2024-7-2,09:35,81.000,82.400,80.560,80.730,23687696.0,291700
2024-7-2,09:40,80.730,81.010,79.860,80.000,10245559.0,127400
2024-7-2,09:45,79.910,80.500,79.670,80.260,5166002.0,64600
2024-7-2,09:50,80.250,80.440,79.850,80.020,4692759.0,58500
2024-7-2,09:55,80.010,80.050,79.630,79.700,6258247.0,78400
2024-7-2,10:00,79.730,79.800,79.340,79.600,8768975.0,110300
2024-7-2,10:05,79.480,79.480,78.730,78.730,15878040.0,200900
2024-7-2,10:10,78.800,79.480,78.690,79.240,7619241.0,96500
2024-7-2,10:15,79.240,79.430,78.800,78.810,3798807.0,48000
2024-7-2,10:20,78.930,79.220,78.590,79.010,6562253.0,83200
2024-7-2,10:25,79.010,79.340,79.010,79.200,5152132.0,65100
2024-7-2,10:30,79.200,79.200,78.880,78.880,2494740.0,31600
2024-7-2,10:35,78.870,78.880,78.510,78.510,6615244.0,84000
2024-7-2,10:40,78.500,78.600,78.470,78.500,5295282.0,67500
2024-7-2,10:45,78.590,78.590,78.400,78.400,4660882.0,59400
2024-7-2,10:50,78.400,78.550,78.380,78.500,3157185.0,40200
2024-7-2,10:55,78.500,78.590,78.420,78.460,2317066.0,29500
2024-7-2,11:00,78.430,78.480,78.370,78.410,1986264.0,25400
2024-7-2,11:05,78.390,78.390,78.200,78.240,2382485.0,30400
2024-7-2,11:10,78.250,78.250,77.930,78.070,6220525.0,79600
2024-7-2,11:15,78.010,78.380,77.970,78.170,5098395.0,65300
2024-7-2,11:20,78.310,78.310,78.160,78.160,1107882.0,14100
2024-7-2,11:25,78.030,78.200,77.800,78.110,3212011.0,41200
2024-7-2,11:30,78.100,78.230,78.020,78.020,2622356.0,33600
2024-7-2,13:05,78.020,78.200,77.920,78.000,3185106.0,40800
2024-7-2,13:10,78.120,78.120,77.910,77.910,1104574.0,14200
2024-7-2,13:15,77.910,78.000,77.840,77.900,1941488.0,24900
2024-7-2,13:20,77.850,77.910,77.680,77.700,4708073.0,60500
2024-7-2,13:25,77.710,77.900,77.660,77.900,3923155.0,50500
2024-7-2,13:30,77.900,77.940,77.820,77.830,1561388.0,20000
2024-7-2,13:35,77.840,77.930,77.770,77.900,2250528.0,28900
2024-7-2,13:40,77.920,77.950,77.710,77.830,1637103.0,21100
2024-7-2,13:45,77.750,78.360,77.750,78.120,4309245.0,55200
2024-7-2,13:50,78.130,78.250,78.120,78.140,1431480.0,18300
2024-7-2,13:55,78.130,78.200,78.040,78.190,2339193.0,30000
2024-7-2,14:00,78.200,78.230,78.120,78.200,1022138.0,13000
2024-7-2,14:05,78.210,78.580,78.090,78.090,3316236.0,42300
2024-7-2,14:10,78.090,78.130,77.920,78.130,2936612.0,37700
2024-7-2,14:15,78.070,78.230,78.050,78.210,2015850.0,25800
2024-7-2,14:20,78.220,78.240,77.930,78.000,1865547.0,23800
2024-7-2,14:25,77.980,78.090,77.680,77.700,4316826.0,55500
2024-7-2,14:30,77.700,77.740,77.520,77.530,4220978.0,54400
2024-7-2,14:35,77.670,77.740,77.390,77.440,6639133.0,85600
2024-7-2,14:40,77.410,77.620,77.000,77.510,11688607.0,151200
2024-7-2,14:45,77.500,77.600,77.270,77.270,3265669.0,42100
2024-7-2,14:50,77.330,77.620,77.330,77.560,7473196.0,96500
2024-7-2,14:55,77.500,77.600,77.480,77.500,6407998.0,82600
2024-7-2,15:00,77.500,77.570,77.480,77.570,5208727.0,67200
2024-7-3,09:35,78.580,78.980,77.990,78.640,30655040.0,390400
2024-7-3,09:40,78.800,78.820,77.660,77.760,12580316.0,160700
2024-7-3,09:45,77.790,78.130,77.580,77.940,5406765.0,69400
2024-7-3,09:50,77.840,78.140,77.650,78.050,5192274.0,66700
2024-7-3,09:55,78.040,78.400,77.880,78.320,6829102.0,87400
2024-7-3,10:00,78.390,78.420,77.800,77.820,5392168.0,69000
2024-7-3,10:05,77.930,77.930,77.700,77.700,3753842.0,48300
2024-7-3,10:10,77.710,77.770,77.320,77.500,4028241.0,51900
2024-7-3,10:15,77.500,77.650,77.210,77.530,3606863.0,46600
2024-7-3,10:20,77.400,77.500,77.210,77.210,2956379.0,38200
2024-7-3,10:25,77.190,77.210,76.860,76.990,6079554.0,78900
2024-7-3,10:30,77.000,77.040,76.800,77.000,4351657.0,56600
2024-7-3,10:35,77.000,77.300,76.770,76.800,3599569.0,46700
2024-7-3,10:40,76.800,76.800,76.330,76.420,5166527.0,67500
2024-7-3,10:45,76.450,76.810,76.440,76.520,5488400.0,71700
2024-7-3,10:50,76.500,76.660,76.210,76.330,6465799.0,84600
2024-7-3,10:55,76.260,76.500,76.260,76.360,6456180.0,84600
2024-7-3,11:00,76.330,76.400,76.010,76.360,7811201.0,102500
2024-7-3,11:05,76.360,76.560,76.270,76.340,3594551.0,47100
2024-7-3,11:10,76.340,76.630,76.340,76.390,4247105.0,55500
2024-7-3,11:15,76.440,76.700,76.350,76.400,1465551.0,19100
2024-7-3,11:20,76.450,76.870,76.450,76.870,1557558.0,20300
2024-7-3,11:25,77.000,77.390,76.980,77.020,4015700.0,52100
2024-7-3,11:30,77.070,77.090,76.600,76.600,4331571.0,56300
2024-7-3,13:05,76.840,77.030,76.590,76.890,4150107.0,54100
