日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,684.000,688.000,666.240,671.390,561841344.0,832400
2024-12-31,09:40,671.400,674.670,669.000,669.800,190580544.0,283800
2024-12-31,09:45,669.000,671.250,663.000,667.210,293232384.0,440100
2024-12-31,09:50,667.500,668.440,659.200,666.430,318677632.0,480800
2024-12-31,09:55,667.100,669.090,661.480,664.950,139995312.0,210500
2024-12-31,10:00,664.900,671.000,663.420,670.950,106735168.0,160200
2024-12-31,10:05,669.750,671.880,666.780,669.890,116435712.0,173800
2024-12-31,10:10,669.900,669.900,664.010,665.470,103833288.0,155700
2024-12-31,10:15,666.170,667.380,663.000,666.460,74615256.0,112200
2024-12-31,10:20,665.080,672.000,664.660,671.960,94946840.0,141800
2024-12-31,10:25,671.960,677.000,670.180,676.380,116118304.0,172200
2024-12-31,10:30,676.500,680.890,676.500,678.000,148587488.0,218800
2024-12-31,10:35,677.670,679.010,675.650,678.770,64799512.0,95600
2024-12-31,10:40,676.280,676.970,672.030,673.000,48487540.0,71900
2024-12-31,10:45,672.990,678.000,672.670,675.350,30781896.0,45600
2024-12-31,10:50,675.350,675.910,670.210,670.210,37863356.0,56200
2024-12-31,10:55,671.320,672.990,670.000,671.030,33798120.0,50400
2024-12-31,11:00,671.800,672.980,670.080,672.840,50691764.0,75500
2024-12-31,11:05,672.350,674.400,671.700,672.410,35183840.0,52300
2024-12-31,11:10,673.000,675.990,671.000,671.000,41894072.0,62300
2024-12-31,11:15,670.080,675.910,670.000,673.260,54843580.0,81600
2024-12-31,11:20,673.080,676.000,672.060,675.000,29799008.0,44100
2024-12-31,11:25,674.050,683.320,673.460,682.400,108778320.0,160200
2024-12-31,11:30,682.000,682.600,679.460,680.800,47131632.0,69200
2024-12-31,13:05,680.800,680.810,675.080,677.000,43799416.0,64500
2024-12-31,13:10,677.230,677.230,674.000,674.170,32614872.0,48300
2024-12-31,13:15,674.160,676.000,673.290,674.760,28540768.0,42300
2024-12-31,13:20,674.760,676.000,671.020,671.980,47113288.0,70000
2024-12-31,13:25,672.090,672.090,669.610,671.490,58559104.0,87300
2024-12-31,13:30,671.040,671.900,667.000,668.000,67109488.0,100300
2024-12-31,13:35,668.000,668.800,665.600,665.600,71002096.0,106400
2024-12-31,13:40,665.500,665.600,661.500,661.500,129521728.0,195200
2024-12-31,13:45,661.110,662.000,658.900,659.000,219053504.0,331800
2024-12-31,13:50,660.030,665.900,659.050,665.440,57591492.0,86800
2024-12-31,13:55,665.440,666.950,664.000,665.750,61107076.0,91700
2024-12-31,14:00,665.750,666.800,663.000,665.500,31619496.0,47600
2024-12-31,14:05,665.200,666.000,662.100,662.920,44730352.0,67300
2024-12-31,14:10,662.930,664.000,660.000,660.140,71039808.0,107400
2024-12-31,14:15,660.140,662.380,658.910,661.610,85696616.0,129900
2024-12-31,14:20,661.990,665.000,661.630,664.600,44519408.0,67100
2024-12-31,14:25,663.780,665.050,663.410,664.000,52438148.0,78900
2024-12-31,14:30,664.200,668.650,664.200,667.000,89713040.0,134500
2024-12-31,14:35,665.980,668.400,665.000,665.000,83524448.0,125300
2024-12-31,14:40,666.000,671.970,665.060,670.000,77516624.0,115700
2024-12-31,14:45,670.000,670.960,665.250,669.100,87944832.0,131500
2024-12-31,14:50,669.100,669.250,666.000,666.080,62713836.0,93900
