日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,68.300,68.640,67.570,67.930,165283232.0,2424100
2024-12-31,09:40,67.910,67.950,67.100,67.210,41675808.0,617000
2024-12-31,09:45,67.210,67.300,66.560,66.560,47020760.0,702700
2024-12-31,09:50,66.580,68.880,66.530,68.860,70911592.0,1045700
2024-12-31,09:55,68.790,68.980,66.020,66.140,166795664.0,2475200
2024-12-31,10:00,66.120,66.200,65.800,65.960,88808632.0,1345100
2024-12-31,10:05,65.900,67.090,65.810,66.820,46911544.0,707500
2024-12-31,10:10,66.820,66.940,66.210,66.430,22573612.0,338800
2024-12-31,10:15,66.310,66.990,66.300,66.700,16690704.0,250500
2024-12-31,10:20,66.730,67.210,66.600,66.610,21925514.0,327700
2024-12-31,10:25,66.620,66.940,66.500,66.610,13781832.0,206500
2024-12-31,10:30,66.550,66.970,66.500,66.690,11738193.0,175900
2024-12-31,10:35,66.740,66.920,66.640,66.760,8326943.0,124700
2024-12-31,10:40,66.680,66.920,66.620,66.700,12629539.0,189300
2024-12-31,10:45,66.690,66.690,66.400,66.410,10248987.0,154100
2024-12-31,10:50,66.400,66.410,66.000,66.180,17244810.0,260700
2024-12-31,10:55,66.170,66.410,66.160,66.230,10181374.0,153700
2024-12-31,11:00,66.280,66.280,65.920,65.920,21133368.0,319900
2024-12-31,11:05,65.860,66.010,65.850,65.910,21341122.0,323700
2024-12-31,11:10,65.910,66.200,65.890,65.900,17081804.0,258900
2024-12-31,11:15,65.900,66.090,65.820,65.880,22178116.0,336400
2024-12-31,11:20,65.950,66.100,65.880,65.880,14884229.0,225500
2024-12-31,11:25,65.880,66.100,65.880,66.100,7973363.0,120900
2024-12-31,11:30,66.100,66.460,65.980,65.990,9909968.0,149700
2024-12-31,13:05,65.990,66.010,65.380,65.530,28596462.0,435300
2024-12-31,13:10,65.530,65.530,65.200,65.360,30026520.0,460000
2024-12-31,13:15,65.340,65.490,65.210,65.420,13005878.0,199200
2024-12-31,13:20,65.420,65.620,65.230,65.250,12143567.0,185800
2024-12-31,13:25,65.250,65.370,65.220,65.320,10065757.0,154200
2024-12-31,13:30,65.320,65.480,65.170,65.390,22252276.0,341100
2024-12-31,13:35,65.390,65.440,65.180,65.250,15035207.0,230400
2024-12-31,13:40,65.250,65.490,65.180,65.420,17616272.0,269800
2024-12-31,13:45,65.420,65.440,65.190,65.250,16139976.0,247200
2024-12-31,13:50,65.250,65.420,65.190,65.400,22632284.0,346600
2024-12-31,13:55,65.390,65.420,65.100,65.140,27595932.0,423300
2024-12-31,14:00,65.120,65.350,65.010,65.240,28388940.0,436100
2024-12-31,14:05,65.230,65.280,65.070,65.090,13217473.0,202900
2024-12-31,14:10,65.100,65.150,65.010,65.030,24752636.0,380600
2024-12-31,14:15,65.030,65.130,64.980,65.030,35347012.0,543700
2024-12-31,14:20,65.010,65.260,65.010,65.130,10912092.0,167500
2024-12-31,14:25,65.130,65.390,65.100,65.250,13483864.0,206800
2024-12-31,14:30,65.210,65.250,64.910,64.910,20841794.0,320400
2024-12-31,14:35,64.920,65.300,64.860,65.100,18964948.0,291900
2024-12-31,14:40,65.090,65.360,65.080,65.300,12755594.0,195500
2024-12-31,14:45,65.280,65.300,65.150,65.250,13307714.0,204100
2024-12-31,14:50,65.260,65.390,64.880,64.920,26687976.0,409600
2024-12-31,14:55,64.920,64.920,64.480,64.500,46384224.0,716800
2024-12-31,15:00,64.540,64.630,64.540,64.600,36089176.0,558700
2025-1-2,09:35,65.430,65.760,64.300,65.200,108412392.0,1669900
2025-1-2,09:40,65.150,65.440,64.880,65.130,63397592.0,972400
2025-1-2,09:45,65.100,65.710,64.660,65.310,57968360.0,887900
2025-1-2,09:50,65.300,65.430,65.000,65.090,27415476.0,420100
2025-1-2,09:55,65.080,65.340,64.990,65.260,32195976.0,493800
2025-1-2,10:00,65.260,65.350,64.990,65.280,29452052.0,451900
2025-1-2,10:05,65.270,65.460,65.050,65.290,33393340.0,511200
2025-1-2,10:10,65.170,66.280,65.130,65.860,76466672.0,1161500
2025-1-2,10:15,65.840,67.380,65.840,66.570,184549440.0,2762200
2025-1-2,10:20,66.560,66.580,66.130,66.380,66051960.0,996200
2025-1-2,10:25,66.370,67.840,66.230,67.830,88565648.0,1320200
2025-1-2,10:30,67.840,68.960,67.550,68.620,213936512.0,3131900
2025-1-2,10:35,68.620,69.500,68.540,69.500,175114784.0,2539300
2025-1-2,10:40,69.500,69.590,68.680,68.710,111507840.0,1612100
2025-1-2,10:45,68.700,69.690,68.700,69.580,110411336.0,1592900
2025-1-2,10:50,69.480,71.060,69.240,71.060,290730752.0,4122100
2025-1-2,10:55,71.060,71.060,71.060,71.060,49386700.0,695000
2025-1-2,11:00,71.060,71.060,71.060,71.060,24934954.0,350900
2025-1-2,11:05,71.060,71.060,71.060,71.060,23198744.0,326400
2025-1-2,11:10,71.060,71.060,71.060,71.060,72019312.0,1013500
2025-1-2,11:15,71.060,71.060,70.250,70.360,262743696.0,3707600
2025-1-2,11:20,70.360,71.060,70.300,71.060,152411712.0,2157000
2025-1-2,11:25,71.060,71.060,70.420,70.530,126148408.0,1781700
2025-1-2,11:30,70.470,70.470,70.000,70.070,87393480.0,1244800
2025-1-2,13:05,70.070,70.070,69.250,69.700,69725600.0,999500
2025-1-2,13:10,69.710,69.990,69.420,69.900,41094808.0,589700
2025-1-2,13:15,69.950,70.000,69.680,69.740,25550164.0,365900
2025-1-2,13:20,69.740,69.980,69.600,69.600,24172852.0,346300
2025-1-2,13:25,69.610,69.880,69.500,69.740,33823496.0,485300
2025-1-2,13:30,69.730,69.980,69.600,69.860,27518044.0,394600
2025-1-2,13:35,69.870,69.950,69.800,69.800,20449708.0,292700
2025-1-2,13:40,69.800,69.870,69.640,69.660,22743176.0,326100
2025-1-2,13:45,69.660,69.860,69.530,69.780,32482748.0,466000
2025-1-2,13:50,69.790,69.810,69.530,69.550,19474830.0,279200
2025-1-2,13:55,69.540,69.770,69.510,69.560,26887060.0,386200
2025-1-2,14:00,69.570,69.930,69.550,69.930,33648324.0,482200
2025-1-2,14:05,70.000,70.170,69.780,69.790,34169604.0,488300
2025-1-2,14:10,69.790,69.790,69.560,69.600,24636016.0,353800
2025-1-2,14:15,69.600,69.610,69.310,69.460,28366316.0,408400
2025-1-2,14:20,69.460,69.460,69.000,69.300,54832684.0,793000
2025-1-2,14:25,69.300,69.590,69.100,69.590,22666804.0,327500
2025-1-2,14:30,69.600,69.780,69.330,69.480,29582358.0,425100
2025-1-2,14:35,69.480,69.480,69.000,69.310,35060092.0,506300
2025-1-2,14:40,69.310,69.310,68.920,69.040,42388888.0,614100
2025-1-2,14:45,69.080,69.260,68.970,68.970,34439020.0,498300
2025-1-2,14:50,68.960,69.100,68.900,69.080,46257904.0,670400
2025-1-2,14:55,69.100,69.910,69.090,69.830,77603408.0,1113500
2025-1-2,15:00,69.850,69.850,69.590,69.680,60168144.0,863300
