日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,50.150,50.450,49.700,49.950,1309638912.0,261430
2025-3-31,09:40,50.000,50.050,49.600,49.600,539218048.0,108339
2025-3-31,09:45,49.600,49.900,49.600,49.700,467185024.0,93991
2025-3-31,09:50,49.700,50.050,49.650,50.000,348695040.0,69838
2025-3-31,09:55,50.000,50.150,49.850,50.050,286222848.0,57236
2025-3-31,10:00,50.000,50.400,49.900,50.300,389430016.0,77626
2025-3-31,10:05,50.300,50.650,50.200,50.550,324805120.0,64404
2025-3-31,10:10,50.600,50.700,50.100,50.200,206018304.0,40904
2025-3-31,10:15,50.200,50.250,49.950,50.000,167494912.0,33458
2025-3-31,10:20,50.000,50.100,49.850,49.900,125818112.0,25189
2025-3-31,10:25,49.950,50.000,49.850,50.000,73357824.0,14690
2025-3-31,10:30,50.000,50.000,49.800,49.800,163657984.0,32779
2025-3-31,10:35,49.850,50.000,49.700,49.800,193373696.0,38828
2025-3-31,10:40,49.850,50.000,49.800,49.950,126137856.0,25266
2025-3-31,10:45,49.950,50.000,49.750,49.750,136372736.0,27348
2025-3-31,10:50,49.800,49.800,49.650,49.650,126576640.0,25450
2025-3-31,10:55,49.650,49.750,49.500,49.500,302852096.0,61063
2025-3-31,11:00,49.500,49.550,49.200,49.200,586792448.0,118833
2025-3-31,11:05,49.200,49.300,49.150,49.200,325435904.0,66135
2025-3-31,11:10,49.200,49.250,49.050,49.100,386601984.0,78671
2025-3-31,11:15,49.150,49.300,49.050,49.250,307104768.0,62450
2025-3-31,11:20,49.300,49.500,49.250,49.450,187959296.0,38087
2025-3-31,11:25,49.450,49.500,49.100,49.150,151638528.0,30786
2025-3-31,11:30,49.100,49.150,48.900,48.950,428222976.0,87440
2025-3-31,11:35,48.950,49.000,48.800,48.850,208286720.0,42611
2025-3-31,11:40,48.850,49.000,48.800,48.900,199928320.0,40887
2025-3-31,11:45,48.900,49.000,48.850,48.900,155855872.0,31859
2025-3-31,11:50,48.900,48.950,48.650,48.800,326840832.0,67021
2025-3-31,11:55,48.800,48.800,48.600,48.650,328087040.0,67405
2025-3-31,12:00,48.650,48.700,48.500,48.600,315528192.0,64969
2025-3-31,13:05,48.550,49.050,48.500,48.850,548659200.0,112546
2025-3-31,13:10,48.850,49.100,48.800,49.050,258093056.0,52662
2025-3-31,13:15,49.050,49.300,49.050,49.300,190722048.0,38789
2025-3-31,13:20,49.300,49.350,49.000,49.050,201987072.0,41077
2025-3-31,13:25,49.050,49.150,48.900,49.100,197436416.0,40285
2025-3-31,13:30,49.100,49.100,48.950,48.950,110633984.0,22573
2025-3-31,13:35,48.950,49.000,48.800,48.900,124457984.0,25452
