日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,55.500,55.600,53.900,54.500,260185936.0,47612
2025-3-31,09:40,54.500,54.700,54.300,54.650,72548560.0,13302
2025-3-31,09:45,54.650,55.000,54.400,54.500,51019872.0,9325
2025-3-31,09:50,54.450,54.850,54.450,54.750,32326944.0,5919
2025-3-31,09:55,54.750,55.200,54.650,55.200,55282688.0,10055
2025-3-31,10:00,55.200,55.450,55.050,55.100,42117984.0,7627
2025-3-31,10:05,55.150,55.250,54.750,54.750,28993856.0,5270
2025-3-31,10:10,54.750,54.900,54.750,54.850,16080832.0,2934
2025-3-31,10:15,54.850,54.900,54.550,54.550,22178048.0,4049
2025-3-31,10:20,54.550,54.700,54.350,54.500,45835008.0,8411
2025-3-31,10:25,54.450,54.750,54.400,54.700,16853952.0,3091
2025-3-31,10:30,54.650,54.800,54.550,54.600,14018176.0,2563
2025-3-31,10:35,54.550,54.750,54.400,54.450,23288384.0,4271
2025-3-31,10:40,54.500,54.700,54.500,54.700,16444416.0,3012
2025-3-31,10:45,54.700,54.700,54.500,54.550,15686080.0,2871
2025-3-31,10:50,54.500,54.550,54.300,54.400,13613184.0,2501
2025-3-31,10:55,54.350,54.400,54.050,54.050,60944320.0,11255
2025-3-31,11:00,54.100,54.100,53.900,53.950,46644416.0,8638
2025-3-31,11:05,53.950,54.000,53.750,53.950,47803008.0,8873
2025-3-31,11:10,53.950,54.000,53.500,53.550,56065344.0,10450
2025-3-31,11:15,53.550,53.800,53.500,53.700,63530816.0,11852
2025-3-31,11:20,53.750,54.050,53.650,54.000,49283648.0,9160
2025-3-31,11:25,54.000,54.100,53.750,53.850,33185664.0,6155
2025-3-31,11:30,53.850,53.850,53.550,53.600,39620608.0,7383
2025-3-31,11:35,53.550,53.600,53.300,53.350,58970240.0,11041
2025-3-31,11:40,53.350,53.450,53.250,53.350,45190144.0,8467
2025-3-31,11:45,53.350,53.500,53.300,53.450,21122944.0,3954
2025-3-31,11:50,53.450,53.500,53.400,53.500,30791296.0,5762
2025-3-31,11:55,53.450,53.500,53.300,53.350,20979456.0,3929
2025-3-31,12:00,53.350,53.450,53.350,53.450,21243648.0,3978
2025-3-31,13:05,53.400,53.650,53.250,53.500,77019008.0,14413
2025-3-31,13:10,53.450,53.800,53.450,53.750,40102016.0,7476
2025-3-31,13:15,53.750,53.950,53.700,53.900,30459904.0,5660
2025-3-31,13:20,53.850,53.950,53.600,53.650,31351168.0,5824
2025-3-31,13:25,53.600,53.850,53.600,53.800,35551104.0,6622
2025-3-31,13:30,53.800,53.800,53.550,53.550,17568896.0,3271
2025-3-31,13:35,53.550,53.600,53.350,53.450,49858048.0,9325
2025-3-31,13:40,53.500,53.600,53.350,53.600,36792320.0,6880
2025-3-31,13:45,53.550,53.700,53.400,53.450,24848128.0,4638
2025-3-31,13:50,53.450,53.600,53.400,53.600,24508672.0,4583
2025-3-31,13:55,53.550,53.700,53.450,53.600,14500352.0,2707
2025-3-31,14:00,53.550,53.600,53.500,53.550,11306240.0,2111
2025-3-31,14:05,53.550,53.550,53.400,53.500,17787136.0,3328
2025-3-31,14:10,53.500,53.800,53.500,53.750,32583936.0,6071
2025-3-31,14:15,53.750,53.900,53.700,53.900,24863872.0,4619
2025-3-31,14:20,53.900,54.050,53.900,53.950,38350336.0,7104
2025-3-31,14:25,53.950,54.100,53.850,54.000,28819072.0,5337
2025-3-31,14:30,54.000,54.100,53.900,53.900,15128960.0,2803
2025-3-31,14:35,53.950,54.150,53.900,54.100,30883072.0,5711
2025-3-31,14:40,54.050,54.100,54.050,54.100,15360384.0,2840
2025-3-31,14:45,54.100,54.300,54.050,54.300,27468544.0,5071
2025-3-31,14:50,54.300,54.450,54.300,54.300,40476288.0,7448
2025-3-31,14:55,54.300,54.350,54.150,54.200,14886528.0,2746
2025-3-31,15:00,54.200,54.350,54.150,54.350,17641472.0,3251
2025-3-31,15:05,54.300,54.400,54.250,54.400,29942400.0,5510
2025-3-31,15:10,54.400,54.550,54.400,54.450,34911616.0,6409
2025-3-31,15:15,54.400,54.650,54.400,54.650,30853376.0,5659
2025-3-31,15:20,54.650,54.800,54.500,54.550,36186624.0,6616
2025-3-31,15:25,54.550,54.600,54.400,54.400,22533376.0,4135
2025-3-31,15:30,54.400,54.500,54.350,54.450,22082816.0,4057
2025-3-31,15:35,54.450,54.450,54.250,54.250,34713856.0,6387
2025-3-31,15:40,54.300,54.400,54.250,54.350,27404288.0,5042
2025-3-31,15:45,54.300,54.400,54.200,54.300,44698368.0,8231
2025-3-31,15:50,54.350,54.400,54.250,54.350,41652736.0,7667
2025-3-31,15:55,54.400,54.500,54.400,54.450,45058560.0,8277
2025-3-31,16:00,54.450,54.450,54.300,54.350,213916416.0,39353
2025-4-1,09:35,55.050,55.400,54.300,54.700,155709536.0,28393
2025-4-1,09:40,54.700,55.050,54.550,54.650,74047824.0,13524
2025-4-1,09:45,54.650,54.900,54.600,54.750,71420400.0,13058
2025-4-1,09:50,54.800,55.500,54.700,55.150,64478912.0,11679
2025-4-1,09:55,55.150,55.250,54.850,55.050,45528640.0,8268
2025-4-1,10:00,55.000,55.450,54.900,55.350,62564352.0,11350
2025-4-1,10:05,55.400,55.500,55.100,55.400,48002848.0,8672
2025-4-1,10:10,55.350,56.100,55.350,55.850,108475264.0,19441
2025-4-1,10:15,55.900,56.200,55.750,56.150,130323200.0,23258
2025-4-1,10:20,56.100,56.100,55.750,56.050,66028672.0,11804
2025-4-1,10:25,56.050,56.300,55.900,56.250,78858752.0,14042
2025-4-1,10:30,56.250,56.750,56.250,56.450,104725888.0,18520
2025-4-1,10:35,56.450,56.500,56.000,56.150,30689472.0,5456
2025-4-1,10:40,56.150,56.150,55.800,56.100,38938240.0,6953
2025-4-1,10:45,56.100,56.150,55.900,56.100,23754240.0,4241
2025-4-1,10:50,56.100,56.350,56.050,56.350,25927040.0,4613
2025-4-1,10:55,56.350,56.350,56.050,56.200,21452032.0,3818
2025-4-1,11:00,56.150,56.250,55.950,56.000,26670976.0,4753
2025-4-1,11:05,55.950,56.200,55.900,56.200,26781952.0,4777
2025-4-1,11:10,56.150,56.250,56.000,56.100,19420032.0,3460
2025-4-1,11:15,56.100,56.250,55.950,56.150,42045056.0,7500
2025-4-1,11:20,56.150,56.250,56.000,56.250,12535552.0,2233
2025-4-1,11:25,56.200,56.400,56.200,56.400,25052032.0,4449
2025-4-1,11:30,56.350,56.700,56.350,56.400,53610880.0,9486
2025-4-1,11:35,56.400,56.650,56.350,56.350,26679168.0,4720
2025-4-1,11:40,56.400,56.600,56.350,56.500,12931072.0,2289
2025-4-1,11:45,56.450,56.450,56.300,56.400,14853248.0,2635
2025-4-1,11:50,56.400,56.550,56.350,56.550,11527552.0,2042
2025-4-1,11:55,56.550,56.550,56.400,56.400,13041664.0,2308
2025-4-1,12:00,56.400,56.500,56.350,56.500,11107072.0,1969
2025-4-1,13:05,56.500,56.550,56.050,56.150,69636736.0,12369
2025-4-1,13:10,56.100,56.200,55.850,55.950,49331328.0,8810
2025-4-1,13:15,56.000,56.200,55.800,55.800,35287168.0,6303
2025-4-1,13:20,55.800,55.850,55.650,55.850,53143168.0,9537
2025-4-1,13:25,55.800,56.100,55.800,56.050,34926208.0,6240
2025-4-1,13:30,56.050,56.200,55.950,56.000,24217472.0,4317
2025-4-1,13:35,56.000,56.000,55.750,55.750,27548416.0,4928
2025-4-1,13:40,55.750,55.950,55.650,55.700,31218560.0,5593
2025-4-1,13:45,55.700,55.700,55.450,55.500,51206784.0,9219
2025-4-1,13:50,55.500,55.650,55.450,55.500,47293440.0,8516
2025-4-1,13:55,55.500,55.800,55.500,55.800,44757248.0,8040
2025-4-1,14:00,55.800,55.850,55.700,55.750,15745024.0,2822
2025-4-1,14:05,55.750,55.750,55.450,55.600,49674368.0,8934
2025-4-1,14:10,55.600,55.850,55.550,55.850,22020736.0,3952
2025-4-1,14:15,55.850,55.850,55.700,55.750,22962816.0,4116
2025-4-1,14:20,55.750,55.800,55.600,55.800,14573696.0,2617
2025-4-1,14:25,55.800,55.800,55.600,55.650,22286976.0,4002
2025-4-1,14:30,55.650,56.000,55.600,56.000,32254336.0,5784
2025-4-1,14:35,56.000,56.150,56.000,56.100,27500416.0,4903
2025-4-1,14:40,56.100,56.200,56.100,56.200,17555328.0,3124
2025-4-1,14:45,56.200,56.300,56.100,56.100,40557056.0,7214
2025-4-1,14:50,56.100,56.300,56.100,56.250,20719872.0,3686
2025-4-1,14:55,56.250,56.300,56.200,56.250,24613632.0,4376
2025-4-1,15:00,56.250,56.500,56.250,56.500,28380928.0,5033
2025-4-1,15:05,56.500,56.500,56.350,56.500,26576128.0,4710
2025-4-1,15:10,56.500,56.800,56.450,56.800,66761728.0,11787
2025-4-1,15:15,56.800,56.800,56.600,56.750,40457984.0,7134
2025-4-1,15:20,56.750,56.800,56.600,56.650,26564096.0,4685
2025-4-1,15:25,56.650,56.750,56.550,56.600,34563584.0,6098
2025-4-1,15:30,56.550,56.600,56.350,56.600,52668928.0,9333
2025-4-1,15:35,56.600,56.600,56.250,56.250,33204992.0,5886
2025-4-1,15:40,56.250,56.450,56.200,56.250,41459456.0,7360
2025-4-1,15:45,56.200,56.250,56.000,56.050,51501056.0,9166
2025-4-1,15:50,56.050,56.150,56.000,56.100,53176064.0,9482
2025-4-1,15:55,56.050,56.200,56.000,56.100,70515968.0,12568
2025-4-1,16:00,56.100,56.200,56.050,56.150,118631680.0,21129
2025-4-2,09:35,56.150,57.400,55.700,57.350,151304640.0,26674
2025-4-2,09:40,57.350,57.500,56.900,56.900,127055232.0,22161
2025-4-2,09:45,56.950,57.400,56.850,57.300,89005280.0,15546
