日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,6.660,6.720,6.580,6.610,6500436.5,9790
2025-3-31,09:40,6.600,6.620,6.550,6.570,3419643.5,5200
2025-3-31,09:45,6.570,6.650,6.570,6.600,2774333.0,4190
2025-3-31,09:50,6.600,6.600,6.500,6.560,5472419.0,8360
2025-3-31,09:55,6.540,6.620,6.500,6.620,9533686.0,14570
2025-3-31,10:00,6.620,6.650,6.600,6.610,3879414.0,5870
2025-3-31,10:05,6.610,6.680,6.600,6.670,1199332.0,1810
2025-3-31,10:10,6.670,6.670,6.630,6.630,259162.0,390
2025-3-31,10:15,6.630,6.670,6.620,6.620,318390.0,480
2025-3-31,10:20,6.630,6.650,6.620,6.620,192366.0,290
2025-3-31,10:25,6.630,6.650,6.620,6.630,411258.0,620
2025-3-31,10:30,6.650,6.670,6.630,6.650,398952.0,600
2025-3-31,10:35,6.650,6.650,6.620,6.620,365036.0,550
2025-3-31,10:40,6.710,6.740,6.650,6.730,10124524.0,15120
2025-3-31,10:45,6.730,6.730,6.620,6.620,649248.0,970
2025-3-31,10:50,6.640,6.640,6.600,6.620,502712.0,760
2025-3-31,10:55,6.620,6.650,6.610,6.630,1186412.0,1790
2025-3-31,11:00,6.620,6.640,6.600,6.640,1601304.0,2420
2025-3-31,11:05,6.640,6.650,6.600,6.610,3215488.0,4870
2025-3-31,11:10,6.610,6.610,6.590,6.590,699676.0,1060
2025-3-31,11:15,6.590,6.630,6.590,6.630,1063904.0,1610
2025-3-31,11:20,6.630,6.670,6.630,6.660,472048.0,710
2025-3-31,11:25,6.750,6.750,6.630,6.630,4625616.0,6880
2025-3-31,11:30,6.630,6.630,6.620,6.620,139272.0,210
2025-3-31,11:35,6.620,6.620,6.620,6.620,152260.0,230
2025-3-31,11:40,6.620,6.640,6.620,6.630,205488.0,310
2025-3-31,11:45,6.630,6.670,6.630,6.630,3979420.0,6000
2025-3-31,11:50,6.640,6.650,6.610,6.610,464088.0,700
2025-3-31,11:55,6.610,6.620,6.600,6.600,429636.0,650
2025-3-31,12:00,6.600,6.620,6.590,6.620,937488.0,1420
2025-3-31,13:05,6.620,6.640,6.600,6.630,1787940.0,2700
2025-3-31,13:10,6.630,6.660,6.630,6.650,797704.0,1200
2025-3-31,13:15,6.680,6.680,6.650,6.670,907288.0,1360
2025-3-31,13:20,6.670,6.690,6.650,6.650,573208.0,860
2025-3-31,13:25,6.660,6.730,6.640,6.720,1887928.0,2820
2025-3-31,13:30,6.700,6.740,6.700,6.710,396800.0,590
2025-3-31,13:35,6.710,6.720,6.680,6.680,602568.0,900
2025-3-31,13:40,6.680,6.710,6.680,6.710,762512.0,1140
2025-3-31,13:45,6.730,6.740,6.700,6.700,907024.0,1350
2025-3-31,13:50,6.700,6.700,6.690,6.700,328144.0,490
2025-3-31,13:55,6.690,6.720,6.690,6.700,214400.0,320
2025-3-31,14:00,6.700,6.730,6.700,6.710,906336.0,1350
2025-3-31,14:05,6.710,6.730,6.700,6.720,773112.0,1150
2025-3-31,14:10,6.720,6.830,6.720,6.830,3723152.0,5477
2025-3-31,14:15,6.840,6.840,6.810,6.810,942240.0,1380
2025-3-31,14:20,6.830,6.860,6.810,6.860,1353744.0,1980
2025-3-31,14:25,6.860,6.880,6.820,6.870,1987808.0,2900
2025-3-31,14:30,6.880,6.930,6.860,6.880,4195544.0,6090
2025-3-31,14:35,6.880,6.880,6.800,6.800,1429160.0,2090
2025-3-31,14:40,6.800,6.830,6.790,6.800,777128.0,1140
2025-3-31,14:45,6.910,6.910,6.800,6.840,5723712.0,8330
2025-3-31,14:50,6.850,6.870,6.830,6.850,973464.0,1420
2025-3-31,14:55,6.870,6.890,6.840,6.880,3123936.0,4550
2025-3-31,15:00,6.880,6.890,6.850,6.850,1464816.0,2130
2025-3-31,15:05,6.850,6.860,6.840,6.860,596024.0,870
2025-3-31,15:10,6.860,6.860,6.830,6.830,663776.0,970
2025-3-31,15:15,6.830,6.880,6.830,6.880,459640.0,670
2025-3-31,15:20,6.870,6.930,6.870,6.870,2112048.0,3060
2025-3-31,15:25,6.870,6.890,6.850,6.860,1196024.0,1740
2025-3-31,15:30,6.850,6.870,6.850,6.860,267496.0,390
2025-3-31,15:35,6.860,6.870,6.850,6.850,473368.0,690
2025-3-31,15:40,6.850,6.880,6.850,6.870,1976232.0,2880
2025-3-31,15:45,6.860,6.860,6.860,6.860,603680.0,880
2025-3-31,15:50,6.860,6.870,6.850,6.860,788936.0,1150
2025-3-31,15:55,6.860,6.880,6.820,6.820,4160144.0,6070
2025-3-31,16:00,6.820,6.870,6.820,6.850,4813936.0,7030
2025-4-1,09:35,6.880,6.930,6.750,6.840,4513668.0,6590
2025-4-1,09:40,6.830,6.840,6.760,6.830,1726783.5,2540
2025-4-1,09:45,6.830,6.830,6.710,6.790,1875020.0,2770
2025-4-1,09:50,6.810,6.830,6.780,6.830,687246.5,1010
2025-4-1,09:55,6.830,6.830,6.770,6.800,468340.0,690
2025-4-1,10:00,6.770,6.810,6.760,6.810,1137470.0,1680
2025-4-1,10:05,6.810,6.820,6.790,6.820,278816.0,410
2025-4-1,10:10,6.820,6.820,6.780,6.780,61180.0,90
2025-4-1,10:15,6.780,6.800,6.780,6.800,237692.0,350
2025-4-1,10:20,6.820,6.830,6.720,6.720,7710120.0,11390
2025-4-1,10:25,6.770,6.840,6.770,6.840,6080460.0,8960
2025-4-1,10:30,6.840,6.930,6.840,6.860,10850960.0,15710
2025-4-1,10:35,6.890,6.890,6.830,6.870,219656.0,320
2025-4-1,10:40,6.870,6.890,6.870,6.890,818456.0,1190
2025-4-1,10:45,6.890,6.890,6.890,6.890,420288.0,610
2025-4-1,10:50,6.890,6.920,6.880,6.910,3799436.0,5510
2025-4-1,10:55,6.910,6.920,6.880,6.910,2035984.0,2950
2025-4-1,11:00,6.910,6.910,6.870,6.890,323760.0,470
2025-4-1,11:05,6.890,6.890,6.870,6.890,316508.0,460
2025-4-1,11:10,6.890,6.890,6.870,6.880,275092.0,400
