日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-4-8,09:35,8.600,8.600,8.600,8.600,28081580.0,3265300
2025-4-8,09:40,8.600,8.600,8.600,8.600,9833240.0,1143400
2025-4-8,09:45,8.600,8.600,8.600,8.600,5226220.0,607700
2025-4-8,09:50,8.600,8.600,8.600,8.600,1555740.0,180900
2025-4-8,09:55,8.600,8.600,8.600,8.600,1637440.0,190400
2025-4-8,10:00,8.600,8.600,8.600,8.600,962340.0,111900
2025-4-8,10:05,8.600,8.600,8.600,8.600,905580.0,105300
2025-4-8,10:10,8.600,8.600,8.600,8.600,685420.0,79700
2025-4-8,10:15,8.600,8.600,8.600,8.600,2088940.0,242900
2025-4-8,10:20,8.600,8.600,8.600,8.600,927080.0,107800
2025-4-8,10:25,8.600,8.600,8.600,8.600,716380.0,83300
2025-4-8,10:30,8.600,8.600,8.600,8.600,903000.0,105000
2025-4-8,10:35,8.600,8.600,8.600,8.600,1159280.0,134800
2025-4-8,10:40,8.600,8.600,8.600,8.600,995020.0,115700
2025-4-8,10:45,8.600,8.600,8.600,8.600,462680.0,53800
2025-4-8,10:50,8.600,8.600,8.600,8.600,378400.0,44000
2025-4-8,10:55,8.600,8.600,8.600,8.600,459240.0,53400
2025-4-8,11:00,8.600,8.600,8.600,8.600,397320.0,46200
2025-4-8,11:05,8.600,8.600,8.600,8.600,205540.0,23900
2025-4-8,11:10,8.600,8.600,8.600,8.600,359480.0,41800
2025-4-8,11:15,8.600,8.600,8.600,8.600,275200.0,32000
2025-4-8,11:20,8.600,8.600,8.600,8.600,981260.0,114100
2025-4-8,11:25,8.600,8.600,8.600,8.600,195220.0,22700
2025-4-8,11:30,8.600,8.600,8.600,8.600,1646040.0,191400
2025-4-8,13:05,8.600,8.600,8.600,8.600,852260.0,99100
2025-4-8,13:10,8.600,8.600,8.600,8.600,178880.0,20800
2025-4-8,13:15,8.600,8.600,8.600,8.600,294120.0,34200
2025-4-8,13:20,8.600,8.600,8.600,8.600,108360.0,12600
2025-4-8,13:25,8.600,8.600,8.600,8.600,202100.0,23500
2025-4-8,13:30,8.600,8.600,8.600,8.600,159960.0,18600
2025-4-8,13:35,8.600,8.600,8.600,8.600,128140.0,14900
2025-4-8,13:40,8.600,8.600,8.600,8.600,512560.0,59600
2025-4-8,13:45,8.600,8.600,8.600,8.600,78260.0,9100
2025-4-8,13:50,8.600,8.600,8.600,8.600,221880.0,25800
2025-4-8,13:55,8.600,8.600,8.600,8.600,232200.0,27000
2025-4-8,14:00,8.600,8.600,8.600,8.600,204680.0,23800
2025-4-8,14:05,8.600,8.600,8.600,8.600,184900.0,21500
2025-4-8,14:10,8.600,8.600,8.600,8.600,122120.0,14200
2025-4-8,14:15,8.600,8.600,8.600,8.600,199520.0,23200
2025-4-8,14:20,8.600,8.600,8.600,8.600,331100.0,38500
2025-4-8,14:25,8.600,8.600,8.600,8.600,141900.0,16500
2025-4-8,14:30,8.600,8.600,8.600,8.600,189200.0,22000
2025-4-8,14:35,8.600,8.600,8.600,8.600,458380.0,53300
2025-4-8,14:40,8.600,8.600,8.600,8.600,609740.0,70900
2025-4-8,14:45,8.600,8.600,8.600,8.600,430860.0,50100
2025-4-8,14:50,8.600,8.600,8.600,8.600,1014800.0,118000
2025-4-8,14:55,8.600,8.600,8.600,8.600,2626440.0,305400
2025-4-8,15:00,8.600,8.600,8.600,8.600,1779340.0,206900
2025-4-9,09:35,7.740,7.740,7.740,7.740,28851624.0,3727600
2025-4-9,09:40,7.740,7.740,7.740,7.740,1430352.0,184800
2025-4-9,09:45,7.740,7.740,7.740,7.740,1976796.0,255400
2025-4-9,09:50,7.740,7.740,7.740,7.740,1901718.0,245700
2025-4-9,09:55,7.740,7.740,7.740,7.740,1109142.0,143300
2025-4-9,10:00,7.740,8.400,7.740,8.360,217900736.0,28031000
2025-4-9,10:05,8.390,9.290,8.190,9.000,148251168.0,17107400
2025-4-9,10:10,9.020,9.110,8.720,8.860,87040160.0,9807700
2025-4-9,10:15,8.870,9.170,8.850,8.980,41201080.0,4582500
2025-4-9,10:20,8.960,9.070,8.940,8.970,27638272.0,3074100
2025-4-9,10:25,9.000,9.030,8.810,8.950,26885600.0,3008800
2025-4-9,10:30,8.950,8.980,8.910,8.970,15310785.0,1710100
2025-4-9,10:35,8.960,8.990,8.870,8.990,17481760.0,1956200
2025-4-9,10:40,8.980,9.090,8.980,9.090,15839459.0,1756500
2025-4-9,10:45,9.090,9.090,9.070,9.070,16028085.0,1764400
2025-4-9,10:50,9.070,9.070,9.030,9.040,8393637.0,927400
2025-4-9,10:55,9.050,9.050,9.020,9.040,5823261.0,644900
2025-4-9,11:00,9.050,9.080,9.030,9.080,4827784.0,533300
2025-4-9,11:05,9.080,9.180,9.080,9.170,14493867.0,1586200
2025-4-9,11:10,9.180,9.330,9.100,9.120,23687316.0,2559600
2025-4-9,11:15,9.120,9.200,9.110,9.200,6910378.0,755600
2025-4-9,11:20,9.180,9.270,9.180,9.240,6195379.0,671400
2025-4-9,11:25,9.240,9.240,9.180,9.200,4251416.0,462100
2025-4-9,11:30,9.200,9.230,9.190,9.220,4131602.0,448500
2025-4-9,13:05,9.220,9.280,9.060,9.070,14810533.0,1616700
2025-4-9,13:10,9.070,9.240,9.070,9.170,5548170.0,606800
2025-4-9,13:15,9.170,9.190,9.150,9.170,2986270.0,325800
2025-4-9,13:20,9.180,9.200,9.170,9.200,2864323.0,311600
2025-4-9,13:25,9.190,9.200,9.160,9.180,3543139.0,385900
2025-4-9,13:30,9.180,9.180,9.060,9.120,9696027.0,1065300
2025-4-9,13:35,9.120,9.150,9.080,9.100,3868038.0,424400
2025-4-9,13:40,9.090,9.150,9.090,9.150,3742840.0,410200
2025-4-9,13:45,9.150,9.160,9.140,9.140,3146455.0,343900
2025-4-9,13:50,9.140,9.150,9.080,9.080,4610399.0,506200
2025-4-9,13:55,9.070,9.130,9.070,9.120,4514282.0,496800
2025-4-9,14:00,9.110,9.120,9.080,9.080,7011593.0,771000
2025-4-9,14:05,9.080,9.110,9.070,9.100,5192847.0,570800
2025-4-9,14:10,9.100,9.110,9.090,9.100,3017611.0,331700
2025-4-9,14:15,9.110,9.110,9.100,9.100,2934953.0,322300
2025-4-9,14:20,9.110,9.110,9.090,9.100,4448765.0,488700
2025-4-9,14:25,9.100,9.240,9.090,9.240,9636896.0,1053400
2025-4-9,14:30,9.250,9.250,9.150,9.200,6125989.0,665400
2025-4-9,14:35,9.190,9.200,9.110,9.110,5847542.0,637400
2025-4-9,14:40,9.110,9.180,9.000,9.000,22087466.0,2438200
2025-4-9,14:45,9.000,9.000,8.820,9.000,27004504.0,3027000
2025-4-9,14:50,8.980,8.980,8.820,8.830,36852464.0,4162700
2025-4-9,14:55,8.820,8.990,8.810,8.920,13263335.0,1489100
2025-4-9,15:00,8.920,8.960,8.900,8.900,19989148.0,2239600
2025-4-10,09:35,8.990,9.220,8.870,9.150,244247056.0,27039900
2025-4-10,09:40,9.150,9.320,9.130,9.250,63175016.0,6827800
2025-4-10,09:45,9.260,9.360,9.110,9.340,45906108.0,4954900
2025-4-10,09:50,9.360,9.590,9.360,9.590,54434872.0,5747600
2025-4-10,09:55,9.590,9.770,9.570,9.630,73106392.0,7555200
2025-4-10,10:00,9.640,9.690,9.470,9.540,41743400.0,4364900
2025-4-10,10:05,9.540,9.670,9.520,9.660,26919396.0,2803000
2025-4-10,10:10,9.670,9.670,9.600,9.610,24748924.0,2570700
2025-4-10,10:15,9.620,9.650,9.610,9.620,18891196.0,1960800
2025-4-10,10:20,9.630,9.790,9.630,9.790,108767072.0,11145100
2025-4-10,10:25,9.790,9.790,9.790,9.790,12652792.0,1292500
2025-4-10,10:30,9.790,9.790,9.790,9.790,8187377.0,836300
2025-4-10,10:35,9.790,9.790,9.790,9.790,68598512.0,7007000
2025-4-10,10:40,9.790,9.790,9.780,9.790,50907156.0,5200900
2025-4-10,10:45,9.790,9.790,9.790,9.790,3776786.0,385700
2025-4-10,10:50,9.790,9.790,9.740,9.740,55825196.0,5706800
2025-4-10,10:55,9.730,9.770,9.620,9.700,47083784.0,4869500
2025-4-10,11:00,9.700,9.790,9.700,9.720,34251020.0,3507600
2025-4-10,11:05,9.720,9.730,9.650,9.680,14920829.0,1541500
2025-4-10,11:10,9.690,9.720,9.680,9.690,6264409.0,645900
2025-4-10,11:15,9.690,9.700,9.650,9.650,8401267.0,869100
2025-4-10,11:20,9.650,9.660,9.600,9.600,12849348.0,1333700
2025-4-10,11:25,9.600,9.670,9.600,9.620,11780708.0,1224800
2025-4-10,11:30,9.620,9.620,9.530,9.550,15400468.0,1611100
2025-4-10,13:05,9.550,9.580,9.510,9.520,8885852.0,931000
2025-4-10,13:10,9.510,9.540,9.500,9.530,14687349.0,1544100
2025-4-10,13:15,9.530,9.620,9.520,9.600,8157773.0,852100
2025-4-10,13:20,9.600,9.650,9.600,9.620,3909785.0,406100
2025-4-10,13:25,9.620,9.630,9.550,9.570,5105318.0,532400
2025-4-10,13:30,9.580,9.600,9.570,9.580,3821809.0,398700
2025-4-10,13:35,9.580,9.590,9.570,9.590,2821702.0,294600
2025-4-10,13:40,9.580,9.590,9.550,9.550,4593867.0,480400
2025-4-10,13:45,9.550,9.660,9.550,9.660,6452932.0,672300
2025-4-10,13:50,9.660,9.720,9.560,9.620,13734519.0,1421200
2025-4-10,13:55,9.610,9.670,9.610,9.660,3049319.0,316000
2025-4-10,14:00,9.660,9.730,9.660,9.690,8748818.0,901900
2025-4-10,14:05,9.690,9.700,9.680,9.690,3356104.0,346300
2025-4-10,14:10,9.690,9.700,9.690,9.690,3046368.0,314200
2025-4-10,14:15,9.700,9.790,9.690,9.780,29614896.0,3032600
2025-4-10,14:20,9.780,9.790,9.720,9.720,6373382.0,652800
2025-4-10,14:25,9.720,9.720,9.700,9.720,3700137.0,381100
2025-4-10,14:30,9.710,9.730,9.710,9.730,4036273.0,415300
2025-4-10,14:35,9.730,9.790,9.730,9.780,22140828.0,2264000
2025-4-10,14:40,9.790,9.790,9.730,9.730,6508046.0,666800
2025-4-10,14:45,9.730,9.730,9.700,9.700,8835191.0,910300
2025-4-10,14:50,9.720,9.720,9.700,9.710,8976440.0,924800
2025-4-10,14:55,9.710,9.790,9.700,9.790,25735920.0,2636700
2025-4-10,15:00,9.790,9.790,9.780,9.790,19491744.0,1991200
2025-4-11,09:35,9.500,9.550,9.260,9.490,92363656.0,9798200
2025-4-11,09:40,9.480,9.660,9.470,9.560,42116536.0,4404700
2025-4-11,09:45,9.560,9.570,9.390,9.410,32538350.0,3438900
2025-4-11,09:50,9.410,9.570,9.410,9.500,29399096.0,3106000
2025-4-11,09:55,9.510,9.530,9.460,9.530,13145898.0,1385700
2025-4-11,10:00,9.510,9.520,9.450,9.470,12378054.0,1306700
2025-4-11,10:05,9.470,9.470,9.380,9.380,26271476.0,2788600
2025-4-11,10:10,9.390,9.390,9.350,9.370,24931668.0,2660600
2025-4-11,10:15,9.360,9.370,9.320,9.330,26093852.0,2794600
2025-4-11,10:20,9.320,9.370,9.250,9.370,36569752.0,3934500
2025-4-11,10:25,9.370,9.420,9.370,9.400,9660251.0,1028900
2025-4-11,10:30,9.410,9.430,9.360,9.430,7738591.0,823200
2025-4-11,10:35,9.450,9.480,9.420,9.430,7052164.0,745600
2025-4-11,10:40,9.430,9.450,9.400,9.400,3887703.0,412100
2025-4-11,10:45,9.410,9.580,9.400,9.540,14719353.0,1544900
2025-4-11,10:50,9.540,9.540,9.480,9.480,6330928.0,666200
2025-4-11,10:55,9.480,9.480,9.440,9.460,3581405.0,378600
2025-4-11,11:00,9.460,9.470,9.430,9.450,3202203.0,338800
2025-4-11,11:05,9.460,9.490,9.450,9.490,2690937.0,284500
2025-4-11,11:10,9.490,9.500,9.480,9.480,3324562.0,350400
2025-4-11,11:15,9.480,9.510,9.480,9.510,3444854.0,362900
2025-4-11,11:20,9.510,9.520,9.500,9.500,3076416.0,323500
2025-4-11,11:25,9.500,9.510,9.500,9.500,2908311.0,306000
2025-4-11,11:30,9.500,9.580,9.500,9.580,7373504.0,773700
2025-4-11,13:05,9.570,9.590,9.500,9.510,9193950.0,964100
2025-4-11,13:10,9.510,9.580,9.510,9.540,8342489.0,872800
2025-4-11,13:15,9.540,9.550,9.510,9.520,4165289.0,437300
2025-4-11,13:20,9.510,9.530,9.500,9.520,4846914.0,509500
2025-4-11,13:25,9.530,9.540,9.460,9.480,10787092.0,1135100
2025-4-11,13:30,9.480,9.620,9.470,9.580,10952710.0,1145600
2025-4-11,13:35,9.590,9.750,9.580,9.690,27978802.0,2890400
2025-4-11,13:40,9.690,9.690,9.600,9.660,12178726.0,1261100
2025-4-11,13:45,9.660,9.790,9.640,9.790,20621192.0,2120800
2025-4-11,13:50,9.800,9.970,9.800,9.930,65819356.0,6660500
2025-4-11,13:55,9.930,9.950,9.810,9.950,23769868.0,2404500
2025-4-11,14:00,9.950,9.990,9.840,9.840,27120876.0,2730900
2025-4-11,14:05,9.840,9.890,9.820,9.870,9519916.0,965000
2025-4-11,14:10,9.870,9.880,9.830,9.840,7737894.0,785200
2025-4-11,14:15,9.840,9.850,9.780,9.780,11195892.0,1140200
2025-4-11,14:20,9.780,9.820,9.710,9.810,21542668.0,2202800
2025-4-11,14:25,9.810,9.820,9.710,9.720,10103246.0,1032500
2025-4-11,14:30,9.730,9.790,9.720,9.790,7775314.0,797200
2025-4-11,14:35,9.770,9.790,9.720,9.740,6901806.0,708600
2025-4-11,14:40,9.730,9.740,9.660,9.660,9879121.0,1016000
2025-4-11,14:45,9.660,9.680,9.590,9.680,11126525.0,1154100
2025-4-11,14:50,9.670,9.670,9.660,9.660,9790906.0,1013000
2025-4-11,14:55,9.670,9.670,9.590,9.610,21675866.0,2255100
2025-4-11,15:00,9.610,9.610,9.580,9.580,22711176.0,2367800
2025-4-14,09:35,9.730,10.080,9.730,10.050,127823888.0,12851100
2025-4-14,09:40,10.050,10.240,9.980,10.180,71916584.0,7123300
2025-4-14,09:45,10.160,10.220,10.100,10.100,47815672.0,4709500
2025-4-14,09:50,10.100,10.470,10.080,10.470,79088112.0,7699200
2025-4-14,09:55,10.440,10.500,10.240,10.250,42632028.0,4097200
2025-4-14,10:00,10.240,10.300,10.190,10.210,24066624.0,2350100
2025-4-14,10:05,10.240,10.400,10.220,10.390,30772096.0,2975200
2025-4-14,10:10,10.380,10.440,10.360,10.400,22103556.0,2126300
2025-4-14,10:15,10.400,10.470,10.360,10.440,29089308.0,2793400
2025-4-14,10:20,10.460,10.460,10.410,10.410,23317384.0,2231900
2025-4-14,10:25,10.400,10.430,10.360,10.390,12719966.0,1224100
2025-4-14,10:30,10.390,10.400,10.310,10.330,10321706.0,997900
2025-4-14,10:35,10.330,10.400,10.330,10.380,14462289.0,1394600
2025-4-14,10:40,10.380,10.400,10.370,10.390,12646991.0,1217500
2025-4-14,10:45,10.390,10.540,10.380,10.500,173915392.0,16536700
2025-4-14,10:50,10.500,10.500,10.450,10.500,18062032.0,1723100
2025-4-14,10:55,10.490,10.540,10.480,10.520,81119088.0,7699800
2025-4-14,11:00,10.520,10.540,10.500,10.510,24848532.0,2359500
2025-4-14,11:05,10.510,10.510,10.480,10.500,7930067.0,755600
2025-4-14,11:10,10.500,10.520,10.490,10.510,7963888.0,758100
2025-4-14,11:15,10.500,10.510,10.460,10.500,10877355.0,1037500
2025-4-14,11:20,10.500,10.500,10.470,10.490,5034440.0,480100
2025-4-14,11:25,10.490,10.530,10.490,10.490,6325183.0,602000
2025-4-14,11:30,10.490,10.530,10.490,10.490,7961904.0,757300
2025-4-14,13:05,10.490,10.520,10.480,10.480,14729079.0,1404500
2025-4-14,13:10,10.480,10.480,10.440,10.450,9821948.0,939500
2025-4-14,13:15,10.450,10.470,10.450,10.470,4844924.0,463300
2025-4-14,13:20,10.470,10.520,10.470,10.500,9564956.0,911900
2025-4-14,13:25,10.500,10.530,10.500,10.520,10534651.0,1000700
2025-4-14,13:30,10.530,10.540,10.510,10.510,8522848.0,809800
2025-4-14,13:35,10.520,10.520,10.510,10.520,4467763.0,425000
2025-4-14,13:40,10.520,10.540,10.510,10.540,19685688.0,1869200
2025-4-14,13:45,10.530,10.540,10.520,10.520,12422540.0,1179600
2025-4-14,13:50,10.530,10.530,10.520,10.530,5915960.0,562100
2025-4-14,13:55,10.530,10.530,10.510,10.510,3943248.0,374800
2025-4-14,14:00,10.520,10.540,10.510,10.540,30364028.0,2881700
2025-4-14,14:05,10.540,10.540,10.540,10.540,1628430.0,154500
2025-4-14,14:10,10.540,10.540,10.540,10.540,1122510.0,106500
2025-4-14,14:15,10.540,10.540,10.540,10.540,2508520.0,238000
2025-4-14,14:20,10.540,10.540,10.540,10.540,841408.0,79800
2025-4-14,14:25,10.540,10.540,10.540,10.540,7558234.0,717100
2025-4-14,14:30,10.540,10.540,10.520,10.520,16442538.0,1560400
2025-4-14,14:35,10.530,10.540,10.530,10.540,11649628.0,1105700
2025-4-14,14:40,10.540,10.540,10.530,10.540,6832316.0,648300
2025-4-14,14:45,10.540,10.540,10.530,10.540,11114927.0,1054600
2025-4-14,14:50,10.540,10.540,10.530,10.540,4220171.0,400400
2025-4-14,14:55,10.540,10.540,10.540,10.540,1088782.0,103300
2025-4-14,15:00,10.540,10.540,10.540,10.540,1120402.0,106300
2025-4-15,09:35,10.560,10.790,10.380,10.380,140139776.0,13259400
2025-4-15,09:40,10.380,10.430,10.290,10.300,71842784.0,6943800
2025-4-15,09:45,10.320,10.340,10.240,10.270,32546100.0,3164100
2025-4-15,09:50,10.260,10.370,10.100,10.340,50243096.0,4918100
2025-4-15,09:55,10.340,10.370,10.200,10.210,23910814.0,2324700
2025-4-15,10:00,10.210,10.230,10.130,10.170,25354104.0,2493900
2025-4-15,10:05,10.170,10.170,10.120,10.130,18850334.0,1859900
2025-4-15,10:10,10.130,10.260,10.120,10.260,17703628.0,1739800
2025-4-15,10:15,10.260,10.440,10.220,10.350,28999364.0,2805600
2025-4-15,10:20,10.360,10.370,10.200,10.200,12582998.0,1221500
2025-4-15,10:25,10.200,10.240,10.160,10.170,16196803.0,1587600
2025-4-15,10:30,10.170,10.210,10.170,10.190,10289422.0,1010700
2025-4-15,10:35,10.190,10.230,10.160,10.190,11566174.0,1134600
2025-4-15,10:40,10.200,10.270,10.170,10.170,11525567.0,1130500
2025-4-15,10:45,10.160,10.180,10.140,10.150,13255609.0,1305300
2025-4-15,10:50,10.140,10.170,10.140,10.150,4662873.0,459300
2025-4-15,10:55,10.150,10.160,10.140,10.160,5326008.0,525000
2025-4-15,11:00,10.150,10.220,10.150,10.180,7894514.0,775200
2025-4-15,11:05,10.170,10.330,10.160,10.310,9521772.0,927800
2025-4-15,11:10,10.320,10.320,10.150,10.190,8235920.0,804400
2025-4-15,11:15,10.200,10.200,10.150,10.170,5156354.0,507200
2025-4-15,11:20,10.170,10.180,10.150,10.160,4842279.0,476500
2025-4-15,11:25,10.150,10.160,10.120,10.130,10282829.0,1014700
2025-4-15,11:30,10.130,10.180,10.110,10.170,5905633.0,583300
2025-4-15,13:05,10.170,10.170,10.100,10.120,10507751.0,1038400
2025-4-15,13:10,10.110,10.120,10.020,10.030,21975632.0,2180000
2025-4-15,13:15,10.030,10.120,10.030,10.090,11646495.0,1156000
2025-4-15,13:20,10.090,10.100,10.050,10.080,5555514.0,551300
2025-4-15,13:25,10.080,10.080,10.040,10.040,5858384.0,582400
2025-4-15,13:30,10.050,10.060,10.040,10.060,6549402.0,651800
2025-4-15,13:35,10.050,10.090,10.040,10.050,7258200.0,721100
2025-4-15,13:40,10.040,10.200,10.040,10.200,6885490.0,680800
2025-4-15,13:45,10.170,10.280,10.150,10.280,17889176.0,1750100
2025-4-15,13:50,10.290,10.420,10.290,10.350,28574558.0,2758200
2025-4-15,13:55,10.350,10.440,10.200,10.230,12284108.0,1187200
2025-4-15,14:00,10.230,10.230,10.180,10.190,5421476.0,531400
2025-4-15,14:05,10.190,10.220,10.150,10.150,4983345.0,489200
2025-4-15,14:10,10.150,10.300,10.140,10.220,5292170.0,518500
2025-4-15,14:15,10.220,10.300,10.200,10.290,8335455.0,812900
2025-4-15,14:20,10.280,10.280,10.220,10.250,3285002.0,320500
2025-4-15,14:25,10.240,10.390,10.220,10.370,7355005.0,713800
2025-4-15,14:30,10.300,10.350,10.240,10.240,9585268.0,930100
2025-4-15,14:35,10.250,10.340,10.250,10.270,5535572.0,537900
2025-4-15,14:40,10.270,10.300,10.250,10.270,7384745.0,718900
2025-4-15,14:45,10.280,10.280,10.240,10.260,8402944.0,818600
2025-4-15,14:50,10.270,10.340,10.260,10.340,13958391.0,1354800
2025-4-15,14:55,10.340,10.400,10.340,10.360,24510788.0,2366000
2025-4-15,15:00,10.340,10.340,10.310,10.320,24583962.0,2382100
2025-4-16,09:35,10.000,10.100,9.790,9.800,92318224.0,9297500
2025-4-16,09:40,9.810,9.810,9.720,9.780,56111712.0,5737700
2025-4-16,09:45,9.770,9.790,9.600,9.740,49677356.0,5123100
2025-4-16,09:50,9.730,9.830,9.710,9.830,21519034.0,2205500
2025-4-16,09:55,9.800,9.880,9.720,9.740,21057392.0,2145900
2025-4-16,10:00,9.740,9.740,9.630,9.640,22369294.0,2311600
2025-4-16,10:05,9.640,9.690,9.500,9.520,47567884.0,4963100
2025-4-16,10:10,9.520,9.560,9.480,9.490,41506872.0,4365400
2025-4-16,10:15,9.500,9.560,9.500,9.540,16778874.0,1762300
2025-4-16,10:20,9.540,9.540,9.450,9.460,22283288.0,2346600
2025-4-16,10:25,9.460,9.550,9.390,9.550,26490756.0,2803800
2025-4-16,10:30,9.530,9.570,9.500,9.520,5828279.0,611500
2025-4-16,10:35,9.520,9.570,9.510,9.530,8060123.0,844600
2025-4-16,10:40,9.530,9.560,9.500,9.500,8567286.0,900300
2025-4-16,10:45,9.490,9.490,9.400,9.410,17600024.0,1865400
2025-4-16,10:50,9.420,9.460,9.410,9.460,7834376.0,830500
2025-4-16,10:55,9.440,9.460,9.420,9.430,6370205.0,675300
2025-4-16,11:00,9.430,9.430,9.290,9.330,70455312.0,7561800
2025-4-16,11:05,9.330,9.330,9.300,9.300,21847528.0,2346900
2025-4-16,11:10,9.320,9.350,9.290,9.350,14588497.0,1568100
2025-4-16,11:15,9.320,9.390,9.320,9.360,9470360.0,1011000
2025-4-16,11:20,9.370,9.390,9.290,9.310,15700354.0,1685600
2025-4-16,11:25,9.300,9.340,9.290,9.290,8809471.0,946400
2025-4-16,11:30,9.300,9.310,9.290,9.290,32404332.0,3487000
2025-4-16,13:05,9.290,9.290,9.290,9.290,11968307.0,1288300
2025-4-16,13:10,9.290,9.290,9.290,9.290,12795117.0,1377300
2025-4-16,13:15,9.290,9.300,9.290,9.300,29272064.0,3149700
2025-4-16,13:20,9.300,9.330,9.290,9.310,22696740.0,2439200
2025-4-16,13:25,9.320,9.320,9.290,9.290,17920274.0,1928700
