日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,51.070,51.150,50.010,50.080,153082128.0,3033900
2025-6-30,09:40,50.020,50.160,49.800,49.960,94447704.0,1889900
2025-6-30,09:45,49.980,50.500,49.830,50.280,75654552.0,1507700
2025-6-30,09:50,50.330,50.380,50.010,50.080,60691308.0,1209500
2025-6-30,09:55,50.080,50.280,50.010,50.280,34977320.0,697100
2025-6-30,10:00,50.300,50.650,50.240,50.590,55057480.0,1092000
2025-6-30,10:05,50.580,50.630,50.310,50.410,44725760.0,886600
2025-6-30,10:10,50.380,50.850,50.350,50.790,48274488.0,953600
2025-6-30,10:15,50.780,50.860,50.560,50.740,43456452.0,856300
2025-6-30,10:20,50.750,50.920,50.620,50.660,36605584.0,721200
2025-6-30,10:25,50.610,50.650,50.430,50.580,20553404.0,406700
2025-6-30,10:30,50.570,50.790,50.530,50.570,18843960.0,372100
2025-6-30,10:35,50.570,50.700,50.500,50.590,20130268.0,398000
2025-6-30,10:40,50.580,50.600,50.410,50.460,23280460.0,461000
2025-6-30,10:45,50.480,50.750,50.450,50.750,13415494.0,265200
2025-6-30,10:50,50.750,50.770,50.530,50.530,13001348.0,256800
2025-6-30,10:55,50.530,50.600,50.330,50.330,21042868.0,417100
2025-6-30,11:00,50.330,50.390,50.310,50.320,15567247.0,309200
2025-6-30,11:05,50.290,50.300,50.200,50.300,26183840.0,520900
2025-6-30,11:10,50.300,50.370,50.220,50.270,10497384.0,208800
2025-6-30,11:15,50.270,50.310,50.240,50.250,7817394.5,155500
2025-6-30,11:20,50.260,50.280,50.140,50.190,12162271.0,242200
2025-6-30,11:25,50.170,50.350,50.170,50.340,5920180.0,117700
2025-6-30,11:30,50.340,50.410,50.290,50.340,9314567.0,185000
2025-6-30,13:05,50.430,50.510,50.250,50.300,15403569.0,305900
2025-6-30,13:10,50.300,50.420,50.270,50.360,11537408.0,229200
2025-6-30,13:15,50.350,50.510,50.350,50.360,12666572.0,251100
2025-6-30,13:20,50.360,50.360,50.200,50.310,24671692.0,490800
2025-6-30,13:25,50.310,50.330,50.250,50.290,9867963.0,196200
2025-6-30,13:30,50.270,50.330,50.250,50.300,11713312.0,232900
2025-6-30,13:35,50.290,50.300,50.200,50.240,20687862.0,411800
2025-6-30,13:40,50.230,50.360,50.210,50.240,14962043.0,297600
2025-6-30,13:45,50.210,50.210,50.040,50.050,29833500.0,595100
2025-6-30,13:50,50.050,50.070,49.940,49.950,44272964.0,885600
2025-6-30,13:55,49.960,50.090,49.860,50.090,31227516.0,625500
2025-6-30,14:00,50.080,50.150,50.050,50.050,9012490.0,179900
2025-6-30,14:05,50.050,50.180,50.050,50.140,13281779.0,265000
2025-6-30,14:10,50.130,50.140,50.020,50.020,12813421.0,256000
2025-6-30,14:15,50.030,50.050,50.000,50.000,19666740.0,393200
2025-6-30,14:20,50.000,50.030,49.950,49.960,18121520.0,362500
2025-6-30,14:25,49.960,49.990,49.950,49.990,13331867.0,266800
2025-6-30,14:30,49.980,50.120,49.960,50.090,21928716.0,438300
2025-6-30,14:35,50.080,50.130,50.030,50.060,14644189.0,292400
2025-6-30,14:40,50.030,50.100,50.010,50.100,15598372.0,311700
2025-6-30,14:45,50.090,50.100,50.010,50.020,29084270.0,581100
2025-6-30,14:50,50.010,50.030,49.980,50.010,35914248.0,718300
2025-6-30,14:55,50.010,50.050,49.990,50.050,34184784.0,683300
2025-6-30,15:00,50.050,50.140,50.050,50.140,42785984.0,853800
2025-7-1,09:35,50.000,50.220,49.750,49.780,72177416.0,1446500
2025-7-1,09:40,49.790,49.800,49.510,49.510,54607000.0,1099400
2025-7-1,09:45,49.490,49.730,49.330,49.720,45553756.0,920700
2025-7-1,09:50,49.720,49.750,49.500,49.500,26156916.0,526900
2025-7-1,09:55,49.490,49.760,49.480,49.670,24888400.0,501600
2025-7-1,10:00,49.660,49.670,49.460,49.500,22888166.0,461700
2025-7-1,10:05,49.510,49.510,49.350,49.370,36768296.0,744200
2025-7-1,10:10,49.310,49.310,49.150,49.170,53570708.0,1087900
2025-7-1,10:15,49.160,49.410,49.160,49.200,25875228.0,525200
2025-7-1,10:20,49.200,49.250,49.100,49.240,26421268.0,537700
2025-7-1,10:25,49.240,49.390,49.160,49.330,23702520.0,481000
2025-7-1,10:30,49.330,49.460,49.280,49.330,16648283.0,337300
2025-7-1,10:35,49.330,49.420,49.260,49.260,12537426.0,254100
2025-7-1,10:40,49.270,49.290,49.180,49.180,9615343.0,195300
2025-7-1,10:45,49.190,49.200,49.080,49.090,21931632.0,446300
