日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,47.350,47.500,47.100,47.380,2855117.0,60400
2024-1-2,09:40,47.340,47.370,47.170,47.280,2832108.0,59900
2024-1-2,09:45,47.290,47.380,46.920,46.980,5512581.0,117100
2024-1-2,09:50,46.970,47.000,46.620,46.680,4975670.0,106200
2024-1-2,09:55,46.680,46.800,46.500,46.800,2852694.0,61200
2024-1-2,10:00,46.720,46.850,46.620,46.780,1919300.0,41100
2024-1-2,10:05,46.780,46.810,46.660,46.660,1891866.0,40500
2024-1-2,10:10,46.670,46.710,46.610,46.660,1986741.0,42600
2024-1-2,10:15,46.610,46.660,46.570,46.580,2101768.0,45100
2024-1-2,10:20,46.610,46.690,46.580,46.650,1277259.0,27400
2024-1-2,10:25,46.650,46.650,46.230,46.300,3483024.0,75000
2024-1-2,10:30,46.300,46.360,46.300,46.360,801390.0,17300
2024-1-2,10:35,46.340,46.420,46.200,46.350,2753414.0,59500
2024-1-2,10:40,46.420,46.710,46.400,46.550,2628518.0,56500
2024-1-2,10:45,46.530,46.610,46.500,46.500,1525858.0,32800
2024-1-2,10:50,46.500,46.550,46.180,46.200,4372250.0,94200
2024-1-2,10:55,46.190,46.370,46.190,46.280,1133371.0,24500
2024-1-2,11:00,46.270,46.370,46.230,46.270,1346638.0,29100
2024-1-2,11:05,46.310,46.360,46.220,46.300,1994537.0,43100
2024-1-2,11:10,46.300,46.490,46.300,46.370,1316338.0,28400
2024-1-2,11:15,46.360,46.430,46.360,46.430,529013.0,11400
2024-1-2,11:20,46.430,46.480,46.420,46.450,459818.0,9900
2024-1-2,11:25,46.470,46.470,46.360,46.410,1016441.0,21900
2024-1-2,11:30,46.410,46.440,46.330,46.330,361905.0,7800
2024-1-2,13:05,46.400,46.400,46.030,46.140,3182073.0,68900
2024-1-2,13:10,46.150,46.310,46.150,46.230,679135.0,14700
2024-1-2,13:15,46.200,46.270,46.110,46.160,2784939.0,60300
2024-1-2,13:20,46.200,46.350,46.100,46.230,2890541.75,62600
2024-1-2,13:25,46.230,46.400,46.200,46.390,1760014.0,38000
2024-1-2,13:30,46.390,46.670,46.390,46.670,2321571.0,49900
2024-1-2,13:35,46.670,46.740,46.600,46.740,2008009.0,43000
2024-1-2,13:40,46.730,46.890,46.730,46.890,2247469.0,48000
2024-1-2,13:45,46.850,46.990,46.850,46.970,1944172.0,41400
2024-1-2,13:50,46.980,47.070,46.870,46.910,1912915.0,40700
2024-1-2,13:55,46.900,46.940,46.770,46.830,520035.625,11100
2024-1-2,14:00,46.860,46.870,46.770,46.850,252838.0,5400
2024-1-2,14:05,46.800,46.850,46.720,46.750,584202.375,12500
2024-1-2,14:10,46.720,46.750,46.710,46.740,308403.0,6600
2024-1-2,14:15,46.730,46.800,46.700,46.720,757054.0,16200
2024-1-2,14:20,46.700,46.700,46.610,46.620,1142938.0,24500
2024-1-2,14:25,46.630,46.650,46.590,46.600,708579.0,15200
2024-1-2,14:30,46.610,46.640,46.580,46.640,479972.0,10300
2024-1-2,14:35,46.600,46.640,46.580,46.590,503494.46875,10800
2024-1-2,14:40,46.600,46.620,46.550,46.560,1825192.5,39200
2024-1-2,14:45,46.570,46.590,46.540,46.590,744910.9375,16000
2024-1-2,14:50,46.590,46.600,46.540,46.540,866040.0,18600
2024-1-2,14:55,46.560,46.600,46.440,46.450,1921705.0,41300
2024-1-2,15:00,46.400,46.490,46.370,46.400,1262549.0,27200
2024-1-3,09:35,46.350,47.040,46.300,46.980,3369850.0,72000
2024-1-3,09:40,46.980,47.030,46.610,46.620,3536394.0,75400
2024-1-3,09:45,46.540,46.550,46.300,46.300,2069912.0,44600
2024-1-3,09:50,46.300,46.310,46.190,46.240,4521413.0,97800
2024-1-3,09:55,46.220,46.220,45.680,45.680,10104025.0,219900
2024-1-3,10:00,45.670,45.700,45.470,45.600,7070048.0,155100
2024-1-3,10:05,45.650,45.690,45.520,45.550,3776414.0,82800
2024-1-3,10:10,45.560,45.680,45.420,45.460,5874748.0,128900
2024-1-3,10:15,45.470,45.600,45.420,45.430,6607380.0,145300
2024-1-3,10:20,45.430,45.430,45.200,45.200,4922543.0,108700
2024-1-3,10:25,45.210,45.310,45.210,45.250,2892837.0,63900
2024-1-3,10:30,45.250,45.400,45.220,45.390,4824659.0,106500
2024-1-3,10:35,45.400,45.490,45.250,45.250,3327536.0,73400
2024-1-3,10:40,45.240,45.370,45.230,45.280,1856554.0,41000
2024-1-3,10:45,45.280,45.340,45.220,45.220,2032635.0,44900
2024-1-3,10:50,45.210,45.370,45.210,45.300,2373307.0,52400
2024-1-3,10:55,45.300,45.300,45.170,45.230,2463964.0,54500
2024-1-3,11:00,45.240,45.240,45.010,45.070,2430817.0,53900
2024-1-3,11:05,45.050,45.060,44.940,44.940,4239473.0,94200
2024-1-3,11:10,44.970,45.000,44.890,44.950,2471754.0,55000
2024-1-3,11:15,44.950,45.000,44.900,44.960,5616302.0,125000
2024-1-3,11:20,44.980,45.150,44.960,45.140,2472397.0,54900
2024-1-3,11:25,45.110,45.120,45.000,45.050,2586645.0,57400
2024-1-3,11:30,45.070,45.150,45.040,45.120,2694487.25,59700
2024-1-3,13:05,45.120,45.280,45.000,45.000,2495737.0,55300
2024-1-3,13:10,44.990,44.990,44.700,44.970,7543134.0,168200
2024-1-3,13:15,45.000,45.180,44.950,45.080,2351241.0,52200
2024-1-3,13:20,45.070,45.280,44.990,45.200,2739587.0,60700
2024-1-3,13:25,45.200,45.280,45.060,45.060,1961041.0,43400
2024-1-3,13:30,45.040,45.070,44.980,44.980,1958513.0,43500
2024-1-3,13:35,44.980,45.160,44.970,45.150,2958954.0,65700
2024-1-3,13:40,45.160,45.190,45.000,45.050,1819311.0,40300
2024-1-3,13:45,45.050,45.070,44.990,45.070,1593843.0,35400
