日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,12.410,12.550,12.390,12.410,95906144.0,7699800
2024-1-2,09:40,12.400,12.500,12.400,12.490,49959488.0,4008100
2024-1-2,09:45,12.490,12.520,12.460,12.510,31469588.0,2519200
2024-1-2,09:50,12.520,12.630,12.500,12.620,83180136.0,6623800
2024-1-2,09:55,12.610,12.660,12.590,12.630,114931296.0,9104000
2024-1-2,10:00,12.630,12.640,12.510,12.510,86018592.0,6820700
2024-1-2,10:05,12.520,12.540,12.480,12.500,53206572.0,4251700
2024-1-2,10:10,12.500,12.520,12.480,12.500,36466768.0,2918400
2024-1-2,10:15,12.490,12.530,12.490,12.510,22742636.0,1818000
2024-1-2,10:20,12.500,12.510,12.480,12.480,22213068.0,1778800
2024-1-2,10:25,12.480,12.490,12.440,12.460,29991164.0,2406000
2024-1-2,10:30,12.450,12.470,12.430,12.460,34691720.0,2787200
2024-1-2,10:35,12.450,12.490,12.440,12.450,17518252.0,1406000
2024-1-2,10:40,12.450,12.470,12.430,12.430,24646480.0,1979500
2024-1-2,10:45,12.430,12.440,12.410,12.430,19671272.0,1583200
2024-1-2,10:50,12.430,12.430,12.400,12.410,19578348.0,1576900
2024-1-2,10:55,12.410,12.420,12.390,12.410,31319570.0,2524900
2024-1-2,11:00,12.410,12.430,12.390,12.430,22831528.0,1840900
2024-1-2,11:05,12.420,12.440,12.420,12.430,21053504.0,1694200
2024-1-2,11:10,12.430,12.440,12.400,12.420,20416160.0,1644100
2024-1-2,11:15,12.420,12.440,12.410,12.440,12997515.0,1045700
2024-1-2,11:20,12.440,12.480,12.440,12.460,17097360.0,1372300
2024-1-2,11:25,12.470,12.470,12.440,12.450,18990476.0,1524200
2024-1-2,11:30,12.450,12.480,12.450,12.480,11536061.0,925200
2024-1-2,13:05,12.470,12.560,12.470,12.550,47785128.0,3816200
2024-1-2,13:10,12.560,12.570,12.540,12.570,20156824.0,1605400
2024-1-2,13:15,12.570,12.600,12.560,12.590,34248504.0,2721800
2024-1-2,13:20,12.590,12.590,12.560,12.570,30927826.0,2458000
2024-1-2,13:25,12.570,12.570,12.540,12.540,14355842.0,1143200
2024-1-2,13:30,12.540,12.570,12.530,12.560,19158682.0,1526700
2024-1-2,13:35,12.560,12.560,12.530,12.530,16833366.0,1341900
