日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-4-1,09:35,17.020,17.070,16.630,16.710,28912176.0,1713200
2024-4-1,09:40,16.700,16.780,16.610,16.680,15936502.0,955000
2024-4-1,09:45,16.680,16.730,16.600,16.690,15555494.0,933000
2024-4-1,09:50,16.700,16.740,16.660,16.720,7453617.0,446300
2024-4-1,09:55,16.720,16.880,16.700,16.800,11586453.0,689200
2024-4-1,10:00,16.800,16.900,16.790,16.810,7949327.0,471900
2024-4-1,10:05,16.810,16.810,16.660,16.710,4984648.0,298400
2024-4-1,10:10,16.710,16.730,16.680,16.710,3133319.0,187600
2024-4-1,10:15,16.710,16.710,16.670,16.670,4385275.0,262700
2024-4-1,10:20,16.670,16.800,16.670,16.780,6136644.0,366800
2024-4-1,10:25,16.780,16.840,16.780,16.840,4004045.0,238200
2024-4-1,10:30,16.840,16.880,16.800,16.830,5360770.0,318200
2024-4-1,10:35,16.820,16.870,16.780,16.800,7967955.0,473800
2024-4-1,10:40,16.800,17.000,16.800,16.950,13733008.0,811000
2024-4-1,10:45,16.940,16.960,16.840,16.850,8979183.0,531300
2024-4-1,10:50,16.890,16.920,16.830,16.890,5883681.0,348700
2024-4-1,10:55,16.890,16.910,16.810,16.810,11546586.0,684000
2024-4-1,11:00,16.800,16.970,16.800,16.870,8255619.0,488700
2024-4-1,11:05,16.860,17.000,16.860,16.960,4984971.0,293900
2024-4-1,11:10,16.970,17.000,16.920,16.980,2997371.0,176600
2024-4-1,11:15,16.960,17.080,16.960,17.080,7345227.0,431300
2024-4-1,11:20,17.080,17.090,17.020,17.050,8004380.0,469300
2024-4-1,11:25,17.050,17.060,16.940,16.950,6477635.0,380600
2024-4-1,11:30,16.950,16.950,16.850,16.880,2700072.0,159900
2024-4-1,13:05,16.900,16.920,16.860,16.920,4498204.0,266200
2024-4-1,13:10,16.910,16.920,16.800,16.850,3493396.0,207200
2024-4-1,13:15,16.850,16.880,16.780,16.810,4167492.0,247600
2024-4-1,13:20,16.800,16.810,16.760,16.760,3115158.0,185500
2024-4-1,13:25,16.800,16.840,16.760,16.800,3065849.0,182600
2024-4-1,13:30,16.780,16.810,16.750,16.790,2152594.0,128400
2024-4-1,13:35,16.760,16.780,16.710,16.750,4292928.0,256500
2024-4-1,13:40,16.730,16.760,16.720,16.750,4789709.0,286200
2024-4-1,13:45,16.740,16.760,16.720,16.740,3503330.0,209300
2024-4-1,13:50,16.740,16.790,16.730,16.730,2032264.0,121300
2024-4-1,13:55,16.730,16.740,16.720,16.730,3142545.0,187900
2024-4-1,14:00,16.720,16.730,16.700,16.710,3659996.0,219000
2024-4-1,14:05,16.710,16.750,16.710,16.710,2653840.0,158700
2024-4-1,14:10,16.710,16.720,16.700,16.710,2733595.0,163600
2024-4-1,14:15,16.710,16.710,16.680,16.700,4252198.0,254700
2024-4-1,14:20,16.680,16.700,16.650,16.670,6623866.0,397500
2024-4-1,14:25,16.660,16.680,16.660,16.660,6653042.0,399200
2024-4-1,14:30,16.660,16.680,16.620,16.660,6255019.0,375800
2024-4-1,14:35,16.660,16.720,16.660,16.710,2681269.0,160700
2024-4-1,14:40,16.700,16.730,16.680,16.700,3077542.0,184300
2024-4-1,14:45,16.700,16.710,16.690,16.690,2584528.0,154800
2024-4-1,14:50,16.690,16.700,16.670,16.670,4134477.0,247800
2024-4-1,14:55,16.670,16.750,16.670,16.730,5633945.0,337100
2024-4-1,15:00,16.730,16.740,16.720,16.730,4525865.0,270500
2024-4-2,09:35,16.640,16.910,16.620,16.840,21169704.0,1261500
2024-4-2,09:40,16.850,17.040,16.850,16.960,19890844.0,1174200
2024-4-2,09:45,16.960,17.100,16.960,17.090,21215704.0,1244800
2024-4-2,09:50,17.080,17.320,17.000,17.070,35104128.0,2051400
2024-4-2,09:55,17.050,17.240,17.040,17.070,18695116.0,1090300
2024-4-2,10:00,17.070,17.300,17.000,17.280,24244576.0,1408300
2024-4-2,10:05,17.310,17.310,16.970,16.970,25067392.0,1457500
2024-4-2,10:10,17.000,17.050,16.890,16.950,15925207.0,937400
2024-4-2,10:15,16.950,17.010,16.910,16.960,9584588.0,565100
2024-4-2,10:20,16.960,17.070,16.960,16.970,7292156.0,429000
2024-4-2,10:25,16.950,17.010,16.940,16.980,6348962.0,373900
2024-4-2,10:30,16.990,17.010,16.770,16.780,12540506.0,741500
2024-4-2,10:35,16.790,16.870,16.760,16.830,12813910.0,762500
2024-4-2,10:40,16.830,16.840,16.760,16.830,5818921.0,346500
