日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-4-1,09:35,27.600,28.370,27.600,28.040,28489804.0,1014400
2024-4-1,09:40,28.000,28.050,27.760,27.990,15640037.0,560700
2024-4-1,09:45,27.990,28.000,27.620,27.650,6593466.0,237300
2024-4-1,09:50,27.610,27.830,27.610,27.710,8284725.0,299200
2024-4-1,09:55,27.710,27.940,27.700,27.900,6906100.0,248400
2024-4-1,10:00,27.910,28.150,27.820,28.120,5319167.0,190000
2024-4-1,10:05,28.170,28.500,28.170,28.250,18851156.0,665100
2024-4-1,10:10,28.320,28.450,28.180,28.190,10076153.0,355700
2024-4-1,10:15,28.190,28.330,28.130,28.330,4054245.0,143700
2024-4-1,10:20,28.340,28.420,28.230,28.320,3424418.0,120800
2024-4-1,10:25,28.320,28.460,28.310,28.460,6021121.0,212100
2024-4-1,10:30,28.470,28.560,28.470,28.520,7124256.0,249800
2024-4-1,10:35,28.510,28.550,28.390,28.530,6396274.0,224400
2024-4-1,10:40,28.540,28.550,28.400,28.440,5073632.0,178100
2024-4-1,10:45,28.430,28.450,28.300,28.300,2801178.0,98700
2024-4-1,10:50,28.300,28.410,28.290,28.390,2216455.0,78200
2024-4-1,10:55,28.380,28.440,28.370,28.440,1744425.0,61400
2024-4-1,11:00,28.460,28.520,28.400,28.400,3194705.0,112200
2024-4-1,11:05,28.400,28.520,28.400,28.510,2153076.0,75600
2024-4-1,11:10,28.510,28.520,28.470,28.490,2257753.0,79200
2024-4-1,11:15,28.490,28.550,28.470,28.550,2437634.0,85500
2024-4-1,11:20,28.550,28.560,28.490,28.560,2798357.0,98100
2024-4-1,11:25,28.550,28.570,28.480,28.480,2160663.0,75700
2024-4-1,11:30,28.460,28.510,28.390,28.470,1830067.0,64300
2024-4-1,13:05,28.470,28.520,28.380,28.510,2072675.0,72800
2024-4-1,13:10,28.510,28.510,28.430,28.450,1411915.0,49600
2024-4-1,13:15,28.440,28.500,28.390,28.390,2058689.0,72400
2024-4-1,13:20,28.380,28.380,28.130,28.180,5631357.0,199600
2024-4-1,13:25,28.160,28.260,28.160,28.180,2162962.0,76700
2024-4-1,13:30,28.190,28.240,28.130,28.170,2218143.0,78700
2024-4-1,13:35,28.170,28.290,28.110,28.260,4786077.0,169900
2024-4-1,13:40,28.260,28.450,28.260,28.420,3087587.0,108900
2024-4-1,13:45,28.440,28.440,28.310,28.320,1619564.0,57100
2024-4-1,13:50,28.320,28.390,28.320,28.380,1505799.0,53100
2024-4-1,13:55,28.380,28.390,28.340,28.370,1432418.0,50500
2024-4-1,14:00,28.340,28.400,28.320,28.370,1035452.0,36500
2024-4-1,14:05,28.320,28.370,28.320,28.350,1854326.0,65400
2024-4-1,14:10,28.350,28.400,28.350,28.390,1568860.0,55300
2024-4-1,14:15,28.380,28.410,28.320,28.380,2325536.0,82000
2024-4-1,14:20,28.410,28.410,28.280,28.280,2315821.0,81700
2024-4-1,14:25,28.290,28.330,28.260,28.310,1686643.0,59600
2024-4-1,14:30,28.290,28.370,28.260,28.260,2929705.0,103500
2024-4-1,14:35,28.250,28.390,28.250,28.390,2661518.0,94000
2024-4-1,14:40,28.390,28.440,28.340,28.420,3213615.0,113200
2024-4-1,14:45,28.400,28.430,28.320,28.410,2916733.0,102800
2024-4-1,14:50,28.400,28.500,28.370,28.480,6060750.0,213000
2024-4-1,14:55,28.470,28.490,28.420,28.450,3719517.0,130700
2024-4-1,15:00,28.480,28.480,28.410,28.470,1937137.0,68100
2024-4-2,09:35,28.480,28.710,28.280,28.420,8722835.0,306800
2024-4-2,09:40,28.460,28.460,28.270,28.340,3242210.0,114400
2024-4-2,09:45,28.320,28.430,28.280,28.320,2986314.0,105400
2024-4-2,09:50,28.320,28.320,28.100,28.190,8432259.0,298900
2024-4-2,09:55,28.170,28.260,28.130,28.200,3709689.0,131600
2024-4-2,10:00,28.200,28.310,28.190,28.250,2418983.0,85600
2024-4-2,10:05,28.250,28.290,28.200,28.230,2128612.0,75400
2024-4-2,10:10,28.230,28.300,28.190,28.190,3287950.0,116500
2024-4-2,10:15,28.190,28.190,28.090,28.120,6795846.0,241600
2024-4-2,10:20,28.120,28.290,28.120,28.210,3025979.0,107200
2024-4-2,10:25,28.210,28.280,28.170,28.280,2577331.0,91300
2024-4-2,10:30,28.250,28.280,28.180,28.260,2682344.0,95000
2024-4-2,10:35,28.240,28.280,28.190,28.260,1293895.0,45800
2024-4-2,10:40,28.280,28.350,28.220,28.330,2281243.0,80600
2024-4-2,10:45,28.330,28.460,28.310,28.460,2155392.0,76000
2024-4-2,10:50,28.460,28.570,28.360,28.540,6043559.0,211900
2024-4-2,10:55,28.530,28.560,28.410,28.560,4856392.0,170400
2024-4-2,11:00,28.560,28.570,28.460,28.460,3051600.0,107000
2024-4-2,11:05,28.460,28.460,28.350,28.450,1462568.0,51500
2024-4-2,11:10,28.460,28.500,28.430,28.460,1144443.0,40200
2024-4-2,11:15,28.460,28.480,28.420,28.470,861980.0,30300
2024-4-2,11:20,28.460,28.480,28.410,28.470,796772.0,28000
