日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,31.760,31.990,30.880,30.910,118706360.0,3789900
2024-7-1,09:40,30.900,31.170,30.900,30.930,47714404.0,1539400
2024-7-1,09:45,30.950,30.950,30.400,30.480,85688472.0,2795200
2024-7-1,09:50,30.470,30.670,30.320,30.370,41275116.0,1353400
2024-7-1,09:55,30.340,30.480,30.000,30.200,38761484.0,1279400
2024-7-1,10:00,30.210,30.240,30.000,30.130,36809072.0,1223800
2024-7-1,10:05,30.130,30.280,30.060,30.260,19114070.0,634100
2024-7-1,10:10,30.260,30.290,30.050,30.060,21834068.0,723900
2024-7-1,10:15,30.060,30.060,29.760,29.880,34182424.0,1143900
2024-7-1,10:20,29.870,29.980,29.700,29.750,23837558.0,798700
2024-7-1,10:25,29.760,29.850,29.680,29.680,24261342.0,815300
2024-7-1,10:30,29.680,29.760,29.650,29.690,22048660.0,742500
2024-7-1,10:35,29.690,29.710,29.500,29.550,22404520.0,756800
2024-7-1,10:40,29.540,29.570,29.390,29.490,28011424.0,950600
2024-7-1,10:45,29.490,29.840,29.490,29.760,24118238.0,812200
2024-7-1,10:50,29.750,29.760,29.600,29.610,11053631.0,372600
2024-7-1,10:55,29.610,29.660,29.500,29.510,12343478.0,417800
2024-7-1,11:00,29.510,29.530,29.340,29.380,16659581.0,566600
2024-7-1,11:05,29.330,29.370,29.050,29.090,52117600.0,1788000
2024-7-1,11:10,29.080,29.280,29.000,29.260,17181248.0,590700
2024-7-1,11:15,29.270,29.400,29.270,29.370,13679479.0,466200
2024-7-1,11:20,29.370,29.570,29.290,29.560,10933928.0,371700
2024-7-1,11:25,29.570,29.570,29.280,29.330,9988516.0,340000
2024-7-1,11:30,29.340,29.450,29.340,29.390,7280078.0,247700
2024-7-1,13:05,29.380,29.660,29.290,29.570,16193750.0,550200
2024-7-1,13:10,29.570,29.590,29.430,29.560,8256163.0,280000
2024-7-1,13:15,29.590,29.740,29.500,29.710,22277808.0,751000
2024-7-1,13:20,29.700,29.850,29.700,29.820,20005558.0,671400
2024-7-1,13:25,29.810,29.870,29.690,29.840,13058569.0,438500
2024-7-1,13:30,29.880,30.090,29.800,29.800,26791540.0,893300
2024-7-1,13:35,29.850,30.000,29.760,29.890,14282547.0,477900
2024-7-1,13:40,29.910,30.000,29.740,29.980,13524597.0,452400
2024-7-1,13:45,29.960,30.020,29.800,29.930,9631864.0,321800
2024-7-1,13:50,29.940,30.150,29.870,30.120,13342486.0,444800
2024-7-1,13:55,30.130,30.170,30.080,30.110,12734064.0,422700
2024-7-1,14:00,30.120,30.140,30.040,30.090,8592006.0,285400
2024-7-1,14:05,30.080,30.180,30.020,30.020,13941804.0,463100
2024-7-1,14:10,30.020,30.210,30.000,30.170,18628266.0,618100
2024-7-1,14:15,30.170,30.220,30.130,30.210,10151772.0,336400
2024-7-1,14:20,30.210,30.210,30.020,30.050,13552080.0,449600
2024-7-1,14:25,30.000,30.070,29.980,30.010,13115824.0,436900
2024-7-1,14:30,30.010,30.060,29.940,30.030,9987397.0,332900
2024-7-1,14:35,30.020,30.050,29.940,30.000,8725041.0,290800
2024-7-1,14:40,29.990,30.040,29.970,30.010,10547808.0,351600
2024-7-1,14:45,30.020,30.050,29.990,30.000,11298591.0,376500
2024-7-1,14:50,30.000,30.060,30.000,30.050,10956587.0,364900
2024-7-1,14:55,30.040,30.040,29.980,30.000,21037784.0,701100
2024-7-1,15:00,29.980,30.020,29.980,29.990,23999288.0,800100
2024-7-2,09:35,29.980,30.490,29.660,29.800,84216344.0,2803900
2024-7-2,09:40,29.790,29.970,29.510,29.550,34506792.0,1162900
2024-7-2,09:45,29.540,29.660,29.470,29.650,25106706.0,849700
2024-7-2,09:50,29.650,29.650,29.300,29.310,31267996.0,1062900
2024-7-2,09:55,29.300,29.420,29.230,29.320,28749184.0,980600
2024-7-2,10:00,29.300,29.400,29.280,29.390,16263586.0,554600
