日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,60.420,60.890,60.360,60.850,7308314.0,120400
2024-7-1,09:40,60.840,61.230,60.800,61.020,10872169.0,178100
2024-7-1,09:45,61.000,61.400,61.000,61.170,5793649.0,94600
2024-7-1,09:50,61.170,61.290,60.910,61.250,5876454.0,96200
2024-7-1,09:55,61.200,61.240,61.000,61.100,6324975.0,103500
2024-7-1,10:00,61.110,61.110,60.860,60.860,3010777.0,49400
2024-7-1,10:05,60.890,60.900,60.380,60.490,4160469.0,68600
2024-7-1,10:10,60.480,60.610,60.460,60.600,2330049.0,38500
2024-7-1,10:15,60.590,60.600,60.140,60.140,3629279.0,60100
2024-7-1,10:20,60.240,60.270,60.010,60.110,2484335.0,41300
2024-7-1,10:25,60.110,60.140,59.960,59.970,2666219.0,44400
2024-7-1,10:30,59.960,59.970,59.620,59.670,3526178.0,59000
2024-7-1,10:35,59.710,59.910,59.660,59.770,2254241.0,37700
2024-7-1,10:40,59.780,59.940,59.780,59.930,2214440.0,37000
2024-7-1,10:45,59.940,60.290,59.940,60.240,981910.0,16300
2024-7-1,10:50,60.280,60.440,60.190,60.360,1984161.0,32900
2024-7-1,10:55,60.430,60.600,60.230,60.410,1619473.0,26800
2024-7-1,11:00,60.410,60.600,60.370,60.560,2287490.0,37800
2024-7-1,11:05,60.530,60.810,60.450,60.770,2311073.0,38100
2024-7-1,11:10,60.780,60.800,60.560,60.670,2105456.0,34700
2024-7-1,11:15,60.660,60.900,60.600,60.880,2844687.0,46800
2024-7-1,11:20,60.850,60.880,60.730,60.800,1763799.0,29000
2024-7-1,11:25,60.800,60.910,60.800,60.890,1545836.0,25400
2024-7-1,11:30,60.870,60.920,60.780,60.910,1375905.0,22600
2024-7-1,13:05,61.000,61.280,61.000,61.280,5359739.0,87700
2024-7-1,13:10,61.260,61.350,61.000,61.130,3135858.0,51200
2024-7-1,13:15,61.130,61.300,61.080,61.300,1755837.0,28700
2024-7-1,13:20,61.300,61.500,61.240,61.500,3982261.0,64900
2024-7-1,13:25,61.480,61.760,61.480,61.670,7725196.0,125400
2024-7-1,13:30,61.670,61.670,61.400,61.470,1593612.0,25900
2024-7-1,13:35,61.490,61.610,61.490,61.580,1822329.0,29600
2024-7-1,13:40,61.560,61.560,61.410,61.440,1856197.0,30200
2024-7-1,13:45,61.450,61.540,61.450,61.540,1808161.0,29400
2024-7-1,13:50,61.540,61.550,61.320,61.530,2532184.0,41200
2024-7-1,13:55,61.530,61.590,61.470,61.580,2646161.0,43000
