日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,17.470,17.930,17.460,17.910,205539776.0,11629700
2024-9-30,09:40,17.910,18.040,17.710,17.710,127648592.0,7123000
2024-9-30,09:45,17.730,17.730,17.550,17.580,86667056.0,4918800
2024-9-30,09:50,17.580,17.580,17.210,17.220,129567016.0,7441800
2024-9-30,09:55,17.230,17.240,17.000,17.160,99714480.0,5825900
2024-9-30,10:00,17.170,17.290,17.170,17.240,56451996.0,3274500
2024-9-30,10:05,17.230,17.300,17.160,17.290,56037152.0,3256300
2024-9-30,10:10,17.300,17.380,17.220,17.260,51660312.0,2987200
2024-9-30,10:15,17.270,17.270,17.200,17.210,41909344.0,2433900
2024-9-30,10:20,17.220,17.310,17.210,17.310,29501952.0,1709400
2024-9-30,10:25,17.310,17.440,17.310,17.410,43646676.0,2509000
2024-9-30,10:30,17.410,17.630,17.390,17.630,53725680.0,3078700
2024-9-30,10:35,17.640,17.670,17.520,17.590,47011456.0,2670900
2024-9-30,10:40,17.590,17.620,17.530,17.530,34210656.0,1945500
2024-9-30,10:45,17.540,17.640,17.530,17.630,20332898.0,1156000
2024-9-30,10:50,17.630,17.770,17.630,17.770,35151348.0,1984000
2024-9-30,10:55,17.770,17.900,17.770,17.900,39363124.0,2210100
2024-9-30,11:00,17.890,17.970,17.890,17.940,32230996.0,1798000
2024-9-30,11:05,17.940,17.950,17.810,17.830,37806496.0,2116100
2024-9-30,11:10,17.830,17.850,17.600,17.770,36071096.0,2032900
2024-9-30,11:15,17.760,17.770,17.670,17.710,24007346.0,1355800
2024-9-30,11:20,17.710,17.760,17.700,17.750,23168216.0,1306500
2024-9-30,11:25,17.750,17.820,17.730,17.820,19592272.0,1102000
2024-9-30,11:30,17.850,17.850,17.800,17.810,24495516.0,1374100
2024-9-30,13:05,17.830,18.030,17.830,18.020,84675936.0,4717400
2024-9-30,13:10,18.040,18.270,18.030,18.260,71281968.0,3924200
2024-9-30,13:15,18.270,18.380,18.060,18.060,72650520.0,3974700
2024-9-30,13:20,18.060,18.280,17.990,18.200,40601568.0,2240100
2024-9-30,13:25,18.200,18.270,18.050,18.270,31685968.0,1747000
2024-9-30,13:30,18.270,18.350,18.240,18.330,39245216.0,2144400
2024-9-30,13:35,18.340,18.520,18.330,18.440,57612544.0,3129400
2024-9-30,13:40,18.440,18.500,18.350,18.500,29589648.0,1606000
2024-9-30,13:45,18.500,18.580,18.480,18.510,27581816.0,1490900
2024-9-30,13:50,18.500,18.800,18.500,18.780,35548196.0,1899800
2024-9-30,13:55,18.780,18.810,18.750,18.750,29947936.0,1594700
2024-9-30,14:00,18.750,18.760,18.680,18.730,27087818.0,1446700
2024-9-30,14:05,18.730,18.760,18.710,18.750,38502156.0,2054100
2024-9-30,14:10,18.750,18.850,18.750,18.840,30947734.0,1647600
2024-9-30,14:15,18.850,19.070,18.840,19.050,32159340.0,1698900
2024-9-30,14:20,19.060,19.070,18.810,18.810,23882010.0,1259300
2024-9-30,14:25,18.770,18.810,18.300,18.340,29908772.0,1620400
2024-9-30,14:30,18.350,18.640,18.220,18.640,39195776.0,2138400
2024-9-30,14:35,18.700,18.700,18.380,18.400,19694756.0,1064100
2024-9-30,14:40,18.410,18.410,18.350,18.360,25436700.0,1384100
2024-9-30,14:45,18.380,18.420,18.360,18.420,24647264.0,1341000
2024-9-30,14:50,18.420,18.490,18.410,18.480,18782786.0,1017400
2024-9-30,14:55,18.480,18.580,18.470,18.570,29291864.0,1580800
2024-9-30,15:00,18.560,18.610,18.560,18.610,32990092.0,1774300
2024-10-8,09:35,19.670,20.000,19.210,19.220,668058752.0,33993300
2024-10-8,09:40,19.220,19.390,19.000,19.080,207583200.0,10829500
2024-10-8,09:45,19.090,19.090,18.300,18.390,156830336.0,8340600
2024-10-8,09:50,18.350,18.910,18.210,18.910,143931568.0,7783300
2024-10-8,09:55,18.910,18.910,18.590,18.620,122055096.0,6497900
2024-10-8,10:00,18.620,18.650,18.420,18.490,107655472.0,5815300
2024-10-8,10:05,18.500,18.530,18.460,18.480,75740368.0,4096300
2024-10-8,10:10,18.490,18.530,18.420,18.420,57440516.0,3109500
2024-10-8,10:15,18.430,18.480,18.310,18.310,53899820.0,2927800
