日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,20.930,20.970,20.820,20.830,16115534.0,771700
2024-12-31,09:40,20.820,20.850,20.800,20.840,9676428.0,464600
2024-12-31,09:45,20.840,20.870,20.820,20.840,6087062.0,292100
2024-12-31,09:50,20.830,20.860,20.820,20.850,5040509.0,241900
2024-12-31,09:55,20.840,20.890,20.830,20.890,8976083.0,430400
2024-12-31,10:00,20.880,20.900,20.850,20.850,5008369.0,239900
2024-12-31,10:05,20.860,20.890,20.850,20.870,4812815.0,230600
2024-12-31,10:10,20.880,20.890,20.860,20.860,5695274.0,272900
2024-12-31,10:15,20.860,20.890,20.860,20.880,3429483.0,164300
2024-12-31,10:20,20.880,20.890,20.870,20.880,3405045.0,163200
2024-12-31,10:25,20.870,20.880,20.830,20.830,8375354.0,401500
2024-12-31,10:30,20.840,20.860,20.830,20.850,8060990.0,386700
2024-12-31,10:35,20.850,20.860,20.790,20.800,10035192.0,482100
2024-12-31,10:40,20.790,20.800,20.780,20.790,4614707.0,222000
2024-12-31,10:45,20.790,20.800,20.770,20.780,4517233.0,217400
2024-12-31,10:50,20.770,20.790,20.730,20.730,7353607.0,354200
2024-12-31,10:55,20.730,20.740,20.700,20.720,10328593.0,498600
2024-12-31,11:00,20.700,20.720,20.650,20.660,9580265.0,463400
2024-12-31,11:05,20.660,20.660,20.620,20.660,6493017.0,314600
2024-12-31,11:10,20.650,20.650,20.610,20.610,7431844.0,360300
2024-12-31,11:15,20.600,20.610,20.560,20.580,14126680.0,685900
2024-12-31,11:20,20.580,20.590,20.550,20.580,7187622.0,349500
2024-12-31,11:25,20.580,20.640,20.560,20.630,4247464.0,206300
2024-12-31,11:30,20.610,20.670,20.610,20.620,5549341.0,268900
2024-12-31,13:05,20.620,20.690,20.620,20.650,6238942.0,302000
2024-12-31,13:10,20.650,20.700,20.640,20.650,3897963.0,188600
2024-12-31,13:15,20.650,20.660,20.560,20.610,10056527.0,488000
2024-12-31,13:20,20.620,20.650,20.580,20.580,10427559.0,506200
2024-12-31,13:25,20.570,20.590,20.570,20.580,4575659.0,222400
2024-12-31,13:30,20.580,20.600,20.580,20.580,4048342.0,196600
2024-12-31,13:35,20.580,20.580,20.530,20.530,8537452.0,415400
2024-12-31,13:40,20.530,20.540,20.520,20.530,4629195.0,225500
2024-12-31,13:45,20.530,20.550,20.520,20.530,5962537.0,290400
2024-12-31,13:50,20.530,20.550,20.520,20.540,3991541.0,194300
2024-12-31,13:55,20.540,20.570,20.530,20.530,4031367.0,196200
2024-12-31,14:00,20.530,20.600,20.530,20.580,4806668.0,233800
2024-12-31,14:05,20.570,20.580,20.560,20.560,4284263.0,208300
2024-12-31,14:10,20.560,20.580,20.550,20.550,4354709.0,211800
2024-12-31,14:15,20.560,20.570,20.540,20.540,8149143.0,396500
2024-12-31,14:20,20.540,20.560,20.540,20.550,4839111.0,235500
2024-12-31,14:25,20.550,20.610,20.540,20.560,5312188.0,258300
2024-12-31,14:30,20.560,20.570,20.510,20.520,10289532.0,501000
2024-12-31,14:35,20.510,20.560,20.510,20.520,5145455.0,250600
2024-12-31,14:40,20.520,20.580,20.520,20.570,3889564.0,189300
2024-12-31,14:45,20.570,20.580,20.540,20.570,5964690.0,290200
2024-12-31,14:50,20.560,20.590,20.540,20.550,10077694.0,490100
2024-12-31,14:55,20.540,20.540,20.520,20.520,8177304.0,398300
2024-12-31,15:00,20.520,20.530,20.500,20.500,11617076.0,566500
2025-1-2,09:35,20.550,20.570,20.410,20.440,14767015.0,721000
2025-1-2,09:40,20.420,20.430,20.320,20.400,18113820.0,888800
2025-1-2,09:45,20.390,20.410,20.370,20.410,6152978.0,301800
2025-1-2,09:50,20.400,20.440,20.380,20.380,7738489.0,379200
2025-1-2,09:55,20.390,20.460,20.360,20.440,7015201.0,343800
2025-1-2,10:00,20.460,20.560,20.460,20.520,6950925.0,338600
2025-1-2,10:05,20.530,20.530,20.390,20.420,21755768.0,1063700
2025-1-2,10:10,20.400,20.520,20.400,20.490,6429260.0,313900
2025-1-2,10:15,20.510,20.510,20.420,20.480,7882273.0,385300
2025-1-2,10:20,20.500,20.550,20.480,20.550,5956956.0,290400
2025-1-2,10:25,20.550,20.590,20.520,20.530,6967396.0,339000
2025-1-2,10:30,20.530,20.580,20.530,20.550,2786841.0,135600
2025-1-2,10:35,20.550,20.570,20.540,20.540,3329947.0,162000
2025-1-2,10:40,20.540,20.580,20.540,20.550,3799585.0,184800
2025-1-2,10:45,20.540,20.570,20.530,20.530,4195775.0,204200
2025-1-2,10:50,20.530,20.620,20.530,20.580,7506359.0,364600
2025-1-2,10:55,20.580,20.650,20.580,20.620,4957618.0,240500
2025-1-2,11:00,20.630,20.660,20.610,20.640,4040796.0,195800
2025-1-2,11:05,20.630,20.660,20.620,20.660,3391069.0,164300
2025-1-2,11:10,20.660,20.660,20.610,20.620,2418919.0,117200
2025-1-2,11:15,20.620,20.630,20.570,20.610,3589596.0,174300
2025-1-2,11:20,20.620,20.630,20.580,20.600,1734690.0,84200
2025-1-2,11:25,20.590,20.600,20.570,20.600,1927056.0,93600
2025-1-2,11:30,20.590,20.610,20.500,20.580,7675075.0,373800
2025-1-2,13:05,20.570,20.610,20.530,20.540,5788590.0,281300
2025-1-2,13:10,20.540,20.570,20.450,20.450,3883231.0,189300
2025-1-2,13:15,20.450,20.520,20.450,20.480,3741026.0,182600
2025-1-2,13:20,20.480,20.490,20.430,20.430,7728675.0,377800
2025-1-2,13:25,20.420,20.440,20.370,20.380,7140569.0,350100
2025-1-2,13:30,20.380,20.380,20.330,20.360,6791623.0,333700
2025-1-2,13:35,20.350,20.370,20.330,20.340,7627921.0,375000
2025-1-2,13:40,20.340,20.350,20.300,20.310,7690779.0,378400
2025-1-2,13:45,20.320,20.320,20.300,20.310,5075455.0,249900
2025-1-2,13:50,20.300,20.320,20.280,20.290,13158133.0,648200
2025-1-2,13:55,20.280,20.290,20.200,20.210,8052147.0,397800
2025-1-2,14:00,20.200,20.310,20.200,20.300,13023320.0,643900
2025-1-2,14:05,20.310,20.320,20.280,20.300,3606965.0,177700
2025-1-2,14:10,20.300,20.300,20.230,20.250,4545626.0,224400
2025-1-2,14:15,20.230,20.260,20.220,20.250,5248739.0,259300
2025-1-2,14:20,20.250,20.260,20.220,20.230,5996793.0,296400
2025-1-2,14:25,20.230,20.300,20.230,20.290,6988876.0,345000
2025-1-2,14:30,20.290,20.320,20.280,20.290,3721098.0,183300
2025-1-2,14:35,20.310,20.310,20.150,20.150,10952166.0,541700
2025-1-2,14:40,20.150,20.190,20.120,20.130,10522837.0,521800
2025-1-2,14:45,20.120,20.160,20.120,20.150,5574658.0,276900
2025-1-2,14:50,20.140,20.140,20.070,20.100,9962522.0,495500
2025-1-2,14:55,20.100,20.190,20.100,20.190,5189021.0,257500
2025-1-2,15:00,20.200,20.250,20.200,20.220,4360158.0,215500
2025-1-3,09:35,20.120,20.300,20.120,20.190,8727374.0,432300
2025-1-3,09:40,20.210,20.240,20.190,20.200,8230442.0,407100
2025-1-3,09:45,20.220,20.320,20.210,20.290,6310406.0,311200
2025-1-3,09:50,20.260,20.330,20.220,20.220,7187800.0,354600
2025-1-3,09:55,20.230,20.250,20.160,20.190,10074015.0,499000
2025-1-3,10:00,20.190,20.240,20.130,20.180,16093318.0,797500
2025-1-3,10:05,20.190,20.200,20.110,20.120,8180473.0,405800
2025-1-3,10:10,20.120,20.120,19.980,20.000,20486048.0,1022900
2025-1-3,10:15,20.010,20.060,20.000,20.040,7351820.0,367200
