日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,73.500,73.600,72.660,72.710,15495847.0,212200
2024-12-31,09:40,72.750,72.830,72.300,72.740,17577096.0,242300
2024-12-31,09:45,72.700,72.830,72.540,72.790,7088551.0,97500
2024-12-31,09:50,72.730,73.110,72.720,73.110,4665344.0,64000
2024-12-31,09:55,73.040,73.200,72.950,73.160,5582561.0,76400
2024-12-31,10:00,73.160,73.160,72.960,73.040,4634639.5,63400
2024-12-31,10:05,73.000,73.110,72.810,72.880,4493860.0,61600
2024-12-31,10:10,72.880,72.930,72.790,72.890,4612921.0,63300
2024-12-31,10:15,72.850,72.890,72.760,72.810,3720089.0,51100
2024-12-31,10:20,72.800,72.970,72.750,72.910,3700297.25,50800
2024-12-31,10:25,72.940,73.040,72.890,72.980,3812763.0,52300
2024-12-31,10:30,72.990,73.080,72.890,73.070,3495165.0,47900
2024-12-31,10:35,73.100,73.260,72.930,73.030,4883517.0,66800
2024-12-31,10:40,73.010,73.130,72.880,72.950,3197739.0,43800
2024-12-31,10:45,72.920,73.110,72.880,73.080,3284055.0,45000
2024-12-31,10:50,73.080,73.150,72.960,72.960,2733127.0,37400
2024-12-31,10:55,73.050,73.100,72.970,72.990,1716880.0,23500
2024-12-31,11:00,73.080,73.130,72.850,72.950,3583999.0,49100
2024-12-31,11:05,72.920,72.990,72.850,72.970,2239284.0,30700
2024-12-31,11:10,72.970,73.130,72.810,72.960,5152221.0,70600
2024-12-31,11:15,73.040,73.050,72.770,72.770,5090284.0,69800
2024-12-31,11:20,72.750,72.960,72.750,72.820,2170868.0,29800
2024-12-31,11:25,72.880,73.090,72.800,73.070,2005764.0,27500
2024-12-31,11:30,73.070,73.130,72.800,72.800,2088111.0,28600
2024-12-31,13:05,72.800,73.130,72.800,73.000,2941284.0,40300
2024-12-31,13:10,72.990,73.090,72.850,72.950,3136722.0,43000
2024-12-31,13:15,72.950,73.000,72.830,72.900,1829650.0,25100
2024-12-31,13:20,72.910,72.960,72.800,72.800,3016612.0,41400
2024-12-31,13:25,72.840,72.900,72.790,72.900,3262658.0,44800
2024-12-31,13:30,72.910,72.930,72.800,72.840,1683557.0,23100
2024-12-31,13:35,72.850,72.960,72.700,72.720,3850980.0,52900
2024-12-31,13:40,72.700,72.810,72.610,72.770,4883879.0,67200
2024-12-31,13:45,72.790,72.790,72.610,72.640,2855875.0,39300
2024-12-31,13:50,72.640,72.730,72.610,72.730,2580065.0,35500
2024-12-31,13:55,72.760,72.880,72.720,72.750,2764782.5,37900
2024-12-31,14:00,72.750,72.890,72.720,72.740,1754371.0,24100
2024-12-31,14:05,72.740,72.850,72.710,72.790,3318050.0,45600
2024-12-31,14:10,72.790,72.820,72.620,72.720,5046257.0,69400
