日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,17.530,17.700,17.530,17.640,20901732.0,1186600
2025-3-31,09:40,17.650,17.770,17.590,17.750,15878674.0,898600
2025-3-31,09:45,17.750,17.820,17.690,17.690,19290980.0,1086200
2025-3-31,09:50,17.680,17.690,17.550,17.600,19234742.0,1092800
2025-3-31,09:55,17.600,17.760,17.530,17.590,18260398.0,1036100
2025-3-31,10:00,17.600,17.850,17.580,17.760,13674022.0,771100
2025-3-31,10:05,17.760,17.770,17.680,17.690,5978097.0,337100
2025-3-31,10:10,17.700,17.700,17.630,17.650,4313135.0,244300
2025-3-31,10:15,17.660,17.680,17.580,17.590,4357229.0,247300
2025-3-31,10:20,17.580,17.610,17.560,17.590,4513019.0,256600
2025-3-31,10:25,17.590,17.600,17.560,17.580,3948224.0,224600
2025-3-31,10:30,17.580,17.630,17.580,17.600,6566182.0,373100
2025-3-31,10:35,17.600,17.600,17.450,17.490,17951328.0,1024300
2025-3-31,10:40,17.490,17.520,17.410,17.420,15400450.0,882200
2025-3-31,10:45,17.410,17.430,17.360,17.390,20694940.0,1190000
2025-3-31,10:50,17.400,17.500,17.390,17.470,6662763.0,382700
2025-3-31,10:55,17.480,17.480,17.420,17.430,3825438.0,219200
2025-3-31,11:00,17.430,17.440,17.410,17.440,5464725.0,313600
2025-3-31,11:05,17.420,17.460,17.420,17.420,5055366.0,289900
2025-3-31,11:10,17.410,17.420,17.400,17.420,3161611.0,181600
2025-3-31,11:15,17.420,17.420,17.380,17.410,4733059.0,272000
2025-3-31,11:20,17.410,17.430,17.400,17.430,3923646.0,225300
2025-3-31,11:25,17.430,17.440,17.290,17.310,12701610.0,731800
2025-3-31,11:30,17.310,17.360,17.300,17.320,9294579.0,536400
2025-3-31,13:05,17.320,17.390,17.300,17.390,7561651.0,436100
2025-3-31,13:10,17.380,17.410,17.350,17.390,3436061.0,197700
2025-3-31,13:15,17.400,17.430,17.370,17.410,4437019.0,255000
2025-3-31,13:20,17.400,17.420,17.380,17.400,2664228.0,153100
2025-3-31,13:25,17.410,17.420,17.370,17.380,3900532.0,224200
2025-3-31,13:30,17.380,17.390,17.360,17.370,2954065.0,170100
2025-3-31,13:35,17.380,17.430,17.350,17.370,4979109.0,286300
2025-3-31,13:40,17.370,17.400,17.340,17.380,4586211.0,264000
2025-3-31,13:45,17.380,17.380,17.340,17.360,3571452.0,205700
2025-3-31,13:50,17.370,17.370,17.310,17.370,9834707.0,567000
2025-3-31,13:55,17.370,17.470,17.360,17.430,7816847.0,448600
2025-3-31,14:00,17.430,17.450,17.430,17.440,3327007.0,190800
2025-3-31,14:05,17.440,17.470,17.420,17.460,7611279.0,436400
2025-3-31,14:10,17.450,17.530,17.450,17.520,6975986.0,398900
2025-3-31,14:15,17.510,17.540,17.480,17.520,7688416.0,439100
2025-3-31,14:20,17.510,17.540,17.470,17.500,7297528.0,416800
2025-3-31,14:25,17.500,17.550,17.500,17.510,3491178.0,199300
2025-3-31,14:30,17.510,17.510,17.480,17.480,2729973.0,156000
2025-3-31,14:35,17.490,17.520,17.480,17.510,3337427.0,190700
2025-3-31,14:40,17.500,17.510,17.470,17.470,4467671.0,255500
2025-3-31,14:45,17.460,17.460,17.400,17.430,8086143.0,464100
2025-3-31,14:50,17.430,17.450,17.420,17.440,5725000.0,328600
2025-3-31,14:55,17.440,17.440,17.400,17.400,9064994.0,520700
2025-3-31,15:00,17.400,17.430,17.390,17.420,8057039.0,462700
2025-4-1,09:35,17.430,17.470,17.320,17.390,16839262.0,968700
2025-4-1,09:40,17.380,17.400,17.300,17.300,12548024.0,723500
2025-4-1,09:45,17.300,17.300,17.220,17.250,17021270.0,985400
2025-4-1,09:50,17.250,17.400,17.250,17.400,10133103.0,584600
2025-4-1,09:55,17.390,17.390,17.310,17.340,5339362.0,308000
2025-4-1,10:00,17.320,17.500,17.310,17.420,12192182.0,699600
2025-4-1,10:05,17.430,17.500,17.420,17.440,10287666.0,589100
2025-4-1,10:10,17.440,17.540,17.440,17.520,8279057.0,473300
2025-4-1,10:15,17.510,17.520,17.460,17.470,6112117.0,349600
2025-4-1,10:20,17.470,17.480,17.420,17.430,7647777.0,438200
2025-4-1,10:25,17.420,17.460,17.390,17.460,5402948.0,310200
2025-4-1,10:30,17.450,17.500,17.410,17.420,6235459.0,357300
2025-4-1,10:35,17.420,17.430,17.360,17.370,6266974.0,360500
2025-4-1,10:40,17.370,17.370,17.330,17.360,5399077.0,311200
2025-4-1,10:45,17.350,17.400,17.350,17.400,3221416.0,185500
2025-4-1,10:50,17.390,17.400,17.360,17.390,3332302.0,191700
2025-4-1,10:55,17.390,17.410,17.320,17.370,10587301.0,609900
2025-4-1,11:00,17.370,17.390,17.340,17.350,3719468.0,214200
2025-4-1,11:05,17.340,17.370,17.340,17.350,5384834.0,310400
2025-4-1,11:10,17.350,17.380,17.350,17.380,2742905.0,158000
2025-4-1,11:15,17.370,17.390,17.340,17.360,3763792.0,216700
2025-4-1,11:20,17.360,17.380,17.360,17.360,1940215.0,111700
2025-4-1,11:25,17.360,17.390,17.340,17.370,5407028.0,311400
2025-4-1,11:30,17.360,17.420,17.360,17.420,5440300.0,312900
2025-4-1,13:05,17.410,17.480,17.410,17.440,6226665.0,356900
2025-4-1,13:10,17.440,17.440,17.410,17.430,2418717.0,138800
2025-4-1,13:15,17.430,17.430,17.370,17.370,2327566.0,133700
2025-4-1,13:20,17.370,17.400,17.370,17.370,3868247.0,222600
2025-4-1,13:25,17.370,17.390,17.350,17.380,3367320.0,193900
2025-4-1,13:30,17.380,17.390,17.350,17.350,1723318.0,99200
2025-4-1,13:35,17.350,17.370,17.330,17.330,3160384.0,182200
2025-4-1,13:40,17.330,17.340,17.310,17.310,4405535.0,254300
2025-4-1,13:45,17.310,17.320,17.290,17.300,5110795.0,295400
2025-4-1,13:50,17.300,17.340,17.300,17.320,4967930.0,286800
2025-4-1,13:55,17.320,17.340,17.310,17.320,2320313.0,133900
2025-4-1,14:00,17.320,17.330,17.310,17.320,3234628.0,186800
2025-4-1,14:05,17.330,17.350,17.330,17.330,3003117.0,173200
2025-4-1,14:10,17.330,17.350,17.300,17.350,3848130.0,222100
2025-4-1,14:15,17.340,17.340,17.310,17.310,1953506.0,112800
2025-4-1,14:20,17.310,17.330,17.300,17.320,3209539.0,185400
2025-4-1,14:25,17.310,17.330,17.300,17.300,2721672.0,157200
2025-4-1,14:30,17.300,17.320,17.300,17.320,4013852.0,231900
2025-4-1,14:35,17.310,17.340,17.310,17.310,5608192.0,323700
2025-4-1,14:40,17.310,17.320,17.270,17.270,12124827.0,701400
2025-4-1,14:45,17.270,17.300,17.270,17.280,7240912.0,419000
2025-4-1,14:50,17.280,17.300,17.280,17.280,4889156.0,282800
2025-4-1,14:55,17.280,17.300,17.280,17.280,6026433.0,348600
2025-4-1,15:00,17.290,17.320,17.280,17.310,7102419.0,410300
2025-4-2,09:35,17.370,17.550,17.340,17.400,18410500.0,1055100
2025-4-2,09:40,17.410,17.410,17.320,17.330,7248323.0,417600
2025-4-2,09:45,17.320,17.360,17.280,17.350,4614573.0,266500
2025-4-2,09:50,17.350,17.350,17.240,17.240,6680370.0,386800
2025-4-2,09:55,17.240,17.290,17.230,17.240,10107304.0,585700
2025-4-2,10:00,17.240,17.260,17.140,17.200,18190680.0,1058800
2025-4-2,10:05,17.200,17.260,17.200,17.220,9123978.0,529500
2025-4-2,10:10,17.220,17.250,17.180,17.210,8994551.0,522800
2025-4-2,10:15,17.190,17.360,17.180,17.350,13158124.0,762300
2025-4-2,10:20,17.360,17.500,17.340,17.490,16592320.0,952300
2025-4-2,10:25,17.480,17.520,17.470,17.500,15030278.0,859100
2025-4-2,10:30,17.500,17.540,17.490,17.500,15689036.0,895900
2025-4-2,10:35,17.510,17.520,17.500,17.510,4467440.0,255200
2025-4-2,10:40,17.500,17.510,17.440,17.440,11161433.0,637900
2025-4-2,10:45,17.440,17.510,17.440,17.510,5437023.0,311000
2025-4-2,10:50,17.520,17.520,17.450,17.470,7478376.0,427400
2025-4-2,10:55,17.470,17.480,17.460,17.460,4020241.0,230100
2025-4-2,11:00,17.460,17.520,17.460,17.510,3821986.0,218500
2025-4-2,11:05,17.510,17.520,17.500,17.510,3026057.0,172900
2025-4-2,11:10,17.500,17.510,17.460,17.480,7887546.0,450800
2025-4-2,11:15,17.490,17.500,17.460,17.500,3041324.0,174000
2025-4-2,11:20,17.500,17.510,17.490,17.510,4656752.0,266100
2025-4-2,11:25,17.510,17.610,17.500,17.600,14067611.0,801700
2025-4-2,11:30,17.600,17.600,17.540,17.540,2718633.0,154700
2025-4-2,13:05,17.530,17.540,17.470,17.480,8831675.0,504500
2025-4-2,13:10,17.480,17.520,17.470,17.500,2525461.0,144400
2025-4-2,13:15,17.500,17.510,17.500,17.510,1162152.0,66400
2025-4-2,13:20,17.510,17.560,17.500,17.500,5827706.0,332700
2025-4-2,13:25,17.500,17.510,17.500,17.500,1496695.0,85500
2025-4-2,13:30,17.500,17.510,17.490,17.510,5680435.0,324600
2025-4-2,13:35,17.500,17.510,17.500,17.510,2849155.0,162800
2025-4-2,13:40,17.500,17.510,17.490,17.500,6889714.0,393700
2025-4-2,13:45,17.500,17.500,17.450,17.460,7659244.0,438300
2025-4-2,13:50,17.450,17.510,17.450,17.500,2952653.0,168900
2025-4-2,13:55,17.500,17.510,17.500,17.500,1597857.0,91300
2025-4-2,14:00,17.500,17.510,17.500,17.510,3813709.0,217900
2025-4-2,14:05,17.510,17.520,17.500,17.510,2127280.0,121500
2025-4-2,14:10,17.510,17.510,17.500,17.500,1016911.0,58100
2025-4-2,14:15,17.500,17.510,17.490,17.510,9548902.0,545700
2025-4-2,14:20,17.510,17.510,17.500,17.510,2154829.0,123100
2025-4-2,14:25,17.500,17.510,17.500,17.510,3007857.0,171800
2025-4-2,14:30,17.510,17.520,17.500,17.510,2292131.0,130900
2025-4-2,14:35,17.510,17.640,17.490,17.590,39680144.0,2256400
2025-4-2,14:40,17.590,17.600,17.560,17.590,17117452.0,973600
2025-4-2,14:45,17.580,17.600,17.550,17.570,12389528.0,705200
2025-4-2,14:50,17.570,17.590,17.560,17.580,10457490.0,595100
2025-4-2,14:55,17.580,17.580,17.560,17.560,13944165.0,793700
2025-4-2,15:00,17.570,17.570,17.560,17.570,11652020.0,663300
2025-4-3,09:35,17.360,17.610,17.310,17.450,22709962.0,1301900
2025-4-3,09:40,17.460,17.550,17.450,17.490,6580572.0,376200
2025-4-3,09:45,17.490,17.560,17.480,17.530,6703877.0,382700
