日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,25.200,25.280,25.080,25.240,26525680.0,1053300
2025-3-31,09:40,25.240,25.270,25.160,25.220,13335489.0,528800
2025-3-31,09:45,25.230,25.230,25.100,25.130,21366732.0,849800
2025-3-31,09:50,25.120,25.130,24.920,24.930,33893336.0,1354600
2025-3-31,09:55,24.930,25.110,24.860,25.030,29347380.0,1175800
2025-3-31,10:00,25.050,25.180,25.020,25.100,9152282.0,364600
2025-3-31,10:05,25.100,25.110,25.030,25.060,6709030.0,267600
2025-3-31,10:10,25.050,25.110,25.000,25.010,7327064.0,292500
2025-3-31,10:15,25.010,25.030,24.960,24.960,8414225.0,336600
2025-3-31,10:20,24.960,24.990,24.930,24.980,7225762.0,289500
2025-3-31,10:25,24.980,24.990,24.910,24.920,11229388.0,450400
2025-3-31,10:30,24.920,24.920,24.820,24.820,18364340.0,738200
2025-3-31,10:35,24.810,24.820,24.780,24.810,24140298.0,973500
2025-3-31,10:40,24.810,24.820,24.720,24.730,16073159.0,648600
2025-3-31,10:45,24.720,24.750,24.660,24.690,14783560.0,598400
2025-3-31,10:50,24.690,24.730,24.680,24.720,5629977.0,227900
2025-3-31,10:55,24.730,24.730,24.690,24.710,8659857.0,350400
2025-3-31,11:00,24.720,24.720,24.650,24.660,10609381.0,430000
2025-3-31,11:05,24.660,24.660,24.610,24.640,6548620.0,265800
2025-3-31,11:10,24.650,24.730,24.650,24.680,3464138.0,140300
2025-3-31,11:15,24.680,24.700,24.650,24.660,4623029.0,187400
2025-3-31,11:20,24.670,24.730,24.670,24.720,3529027.0,142800
2025-3-31,11:25,24.730,24.750,24.650,24.650,7346203.0,297400
2025-3-31,11:30,24.650,24.650,24.620,24.630,4570862.0,185600
2025-3-31,13:05,24.630,24.640,24.590,24.630,11468870.0,466000
2025-3-31,13:10,24.640,24.660,24.590,24.630,10309380.0,418800
2025-3-31,13:15,24.630,24.640,24.580,24.630,10989196.0,446500
2025-3-31,13:20,24.630,24.630,24.560,24.560,8254106.0,335500
2025-3-31,13:25,24.560,24.570,24.460,24.480,13946178.0,569100
2025-3-31,13:30,24.490,24.490,24.460,24.480,8290003.0,338700
2025-3-31,13:35,24.470,24.490,24.470,24.490,4133043.0,168800
2025-3-31,13:40,24.490,24.490,24.400,24.470,12709239.0,519900
2025-3-31,13:45,24.470,24.480,24.400,24.400,6048304.0,247400
2025-3-31,13:50,24.420,24.420,24.300,24.320,22932192.0,942200
2025-3-31,13:55,24.320,24.410,24.320,24.400,8090137.0,332200
2025-3-31,14:00,24.410,24.410,24.350,24.360,5683861.0,233100
2025-3-31,14:05,24.350,24.400,24.350,24.380,3107397.0,127500
2025-3-31,14:10,24.390,24.490,24.390,24.470,5837422.0,238700
2025-3-31,14:15,24.470,24.480,24.440,24.460,6018881.0,246000
2025-3-31,14:20,24.460,24.590,24.460,24.530,11348204.0,462900
2025-3-31,14:25,24.530,24.580,24.500,24.500,8062388.0,328800
2025-3-31,14:30,24.510,24.510,24.390,24.410,8327237.0,340700
2025-3-31,14:35,24.410,24.450,24.400,24.410,5091064.0,208500
2025-3-31,14:40,24.400,24.420,24.390,24.390,8307921.0,340400
2025-3-31,14:45,24.400,24.400,24.260,24.260,25939828.0,1066800
2025-3-31,14:50,24.270,24.290,24.190,24.210,29342734.0,1210800
2025-3-31,14:55,24.200,24.250,24.190,24.250,21420568.0,884300
2025-3-31,15:00,24.250,24.300,24.240,24.300,10627874.0,438000
2025-4-1,09:35,24.300,24.410,24.100,24.210,31905112.0,1316200
2025-4-1,09:40,24.240,24.290,24.190,24.200,18437776.0,760600
2025-4-1,09:45,24.210,24.260,24.150,24.180,8999639.0,371900
2025-4-1,09:50,24.180,24.350,24.180,24.310,8649271.0,356100
2025-4-1,09:55,24.300,24.320,24.260,24.290,9397493.0,387000
2025-4-1,10:00,24.290,24.410,24.280,24.380,9351181.0,383700
2025-4-1,10:05,24.370,24.410,24.350,24.380,7386097.0,302900
2025-4-1,10:10,24.380,24.440,24.350,24.430,5737589.0,235200
2025-4-1,10:15,24.430,24.580,24.400,24.540,32481336.0,1327500
2025-4-1,10:20,24.530,24.580,24.470,24.500,8550853.0,348800
2025-4-1,10:25,24.500,24.510,24.410,24.450,7509613.0,307000
2025-4-1,10:30,24.460,24.470,24.380,24.390,4776237.0,195700
2025-4-1,10:35,24.390,24.430,24.390,24.400,8150241.0,333900
2025-4-1,10:40,24.420,24.420,24.360,24.380,6552573.0,268700
2025-4-1,10:45,24.390,24.390,24.360,24.370,3903699.0,160200
2025-4-1,10:50,24.370,24.390,24.350,24.390,4676533.0,191900
2025-4-1,10:55,24.380,24.400,24.280,24.320,17799228.0,731700
2025-4-1,11:00,24.340,24.340,24.270,24.270,7490228.0,308300
2025-4-1,11:05,24.280,24.330,24.270,24.330,4922234.5,202500
2025-4-1,11:10,24.320,24.330,24.260,24.260,5853127.5,240900
2025-4-1,11:15,24.270,24.270,24.250,24.260,3515530.0,144900
2025-4-1,11:20,24.270,24.300,24.250,24.260,5777374.0,238000
2025-4-1,11:25,24.260,24.370,24.260,24.340,5653267.0,232400
2025-4-1,11:30,24.340,24.370,24.330,24.360,2410384.0,99000
2025-4-1,13:05,24.380,24.390,24.330,24.330,4499394.0,184700
2025-4-1,13:10,24.340,24.340,24.310,24.330,2271985.0,93400
2025-4-1,13:15,24.330,24.340,24.310,24.330,1687877.0,69400
2025-4-1,13:20,24.330,24.340,24.310,24.320,2019155.0,83000
2025-4-1,13:25,24.320,24.380,24.300,24.370,3106830.5,127700
2025-4-1,13:30,24.380,24.390,24.340,24.360,3102012.0,127300
2025-4-1,13:35,24.340,24.350,24.310,24.310,1622745.0,66700
2025-4-1,13:40,24.310,24.320,24.300,24.300,1900161.375,78200
2025-4-1,13:45,24.300,24.340,24.290,24.320,2070919.125,85200
2025-4-1,13:50,24.320,24.360,24.320,24.360,2198326.0,90300
2025-4-1,13:55,24.350,24.370,24.340,24.370,2335795.0,95900
2025-4-1,14:00,24.370,24.370,24.350,24.370,1296281.0,53200
2025-4-1,14:05,24.360,24.380,24.350,24.350,2458311.0,100900
2025-4-1,14:10,24.350,24.370,24.320,24.330,2684672.0,110300
2025-4-1,14:15,24.340,24.340,24.300,24.320,2964401.0,121900
2025-4-1,14:20,24.300,24.330,24.300,24.320,2482201.0,102100
2025-4-1,14:25,24.320,24.350,24.320,24.340,2817116.0,115800
2025-4-1,14:30,24.340,24.360,24.330,24.350,2654347.0,109000
2025-4-1,14:35,24.360,24.370,24.340,24.340,4425370.0,181700
2025-4-1,14:40,24.350,24.350,24.330,24.350,2295229.0,94300
2025-4-1,14:45,24.350,24.370,24.340,24.350,5328699.0,218800
2025-4-1,14:50,24.360,24.360,24.320,24.340,6829746.0,280600
2025-4-1,14:55,24.330,24.360,24.330,24.360,5431725.0,223100
2025-4-1,15:00,24.360,24.360,24.350,24.360,8316211.0,341400
2025-4-2,09:35,24.320,24.380,24.240,24.250,15086888.0,620700
2025-4-2,09:40,24.250,24.250,24.190,24.210,16579861.0,684700
2025-4-2,09:45,24.200,24.230,24.150,24.180,14032353.0,580200
2025-4-2,09:50,24.190,24.190,24.130,24.180,14096297.0,583600
2025-4-2,09:55,24.180,24.260,24.170,24.220,6819253.0,281700
2025-4-2,10:00,24.220,24.220,24.150,24.180,10461253.0,432700
2025-4-2,10:05,24.180,24.210,24.170,24.200,9695575.0,400900
2025-4-2,10:10,24.200,24.200,24.180,24.190,4568810.0,188900
2025-4-2,10:15,24.190,24.200,24.170,24.190,6996858.0,289300
2025-4-2,10:20,24.190,24.290,24.180,24.290,5241657.0,216300
2025-4-2,10:25,24.290,24.290,24.220,24.230,6381084.0,263200
2025-4-2,10:30,24.230,24.290,24.230,24.260,3346638.0,137900
2025-4-2,10:35,24.260,24.290,24.240,24.270,4162232.0,171500
2025-4-2,10:40,24.260,24.270,24.200,24.210,5253475.0,216900
2025-4-2,10:45,24.220,24.230,24.200,24.220,3319111.0,137100
2025-4-2,10:50,24.230,24.230,24.210,24.220,3989231.0,164700
2025-4-2,10:55,24.220,24.220,24.190,24.210,3983481.0,164600
2025-4-2,11:00,24.200,24.230,24.190,24.200,5295626.0,218800
2025-4-2,11:05,24.210,24.210,24.180,24.190,2854312.0,118000
2025-4-2,11:10,24.180,24.190,24.180,24.190,2237245.0,92500
2025-4-2,11:15,24.190,24.220,24.180,24.220,3159593.0,130600
2025-4-2,11:20,24.220,24.220,24.180,24.190,3080494.0,127300
2025-4-2,11:25,24.190,24.220,24.180,24.220,2518232.0,104100
2025-4-2,11:30,24.210,24.250,24.210,24.250,2110795.0,87100
2025-4-2,13:05,24.250,24.260,24.200,24.210,4333995.0,178900
2025-4-2,13:10,24.210,24.210,24.160,24.160,5464611.0,226000
2025-4-2,13:15,24.160,24.170,24.140,24.160,12057916.0,499200
2025-4-2,13:20,24.160,24.160,24.140,24.150,3707339.0,153500
2025-4-2,13:25,24.150,24.200,24.150,24.200,4125759.0,170700
2025-4-2,13:30,24.200,24.200,24.160,24.170,2731916.0,113000
2025-4-2,13:35,24.170,24.180,24.150,24.160,2977077.0,123200
2025-4-2,13:40,24.160,24.170,24.140,24.140,8602397.0,356200
2025-4-2,13:45,24.140,24.170,24.140,24.160,4457540.0,184600
2025-4-2,13:50,24.160,24.180,24.150,24.180,3896432.0,161300
2025-4-2,13:55,24.170,24.180,24.150,24.150,2546418.0,105400
2025-4-2,14:00,24.150,24.160,24.140,24.150,3427090.0,141900
2025-4-2,14:05,24.140,24.160,24.140,24.150,5959164.0,246800
2025-4-2,14:10,24.140,24.150,24.130,24.130,4963017.0,205600
2025-4-2,14:15,24.140,24.150,24.110,24.110,15015991.0,622400
2025-4-2,14:20,24.120,24.130,24.110,24.110,5891712.0,244300
2025-4-2,14:25,24.110,24.120,24.110,24.110,6751862.0,280000
2025-4-2,14:30,24.110,24.120,24.080,24.080,16479552.0,683900
2025-4-2,14:35,24.080,24.120,24.070,24.100,6888904.0,285900
2025-4-2,14:40,24.100,24.100,24.080,24.090,6659806.0,276500
2025-4-2,14:45,24.090,24.100,24.070,24.090,8703560.0,361400
2025-4-2,14:50,24.090,24.140,24.090,24.140,4879643.0,202400
2025-4-2,14:55,24.140,24.150,24.130,24.130,4991260.0,206800
2025-4-2,15:00,24.130,24.150,24.130,24.140,6390560.5,264700
2025-4-3,09:35,24.000,24.210,23.930,24.090,26355414.0,1095500
2025-4-3,09:40,24.100,24.150,24.070,24.120,9073027.0,376300
2025-4-3,09:45,24.120,24.170,24.080,24.160,5770725.0,239100
2025-4-3,09:50,24.150,24.160,24.120,24.140,6911356.0,286300
2025-4-3,09:55,24.130,24.140,24.080,24.080,7489787.0,310600
2025-4-3,10:00,24.070,24.120,24.060,24.100,3457755.0,143600
2025-4-3,10:05,24.100,24.150,24.080,24.090,5171272.0,214500
2025-4-3,10:10,24.100,24.100,24.020,24.040,9870442.0,410400
2025-4-3,10:15,24.050,24.050,24.020,24.040,5248396.0,218400
2025-4-3,10:20,24.030,24.110,24.030,24.110,2559403.0,106300
2025-4-3,10:25,24.120,24.220,24.110,24.190,14228231.0,588400
2025-4-3,10:30,24.190,24.480,24.180,24.390,28455192.0,1168500
2025-4-3,10:35,24.380,24.390,24.310,24.310,9228018.0,379100
2025-4-3,10:40,24.310,24.320,24.260,24.280,4348736.0,179000
2025-4-3,10:45,24.270,24.550,24.260,24.520,38287232.0,1566700
2025-4-3,10:50,24.510,24.780,24.460,24.700,66089120.0,2680800
2025-4-3,10:55,24.710,24.760,24.580,24.580,44925864.0,1819000
2025-4-3,11:00,24.580,24.620,24.530,24.550,10910928.0,443800
2025-4-3,11:05,24.530,24.570,24.520,24.540,6768290.0,275700
2025-4-3,11:10,24.530,24.550,24.510,24.550,5002402.0,203900
2025-4-3,11:15,24.550,24.570,24.510,24.510,2652780.0,108100
2025-4-3,11:20,24.510,24.520,24.450,24.460,3762794.0,153700
2025-4-3,11:25,24.470,24.500,24.460,24.470,2602284.0,106300
2025-4-3,11:30,24.470,24.480,24.400,24.450,5766211.0,236000
2025-4-3,13:05,24.450,24.460,24.420,24.450,3465593.0,141800
2025-4-3,13:10,24.440,24.440,24.350,24.350,4192099.0,171800
2025-4-3,13:15,24.360,24.390,24.360,24.390,2003188.0,82200
2025-4-3,13:20,24.390,24.400,24.380,24.400,2453691.0,100600
2025-4-3,13:25,24.400,24.430,24.400,24.400,3539812.0,145000
2025-4-3,13:30,24.400,24.410,24.370,24.370,4048290.0,166000
2025-4-3,13:35,24.370,24.390,24.370,24.380,2115984.0,86800
2025-4-3,13:40,24.380,24.400,24.370,24.390,2306663.0,94600
2025-4-3,13:45,24.390,24.420,24.380,24.390,1793313.0,73500
2025-4-3,13:50,24.380,24.410,24.380,24.410,1095347.0,44900
2025-4-3,13:55,24.410,24.590,24.400,24.590,7657068.5,312600
2025-4-3,14:00,24.590,24.640,24.520,24.520,11820719.0,480300
2025-4-3,14:05,24.520,24.580,24.520,24.550,2157752.0,87900
2025-4-3,14:10,24.540,24.560,24.530,24.550,2847248.0,116000
2025-4-3,14:15,24.550,24.550,24.520,24.540,4203542.0,171300
2025-4-3,14:20,24.550,24.640,24.550,24.630,12686804.0,516100
2025-4-3,14:25,24.630,24.630,24.590,24.610,7214614.0,293100
2025-4-3,14:30,24.610,24.610,24.580,24.590,5044718.0,205100
2025-4-3,14:35,24.590,24.630,24.590,24.610,9231695.0,375100
2025-4-3,14:40,24.600,24.610,24.590,24.600,4145125.0,168500
2025-4-3,14:45,24.600,24.600,24.560,24.570,4279129.0,174100
2025-4-3,14:50,24.570,24.570,24.550,24.570,5154529.0,209900
2025-4-3,14:55,24.560,24.570,24.550,24.560,5958479.0,242600
2025-4-3,15:00,24.560,24.560,24.550,24.560,6470735.0,263500
2025-4-7,09:35,23.800,24.460,23.510,24.460,79128264.0,3298900
2025-4-7,09:40,24.430,24.470,23.540,23.550,39320032.0,1642700
2025-4-7,09:45,23.530,23.860,23.520,23.750,32904412.0,1392500
2025-4-7,09:50,23.770,23.770,23.470,23.500,56502808.0,2394700
2025-4-7,09:55,23.500,23.500,23.150,23.420,36236240.0,1554600
2025-4-7,10:00,23.430,24.110,23.430,24.050,19588728.0,824200
2025-4-7,10:05,24.060,24.100,23.850,23.930,13056526.0,544300
2025-4-7,10:10,23.930,23.930,23.830,23.860,6514053.0,272700
2025-4-7,10:15,23.850,23.910,23.780,23.900,6614711.0,277400
2025-4-7,10:20,23.900,24.000,23.890,23.980,5301639.0,221300
2025-4-7,10:25,23.990,24.100,23.980,24.000,8591787.0,357200
2025-4-7,10:30,24.000,24.040,23.890,23.900,6296643.0,262800
2025-4-7,10:35,23.920,23.990,23.910,23.920,5102599.0,213000
2025-4-7,10:40,23.920,23.930,23.810,23.820,4287693.0,179800
2025-4-7,10:45,23.810,23.940,23.810,23.910,5157960.0,216000
2025-4-7,10:50,23.910,24.040,23.910,23.980,8677349.0,361800
2025-4-7,10:55,23.980,24.030,23.890,23.890,3254805.0,136000
2025-4-7,11:00,23.890,23.910,23.850,23.850,3141911.0,131600
2025-4-7,11:05,23.850,23.870,23.800,23.820,3678811.0,154400
2025-4-7,11:10,23.840,23.840,23.760,23.760,4611703.0,193700
2025-4-7,11:15,23.760,23.760,23.600,23.630,6921429.0,292300
2025-4-7,11:20,23.620,23.720,23.520,23.540,4757243.0,201200
2025-4-7,11:25,23.530,23.560,23.420,23.520,9386446.0,399800
2025-4-7,11:30,23.510,23.540,23.400,23.440,10288622.0,438700
2025-4-7,13:05,23.450,23.520,23.430,23.460,5242738.0,223500
2025-4-7,13:10,23.460,23.470,23.310,23.320,12591452.0,538500
2025-4-7,13:15,23.310,23.350,23.200,23.240,17049520.0,733000
2025-4-7,13:20,23.240,23.360,23.220,23.310,8752934.0,376000
2025-4-7,13:25,23.310,23.370,23.240,23.260,6474147.0,277700
2025-4-7,13:30,23.250,23.310,23.210,23.210,7554947.0,324700
2025-4-7,13:35,23.200,23.330,23.200,23.260,5203823.0,223800
2025-4-7,13:40,23.260,23.260,23.150,23.150,11953176.0,515100
2025-4-7,13:45,23.150,23.160,22.970,23.010,23219262.0,1007600
2025-4-7,13:50,23.010,23.100,23.010,23.100,6998814.0,303800
2025-4-7,13:55,23.090,23.130,23.080,23.110,5490791.0,237700
2025-4-7,14:00,23.110,23.210,23.080,23.100,4873496.0,210600
2025-4-7,14:05,23.090,23.090,22.880,22.880,13715303.0,597400
2025-4-7,14:10,22.890,22.890,22.680,22.680,20571788.0,902900
2025-4-7,14:15,22.680,22.750,22.660,22.680,12982544.0,571800
2025-4-7,14:20,22.680,22.730,22.650,22.670,13989079.0,616800
2025-4-7,14:25,22.670,22.930,22.640,22.930,13447675.0,592000
2025-4-7,14:30,22.930,22.990,22.890,22.900,5673022.0,247300
2025-4-7,14:35,22.900,23.190,22.870,23.190,10014550.0,436500
2025-4-7,14:40,23.190,23.300,23.120,23.130,6184539.0,266200
2025-4-7,14:45,23.160,23.200,23.070,23.100,7661047.0,331100
2025-4-7,14:50,23.140,23.140,22.910,22.930,7675478.0,333600
2025-4-7,14:55,22.930,23.100,22.910,23.090,10496144.0,456300
2025-4-7,15:00,23.080,23.100,23.080,23.090,11637547.0,504000
2025-4-8,09:35,22.940,23.700,22.940,23.620,49898464.0,2133600
2025-4-8,09:40,23.630,23.900,23.630,23.750,44332704.0,1864500
2025-4-8,09:45,23.710,23.820,23.710,23.740,33305952.0,1401400
2025-4-8,09:50,23.740,23.790,23.610,23.700,28248812.0,1192300
2025-4-8,09:55,23.720,23.730,23.460,23.500,30441142.0,1292500
2025-4-8,10:00,23.500,23.700,23.500,23.700,17647484.0,748400
2025-4-8,10:05,23.710,23.870,23.580,23.610,23603750.0,994200
2025-4-8,10:10,23.610,23.790,23.550,23.760,16347096.0,690500
2025-4-8,10:15,23.760,23.860,23.760,23.850,20857648.0,875900
2025-4-8,10:20,23.850,23.850,23.660,23.670,13084684.0,550300
2025-4-8,10:25,23.670,23.790,23.580,23.700,17020572.0,719000
2025-4-8,10:30,23.700,23.800,23.550,23.570,14544397.0,615200
2025-4-8,10:35,23.550,23.700,23.540,23.680,6562017.0,278100
2025-4-8,10:40,23.660,23.760,23.660,23.720,6556125.0,276400
2025-4-8,10:45,23.730,23.770,23.680,23.680,6586176.0,277600
2025-4-8,10:50,23.700,23.730,23.630,23.730,8684326.0,366700
2025-4-8,10:55,23.730,23.800,23.730,23.770,11888135.0,500200
2025-4-8,11:00,23.770,23.790,23.750,23.780,6096353.0,256400
2025-4-8,11:05,23.780,23.870,23.780,23.860,19226280.0,806300
