日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,585.570,595.600,585.570,591.100,425608512.0,720200
2025-6-30,09:40,591.000,600.780,590.010,600.000,373077024.0,625300
2025-6-30,09:45,599.500,599.980,593.810,594.150,190978720.0,319800
2025-6-30,09:50,596.100,602.140,596.100,602.030,218673344.0,364900
2025-6-30,09:55,602.130,603.490,599.490,602.550,201164272.0,334200
2025-6-30,10:00,601.900,604.600,601.000,603.900,163217104.0,270700
2025-6-30,10:05,603.530,604.000,601.000,601.500,167218640.0,277600
2025-6-30,10:10,601.470,601.500,598.060,598.510,89422592.0,149100
2025-6-30,10:15,598.510,601.000,598.200,600.350,59296928.0,98900
2025-6-30,10:20,599.980,600.280,598.980,599.440,51491576.0,85900
2025-6-30,10:25,599.500,601.000,598.500,600.030,58814204.0,98100
2025-6-30,10:30,600.400,603.460,599.000,603.010,115884800.0,192600
2025-6-30,10:35,603.090,607.880,602.320,607.760,203544640.0,336500
2025-6-30,10:40,607.740,611.120,606.030,608.500,277769888.0,455800
2025-6-30,10:45,607.010,611.010,607.010,610.310,154848144.0,253900
2025-6-30,10:50,610.310,612.940,608.410,609.290,135937824.0,222400
2025-6-30,10:55,609.260,610.970,607.510,607.510,74505032.0,122400
2025-6-30,11:00,607.510,608.980,607.160,607.160,43986012.0,72300
2025-6-30,11:05,607.160,608.200,606.100,606.100,54251000.0,89300
2025-6-30,11:10,606.100,607.960,606.100,607.960,28684256.0,47300
2025-6-30,11:15,607.960,608.000,607.080,607.870,27028180.0,44400
2025-6-30,11:20,607.870,607.870,606.800,606.980,17363454.0,28600
2025-6-30,11:25,606.540,608.840,606.540,608.840,32736228.0,53900
2025-6-30,11:30,608.780,608.850,607.680,607.680,14518526.0,23800
2025-6-30,13:05,607.500,608.900,605.600,607.980,53758652.0,88600
2025-6-30,13:10,607.980,607.990,606.140,606.550,41140856.0,67700
2025-6-30,13:15,607.090,609.490,607.090,607.490,37738464.0,62100
2025-6-30,13:20,607.500,608.000,606.550,606.900,33202656.0,54700
2025-6-30,13:25,606.920,608.000,606.630,607.070,35922876.0,59100
2025-6-30,13:30,608.000,608.000,606.890,606.910,27422212.0,45200
2025-6-30,13:35,606.810,606.910,605.460,605.520,37125324.0,61200
2025-6-30,13:40,605.510,605.520,603.200,603.900,52950804.0,87600
2025-6-30,13:45,604.000,604.150,603.030,603.330,44666688.0,74000
2025-6-30,13:50,603.500,604.120,601.540,602.790,67660104.0,112300
2025-6-30,13:55,602.780,602.820,601.200,602.820,35680312.0,59300
2025-6-30,14:00,602.830,604.970,602.660,604.200,42726872.0,70700
2025-6-30,14:05,604.190,604.860,604.120,604.130,21026776.0,34800
2025-6-30,14:10,604.200,604.500,603.820,604.000,19440474.0,32200
2025-6-30,14:15,604.000,604.330,602.070,602.070,33641608.0,55800
2025-6-30,14:20,602.070,603.410,602.070,602.200,40418612.0,67000
2025-6-30,14:25,602.210,602.740,601.390,601.650,42555324.0,70700
2025-6-30,14:30,601.400,602.030,600.000,600.110,96390424.0,160400
2025-6-30,14:35,600.710,602.000,600.500,601.540,58759136.0,97700
