日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,64.100,65.100,64.100,64.670,102432048.0,1584300
2025-6-30,09:40,64.630,65.100,64.610,65.100,84874728.0,1307100
2025-6-30,09:45,65.070,65.090,64.900,65.000,73932680.0,1137000
2025-6-30,09:50,65.000,65.880,65.000,65.870,177878304.0,2716000
2025-6-30,09:55,65.880,65.970,65.530,65.550,91513448.0,1391800
2025-6-30,10:00,65.550,65.760,65.520,65.520,52590184.0,801100
2025-6-30,10:05,65.520,65.650,65.470,65.560,57521096.0,877500
2025-6-30,10:10,65.570,65.890,65.570,65.740,55221952.0,839500
2025-6-30,10:15,65.740,65.900,65.680,65.850,49382016.0,750300
2025-6-30,10:20,65.850,65.850,65.700,65.710,19364138.0,294300
2025-6-30,10:25,65.720,65.850,65.720,65.850,33705016.0,512300
2025-6-30,10:30,65.850,65.990,65.850,65.960,77162216.0,1170600
2025-6-30,10:35,65.960,65.960,65.810,65.850,24530644.0,372300
2025-6-30,10:40,65.830,65.940,65.820,65.840,27626796.0,419300
2025-6-30,10:45,65.840,65.860,65.680,65.800,17126168.0,260300
2025-6-30,10:50,65.810,65.880,65.760,65.780,24283392.0,368800
2025-6-30,10:55,65.770,65.770,65.650,65.650,27267394.0,415000
2025-6-30,11:00,65.650,65.780,65.600,65.750,15464911.0,235400
2025-6-30,11:05,65.750,66.420,65.750,66.110,136441136.0,2064200
2025-6-30,11:10,66.110,66.110,65.950,65.980,22917892.0,347000
2025-6-30,11:15,65.990,66.000,65.790,65.810,12740537.0,193400
2025-6-30,11:20,65.820,65.830,65.760,65.790,13404967.0,203700
2025-6-30,11:25,65.760,65.840,65.710,65.710,8518543.0,129500
2025-6-30,11:30,65.710,65.790,65.710,65.790,7786097.0,118400
2025-6-30,13:05,65.790,65.790,65.670,65.670,16692171.0,253900
2025-6-30,13:10,65.670,65.820,65.660,65.810,10533570.0,160300
2025-6-30,13:15,65.810,65.940,65.810,65.860,13448955.0,204200
2025-6-30,13:20,65.880,65.910,65.800,65.910,8370127.0,127100
2025-6-30,13:25,65.910,65.970,65.880,65.940,13357495.0,202600
