日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,4.280,4.280,4.210,4.220,102128728.0,24109900
2024-1-2,09:40,4.220,4.240,4.210,4.230,54085368.0,12812600
2024-1-2,09:45,4.230,4.230,4.210,4.230,28320672.0,6705300
2024-1-2,09:50,4.230,4.250,4.220,4.250,42329700.0,9993100
2024-1-2,09:55,4.250,4.250,4.230,4.230,21816392.0,5143200
2024-1-2,10:00,4.230,4.240,4.230,4.230,15414824.0,3640200
2024-1-2,10:05,4.240,4.250,4.230,4.240,19650736.0,4633100
2024-1-2,10:10,4.250,4.250,4.240,4.240,17834332.0,4199400
2024-1-2,10:15,4.250,4.250,4.230,4.230,29497698.0,6961900
2024-1-2,10:20,4.240,4.240,4.220,4.230,34311084.0,8108100
2024-1-2,10:25,4.240,4.250,4.230,4.250,20882330.0,4931500
2024-1-2,10:30,4.250,4.250,4.230,4.250,16871092.0,3977700
2024-1-2,10:35,4.240,4.250,4.230,4.240,21259364.0,5011700
2024-1-2,10:40,4.250,4.250,4.240,4.240,9132126.0,2152400
2024-1-2,10:45,4.250,4.250,4.240,4.240,7280344.0,1715700
2024-1-2,10:50,4.250,4.250,4.240,4.240,9837695.0,2319600
2024-1-2,10:55,4.240,4.250,4.230,4.230,21051224.0,4971800
2024-1-2,11:00,4.240,4.240,4.220,4.230,20537450.0,4857600
2024-1-2,11:05,4.240,4.250,4.230,4.250,18263314.0,4311500
2024-1-2,11:10,4.250,4.260,4.240,4.260,46034280.0,10813700
2024-1-2,11:15,4.260,4.270,4.250,4.260,21386816.0,5019400
2024-1-2,11:20,4.260,4.260,4.250,4.260,9469198.0,2225500
2024-1-2,11:25,4.260,4.270,4.250,4.270,12510880.0,2939700
2024-1-2,11:30,4.270,4.270,4.250,4.260,17990652.0,4227200
2024-1-2,13:05,4.250,4.250,4.240,4.250,11648461.0,2742300
2024-1-2,13:10,4.250,4.260,4.250,4.260,14898233.0,3500900
2024-1-2,13:15,4.260,4.260,4.250,4.260,14737350.0,3460400
2024-1-2,13:20,4.260,4.260,4.240,4.250,27631046.0,6499300
2024-1-2,13:25,4.250,4.260,4.250,4.250,14146446.0,3323900
2024-1-2,13:30,4.250,4.280,4.250,4.280,26334008.0,6174000
2024-1-2,13:35,4.280,4.280,4.260,4.280,15704984.0,3676400
2024-1-2,13:40,4.280,4.300,4.270,4.290,52505148.0,12250600
2024-1-2,13:45,4.280,4.300,4.270,4.280,30023024.0,7009300
2024-1-2,13:50,4.270,4.280,4.270,4.270,14188823.0,3320900
2024-1-2,13:55,4.260,4.280,4.260,4.280,13487287.0,3158000
2024-1-2,14:00,4.280,4.280,4.270,4.280,11462086.0,2681000
2024-1-2,14:05,4.280,4.290,4.270,4.290,22087498.0,5157800
2024-1-2,14:10,4.280,4.300,4.280,4.290,21702834.0,5059700
2024-1-2,14:15,4.300,4.300,4.290,4.300,15029858.0,3498900
2024-1-2,14:20,4.300,4.300,4.280,4.290,26937032.0,6285200
2024-1-2,14:25,4.280,4.290,4.280,4.280,17327072.0,4044400
2024-1-2,14:30,4.290,4.290,4.280,4.280,16425571.0,3833200
2024-1-2,14:35,4.290,4.300,4.280,4.290,42708932.0,9949600
2024-1-2,14:40,4.290,4.300,4.280,4.290,16325190.0,3804400
2024-1-2,14:45,4.290,4.290,4.280,4.280,16764502.0,3911700
2024-1-2,14:50,4.280,4.290,4.270,4.280,28400358.0,6637800
2024-1-2,14:55,4.270,4.280,4.270,4.280,16905796.0,3956500
2024-1-2,15:00,4.280,4.280,4.270,4.270,16647226.0,3897300
2024-1-3,09:35,4.270,4.330,4.260,4.290,99190872.0,23113100
2024-1-3,09:40,4.290,4.290,4.270,4.270,39354052.0,9199400
2024-1-3,09:45,4.270,4.290,4.270,4.280,27868026.0,6506800
2024-1-3,09:50,4.280,4.300,4.280,4.290,23128676.0,5386000
2024-1-3,09:55,4.290,4.300,4.290,4.300,19177512.0,4464200
2024-1-3,10:00,4.300,4.300,4.280,4.280,27017380.0,6298000
2024-1-3,10:05,4.280,4.300,4.280,4.290,32619104.0,7600700
2024-1-3,10:10,4.290,4.300,4.280,4.290,20011412.0,4664800
2024-1-3,10:15,4.290,4.290,4.270,4.270,39716328.0,9270900
2024-1-3,10:20,4.270,4.280,4.270,4.280,17454386.0,4084900
2024-1-3,10:25,4.280,4.280,4.270,4.280,10300204.0,2409800
2024-1-3,10:30,4.270,4.280,4.260,4.260,21516504.0,5042700
2024-1-3,10:35,4.260,4.270,4.260,4.260,15524968.0,3641400
2024-1-3,10:40,4.270,4.270,4.250,4.250,28539884.0,6707200
2024-1-3,10:45,4.250,4.260,4.240,4.250,17897518.0,4210300
2024-1-3,10:50,4.250,4.260,4.250,4.250,11624916.0,2734200
2024-1-3,10:55,4.260,4.260,4.240,4.250,17503548.0,4119700
2024-1-3,11:00,4.240,4.260,4.240,4.250,22036064.0,5185600
2024-1-3,11:05,4.250,4.260,4.240,4.240,19073136.0,4490500
2024-1-3,11:10,4.250,4.250,4.240,4.250,13537413.0,3188100
2024-1-3,11:15,4.240,4.250,4.240,4.250,11499164.0,2709700
2024-1-3,11:20,4.250,4.250,4.230,4.240,19274520.0,4547100
2024-1-3,11:25,4.240,4.250,4.230,4.240,21149898.0,4989900
2024-1-3,11:30,4.240,4.240,4.230,4.240,12748775.0,3011300
2024-1-3,13:05,4.230,4.230,4.220,4.230,26403774.0,6247800
2024-1-3,13:10,4.230,4.230,4.220,4.230,10899806.0,2580400
2024-1-3,13:15,4.220,4.240,4.220,4.220,40364764.0,9543800
2024-1-3,13:20,4.230,4.240,4.220,4.230,32796108.0,7752900
2024-1-3,13:25,4.230,4.240,4.220,4.240,16715154.0,3951200
2024-1-3,13:30,4.230,4.240,4.220,4.220,13806476.0,3264700
2024-1-3,13:35,4.220,4.240,4.220,4.230,11652355.0,2755900
2024-1-3,13:40,4.220,4.240,4.220,4.240,13808436.0,3263200
2024-1-3,13:45,4.230,4.240,4.220,4.220,18763444.0,4438900
2024-1-3,13:50,4.230,4.230,4.220,4.230,8995621.0,2130000
2024-1-3,13:55,4.220,4.230,4.220,4.230,11472667.0,2715600
