日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,23.780,23.780,23.540,23.600,26862620.0,1137200
2024-1-2,09:40,23.570,23.710,23.560,23.670,13644149.0,577400
2024-1-2,09:45,23.650,23.710,23.640,23.700,14321117.0,604600
2024-1-2,09:50,23.700,23.750,23.680,23.710,9300328.0,392200
2024-1-2,09:55,23.700,23.790,23.700,23.790,14165255.0,596200
2024-1-2,10:00,23.790,23.890,23.770,23.870,21238348.0,891000
2024-1-2,10:05,23.860,24.160,23.860,24.100,43589496.0,1815000
2024-1-2,10:10,24.100,24.140,24.070,24.130,35709216.0,1481800
2024-1-2,10:15,24.140,24.150,24.060,24.060,24778416.0,1027300
2024-1-2,10:20,24.060,24.110,24.020,24.020,16496782.0,685500
2024-1-2,10:25,24.020,24.020,23.910,23.930,13601216.0,567600
2024-1-2,10:30,23.930,23.960,23.900,23.910,13102521.0,547500
2024-1-2,10:35,23.900,23.970,23.900,23.950,12423754.0,519100
2024-1-2,10:40,23.970,23.990,23.940,23.960,6340600.0,264600
2024-1-2,10:45,23.960,23.980,23.870,23.880,11515474.0,481500
2024-1-2,10:50,23.880,23.920,23.830,23.880,9583338.0,401400
2024-1-2,10:55,23.910,23.910,23.810,23.830,14653389.0,614200
2024-1-2,11:00,23.790,23.860,23.780,23.860,9391787.0,394400
2024-1-2,11:05,23.850,23.900,23.840,23.870,7320697.0,306700
2024-1-2,11:10,23.890,23.920,23.870,23.900,6052464.0,253300
2024-1-2,11:15,23.920,23.930,23.870,23.930,9873976.0,413200
2024-1-2,11:20,23.950,23.960,23.870,23.880,8625556.0,360800
2024-1-2,11:25,23.890,23.900,23.840,23.850,11525391.0,482800
2024-1-2,11:30,23.870,23.890,23.840,23.880,6523285.0,273400
2024-1-2,13:05,23.890,23.930,23.850,23.910,17288860.0,723700
2024-1-2,13:10,23.910,23.960,23.910,23.950,8710350.0,363800
2024-1-2,13:15,23.950,23.960,23.940,23.960,5124791.0,214000
2024-1-2,13:20,23.950,23.960,23.890,23.900,15661330.0,655200
2024-1-2,13:25,23.900,23.930,23.870,23.870,8324897.0,348400
2024-1-2,13:30,23.880,23.930,23.870,23.900,8030357.0,336000
2024-1-2,13:35,23.900,23.910,23.870,23.890,6517037.0,272700
2024-1-2,13:40,23.890,23.930,23.870,23.900,6353804.0,265900
2024-1-2,13:45,23.920,23.960,23.910,23.930,8762308.0,366100
2024-1-2,13:50,23.930,23.950,23.910,23.920,6308032.0,263600
2024-1-2,13:55,23.900,23.920,23.870,23.910,7787208.0,326000
2024-1-2,14:00,23.890,23.940,23.890,23.930,7821000.0,327000
2024-1-2,14:05,23.940,23.950,23.890,23.890,8821256.0,368600
2024-1-2,14:10,23.900,23.950,23.890,23.910,11359362.0,474900
2024-1-2,14:15,23.920,23.960,23.910,23.910,15526141.0,648900
2024-1-2,14:20,23.920,23.930,23.880,23.920,18412812.0,770200
2024-1-2,14:25,23.920,23.950,23.900,23.910,13540560.0,565800
2024-1-2,14:30,23.900,23.930,23.900,23.930,9944992.0,415800
2024-1-2,14:35,23.910,23.940,23.890,23.900,9504545.0,397400
2024-1-2,14:40,23.900,23.910,23.850,23.870,10366571.0,434100
2024-1-2,14:45,23.860,23.900,23.830,23.850,12105914.0,507300
2024-1-2,14:50,23.850,23.860,23.800,23.810,13951678.0,585600
2024-1-2,14:55,23.810,23.840,23.800,23.800,13771010.0,578200
2024-1-2,15:00,23.800,23.860,23.800,23.820,21477550.0,901600
2024-1-3,09:35,23.710,24.080,23.710,24.080,39959640.0,1672200
2024-1-3,09:40,24.080,24.230,24.080,24.170,54389128.0,2250700
2024-1-3,09:45,24.180,24.180,24.020,24.020,12580391.0,522800
2024-1-3,09:50,24.030,24.220,24.000,24.210,24865948.0,1029800
2024-1-3,09:55,24.210,24.360,24.180,24.310,56553576.0,2330100
2024-1-3,10:00,24.310,24.340,24.250,24.340,31600102.0,1300800
2024-1-3,10:05,24.340,24.340,24.200,24.280,22394050.0,922300
2024-1-3,10:10,24.300,24.350,24.220,24.240,26000116.0,1070000
2024-1-3,10:15,24.230,24.230,24.100,24.160,16242782.0,671800
2024-1-3,10:20,24.160,24.170,24.070,24.070,12118440.0,502800
2024-1-3,10:25,24.070,24.110,24.050,24.060,11579618.0,480900
2024-1-3,10:30,24.060,24.110,24.030,24.060,11711226.0,486700
2024-1-3,10:35,24.060,24.100,24.050,24.070,7924527.0,329200
2024-1-3,10:40,24.080,24.080,24.030,24.030,5667272.0,235700
2024-1-3,10:45,24.030,24.070,24.030,24.060,5312647.0,220900
2024-1-3,10:50,24.060,24.080,24.030,24.070,5687060.0,236500
2024-1-3,10:55,24.070,24.070,24.030,24.050,4014574.0,166900
2024-1-3,11:00,24.050,24.120,24.040,24.100,8024605.0,333200
2024-1-3,11:05,24.100,24.110,24.060,24.080,4801180.0,199300
2024-1-3,11:10,24.080,24.110,24.060,24.060,7908155.0,328300
2024-1-3,11:15,24.070,24.120,24.070,24.090,7823515.0,324700
2024-1-3,11:20,24.090,24.120,24.030,24.040,10392660.0,431900
2024-1-3,11:25,24.040,24.100,24.040,24.070,7422910.0,308500
2024-1-3,11:30,24.070,24.110,24.050,24.080,5589271.0,232100
2024-1-3,13:05,24.080,24.120,24.050,24.050,7669629.0,318500
2024-1-3,13:10,24.060,24.090,24.050,24.080,6517770.0,270800
2024-1-3,13:15,24.080,24.090,24.030,24.050,6047519.0,251300
2024-1-3,13:20,24.050,24.080,24.020,24.040,8422183.0,350200
2024-1-3,13:25,24.040,24.050,24.010,24.020,6967184.0,290000
2024-1-3,13:30,24.020,24.050,24.000,24.040,8048488.0,335000
2024-1-3,13:35,24.030,24.060,24.010,24.040,6002275.0,249700
2024-1-3,13:40,24.050,24.130,24.050,24.060,8016266.0,332800
2024-1-3,13:45,24.050,24.090,24.020,24.050,6839384.0,284300
2024-1-3,13:50,24.050,24.070,24.030,24.040,5820115.0,242000
2024-1-3,13:55,24.040,24.050,24.020,24.030,5230594.0,217600
2024-1-3,14:00,24.050,24.070,24.020,24.030,7201597.0,299500
2024-1-3,14:05,24.030,24.060,24.010,24.050,7299421.0,303700
2024-1-3,14:10,24.060,24.070,24.010,24.050,6727724.0,279900
2024-1-3,14:15,24.050,24.070,24.030,24.050,4064524.0,169000
2024-1-3,14:20,24.040,24.120,24.040,24.100,8757817.0,363700
2024-1-3,14:25,24.100,24.120,24.070,24.100,9132796.0,379100
2024-1-3,14:30,24.120,24.170,24.120,24.140,12444210.0,515500
2024-1-3,14:35,24.140,24.190,24.090,24.110,9477804.0,392600
2024-1-3,14:40,24.120,24.140,24.090,24.130,11497920.0,476800
2024-1-3,14:45,24.130,24.190,24.110,24.150,12126311.0,502100
2024-1-3,14:50,24.180,24.180,24.120,24.120,19581090.0,811100
2024-1-3,14:55,24.120,24.130,24.090,24.100,15603380.0,647200
2024-1-3,15:00,24.090,24.140,24.080,24.140,13358322.0,553600
2024-1-4,09:35,24.070,24.490,23.950,24.400,90420176.0,3715600
2024-1-4,09:40,24.390,24.450,24.310,24.310,47361412.0,1941900
2024-1-4,09:45,24.320,24.410,24.310,24.320,27869658.0,1144400
2024-1-4,09:50,24.340,24.390,24.320,24.390,22389740.0,919500
2024-1-4,09:55,24.390,24.500,24.320,24.460,50780772.0,2079400
2024-1-4,10:00,24.460,24.490,24.360,24.360,29391352.0,1201700
2024-1-4,10:05,24.350,24.350,24.220,24.240,21113946.0,869200
2024-1-4,10:10,24.240,24.310,24.230,24.280,11112048.0,458100
2024-1-4,10:15,24.280,24.320,24.220,24.290,13252367.0,546200
2024-1-4,10:20,24.280,24.320,24.240,24.290,11093143.0,456900
2024-1-4,10:25,24.270,24.300,24.240,24.290,11108540.0,457700
2024-1-4,10:30,24.280,24.320,24.250,24.280,11339193.0,466900
2024-1-4,10:35,24.260,24.260,24.210,24.210,10404507.0,429300
2024-1-4,10:40,24.210,24.220,24.160,24.200,14418558.0,596100
2024-1-4,10:45,24.200,24.240,24.150,24.170,18478908.0,764100
2024-1-4,10:50,24.170,24.220,24.140,24.200,7314729.0,302500
2024-1-4,10:55,24.190,24.220,24.180,24.220,7209173.0,297900
2024-1-4,11:00,24.200,24.220,24.110,24.110,11792168.0,487900
2024-1-4,11:05,24.110,24.150,24.100,24.150,9709351.0,402400
2024-1-4,11:10,24.140,24.210,24.110,24.160,11122229.0,460400
2024-1-4,11:15,24.160,24.250,24.160,24.200,10082733.0,416500
2024-1-4,11:20,24.250,24.250,24.180,24.180,8245301.0,340600
2024-1-4,11:25,24.210,24.210,24.100,24.110,10197446.0,422300
2024-1-4,11:30,24.100,24.180,24.090,24.130,9786937.0,405700
2024-1-4,13:05,24.130,24.140,24.060,24.130,10417175.0,432200
2024-1-4,13:10,24.130,24.140,24.050,24.090,9532093.0,395700
2024-1-4,13:15,24.090,24.140,24.080,24.140,7369833.0,305700
2024-1-4,13:20,24.140,24.170,24.120,24.150,8265003.0,342200
2024-1-4,13:25,24.140,24.170,24.100,24.120,7586754.0,314300
2024-1-4,13:30,24.130,24.180,24.110,24.140,8233461.0,341000
2024-1-4,13:35,24.130,24.160,24.120,24.140,6612042.0,273900
2024-1-4,13:40,24.130,24.150,24.120,24.140,7273696.0,301400
2024-1-4,13:45,24.120,24.150,24.100,24.110,8335149.0,345500
2024-1-4,13:50,24.110,24.120,24.010,24.030,15515708.0,645100
2024-1-4,13:55,24.020,24.060,24.010,24.040,12206347.0,507900
2024-1-4,14:00,24.040,24.090,24.020,24.050,11751752.0,488800
2024-1-4,14:05,24.050,24.060,24.020,24.060,8261708.0,343600
2024-1-4,14:10,24.050,24.130,24.050,24.120,10898578.0,452400
2024-1-4,14:15,24.120,24.150,24.090,24.090,12687192.0,526000
2024-1-4,14:20,24.110,24.140,24.050,24.110,9233611.0,383200
2024-1-4,14:25,24.120,24.150,24.080,24.130,11540436.0,478400
2024-1-4,14:30,24.130,24.150,24.100,24.130,10418878.0,431900
2024-1-4,14:35,24.120,24.180,24.110,24.170,10823750.0,448300
2024-1-4,14:40,24.170,24.230,24.160,24.200,16883796.0,697700
2024-1-4,14:45,24.190,24.190,24.150,24.160,10480111.0,433600
2024-1-4,14:50,24.160,24.190,24.150,24.170,11699697.0,484100
