日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,31.080,31.190,30.940,30.990,23480078.0,755800
2024-1-2,09:40,30.990,31.010,30.920,30.960,12899859.0,416500
2024-1-2,09:45,30.980,31.050,30.920,31.020,11649888.0,375800
2024-1-2,09:50,31.010,31.130,31.010,31.120,5726564.0,184300
2024-1-2,09:55,31.130,31.200,31.060,31.070,9678246.0,310700
2024-1-2,10:00,31.070,31.180,31.020,31.180,9532052.0,306200
2024-1-2,10:05,31.190,31.340,31.160,31.310,17676136.0,565700
2024-1-2,10:10,31.300,31.340,31.180,31.200,15112993.0,483300
2024-1-2,10:15,31.210,31.260,31.140,31.150,7644382.0,244900
2024-1-2,10:20,31.160,31.170,31.080,31.080,7785351.0,250200
2024-1-2,10:25,31.050,31.050,30.920,30.930,13124811.0,423600
2024-1-2,10:30,30.930,30.960,30.910,30.920,9075690.0,293400
2024-1-2,10:35,30.920,30.920,30.820,30.890,11750680.0,380700
2024-1-2,10:40,30.900,30.980,30.890,30.960,4942886.0,159700
2024-1-2,10:45,30.960,30.980,30.930,30.940,4470114.0,144400
2024-1-2,10:50,30.940,30.950,30.890,30.890,3409387.0,110300
2024-1-2,10:55,30.890,30.890,30.840,30.840,4448346.0,144100
2024-1-2,11:00,30.840,30.850,30.800,30.840,6293776.0,204200
2024-1-2,11:05,30.840,30.870,30.830,30.870,2686823.0,87100
2024-1-2,11:10,30.870,30.890,30.830,30.890,3203614.0,103800
2024-1-2,11:15,30.920,30.920,30.860,30.910,4246196.0,137500
2024-1-2,11:20,30.910,30.930,30.890,30.900,2355391.0,76200
2024-1-2,11:25,30.920,30.920,30.850,30.890,2473351.0,80100
2024-1-2,11:30,30.900,30.910,30.870,30.870,1702331.0,55100
2024-1-2,13:05,30.870,30.980,30.870,30.900,4119805.0,133300
2024-1-2,13:10,30.910,31.040,30.910,31.030,5361707.0,173000
2024-1-2,13:15,31.030,31.070,31.010,31.060,2412067.0,77700
2024-1-2,13:20,31.050,31.060,31.000,31.020,5554251.0,179000
2024-1-2,13:25,31.020,31.060,31.010,31.040,3352246.0,108000
2024-1-2,13:30,31.050,31.160,31.050,31.150,6063933.0,194900
2024-1-2,13:35,31.130,31.240,31.110,31.180,21040014.0,674800
2024-1-2,13:40,31.180,31.240,31.170,31.200,9740577.0,312200
2024-1-2,13:45,31.220,31.220,31.190,31.220,7495633.0,240200
2024-1-2,13:50,31.210,31.220,31.190,31.210,3813285.0,122200
2024-1-2,13:55,31.200,31.220,31.160,31.210,10205503.0,327200
2024-1-2,14:00,31.220,31.310,31.210,31.290,17134644.0,547800
2024-1-2,14:05,31.300,31.330,31.220,31.220,6985382.0,223200
2024-1-2,14:10,31.250,31.260,31.220,31.260,5554341.0,177800
2024-1-2,14:15,31.250,31.300,31.230,31.280,7390879.0,236500
2024-1-2,14:20,31.290,31.320,31.250,31.270,10064787.0,321600
2024-1-2,14:25,31.280,31.300,31.250,31.260,7435099.0,237700
2024-1-2,14:30,31.260,31.290,31.220,31.250,10610281.0,339400
2024-1-2,14:35,31.280,31.320,31.250,31.280,8438382.0,269700
2024-1-2,14:40,31.290,31.310,31.250,31.250,9613277.0,307400
2024-1-2,14:45,31.250,31.280,31.210,31.220,6286304.0,201200
2024-1-2,14:50,31.220,31.250,31.180,31.190,11248023.0,360500
2024-1-2,14:55,31.190,31.250,31.190,31.220,16230940.0,519800
2024-1-2,15:00,31.220,31.300,31.200,31.200,9363104.0,299800
2024-1-3,09:35,31.020,31.860,30.990,31.850,53206136.0,1690500
2024-1-3,09:40,31.890,32.100,31.600,31.630,51667728.0,1620200
2024-1-3,09:45,31.620,31.690,31.550,31.650,15138523.0,478800
2024-1-3,09:50,31.630,31.810,31.570,31.800,21205768.0,669500
2024-1-3,09:55,31.810,31.980,31.780,31.900,22394480.0,702300
2024-1-3,10:00,31.920,31.970,31.760,31.880,22731568.0,712800
2024-1-3,10:05,31.900,31.920,31.730,31.820,17812802.0,559500
2024-1-3,10:10,31.820,31.930,31.800,31.860,15103431.0,474000
2024-1-3,10:15,31.870,31.890,31.730,31.730,14171741.0,445000
2024-1-3,10:20,31.750,31.750,31.630,31.630,10916396.0,344400
2024-1-3,10:25,31.630,31.640,31.560,31.620,7031587.0,222500
2024-1-3,10:30,31.640,31.640,31.540,31.540,6691009.0,211900
2024-1-3,10:35,31.540,31.580,31.500,31.500,10784348.0,341900
2024-1-3,10:40,31.500,31.530,31.460,31.490,6890528.0,218800
2024-1-3,10:45,31.500,31.540,31.480,31.500,5547450.0,176100
2024-1-3,10:50,31.500,31.520,31.450,31.510,5731920.0,182000
2024-1-3,10:55,31.510,31.510,31.480,31.500,2034756.0,64600
2024-1-3,11:00,31.500,31.620,31.490,31.590,4550831.0,144200
2024-1-3,11:05,31.590,31.610,31.540,31.580,4143517.0,131200
2024-1-3,11:10,31.600,31.620,31.570,31.590,3241566.0,102600
2024-1-3,11:15,31.580,31.600,31.520,31.520,3105929.0,98400
2024-1-3,11:20,31.540,31.570,31.500,31.500,4093881.0,129800
2024-1-3,11:25,31.490,31.530,31.470,31.470,3370169.0,107000
2024-1-3,11:30,31.470,31.470,31.410,31.420,6970612.0,221700
2024-1-3,13:05,31.410,31.460,31.370,31.370,13157117.0,418900
2024-1-3,13:10,31.360,31.360,31.300,31.330,14338320.0,457800
2024-1-3,13:15,31.340,31.370,31.280,31.290,7107315.0,226900
2024-1-3,13:20,31.300,31.300,31.230,31.250,29702688.0,950100
2024-1-3,13:25,31.250,31.270,31.220,31.250,9251424.0,296100
2024-1-3,13:30,31.260,31.310,31.240,31.310,7649610.0,244600
2024-1-3,13:35,31.310,31.340,31.270,31.310,6819299.0,217800
2024-1-3,13:40,31.300,31.440,31.300,31.400,7501283.0,238900
2024-1-3,13:45,31.390,31.440,31.370,31.410,6034611.0,192200
2024-1-3,13:50,31.410,31.410,31.370,31.400,4383256.0,139600
2024-1-3,13:55,31.390,31.400,31.340,31.340,3065623.0,97700
2024-1-3,14:00,31.350,31.390,31.340,31.350,4555057.0,145200
2024-1-3,14:05,31.360,31.410,31.320,31.410,4558754.0,145400
2024-1-3,14:10,31.390,31.420,31.380,31.410,3378592.0,107600
