日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-4-1,09:35,25.100,25.240,24.630,24.960,48606080.0,1943300
2024-4-1,09:40,24.930,25.300,24.750,24.970,26643468.0,1065500
2024-4-1,09:45,24.970,24.990,24.820,24.820,17995780.0,722900
2024-4-1,09:50,24.810,24.860,24.690,24.800,17082990.0,689400
2024-4-1,09:55,24.780,24.900,24.750,24.880,12580994.0,506600
2024-4-1,10:00,24.880,25.130,24.840,25.080,11859704.0,474300
2024-4-1,10:05,25.070,25.100,24.940,25.040,8554640.0,342300
2024-4-1,10:10,25.040,25.210,25.020,25.020,9640819.0,383900
2024-4-1,10:15,25.030,25.210,25.000,25.140,15695901.0,625300
2024-4-1,10:20,25.150,25.220,25.000,25.060,6252429.0,248800
2024-4-1,10:25,25.080,25.200,25.080,25.200,5533841.0,219900
2024-4-1,10:30,25.200,25.260,25.160,25.180,12527145.0,496700
2024-4-1,10:35,25.220,25.220,25.050,25.060,6015451.0,239700
2024-4-1,10:40,25.060,25.060,25.010,25.010,5545285.0,221600
2024-4-1,10:45,25.010,25.200,25.010,25.050,6368427.0,253400
2024-4-1,10:50,25.040,25.150,25.020,25.100,3636461.0,145000
2024-4-1,10:55,25.100,25.120,25.070,25.080,2431142.0,96900
2024-4-1,11:00,25.080,25.120,25.050,25.120,1607124.0,64100
2024-4-1,11:05,25.130,25.180,25.090,25.150,3699589.0,147200
2024-4-1,11:10,25.150,25.230,25.150,25.190,3988466.0,158300
2024-4-1,11:15,25.160,25.190,25.100,25.120,3087732.0,122800
2024-4-1,11:20,25.110,25.130,25.060,25.120,2250958.0,89700
2024-4-1,11:25,25.120,25.240,25.120,25.200,5820552.0,231000
2024-4-1,11:30,25.200,25.200,25.110,25.140,1134970.0,45100
2024-4-1,13:05,25.180,25.200,25.150,25.160,3583324.0,142400
2024-4-1,13:10,25.150,25.320,25.150,25.300,8543346.0,338300
2024-4-1,13:15,25.310,25.620,25.290,25.440,21093236.0,828700
2024-4-1,13:20,25.440,25.570,25.330,25.420,8143552.0,320000
2024-4-1,13:25,25.420,25.590,25.400,25.590,6910125.0,271000
2024-4-1,13:30,25.590,25.680,25.530,25.560,10303489.0,402200
2024-4-1,13:35,25.560,25.580,25.400,25.450,6921355.0,271600
2024-4-1,13:40,25.440,25.450,25.310,25.310,4414053.0,174000
2024-4-1,13:45,25.310,25.410,25.280,25.390,6084623.0,240400
2024-4-1,13:50,25.380,25.390,25.140,25.140,8512198.0,336800
2024-4-1,13:55,25.160,25.160,25.120,25.160,5697949.0,226600
2024-4-1,14:00,25.160,25.230,25.160,25.170,4641256.0,184300
2024-4-1,14:05,25.160,25.200,25.150,25.170,4493617.0,178500
2024-4-1,14:10,25.160,25.170,25.130,25.130,4602445.0,183000
2024-4-1,14:15,25.130,25.130,25.000,25.030,9840988.0,392800
2024-4-1,14:20,25.030,25.270,25.030,25.170,6728118.0,267900
2024-4-1,14:25,25.170,25.260,25.100,25.140,6070492.0,240700
2024-4-1,14:30,25.150,25.180,25.110,25.150,5724897.0,227700
2024-4-1,14:35,25.150,25.220,25.110,25.150,4996938.0,198700
2024-4-1,14:40,25.150,25.270,25.140,25.240,4075219.0,161800
2024-4-1,14:45,25.250,25.290,25.230,25.260,3529180.0,139800
2024-4-1,14:50,25.260,25.310,25.260,25.260,2921178.0,115500
2024-4-1,14:55,25.260,25.310,25.260,25.300,5325267.0,210500
2024-4-1,15:00,25.310,25.400,25.300,25.390,6164757.0,242900
2024-4-2,09:35,25.300,26.590,25.120,26.400,64030184.0,2458200
2024-4-2,09:40,26.400,26.550,26.170,26.170,39592068.0,1498000
2024-4-2,09:45,26.170,26.510,25.940,26.490,27625176.0,1053900
