日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-4-1,09:35,17.910,18.140,17.580,17.720,11653501.0,653900
2024-4-1,09:40,17.770,17.890,17.710,17.860,9376464.0,527300
2024-4-1,09:45,17.870,18.250,17.830,18.210,8607748.0,476800
2024-4-1,09:50,18.160,18.160,18.050,18.070,5740998.0,317000
2024-4-1,09:55,18.070,18.070,17.950,17.980,4131189.0,229500
2024-4-1,10:00,17.970,17.970,17.900,17.930,3073631.0,171300
2024-4-1,10:05,17.960,18.030,17.930,17.940,2782434.0,154800
2024-4-1,10:10,17.940,18.080,17.930,18.080,2127109.0,118300
2024-4-1,10:15,18.080,18.440,18.080,18.400,5641730.0,309200
2024-4-1,10:20,18.390,18.500,18.260,18.470,10146167.0,550900
2024-4-1,10:25,18.470,18.670,18.470,18.660,5125896.0,275900
2024-4-1,10:30,18.660,18.980,18.660,18.910,10245305.0,543800
2024-4-1,10:35,18.910,18.920,18.780,18.850,4356925.0,231300
2024-4-1,10:40,18.840,18.840,18.650,18.670,4842290.0,258500
2024-4-1,10:45,18.680,18.860,18.660,18.830,2677932.0,142700
2024-4-1,10:50,18.830,18.850,18.750,18.820,1813300.0,96400
2024-4-1,10:55,18.810,18.880,18.780,18.880,3352210.0,177800
2024-4-1,11:00,18.890,18.990,18.710,18.720,3018126.0,159600
2024-4-1,11:05,18.720,18.770,18.710,18.720,1797480.0,95900
2024-4-1,11:10,18.710,18.860,18.710,18.810,1425086.0,75800
2024-4-1,11:15,18.810,19.000,18.810,18.990,3387531.0,178700
2024-4-1,11:20,18.990,18.990,18.870,18.880,1511916.0,79900
2024-4-1,11:25,18.880,18.960,18.850,18.960,980727.0,51900
2024-4-1,11:30,18.970,19.090,18.950,19.080,3219032.0,169000
2024-4-1,13:05,19.090,19.130,18.780,18.830,4780555.0,251900
2024-4-1,13:10,18.830,18.830,18.800,18.800,1121350.0,59600
2024-4-1,13:15,18.820,18.860,18.800,18.860,1330539.0,70700
2024-4-1,13:20,18.860,18.860,18.770,18.800,2272225.0,120800
2024-4-1,13:25,18.790,18.820,18.770,18.800,1326964.0,70500
2024-4-1,13:30,18.800,18.820,18.690,18.810,2592501.0,138400
2024-4-1,13:35,18.800,18.800,18.710,18.710,1507844.0,80300
2024-4-1,13:40,18.730,18.740,18.580,18.580,3379713.0,181100
2024-4-1,13:45,18.590,18.610,18.440,18.540,1318227.0,71100
2024-4-1,13:50,18.540,18.570,18.460,18.460,1702482.0,92000
2024-4-1,13:55,18.460,18.490,18.390,18.410,1875015.0,101600
2024-4-1,14:00,18.410,18.430,18.330,18.430,1242402.0,67600
2024-4-1,14:05,18.430,18.480,18.360,18.480,1281865.0,69600
2024-4-1,14:10,18.470,18.500,18.460,18.460,992262.0,53700
2024-4-1,14:15,18.460,18.460,18.340,18.350,1595692.0,86700
2024-4-1,14:20,18.370,18.370,18.310,18.340,1725238.0,94100
2024-4-1,14:25,18.370,18.440,18.340,18.420,1592313.0,86500
2024-4-1,14:30,18.410,18.430,18.380,18.410,2063231.0,112100
2024-4-1,14:35,18.410,18.490,18.400,18.490,1342505.0,72800
2024-4-1,14:40,18.480,18.530,18.480,18.520,1154629.0,62400
2024-4-1,14:45,18.530,18.550,18.500,18.540,4030055.0,217700
2024-4-1,14:50,18.550,18.690,18.540,18.690,2794452.0,150200
2024-4-1,14:55,18.680,18.780,18.660,18.740,5989601.0,320100
2024-4-1,15:00,18.740,18.740,18.650,18.650,1497768.0,80200
2024-4-2,09:35,18.600,18.680,18.360,18.580,5796229.0,313000
2024-4-2,09:40,18.590,18.590,18.450,18.510,3766373.0,203500
2024-4-2,09:45,18.520,18.590,18.470,18.580,2857624.0,154200
2024-4-2,09:50,18.550,18.590,18.520,18.570,1332583.0,71900
2024-4-2,09:55,18.560,18.560,18.450,18.500,2447670.0,132300
2024-4-2,10:00,18.490,18.500,18.410,18.470,2753531.0,149300
2024-4-2,10:05,18.450,18.510,18.380,18.450,4838356.0,262700
2024-4-2,10:10,18.410,18.410,18.320,18.360,2174568.0,118400
2024-4-2,10:15,18.360,18.370,18.210,18.350,2992987.0,163700
2024-4-2,10:20,18.390,18.450,18.360,18.410,1738592.0,94500
2024-4-2,10:25,18.410,18.480,18.370,18.470,7828582.0,424800
2024-4-2,10:30,18.480,18.480,18.380,18.390,1190175.0,64600
2024-4-2,10:35,18.380,18.440,18.310,18.440,1219169.0,66400
2024-4-2,10:40,18.440,18.450,18.400,18.400,522784.0,28400
2024-4-2,10:45,18.420,18.420,18.350,18.390,536638.0,29200
2024-4-2,10:50,18.370,18.460,18.360,18.400,1726792.0,93700
2024-4-2,10:55,18.450,18.450,18.370,18.410,2249790.0,122300
2024-4-2,11:00,18.410,18.480,18.400,18.470,2785254.0,151000
2024-4-2,11:05,18.470,18.510,18.410,18.500,4166862.0,225700
2024-4-2,11:10,18.510,18.510,18.390,18.400,1266711.0,68600
2024-4-2,11:15,18.400,18.450,18.400,18.440,1033297.0,56100
2024-4-2,11:20,18.410,18.470,18.410,18.470,845650.0,45900
2024-4-2,11:25,18.450,18.470,18.430,18.450,1245998.0,67500
2024-4-2,11:30,18.430,18.500,18.390,18.390,2162637.0,117400
2024-4-2,13:05,18.400,18.500,18.400,18.470,2920048.0,158300
2024-4-2,13:10,18.450,18.530,18.450,18.480,1975273.0,106800
2024-4-2,13:15,18.470,18.490,18.390,18.400,839413.0,45600
2024-4-2,13:20,18.400,18.400,18.320,18.330,2528308.0,137700
2024-4-2,13:25,18.330,18.370,18.330,18.370,1049541.0,57200
2024-4-2,13:30,18.360,18.360,18.320,18.340,1690251.0,92200
2024-4-2,13:35,18.350,18.400,18.320,18.340,1189759.0,64800
2024-4-2,13:40,18.340,18.400,18.340,18.360,969610.0,52800
2024-4-2,13:45,18.360,18.360,18.330,18.350,707035.0,38600
2024-4-2,13:50,18.340,18.340,18.300,18.300,964892.0,52700
2024-4-2,13:55,18.300,18.350,18.300,18.350,700858.0,38200
2024-4-2,14:00,18.360,18.460,18.350,18.460,567800.0,30900
2024-4-2,14:05,18.430,18.450,18.400,18.440,611120.0,33200
2024-4-2,14:10,18.410,18.460,18.380,18.460,732088.0,39700
2024-4-2,14:15,18.410,18.440,18.410,18.410,361611.0,19600
2024-4-2,14:20,18.400,18.400,18.350,18.400,1317744.0,71700
2024-4-2,14:25,18.400,18.410,18.380,18.410,448916.0,24400
2024-4-2,14:30,18.410,18.430,18.380,18.430,338784.0,18500
2024-4-2,14:35,18.430,18.450,18.410,18.450,1041546.0,56500
2024-4-2,14:40,18.450,18.480,18.420,18.420,1154540.0,62500
2024-4-2,14:45,18.420,18.550,18.420,18.530,1461405.0,79000
2024-4-2,14:50,18.510,18.550,18.490,18.500,1348292.0,72800
2024-4-2,14:55,18.500,18.540,18.500,18.540,817646.0,44100
2024-4-2,15:00,18.540,18.620,18.530,18.610,4702373.0,252900
2024-4-3,09:35,18.330,18.940,18.330,18.800,5640053.0,300800
2024-4-3,09:40,18.860,19.750,18.860,19.620,22046020.0,1137800
2024-4-3,09:45,19.630,19.730,19.470,19.510,13279787.0,676900
2024-4-3,09:50,19.510,19.510,19.200,19.210,9331806.0,482500
2024-4-3,09:55,19.220,19.460,19.200,19.460,3696045.0,191600
2024-4-3,10:00,19.410,19.410,19.200,19.200,1917765.0,99600
2024-4-3,10:05,19.240,19.270,19.190,19.210,2507085.0,130500
2024-4-3,10:10,19.200,19.220,19.160,19.210,2700773.0,140700
2024-4-3,10:15,19.220,19.230,19.110,19.150,1900122.0,99200
2024-4-3,10:20,19.150,19.230,19.050,19.080,5341846.0,278900
2024-4-3,10:25,19.080,19.230,19.050,19.200,2404863.0,125600
2024-4-3,10:30,19.210,19.270,19.200,19.200,1370000.0,71200
2024-4-3,10:35,19.230,19.440,19.220,19.440,1445939.0,74900
2024-4-3,10:40,19.430,19.530,19.410,19.530,1615949.0,83000
2024-4-3,10:45,19.510,19.530,19.370,19.380,1598293.0,82100
2024-4-3,10:50,19.380,19.390,19.350,19.350,990663.0,51200
2024-4-3,10:55,19.350,19.350,19.200,19.290,2284470.0,118500
2024-4-3,11:00,19.300,19.300,19.210,19.230,823902.0,42800
2024-4-3,11:05,19.230,19.240,19.190,19.210,2088985.0,108800
2024-4-3,11:10,19.200,19.260,19.200,19.220,482039.0,25100
2024-4-3,11:15,19.210,19.220,19.200,19.200,455479.0,23700
2024-4-3,11:20,19.210,19.210,19.150,19.190,924867.0,48200
2024-4-3,11:25,19.190,19.200,19.110,19.170,727024.0,38000
2024-4-3,11:30,19.180,19.200,19.150,19.200,489972.0,25500
2024-4-3,13:05,19.230,19.330,19.160,19.300,1320581.0,68600
2024-4-3,13:10,19.300,19.440,19.260,19.380,4227075.0,218100
2024-4-3,13:15,19.350,19.440,19.350,19.410,1949758.0,100400
2024-4-3,13:20,19.410,19.410,19.350,19.350,1252662.0,64700
2024-4-3,13:25,19.360,19.650,19.350,19.620,8917639.0,455900
2024-4-3,13:30,19.640,19.860,19.520,19.830,5810187.0,294300
2024-4-3,13:35,19.820,19.920,19.750,19.920,6361322.0,320500
2024-4-3,13:40,19.920,19.990,19.820,19.820,5254511.0,263700
2024-4-3,13:45,19.830,19.830,19.730,19.740,2449998.0,123800
2024-4-3,13:50,19.760,19.760,19.700,19.700,2313160.0,117200
2024-4-3,13:55,19.710,19.710,19.670,19.680,2290238.0,116300
2024-4-3,14:00,19.690,19.690,19.500,19.530,6870922.0,351800
2024-4-3,14:05,19.530,19.540,19.400,19.480,2465406.0,126500
2024-4-3,14:10,19.480,19.580,19.460,19.490,2399565.0,123100
2024-4-3,14:15,19.470,19.500,19.330,19.460,3324498.0,171200
2024-4-3,14:20,19.420,19.470,19.370,19.380,1806052.0,93100
2024-4-3,14:25,19.390,19.390,19.190,19.250,5078068.0,264000
2024-4-3,14:30,19.240,19.280,19.200,19.200,2021473.0,105100
2024-4-3,14:35,19.220,19.250,19.140,19.150,4624437.0,241000
2024-4-3,14:40,19.150,19.380,19.010,19.270,10532108.0,549600
2024-4-3,14:45,19.200,19.290,19.070,19.190,7852112.0,408900
2024-4-3,14:50,19.180,19.350,19.000,19.100,9696964.0,508100
2024-4-3,14:55,19.100,19.100,18.910,18.910,8902392.0,469000
2024-4-3,15:00,18.910,18.940,18.730,18.730,11592572.0,616700
2024-4-8,09:35,18.880,19.080,18.690,18.850,12631803.0,672000
2024-4-8,09:40,18.980,19.190,18.850,19.100,5416251.0,284400
2024-4-8,09:45,19.080,19.110,19.000,19.050,4595058.0,241200
2024-4-8,09:50,19.040,19.100,18.970,19.040,4073167.0,214000
2024-4-8,09:55,19.020,19.040,18.940,19.010,3349686.0,176400
2024-4-8,10:00,19.010,19.380,19.010,19.310,8362764.0,434400
2024-4-8,10:05,19.260,19.300,19.110,19.260,3774389.0,196600
2024-4-8,10:10,19.270,19.430,19.260,19.300,3942104.0,203700
2024-4-8,10:15,19.300,19.390,19.300,19.350,2239333.0,115800
2024-4-8,10:20,19.350,19.360,19.230,19.260,3357172.0,173900
2024-4-8,10:25,19.260,19.390,19.170,19.330,2595558.0,134600
2024-4-8,10:30,19.330,19.330,19.270,19.300,2035941.0,105500
2024-4-8,10:35,19.310,19.320,19.280,19.310,3169093.0,164100
2024-4-8,10:40,19.320,19.360,19.280,19.350,2088336.0,108200
2024-4-8,10:45,19.350,19.370,19.310,19.360,916663.0,47300
2024-4-8,10:50,19.360,19.530,19.350,19.450,1644230.0,84600
2024-4-8,10:55,19.450,19.530,19.420,19.430,4055659.0,208300
2024-4-8,11:00,19.440,19.550,19.420,19.530,1427604.0,73200
2024-4-8,11:05,19.530,19.590,19.440,19.470,3183456.0,163000
2024-4-8,11:10,19.470,19.470,19.430,19.430,835663.0,42900
2024-4-8,11:15,19.420,19.430,19.380,19.380,616083.0,31800
2024-4-8,11:20,19.370,19.380,19.320,19.330,733969.0,37900
2024-4-8,11:25,19.350,19.460,19.350,19.460,656301.0,33900
2024-4-8,11:30,19.450,19.450,19.400,19.450,451674.0,23200
2024-4-8,13:05,19.450,19.450,19.320,19.390,3028287.0,156100
2024-4-8,13:10,19.350,19.370,19.310,19.360,989790.0,51200
2024-4-8,13:15,19.350,19.490,19.350,19.480,1402562.0,72200
2024-4-8,13:20,19.490,19.600,19.490,19.500,2170793.0,111200
2024-4-8,13:25,19.470,19.590,19.470,19.520,2479287.0,126900
2024-4-8,13:30,19.530,19.570,19.500,19.550,1741037.0,89100
2024-4-8,13:35,19.550,19.550,19.440,19.470,1255503.0,64400
2024-4-8,13:40,19.470,19.470,19.370,19.410,1578550.0,81300
2024-4-8,13:45,19.430,19.430,19.340,19.340,1120522.0,57800
2024-4-8,13:50,19.340,19.420,19.340,19.380,624272.0,32200
2024-4-8,13:55,19.370,19.370,19.320,19.320,785745.0,40600
2024-4-8,14:00,19.320,19.320,19.250,19.300,2550544.0,132300
2024-4-8,14:05,19.290,19.390,19.280,19.320,1458240.0,75500
2024-4-8,14:10,19.320,19.370,19.320,19.330,862466.0,44500
2024-4-8,14:15,19.320,19.470,19.320,19.450,2051182.0,105800
2024-4-8,14:20,19.440,19.490,19.430,19.450,3226925.0,165800
2024-4-8,14:25,19.450,19.480,19.430,19.430,1538813.0,79100
2024-4-8,14:30,19.430,19.480,19.380,19.410,1594510.0,82100
2024-4-8,14:35,19.410,19.490,19.410,19.440,1560446.0,80200
2024-4-8,14:40,19.440,19.440,19.430,19.430,659545.0,33900
2024-4-8,14:45,19.440,19.440,19.410,19.410,1516860.0,78100
2024-4-8,14:50,19.410,19.470,19.390,19.400,3215914.0,165600
2024-4-8,14:55,19.390,19.400,19.300,19.320,4087248.0,211300
2024-4-8,15:00,19.330,19.450,19.330,19.350,3679100.0,190000
2024-4-9,09:35,19.050,19.770,19.050,19.720,7552964.0,386600
2024-4-9,09:40,19.710,19.920,19.600,19.900,9906848.0,500100
2024-4-9,09:45,19.900,20.150,19.860,20.020,14294523.0,713200
2024-4-9,09:50,20.030,20.100,19.700,19.700,6993004.0,350900
2024-4-9,09:55,19.750,19.910,19.700,19.900,4667571.0,236100
2024-4-9,10:00,19.840,19.900,19.750,19.760,1613346.0,81300
2024-4-9,10:05,19.760,19.890,19.750,19.860,3391750.0,171000
2024-4-9,10:10,19.870,19.870,19.780,19.780,1977636.0,99800
2024-4-9,10:15,19.770,19.790,19.680,19.760,4032348.0,204400
2024-4-9,10:20,19.750,19.820,19.690,19.750,2269506.0,114800
2024-4-9,10:25,19.750,19.770,19.630,19.630,3307521.0,168000
2024-4-9,10:30,19.640,19.710,19.610,19.710,3993681.0,203400
2024-4-9,10:35,19.710,19.750,19.640,19.640,1105563.0,56100
2024-4-9,10:40,19.630,19.640,19.580,19.610,2042238.0,104100
2024-4-9,10:45,19.620,19.640,19.620,19.620,110194.0,5600
2024-4-9,10:50,19.610,19.610,19.570,19.580,1161235.0,59300
2024-4-9,10:55,19.580,19.700,19.560,19.690,2002701.0,102200
2024-4-9,11:00,19.690,19.690,19.630,19.630,725214.0,36800
2024-4-9,11:05,19.640,19.660,19.570,19.660,1035327.0,52800
2024-4-9,11:10,19.650,19.670,19.580,19.590,848623.0,43300
2024-4-9,11:15,19.590,19.590,19.530,19.530,2174569.0,111100
2024-4-9,11:20,19.530,19.530,19.500,19.510,126070.0,6500
2024-4-9,11:25,19.510,19.560,19.500,19.550,366671.0,18800
2024-4-9,11:30,19.550,19.560,19.520,19.520,368695.0,18800
2024-4-9,13:05,19.520,19.760,19.520,19.630,1870120.0,95200
2024-4-9,13:10,19.640,19.640,19.580,19.580,518430.0,26400
2024-4-9,13:15,19.590,19.600,19.520,19.530,721076.0,36900
2024-4-9,13:20,19.540,19.610,19.510,19.590,741307.0,37900
2024-4-9,13:25,19.590,19.610,19.520,19.550,1403657.0,71900
2024-4-9,13:30,19.550,19.570,19.520,19.520,1010917.0,51700
2024-4-9,13:35,19.530,19.530,19.400,19.410,3362733.0,172700
2024-4-9,13:40,19.410,19.410,19.310,19.390,1960149.0,101300
2024-4-9,13:45,19.390,19.470,19.360,19.470,756086.0,39000
2024-4-9,13:50,19.450,19.500,19.440,19.490,983213.0,50500
2024-4-9,13:55,19.450,19.460,19.450,19.460,182427.0,9400
2024-4-9,14:00,19.450,19.500,19.450,19.460,466670.0,23900
2024-4-9,14:05,19.450,19.460,19.330,19.350,759963.0,39200
2024-4-9,14:10,19.340,19.440,19.340,19.430,606030.0,31200
2024-4-9,14:15,19.400,19.480,19.400,19.480,429719.0,22100
2024-4-9,14:20,19.480,19.650,19.480,19.620,1048371.0,53600
2024-4-9,14:25,19.630,19.640,19.540,19.640,1214787.0,62000
2024-4-9,14:30,19.620,19.640,19.530,19.630,1136702.0,58000
2024-4-9,14:35,19.630,19.690,19.600,19.660,1314806.0,66900
2024-4-9,14:40,19.660,19.740,19.660,19.680,1951594.0,99100
2024-4-9,14:45,19.680,19.880,19.660,19.840,2434597.0,123200
2024-4-9,14:50,19.820,19.890,19.810,19.880,4488623.0,226000
2024-4-9,14:55,19.860,19.890,19.850,19.890,3375440.0,169800
2024-4-9,15:00,19.880,19.920,19.870,19.870,3126023.0,157300
2024-4-10,09:35,19.800,19.800,19.030,19.190,21499458.0,1112800
2024-4-10,09:40,19.120,19.180,18.980,19.100,14753651.0,774400
2024-4-10,09:45,19.130,19.130,19.010,19.040,6539786.0,343600
2024-4-10,09:50,19.030,19.170,19.000,19.170,4708655.0,247000
2024-4-10,09:55,19.180,19.360,19.170,19.360,4930075.0,256500
2024-4-10,10:00,19.340,19.500,19.290,19.430,4477061.0,231200
2024-4-10,10:05,19.430,19.450,19.270,19.360,4236914.0,218800
2024-4-10,10:10,19.370,19.450,19.360,19.390,2603958.0,134100
2024-4-10,10:15,19.390,19.460,19.370,19.410,2295698.0,118400
2024-4-10,10:20,19.410,19.420,19.350,19.370,3919584.0,202300
2024-4-10,10:25,19.360,19.360,19.050,19.050,4435182.0,231700
2024-4-10,10:30,19.030,19.040,18.900,18.960,5227274.0,275300
2024-4-10,10:35,18.980,19.090,18.970,19.020,2299389.0,120800
2024-4-10,10:40,19.030,19.080,18.990,18.990,4446792.0,233800
2024-4-10,10:45,18.990,18.990,18.890,18.890,2675084.0,141300
2024-4-10,10:50,18.880,18.880,18.650,18.680,6664177.0,355700
2024-4-10,10:55,18.670,18.720,18.590,18.660,3807376.0,204300
2024-4-10,11:00,18.640,18.670,18.440,18.450,7800293.0,420300
2024-4-10,11:05,18.490,18.660,18.460,18.660,4575088.0,247000
2024-4-10,11:10,18.670,18.770,18.560,18.690,3718713.0,199600
2024-4-10,11:15,18.700,18.740,18.660,18.660,2082987.0,111500
2024-4-10,11:20,18.650,18.670,18.600,18.630,2487407.0,133400
2024-4-10,11:25,18.640,18.670,18.600,18.650,1120599.0,60100
2024-4-10,11:30,18.640,18.680,18.510,18.680,3177333.0,170900
2024-4-10,13:05,18.660,18.680,18.510,18.520,1616366.0,86900
2024-4-10,13:10,18.520,18.520,18.460,18.520,2260938.0,122300
2024-4-10,13:15,18.520,18.530,18.460,18.480,1064412.0,57500
2024-4-10,13:20,18.480,18.570,18.460,18.510,2183960.0,117900
2024-4-10,13:25,18.510,18.510,18.400,18.480,3469555.0,187900
2024-4-10,13:30,18.460,18.550,18.440,18.450,4064944.0,220100
2024-4-10,13:35,18.450,18.510,18.420,18.500,3229691.0,175100
2024-4-10,13:40,18.480,18.560,18.430,18.430,2331388.0,126100
2024-4-10,13:45,18.420,18.420,18.250,18.340,3286151.0,179100
2024-4-10,13:50,18.340,18.440,18.290,18.430,1648659.0,89900
2024-4-10,13:55,18.430,18.430,18.350,18.410,2386551.0,129800
2024-4-10,14:00,18.420,18.470,18.360,18.420,2518375.0,136700
2024-4-10,14:05,18.410,18.480,18.330,18.430,1696762.0,92300
