日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-4-1,09:35,48.800,49.830,48.100,49.800,10401845.0,211600
2024-4-1,09:40,49.760,50.220,49.380,49.880,8868219.0,177700
2024-4-1,09:45,49.850,49.920,49.310,49.840,5673031.0,114100
2024-4-1,09:50,49.850,50.190,49.650,49.650,6273039.0,125700
2024-4-1,09:55,49.690,50.000,49.520,49.790,4732222.0,95200
2024-4-1,10:00,49.800,49.870,49.500,49.550,2278943.0,45900
2024-4-1,10:05,49.500,49.700,49.400,49.410,3873633.0,78200
2024-4-1,10:10,49.410,49.410,49.210,49.400,1439844.0,29200
2024-4-1,10:15,49.360,49.410,49.320,49.410,1436574.0,29100
2024-4-1,10:20,49.480,49.600,49.410,49.580,1154013.0,23300
2024-4-1,10:25,49.580,49.780,49.560,49.750,1441377.0,29000
2024-4-1,10:30,49.780,49.970,49.780,49.940,2129373.0,42700
2024-4-1,10:35,49.940,49.980,49.860,49.970,1297637.0,26000
2024-4-1,10:40,49.970,50.080,49.850,50.000,2298522.0,46000
2024-4-1,10:45,49.990,50.120,49.940,49.980,1366119.0,27300
2024-4-1,10:50,49.960,49.960,49.820,49.920,1092804.0,21900
2024-4-1,10:55,49.940,50.690,49.920,50.590,7004869.0,139100
2024-4-1,11:00,50.590,50.740,50.590,50.740,3197505.0,63100
2024-4-1,11:05,50.750,50.850,50.610,50.650,1882903.0,37100
2024-4-1,11:10,50.690,51.480,50.680,51.000,4403399.0,86300
2024-4-1,11:15,51.000,51.220,50.900,51.000,2596966.0,50900
2024-4-1,11:20,51.050,51.060,50.830,51.030,2064665.0,40500
2024-4-1,11:25,51.040,51.060,50.940,51.040,816110.0,16000
2024-4-1,11:30,51.030,51.070,51.020,51.030,1235417.0,24200
2024-4-1,13:05,51.020,51.090,50.870,50.870,2255405.0,44200
2024-4-1,13:10,50.920,50.980,50.900,50.930,718161.0,14100
2024-4-1,13:15,50.950,51.170,50.940,51.170,1900920.0,37200
2024-4-1,13:20,51.160,51.160,50.650,50.680,940362.0,18500
2024-4-1,13:25,50.690,50.820,50.690,50.750,1009428.0,19900
2024-4-1,13:30,50.780,50.880,50.700,50.710,609838.0,12000
2024-4-1,13:35,50.700,50.700,50.600,50.620,1331900.0,26300
2024-4-1,13:40,50.630,50.800,50.630,50.800,720898.0,14200
2024-4-1,13:45,50.750,50.750,50.610,50.610,471037.0,9300
2024-4-1,13:50,50.610,50.830,50.530,50.710,718912.0,14200
2024-4-1,13:55,50.700,50.710,50.660,50.670,861623.0,17000
2024-4-1,14:00,50.680,50.700,50.600,50.680,694173.0,13700
2024-4-1,14:05,50.680,50.690,50.530,50.550,1062290.0,21000
2024-4-1,14:10,50.520,50.600,50.500,50.580,965350.0,19100
2024-4-1,14:15,50.580,50.650,50.500,50.500,976217.0,19300
2024-4-1,14:20,50.510,50.700,50.500,50.620,718435.0,14200
2024-4-1,14:25,50.620,50.690,50.590,50.590,607539.0,12000
2024-4-1,14:30,50.590,50.740,50.590,50.690,952373.0,18800
2024-4-1,14:35,50.690,50.750,50.690,50.750,1257818.0,24800
2024-4-1,14:40,50.760,51.470,50.760,51.040,4095092.0,80200
2024-4-1,14:45,51.040,51.160,50.940,51.160,2975194.0,58300
2024-4-1,14:50,51.170,51.180,51.050,51.100,2841956.0,55600
2024-4-1,14:55,51.100,51.100,50.970,50.990,2658512.0,52100
2024-4-1,15:00,50.990,51.000,50.970,50.990,1758943.0,34500
2024-4-2,09:35,50.990,50.990,50.120,50.550,6913125.0,137100
2024-4-2,09:40,50.580,50.630,50.320,50.630,2965368.0,58800
2024-4-2,09:45,50.610,50.820,50.500,50.790,3158197.0,62300
2024-4-2,09:50,50.790,50.850,50.610,50.660,3217151.0,63400
2024-4-2,09:55,50.660,50.680,50.510,50.630,1725753.0,34100
2024-4-2,10:00,50.620,50.630,50.450,50.590,1985949.0,39300
2024-4-2,10:05,50.590,50.590,50.300,50.360,2057375.0,40800
2024-4-2,10:10,50.340,50.520,50.250,50.430,3207612.0,63700
2024-4-2,10:15,50.410,50.440,50.200,50.300,2081581.0,41400
2024-4-2,10:20,50.300,50.420,50.300,50.380,1073026.0,21300
2024-4-2,10:25,50.400,50.570,50.380,50.570,1196251.0,23700
2024-4-2,10:30,50.560,50.600,50.380,50.600,1596389.0,31600
2024-4-2,10:35,50.600,50.960,50.500,50.910,1275423.0,25100
2024-4-2,10:40,50.910,50.980,50.790,50.920,1271988.0,25000
2024-4-2,10:45,50.920,50.980,50.840,50.920,529670.0,10400
2024-4-2,10:50,50.900,50.900,50.750,50.790,477789.0,9400
2024-4-2,10:55,50.800,50.860,50.760,50.840,1006212.0,19800
2024-4-2,11:00,50.830,50.880,50.800,50.880,1029935.0,20300
2024-4-2,11:05,50.940,51.080,50.900,50.960,1891102.0,37100
2024-4-2,11:10,50.960,50.990,50.870,50.930,672277.0,13200
2024-4-2,11:15,50.940,50.950,50.870,50.910,295336.0,5800
2024-4-2,11:20,50.920,51.190,50.910,51.120,1774336.0,34800
2024-4-2,11:25,51.120,51.470,51.120,51.360,2375008.0,46300
2024-4-2,11:30,51.360,51.400,51.150,51.380,1585188.0,30900
2024-4-2,13:05,51.380,51.380,51.080,51.080,2073555.0,40500
2024-4-2,13:10,51.030,51.230,51.030,51.120,2254237.0,44100
2024-4-2,13:15,51.240,51.240,50.960,51.090,1552869.0,30400
2024-4-2,13:20,51.100,51.100,50.870,50.970,1718192.0,33700
2024-4-2,13:25,50.950,51.100,50.950,51.010,1876732.0,36800
2024-4-2,13:30,51.020,51.090,51.020,51.070,423705.0,8300
2024-4-2,13:35,51.070,51.100,51.010,51.080,1822742.0,35700
2024-4-2,13:40,51.120,51.180,51.090,51.110,869197.0,17000
2024-4-2,13:45,51.110,51.110,51.010,51.020,1030966.0,20200
2024-4-2,13:50,51.010,51.040,50.710,50.800,2358676.0,46400
2024-4-2,13:55,50.880,50.880,50.770,50.780,1016331.0,20000
2024-4-2,14:00,50.820,50.890,50.770,50.850,493384.0,9700
2024-4-2,14:05,50.850,50.890,50.830,50.890,1398393.0,27500
2024-4-2,14:10,50.850,50.890,50.800,50.800,726989.0,14300
2024-4-2,14:15,50.800,50.850,50.800,50.840,1016387.0,20000
2024-4-2,14:20,50.780,50.820,50.510,50.790,2501326.0,49400
2024-4-2,14:25,50.710,50.990,50.650,50.970,3380722.0,66500
2024-4-2,14:30,50.930,51.240,50.770,51.040,2168155.0,42500
2024-4-2,14:35,51.040,51.150,50.980,51.060,1806825.0,35400
2024-4-2,14:40,51.060,51.060,50.820,50.820,2282091.0,44800
2024-4-2,14:45,50.880,50.990,50.830,50.990,2580132.0,50700
2024-4-2,14:50,50.940,51.010,50.940,51.000,2738948.0,53700
2024-4-2,14:55,51.010,51.100,51.010,51.080,3011475.0,59000
2024-4-2,15:00,51.070,51.080,51.040,51.040,2511618.0,49200
2024-4-3,09:35,51.040,51.940,50.970,51.580,6525779.0,126500
2024-4-3,09:40,51.590,52.150,51.590,51.850,9538848.0,183500
2024-4-3,09:45,51.900,52.090,51.830,51.870,3323861.0,64000
2024-4-3,09:50,51.870,51.960,51.510,51.520,3286713.0,63500
2024-4-3,09:55,51.500,51.800,51.500,51.750,3118056.0,60400
2024-4-3,10:00,51.790,51.960,51.740,51.820,4137403.0,79800
2024-4-3,10:05,51.820,51.820,51.620,51.730,2701084.0,52200
2024-4-3,10:10,51.650,51.720,51.520,51.720,2002697.0,38800
2024-4-3,10:15,51.700,52.120,51.520,52.020,6721193.0,129600
2024-4-3,10:20,52.190,52.480,52.100,52.360,7201347.0,137800
2024-4-3,10:25,52.320,52.760,52.000,52.500,6903002.0,131700
2024-4-3,10:30,52.430,52.700,52.320,52.370,3547576.0,67500
2024-4-3,10:35,52.370,52.960,52.370,52.930,5017210.0,95300
