日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-4-1,09:35,9.700,9.750,9.550,9.620,6450133.0,669300
2024-4-1,09:40,9.630,9.670,9.560,9.610,4911365.0,511600
2024-4-1,09:45,9.610,9.690,9.590,9.640,4961612.0,515300
2024-4-1,09:50,9.650,9.650,9.540,9.550,3652409.0,381000
2024-4-1,09:55,9.540,9.610,9.540,9.610,2478050.0,258900
2024-4-1,10:00,9.600,9.610,9.550,9.570,2018996.0,210700
2024-4-1,10:05,9.560,9.590,9.540,9.570,2230760.0,233200
2024-4-1,10:10,9.550,9.580,9.520,9.550,1863649.0,195300
2024-4-1,10:15,9.540,9.590,9.520,9.580,1889697.0,197900
2024-4-1,10:20,9.570,9.660,9.560,9.630,1754316.0,182600
2024-4-1,10:25,9.650,9.670,9.640,9.670,2992588.0,309700
2024-4-1,10:30,9.670,9.670,9.630,9.630,1351119.0,140100
2024-4-1,10:35,9.640,9.640,9.610,9.640,1363542.0,141600
2024-4-1,10:40,9.640,9.650,9.610,9.630,1079509.75,112100
2024-4-1,10:45,9.630,9.650,9.610,9.610,751084.0,78000
2024-4-1,10:50,9.610,9.630,9.610,9.630,1410837.0,146700
2024-4-1,10:55,9.630,9.670,9.630,9.650,1239915.0,128500
2024-4-1,11:00,9.650,9.660,9.630,9.650,1127696.0,116900
2024-4-1,11:05,9.630,9.670,9.630,9.660,1251060.0,129600
2024-4-1,11:10,9.640,9.670,9.640,9.660,1178434.75,122000
2024-4-1,11:15,9.670,9.670,9.640,9.650,1500460.0,155300
2024-4-1,11:20,9.650,9.660,9.630,9.660,1114678.0,115600
2024-4-1,11:25,9.660,9.720,9.650,9.700,1758037.0,181400
2024-4-1,11:30,9.700,9.700,9.670,9.690,376718.0,38900
2024-4-1,13:05,9.690,9.690,9.620,9.620,1116517.0,115700
2024-4-1,13:10,9.610,9.620,9.600,9.620,1194515.0,124300
2024-4-1,13:15,9.620,9.670,9.610,9.650,1146787.0,119000
2024-4-1,13:20,9.650,9.650,9.590,9.590,1671423.0,173700
2024-4-1,13:25,9.600,9.640,9.590,9.640,898932.0,93500
2024-4-1,13:30,9.650,9.670,9.610,9.620,873917.0,90700
2024-4-1,13:35,9.620,9.620,9.580,9.600,1394501.0,145300
2024-4-1,13:40,9.600,9.600,9.580,9.600,439432.0,45800
2024-4-1,13:45,9.590,9.590,9.570,9.570,1175108.0,122700
2024-4-1,13:50,9.580,9.610,9.580,9.600,1087242.0,113400
2024-4-1,13:55,9.590,9.620,9.590,9.600,841262.0,87600
2024-4-1,14:00,9.610,9.630,9.580,9.630,1093988.0,113800
2024-4-1,14:05,9.610,9.630,9.590,9.610,1252783.0,130400
2024-4-1,14:10,9.590,9.620,9.590,9.610,585170.0,60900
2024-4-1,14:15,9.610,9.620,9.580,9.580,889744.0,92700
2024-4-1,14:20,9.580,9.610,9.580,9.610,703192.0,73300
2024-4-1,14:25,9.610,9.630,9.600,9.620,969423.0,100800
2024-4-1,14:30,9.630,9.630,9.610,9.610,670895.0,69700
2024-4-1,14:35,9.620,9.640,9.610,9.630,518862.0,53900
2024-4-1,14:40,9.630,9.680,9.630,9.660,1389361.0,144000
