日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,7.480,7.500,7.470,7.470,25368916.0,3387900
2024-7-1,09:40,7.480,7.500,7.470,7.500,21358958.0,2855200
2024-7-1,09:45,7.500,7.500,7.480,7.490,15570963.0,2078900
2024-7-1,09:50,7.490,7.490,7.470,7.490,21004690.0,2807800
2024-7-1,09:55,7.480,7.500,7.480,7.500,15840343.0,2115000
2024-7-1,10:00,7.490,7.520,7.490,7.510,29114096.0,3880200
2024-7-1,10:05,7.510,7.530,7.500,7.520,30562432.0,4066100
2024-7-1,10:10,7.520,7.530,7.510,7.530,17282692.0,2296900
2024-7-1,10:15,7.530,7.530,7.520,7.520,13239442.0,1759600
2024-7-1,10:20,7.530,7.530,7.520,7.530,12357837.0,1641900
2024-7-1,10:25,7.520,7.530,7.510,7.510,13915994.0,1850500
2024-7-1,10:30,7.510,7.510,7.500,7.500,13895167.0,1851800
2024-7-1,10:35,7.500,7.520,7.500,7.510,18728468.0,2494500
2024-7-1,10:40,7.520,7.530,7.490,7.520,16038822.0,2135800
2024-7-1,10:45,7.520,7.520,7.510,7.510,7152690.0,951700
2024-7-1,10:50,7.510,7.540,7.510,7.520,14934536.0,1984700
2024-7-1,10:55,7.520,7.540,7.520,7.540,15076396.0,2001100
2024-7-1,11:00,7.530,7.550,7.530,7.550,19533140.0,2590600
2024-7-1,11:05,7.540,7.570,7.540,7.570,26558840.0,3515000
2024-7-1,11:10,7.570,7.590,7.560,7.580,31612460.0,4172800
2024-7-1,11:15,7.580,7.600,7.580,7.590,28989006.0,3817500
2024-7-1,11:20,7.590,7.600,7.580,7.590,26831824.0,3536200
2024-7-1,11:25,7.580,7.600,7.580,7.590,26638194.0,3509200
2024-7-1,11:30,7.590,7.590,7.560,7.580,20605796.0,2718600
2024-7-1,13:05,7.580,7.590,7.560,7.570,23369408.0,3085800
2024-7-1,13:10,7.570,7.580,7.550,7.580,21985052.0,2905200
2024-7-1,13:15,7.570,7.590,7.570,7.590,17464088.0,2301700
2024-7-1,13:20,7.580,7.590,7.550,7.550,21421380.0,2828800
