日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,17.630,17.680,17.630,17.670,23943888.0,1356100
2024-7-1,09:40,17.670,17.690,17.640,17.680,20200994.0,1143800
2024-7-1,09:45,17.680,17.690,17.660,17.670,15667031.0,886500
2024-7-1,09:50,17.670,17.680,17.650,17.670,13357612.0,756100
2024-7-1,09:55,17.670,17.730,17.670,17.710,27492152.0,1553100
2024-7-1,10:00,17.710,17.760,17.710,17.750,42781504.0,2411800
2024-7-1,10:05,17.750,17.750,17.730,17.750,23907640.0,1347600
2024-7-1,10:10,17.750,17.780,17.740,17.780,38068904.0,2143300
2024-7-1,10:15,17.780,17.790,17.770,17.790,28160268.0,1583400
2024-7-1,10:20,17.780,17.790,17.770,17.790,14900798.0,837900
2024-7-1,10:25,17.790,17.800,17.770,17.770,16896330.0,949800
2024-7-1,10:30,17.780,17.780,17.750,17.750,16149900.0,909100
2024-7-1,10:35,17.750,17.760,17.750,17.760,11355359.0,639600
2024-7-1,10:40,17.760,17.770,17.740,17.750,11104993.0,625500
2024-7-1,10:45,17.740,17.780,17.740,17.780,8318345.0,468300
2024-7-1,10:50,17.780,17.790,17.770,17.790,9506705.0,534600
2024-7-1,10:55,17.780,17.820,17.780,17.820,28437348.0,1597800
2024-7-1,11:00,17.820,17.840,17.810,17.830,17217100.0,965900
2024-7-1,11:05,17.840,17.840,17.820,17.820,14753960.0,827200
2024-7-1,11:10,17.820,17.870,17.820,17.870,20609360.0,1154800
2024-7-1,11:15,17.870,17.900,17.870,17.890,30720568.0,1718000
2024-7-1,11:20,17.890,17.900,17.860,17.890,18525390.0,1035800
2024-7-1,11:25,17.890,17.890,17.830,17.830,11379314.0,636900
2024-7-1,11:30,17.830,17.830,17.780,17.790,14045498.0,789000
2024-7-1,13:05,17.790,17.830,17.780,17.800,16329312.0,917200
2024-7-1,13:10,17.810,17.830,17.800,17.830,9362066.0,525400
2024-7-1,13:15,17.830,17.850,17.810,17.840,9801378.0,549800
2024-7-1,13:20,17.830,17.840,17.770,17.780,14758130.0,829300
2024-7-1,13:25,17.780,17.780,17.750,17.750,16801316.0,946200
2024-7-1,13:30,17.750,17.760,17.740,17.750,8806716.0,496200
2024-7-1,13:35,17.760,17.760,17.720,17.730,14973105.0,844400
2024-7-1,13:40,17.720,17.730,17.710,17.720,23173360.0,1308100
2024-7-1,13:45,17.730,17.750,17.720,17.740,6715937.0,378700
2024-7-1,13:50,17.750,17.770,17.740,17.760,8396706.0,473000
2024-7-1,13:55,17.760,17.770,17.750,17.750,8026654.0,452000
2024-7-1,14:00,17.750,17.770,17.750,17.760,8514701.0,479400
2024-7-1,14:05,17.760,17.790,17.760,17.790,16568721.0,932000
2024-7-1,14:10,17.790,17.810,17.780,17.790,14069060.0,790600
2024-7-1,14:15,17.790,17.800,17.770,17.790,10820453.0,608400
2024-7-1,14:20,17.790,17.800,17.760,17.760,9756238.0,548600
2024-7-1,14:25,17.760,17.790,17.760,17.780,7978146.0,448800
2024-7-1,14:30,17.780,17.790,17.770,17.790,7615958.0,428400
2024-7-1,14:35,17.780,17.790,17.750,17.760,14581024.0,820500
2024-7-1,14:40,17.760,17.770,17.750,17.770,14744611.0,830300
2024-7-1,14:45,17.760,17.770,17.750,17.770,11579159.0,652100
2024-7-1,14:50,17.760,17.790,17.750,17.770,13527358.0,761300
2024-7-1,14:55,17.780,17.790,17.760,17.770,12858038.0,723300
2024-7-1,15:00,17.770,17.770,17.750,17.750,14617495.0,823300
2024-7-2,09:35,17.700,17.780,17.690,17.760,38747472.0,2185600
2024-7-2,09:40,17.770,17.850,17.750,17.840,31536588.0,1772000
2024-7-2,09:45,17.840,17.840,17.770,17.780,28883394.0,1621700
2024-7-2,09:50,17.780,17.840,17.770,17.820,24487666.0,1375900
2024-7-2,09:55,17.820,17.890,17.800,17.890,44455832.0,2490500
2024-7-2,10:00,17.890,17.930,17.870,17.920,40972316.0,2289100
2024-7-2,10:05,17.910,17.940,17.880,17.910,38650892.0,2157700
2024-7-2,10:10,17.920,17.940,17.890,17.900,26324022.0,1468900
2024-7-2,10:15,17.900,17.940,17.900,17.940,18785500.0,1048300
2024-7-2,10:20,17.930,17.940,17.900,17.910,24868128.0,1388100
2024-7-2,10:25,17.920,17.920,17.880,17.890,27094072.0,1513600
2024-7-2,10:30,17.900,17.920,17.890,17.900,14268293.0,796900
2024-7-2,10:35,17.900,17.910,17.860,17.890,28106144.0,1571700
2024-7-2,10:40,17.890,17.890,17.870,17.870,11487629.0,642500
2024-7-2,10:45,17.870,17.890,17.870,17.870,10408621.0,582200
2024-7-2,10:50,17.880,17.900,17.870,17.880,12724750.0,711300
2024-7-2,10:55,17.880,17.890,17.860,17.870,14006520.0,783600
2024-7-2,11:00,17.860,17.910,17.860,17.910,15601964.0,872000
2024-7-2,11:05,17.910,17.960,17.900,17.960,55017128.0,3066800
2024-7-2,11:10,17.950,17.960,17.910,17.920,13328063.0,742600
2024-7-2,11:15,17.920,17.940,17.870,17.880,16412702.0,917000
2024-7-2,11:20,17.870,17.890,17.860,17.880,10684085.0,597800
2024-7-2,11:25,17.880,17.900,17.870,17.890,7896021.0,441600
2024-7-2,11:30,17.900,17.900,17.870,17.880,9112179.0,509600
2024-7-2,13:05,17.880,17.890,17.850,17.880,29245884.0,1636900
2024-7-2,13:10,17.890,17.920,17.870,17.920,14496112.0,810600
2024-7-2,13:15,17.910,17.910,17.890,17.890,8449713.0,472200
2024-7-2,13:20,17.890,17.890,17.880,17.890,9674964.0,540900
2024-7-2,13:25,17.890,17.910,17.880,17.910,17214470.0,962000
2024-7-2,13:30,17.910,17.940,17.900,17.930,16233127.0,905800
2024-7-2,13:35,17.930,17.930,17.900,17.910,8632950.0,481900
2024-7-2,13:40,17.920,17.940,17.910,17.910,13852164.0,772800
2024-7-2,13:45,17.920,17.950,17.910,17.950,13373410.0,745700
2024-7-2,13:50,17.940,17.960,17.930,17.960,18615608.0,1037400
2024-7-2,13:55,17.950,17.970,17.940,17.950,12094997.0,673700
2024-7-2,14:00,17.950,17.960,17.940,17.950,11903267.0,663000
2024-7-2,14:05,17.960,17.960,17.940,17.940,11852795.0,660200
2024-7-2,14:10,17.950,17.950,17.930,17.930,7031364.0,391900
2024-7-2,14:15,17.940,17.950,17.930,17.950,7914980.0,441100
2024-7-2,14:20,17.950,17.960,17.950,17.950,12986235.0,723200
2024-7-2,14:25,17.960,17.960,17.930,17.930,11725687.0,653300
2024-7-2,14:30,17.940,17.950,17.910,17.920,15658275.0,873200
2024-7-2,14:35,17.930,17.930,17.900,17.900,14036691.0,783500
2024-7-2,14:40,17.910,17.920,17.890,17.910,13830405.0,772500
2024-7-2,14:45,17.910,17.930,17.900,17.930,16392011.0,915100
2024-7-2,14:50,17.920,17.930,17.900,17.920,10281491.0,573800
2024-7-2,14:55,17.910,17.930,17.910,17.910,13155211.0,734300
2024-7-2,15:00,17.910,17.920,17.910,17.920,17156560.0,957500
2024-7-3,09:35,17.920,17.990,17.870,17.900,45956016.0,2564600
2024-7-3,09:40,17.900,17.900,17.880,17.890,16230816.0,907400
2024-7-3,09:45,17.900,17.900,17.810,17.820,40209148.0,2251900
2024-7-3,09:50,17.820,17.820,17.790,17.790,31251688.0,1755600
2024-7-3,09:55,17.790,17.790,17.730,17.760,31406018.0,1768900
2024-7-3,10:00,17.760,17.800,17.740,17.780,27984168.0,1575700
2024-7-3,10:05,17.780,17.790,17.740,17.770,19893512.0,1119800
2024-7-3,10:10,17.780,17.870,17.780,17.870,18185368.0,1020300
2024-7-3,10:15,17.870,17.890,17.850,17.860,15929352.0,891300
2024-7-3,10:20,17.860,17.900,17.850,17.880,17150694.0,959200
2024-7-3,10:25,17.880,17.890,17.830,17.850,10069693.0,564100
2024-7-3,10:30,17.850,17.860,17.830,17.850,5591991.0,313400
2024-7-3,10:35,17.850,17.850,17.800,17.830,12143144.0,681600
2024-7-3,10:40,17.830,17.850,17.820,17.840,5257764.0,294800
2024-7-3,10:45,17.840,17.840,17.800,17.830,8244799.0,462800
2024-7-3,10:50,17.830,17.870,17.830,17.860,11369577.0,637000
2024-7-3,10:55,17.850,17.870,17.830,17.850,8263713.0,463000
2024-7-3,11:00,17.850,17.860,17.820,17.860,10360632.0,580500
2024-7-3,11:05,17.850,17.850,17.800,17.800,10691616.0,599900
2024-7-3,11:10,17.810,17.810,17.750,17.760,27637544.0,1554500
2024-7-3,11:15,17.760,17.770,17.750,17.760,10958503.0,617000
2024-7-3,11:20,17.770,17.790,17.740,17.760,14701047.0,827800
2024-7-3,11:25,17.760,17.760,17.680,17.700,44725732.0,2524900
2024-7-3,11:30,17.700,17.720,17.690,17.710,10091306.0,569900
2024-7-3,13:05,17.710,17.720,17.680,17.690,25468396.0,1438700
2024-7-3,13:10,17.680,17.700,17.680,17.690,8682032.0,490800
2024-7-3,13:15,17.680,17.690,17.660,17.670,17240112.0,975400
2024-7-3,13:20,17.670,17.680,17.660,17.670,14798541.0,837600
2024-7-3,13:25,17.670,17.670,17.640,17.650,20539008.0,1163700
