日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,5.840,5.870,5.820,5.860,16799956.0,2870600
2024-7-1,09:40,5.860,5.890,5.860,5.880,16799436.0,2859900
2024-7-1,09:45,5.880,5.900,5.880,5.890,20687924.0,3512800
2024-7-1,09:50,5.890,5.900,5.880,5.900,19853080.0,3372900
2024-7-1,09:55,5.900,5.900,5.890,5.900,17350132.0,2942400
2024-7-1,10:00,5.900,5.900,5.890,5.900,7001420.0,1187500
2024-7-1,10:05,5.900,5.900,5.890,5.890,8101156.0,1374300
2024-7-1,10:10,5.900,5.900,5.890,5.900,11717877.0,1989000
2024-7-1,10:15,5.890,5.900,5.890,5.900,5450035.0,924900
2024-7-1,10:20,5.900,5.900,5.890,5.890,6983873.0,1185700
2024-7-1,10:25,5.890,5.900,5.880,5.880,5172371.0,878600
2024-7-1,10:30,5.880,5.890,5.880,5.890,3639083.0,618500
2024-7-1,10:35,5.890,5.900,5.880,5.880,7712574.0,1309400
2024-7-1,10:40,5.890,5.890,5.880,5.890,3338993.0,567400
2024-7-1,10:45,5.880,5.890,5.880,5.880,5819206.0,989100
2024-7-1,10:50,5.890,5.890,5.880,5.880,4631859.0,787100
2024-7-1,10:55,5.880,5.900,5.880,5.890,6657871.0,1130400
2024-7-1,11:00,5.890,5.900,5.880,5.890,6174372.0,1048800
2024-7-1,11:05,5.890,5.900,5.880,5.890,3792705.0,643900
2024-7-1,11:10,5.890,5.900,5.880,5.890,4678037.0,794400
2024-7-1,11:15,5.890,5.900,5.880,5.900,6228379.0,1057700
2024-7-1,11:20,5.900,5.900,5.880,5.890,4013746.0,681600
2024-7-1,11:25,5.890,5.890,5.870,5.870,8873400.0,1509100
2024-7-1,11:30,5.870,5.880,5.860,5.870,7010706.0,1194900
2024-7-1,13:05,5.860,5.880,5.860,5.870,7138352.0,1215800
2024-7-1,13:10,5.880,5.890,5.870,5.870,6624489.0,1127000
2024-7-1,13:15,5.870,5.890,5.870,5.880,3080613.0,523700
2024-7-1,13:20,5.880,5.890,5.870,5.870,14415430.0,2451100
2024-7-1,13:25,5.880,5.880,5.860,5.860,7401417.0,1261800
2024-7-1,13:30,5.870,5.870,5.850,5.860,10245651.0,1748800
2024-7-1,13:35,5.870,5.870,5.850,5.860,8893182.0,1517600
2024-7-1,13:40,5.860,5.870,5.860,5.860,4008887.0,683500
2024-7-1,13:45,5.860,5.870,5.850,5.860,4186258.0,714200
2024-7-1,13:50,5.870,5.870,5.850,5.870,4531060.0,773500
2024-7-1,13:55,5.860,5.870,5.860,5.860,3739143.0,637800
2024-7-1,14:00,5.860,5.880,5.860,5.870,8029263.0,1368600
2024-7-1,14:05,5.870,5.880,5.870,5.880,5611221.0,954700
2024-7-1,14:10,5.870,5.890,5.870,5.880,8880031.0,1508500
2024-7-1,14:15,5.890,5.890,5.870,5.890,8428274.0,1432500
2024-7-1,14:20,5.880,5.890,5.880,5.880,3544539.0,602600
2024-7-1,14:25,5.880,5.890,5.870,5.870,5853026.0,995900
2024-7-1,14:30,5.880,5.890,5.870,5.890,5031960.0,856400
2024-7-1,14:35,5.880,5.890,5.880,5.890,3240538.0,550800
2024-7-1,14:40,5.890,5.890,5.880,5.890,3816808.0,649000
2024-7-1,14:45,5.880,5.890,5.880,5.880,3507215.0,596300
2024-7-1,14:50,5.880,5.890,5.880,5.880,24683580.0,4195700
2024-7-1,14:55,5.880,5.890,5.880,5.890,6338500.0,1076700
2024-7-1,15:00,5.890,5.890,5.870,5.870,18921720.0,3218300
2024-7-2,09:35,5.880,5.930,5.880,5.930,43673892.0,7392200
2024-7-2,09:40,5.930,5.940,5.910,5.930,49802316.0,8405000
2024-7-2,09:45,5.930,5.930,5.900,5.910,27919012.0,4713500
2024-7-2,09:50,5.920,5.930,5.910,5.920,10643601.0,1797600
2024-7-2,09:55,5.930,5.940,5.920,5.930,22325548.0,3765600
2024-7-2,10:00,5.930,5.940,5.910,5.920,4704259.0,794200
2024-7-2,10:05,5.920,5.930,5.900,5.930,14968641.0,2530300
2024-7-2,10:10,5.930,5.940,5.920,5.930,27827832.0,4692500
2024-7-2,10:15,5.930,5.940,5.920,5.930,24328190.0,4102000
2024-7-2,10:20,5.930,5.940,5.920,5.930,39622260.0,6679300
2024-7-2,10:25,5.930,5.940,5.920,5.940,11671538.0,1967600
2024-7-2,10:30,5.940,5.940,5.930,5.930,3726783.0,628000
2024-7-2,10:35,5.930,5.940,5.930,5.930,5557560.0,936900
2024-7-2,10:40,5.930,5.940,5.930,5.930,6200217.0,1045200
2024-7-2,10:45,5.930,5.940,5.930,5.940,18494812.0,3115800
2024-7-2,10:50,5.930,5.940,5.930,5.940,10151391.0,1711000
2024-7-2,10:55,5.930,5.950,5.930,5.940,13865103.0,2334300
2024-7-2,11:00,5.940,5.950,5.940,5.940,4358759.0,733300
2024-7-2,11:05,5.940,5.970,5.940,5.960,42514240.0,7141200
2024-7-2,11:10,5.970,5.970,5.960,5.970,2757850.0,462500
2024-7-2,11:15,5.960,5.970,5.940,5.940,7097063.0,1191700
2024-7-2,11:20,5.940,5.950,5.940,5.950,2917400.0,490500
2024-7-2,11:25,5.950,5.960,5.940,5.960,7859072.0,1320500
2024-7-2,11:30,5.950,5.960,5.940,5.940,3594169.0,604100
2024-7-2,13:05,5.940,5.960,5.940,5.960,16049825.0,2695500
2024-7-2,13:10,5.970,5.970,5.940,5.960,9397195.0,1578900
2024-7-2,13:15,5.950,5.960,5.940,5.950,6257601.0,1051200
2024-7-2,13:20,5.950,5.960,5.950,5.960,1269090.0,213100
2024-7-2,13:25,5.960,5.960,5.950,5.960,10999769.0,1845800
2024-7-2,13:30,5.960,5.970,5.950,5.960,14640553.0,2456500
2024-7-2,13:35,5.960,5.960,5.950,5.960,8054732.0,1351700
2024-7-2,13:40,5.960,5.970,5.950,5.950,9460265.0,1587300
2024-7-2,13:45,5.960,5.970,5.950,5.970,8056158.0,1351200
2024-7-2,13:50,5.960,5.970,5.960,5.960,1926842.0,323100
2024-7-2,13:55,5.960,5.970,5.960,5.970,3252169.0,545000
2024-7-2,14:00,5.960,5.980,5.960,5.970,21474606.0,3596800
2024-7-2,14:05,5.960,5.970,5.960,5.970,8302636.0,1391000
2024-7-2,14:10,5.970,5.980,5.960,5.970,3314194.0,555300
2024-7-2,14:15,5.970,5.970,5.960,5.970,3940733.0,660300
2024-7-2,14:20,5.970,5.980,5.950,5.970,17405094.0,2918800
2024-7-2,14:25,5.970,5.970,5.950,5.960,6377316.0,1069800
2024-7-2,14:30,5.960,5.960,5.950,5.960,4613934.0,774800
2024-7-2,14:35,5.960,5.960,5.940,5.950,12446721.0,2091800
2024-7-2,14:40,5.950,5.960,5.940,5.950,4932484.0,828500
2024-7-2,14:45,5.950,5.960,5.950,5.960,5643545.0,947600
2024-7-2,14:50,5.950,5.970,5.950,5.970,13336731.0,2237500
2024-7-2,14:55,5.960,5.970,5.960,5.970,7231227.0,1212700
2024-7-2,15:00,5.960,5.970,5.950,5.960,11943181.0,2003200
2024-7-3,09:35,5.980,6.010,5.960,5.980,29265228.0,4890600
2024-7-3,09:40,5.970,5.990,5.960,5.970,14345252.0,2400900
2024-7-3,09:45,5.970,5.970,5.930,5.940,11245669.0,1890100
2024-7-3,09:50,5.940,5.950,5.920,5.930,18798408.0,3168900
2024-7-3,09:55,5.940,5.940,5.920,5.930,7291383.0,1229800
2024-7-3,10:00,5.930,5.950,5.920,5.930,22124768.0,3728700
2024-7-3,10:05,5.920,5.950,5.920,5.950,4927565.0,829600
2024-7-3,10:10,5.950,5.970,5.940,5.960,9857500.0,1655300
2024-7-3,10:15,5.960,5.980,5.960,5.970,11321001.0,1896600
2024-7-3,10:20,5.960,5.990,5.960,5.970,10048824.0,1681700
2024-7-3,10:25,5.980,5.980,5.950,5.950,5090067.0,853300
2024-7-3,10:30,5.960,5.960,5.940,5.950,4170545.0,700800
2024-7-3,10:35,5.950,5.950,5.930,5.930,4373084.0,736400
2024-7-3,10:40,5.940,5.950,5.930,5.940,5081581.0,855300
2024-7-3,10:45,5.950,5.950,5.930,5.930,4574043.0,770200
2024-7-3,10:50,5.930,5.970,5.930,5.950,11101952.0,1865100
2024-7-3,10:55,5.950,5.960,5.940,5.950,4810968.0,808400
2024-7-3,11:00,5.940,5.950,5.930,5.930,6179674.0,1040100
2024-7-3,11:05,5.940,5.940,5.920,5.930,12039817.0,2031100
2024-7-3,11:10,5.920,5.920,5.900,5.900,19045190.0,3220900
2024-7-3,11:15,5.900,5.910,5.900,5.900,7616646.0,1290500
2024-7-3,11:20,5.900,5.920,5.900,5.900,6624991.0,1121300
2024-7-3,11:25,5.910,5.910,5.890,5.900,9148988.0,1551700
2024-7-3,11:30,5.900,5.910,5.890,5.900,3657475.0,619800
2024-7-3,13:05,5.900,5.920,5.890,5.910,6201968.0,1050500
2024-7-3,13:10,5.900,5.910,5.900,5.900,2965727.0,502500
2024-7-3,13:15,5.900,5.900,5.880,5.890,6866029.0,1165200
2024-7-3,13:20,5.880,5.890,5.880,5.880,7834833.0,1332100
2024-7-3,13:25,5.890,5.890,5.880,5.880,2381000.0,404800
2024-7-3,13:30,5.880,5.890,5.880,5.890,6549791.0,1113200
2024-7-3,13:35,5.880,5.890,5.880,5.890,3353457.0,570200
2024-7-3,13:40,5.880,5.900,5.880,5.890,5201701.0,883100
2024-7-3,13:45,5.900,5.920,5.890,5.900,9143016.0,1548100
2024-7-3,13:50,5.910,5.910,5.900,5.900,1633220.0,276700
2024-7-3,13:55,5.910,5.910,5.900,5.900,2090106.0,354100
2024-7-3,14:00,5.900,5.910,5.890,5.900,2278012.0,386000
2024-7-3,14:05,5.910,5.910,5.900,5.910,10772792.0,1823200
2024-7-3,14:10,5.910,5.920,5.910,5.910,3477932.0,588000
2024-7-3,14:15,5.910,5.920,5.910,5.910,1213953.0,205300
2024-7-3,14:20,5.910,5.920,5.910,5.910,2464135.0,416400
2024-7-3,14:25,5.920,5.930,5.910,5.920,2630099.0,444300
2024-7-3,14:30,5.920,5.920,5.910,5.920,1568122.0,265100
2024-7-3,14:35,5.910,5.930,5.910,5.920,4421835.0,747000
2024-7-3,14:40,5.930,5.930,5.910,5.920,2636384.0,445500
2024-7-3,14:45,5.920,5.920,5.910,5.920,3581005.0,605200
2024-7-3,14:50,5.920,5.940,5.910,5.930,9358083.0,1579200
2024-7-3,14:55,5.930,5.940,5.920,5.930,4513876.0,761300
2024-7-3,15:00,5.930,5.940,5.920,5.940,9233055.0,1555000
2024-7-4,09:35,5.930,5.960,5.930,5.940,17112112.0,2877900
2024-7-4,09:40,5.940,5.950,5.930,5.940,7462066.0,1256700
2024-7-4,09:45,5.940,5.950,5.910,5.920,8785782.0,1481700
2024-7-4,09:50,5.920,5.940,5.920,5.930,3894076.0,656400
2024-7-4,09:55,5.930,5.950,5.930,5.940,6066935.0,1021400
2024-7-4,10:00,5.940,5.950,5.930,5.930,3701592.0,623200
2024-7-4,10:05,5.940,5.940,5.930,5.930,2447257.0,412200
2024-7-4,10:10,5.930,5.940,5.920,5.940,12683353.0,2138300
2024-7-4,10:15,5.940,5.940,5.920,5.940,7508974.0,1266200
2024-7-4,10:20,5.930,5.950,5.920,5.940,10804741.0,1819300
2024-7-4,10:25,5.950,5.960,5.940,5.950,9885859.0,1660800
2024-7-4,10:30,5.950,5.950,5.940,5.950,4661907.0,783700
2024-7-4,10:35,5.950,5.960,5.950,5.950,4365005.0,733300
2024-7-4,10:40,5.950,5.960,5.940,5.940,5505887.0,925100
2024-7-4,10:45,5.950,5.950,5.930,5.950,13119114.0,2207100
2024-7-4,10:50,5.950,5.950,5.940,5.950,2195405.0,369200
2024-7-4,10:55,5.940,5.950,5.940,5.950,7018398.0,1180100
2024-7-4,11:00,5.950,5.960,5.940,5.960,5793174.0,973900
2024-7-4,11:05,5.960,5.970,5.950,5.960,9729175.0,1632100
2024-7-4,11:10,5.960,5.970,5.950,5.960,6120602.0,1027300
2024-7-4,11:15,5.960,5.960,5.940,5.940,4448689.0,747800
2024-7-4,11:20,5.950,5.950,5.940,5.940,9350927.0,1572600
2024-7-4,11:25,5.940,5.950,5.930,5.940,4506553.0,758700
2024-7-4,11:30,5.930,5.940,5.910,5.920,19123646.0,3229900
2024-7-4,13:05,5.920,5.940,5.900,5.940,6059663.0,1023100
2024-7-4,13:10,5.940,5.940,5.920,5.930,2696712.0,455000
2024-7-4,13:15,5.920,5.930,5.910,5.920,13028008.0,2200300
2024-7-4,13:20,5.920,5.950,5.920,5.940,9041238.0,1522700
2024-7-4,13:25,5.940,5.950,5.920,5.920,5684847.0,957900
2024-7-4,13:30,5.930,5.940,5.920,5.920,2376560.0,400900
2024-7-4,13:35,5.920,5.940,5.920,5.920,11130406.0,1878400
2024-7-4,13:40,5.920,5.940,5.920,5.940,4039547.0,680900
2024-7-4,13:45,5.930,5.950,5.930,5.940,4156742.0,699700
2024-7-4,13:50,5.940,5.950,5.930,5.950,5623449.0,946400
2024-7-4,13:55,5.940,5.940,5.930,5.940,3468574.0,584400
2024-7-4,14:00,5.940,5.950,5.930,5.950,4449773.0,748500
2024-7-4,14:05,5.940,5.950,5.930,5.940,9495958.0,1599800
2024-7-4,14:10,5.940,5.940,5.920,5.930,8091489.0,1364200
2024-7-4,14:15,5.930,5.940,5.920,5.920,4767607.0,804100
2024-7-4,14:20,5.920,5.940,5.920,5.930,6483078.0,1093500
2024-7-4,14:25,5.930,5.930,5.920,5.930,5477200.0,924100
2024-7-4,14:30,5.930,5.940,5.910,5.920,13249041.0,2236800
2024-7-4,14:35,5.920,5.930,5.910,5.920,7252445.0,1225200
2024-7-4,14:40,5.930,5.940,5.920,5.930,6165111.0,1039400
2024-7-4,14:45,5.930,5.950,5.930,5.940,7936074.0,1335900
2024-7-4,14:50,5.940,5.940,5.930,5.930,11327198.0,1908800
2024-7-4,14:55,5.930,5.940,5.930,5.940,14364070.0,2420300
2024-7-4,15:00,5.930,5.940,5.920,5.920,9098350.0,1536100
2024-7-5,09:35,5.940,5.980,5.920,5.950,43330440.0,7274500
2024-7-5,09:40,5.950,5.950,5.930,5.940,11376725.0,1914200
2024-7-5,09:45,5.930,5.930,5.890,5.900,20098940.0,3400000
2024-7-5,09:50,5.900,5.910,5.870,5.880,16475190.0,2799800
2024-7-5,09:55,5.880,5.900,5.860,5.890,11307274.0,1923300
2024-7-5,10:00,5.890,5.900,5.890,5.900,3120196.0,529300
2024-7-5,10:05,5.900,5.900,5.880,5.890,6680247.0,1134000
2024-7-5,10:10,5.880,5.910,5.880,5.890,8352221.0,1416900
2024-7-5,10:15,5.890,5.890,5.870,5.870,5356899.0,911100
2024-7-5,10:20,5.870,5.880,5.850,5.860,23665430.0,4037600
2024-7-5,10:25,5.850,5.860,5.840,5.850,16693521.0,2853600
2024-7-5,10:30,5.850,5.860,5.840,5.850,8038282.0,1374300
