日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,10.390,10.400,10.290,10.320,15275232.0,1476300
2024-7-1,09:40,10.310,10.320,10.240,10.270,18447124.0,1793500
2024-7-1,09:45,10.270,10.320,10.260,10.300,14377176.0,1398300
2024-7-1,09:50,10.300,10.320,10.270,10.320,10988643.0,1067100
2024-7-1,09:55,10.320,10.350,10.320,10.330,10218720.0,989100
2024-7-1,10:00,10.330,10.350,10.320,10.330,6266053.0,606300
2024-7-1,10:05,10.330,10.340,10.310,10.310,3898981.0,377700
2024-7-1,10:10,10.310,10.330,10.300,10.310,5993035.0,580900
2024-7-1,10:15,10.310,10.320,10.280,10.300,11606123.0,1127100
2024-7-1,10:20,10.290,10.300,10.280,10.280,4851077.0,471500
2024-7-1,10:25,10.290,10.290,10.280,10.280,2818375.0,274100
2024-7-1,10:30,10.280,10.280,10.260,10.260,7270603.0,708200
2024-7-1,10:35,10.260,10.290,10.250,10.290,4989952.0,485800
2024-7-1,10:40,10.280,10.300,10.280,10.290,2798993.0,272000
2024-7-1,10:45,10.290,10.300,10.280,10.280,2596844.0,252400
2024-7-1,10:50,10.280,10.300,10.270,10.290,4037115.0,392600
2024-7-1,10:55,10.290,10.310,10.280,10.300,3770174.0,366200
2024-7-1,11:00,10.300,10.310,10.290,10.300,1742995.0,169200
2024-7-1,11:05,10.300,10.320,10.300,10.300,2808111.0,272400
2024-7-1,11:10,10.310,10.320,10.300,10.310,3635306.0,352700
2024-7-1,11:15,10.310,10.320,10.300,10.320,2630052.0,255100
2024-7-1,11:20,10.320,10.320,10.300,10.310,2837134.0,275300
2024-7-1,11:25,10.310,10.310,10.230,10.230,14505305.0,1413200
2024-7-1,11:30,10.240,10.240,10.210,10.210,8371276.0,818700
2024-7-1,13:05,10.210,10.250,10.210,10.240,8115846.0,793600
2024-7-1,13:10,10.250,10.260,10.240,10.260,2964823.0,289200
2024-7-1,13:15,10.260,10.270,10.250,10.250,3850767.0,375400
2024-7-1,13:20,10.250,10.260,10.210,10.220,9465237.0,925400
2024-7-1,13:25,10.230,10.230,10.210,10.220,5384665.0,526900
2024-7-1,13:30,10.220,10.230,10.220,10.230,3982300.0,389600
2024-7-1,13:35,10.230,10.250,10.220,10.250,7368831.0,720000
2024-7-1,13:40,10.250,10.250,10.220,10.250,5594777.0,546600
2024-7-1,13:45,10.250,10.260,10.240,10.260,4588091.0,447700
2024-7-1,13:50,10.250,10.250,10.200,10.210,15891640.0,1555200
2024-7-1,13:55,10.210,10.230,10.210,10.220,3905479.0,382200
2024-7-1,14:00,10.210,10.220,10.210,10.220,3369410.0,329900
2024-7-1,14:05,10.220,10.230,10.210,10.230,4220983.0,413000
2024-7-1,14:10,10.220,10.250,10.220,10.250,5945560.0,580900
2024-7-1,14:15,10.250,10.260,10.230,10.250,4459180.0,435200
2024-7-1,14:20,10.260,10.270,10.250,10.260,4886710.0,476400
2024-7-1,14:25,10.270,10.290,10.270,10.270,4888213.0,475700
2024-7-1,14:30,10.270,10.280,10.260,10.260,3122922.0,304100
2024-7-1,14:35,10.270,10.280,10.260,10.270,4541059.0,442300
2024-7-1,14:40,10.280,10.290,10.270,10.270,4084294.0,397500
2024-7-1,14:45,10.270,10.270,10.260,10.270,5035903.0,490500
2024-7-1,14:50,10.270,10.280,10.270,10.270,5487764.0,534200
2024-7-1,14:55,10.270,10.290,10.270,10.280,5402327.0,525500
2024-7-1,15:00,10.280,10.280,10.270,10.270,4860648.0,473200
2024-7-2,09:35,10.260,10.360,10.240,10.310,42631428.0,4131200
2024-7-2,09:40,10.310,10.330,10.260,10.320,15919122.0,1545600
2024-7-2,09:45,10.320,10.330,10.230,10.240,11922433.0,1160600
2024-7-2,09:50,10.250,10.280,10.250,10.280,11347942.0,1106000
2024-7-2,09:55,10.270,10.290,10.240,10.280,15814099.0,1540800
2024-7-2,10:00,10.290,10.290,10.260,10.260,7808247.0,759600
2024-7-2,10:05,10.270,10.300,10.250,10.290,10260643.0,998800
2024-7-2,10:10,10.290,10.300,10.270,10.280,10596212.0,1030300
2024-7-2,10:15,10.270,10.280,10.260,10.280,6870123.0,668900
2024-7-2,10:20,10.280,10.280,10.260,10.280,6133009.0,597100
2024-7-2,10:25,10.270,10.280,10.260,10.270,5422295.0,528000
2024-7-2,10:30,10.270,10.280,10.260,10.270,6175766.0,601300
2024-7-2,10:35,10.270,10.280,10.260,10.270,4459906.0,434200
2024-7-2,10:40,10.280,10.280,10.260,10.270,5966673.0,581300
2024-7-2,10:45,10.270,10.290,10.260,10.280,6339902.0,617000
2024-7-2,10:50,10.290,10.290,10.270,10.270,3848192.0,374300
2024-7-2,10:55,10.280,10.280,10.270,10.280,2184317.0,212600
2024-7-2,11:00,10.280,10.280,10.270,10.280,4372772.0,425500
2024-7-2,11:05,10.280,10.290,10.270,10.290,4314077.0,419600
2024-7-2,11:10,10.290,10.290,10.270,10.280,2945529.0,286500
2024-7-2,11:15,10.280,10.280,10.250,10.250,3463622.0,337400
2024-7-2,11:20,10.260,10.260,10.250,10.260,1306434.0,127400
2024-7-2,11:25,10.250,10.260,10.250,10.260,1500392.0,146300
2024-7-2,11:30,10.260,10.270,10.250,10.270,3780407.0,368500
2024-7-2,13:05,10.260,10.280,10.250,10.270,4164645.0,405800
2024-7-2,13:10,10.270,10.280,10.260,10.270,2112446.0,205700
2024-7-2,13:15,10.270,10.270,10.260,10.270,2185189.0,212900
2024-7-2,13:20,10.270,10.270,10.260,10.270,951441.0,92700
2024-7-2,13:25,10.270,10.270,10.250,10.250,3050608.0,297400
2024-7-2,13:30,10.260,10.270,10.250,10.260,2190729.0,213500
2024-7-2,13:35,10.260,10.270,10.260,10.260,3529439.0,343900
2024-7-2,13:40,10.270,10.270,10.260,10.260,3588448.0,349700
2024-7-2,13:45,10.260,10.260,10.240,10.250,4966656.0,484500
2024-7-2,13:50,10.240,10.250,10.240,10.250,3156587.0,308100
