日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,28.920,29.030,28.920,29.010,81633776.0,2816500
2024-7-1,09:40,29.030,29.150,29.020,29.150,83521120.0,2872200
2024-7-1,09:45,29.140,29.260,29.140,29.230,117773472.0,4032000
2024-7-1,09:50,29.230,29.330,29.170,29.320,90513952.0,3095600
2024-7-1,09:55,29.330,29.380,29.330,29.360,89372576.0,3044400
2024-7-1,10:00,29.360,29.370,29.300,29.370,56666424.0,1931500
2024-7-1,10:05,29.360,29.420,29.360,29.420,87248552.0,2968400
2024-7-1,10:10,29.410,29.480,29.390,29.440,59365068.0,2016900
2024-7-1,10:15,29.430,29.440,29.340,29.360,37075848.0,1261700
2024-7-1,10:20,29.380,29.460,29.360,29.450,27119410.0,922300
2024-7-1,10:25,29.460,29.530,29.460,29.530,74505856.0,2526500
2024-7-1,10:30,29.520,29.520,29.420,29.460,32700432.0,1110100
2024-7-1,10:35,29.450,29.470,29.370,29.380,28825384.0,979600
2024-7-1,10:40,29.390,29.470,29.380,29.470,22200948.0,754800
2024-7-1,10:45,29.470,29.480,29.400,29.400,23271546.0,790500
2024-7-1,10:50,29.410,29.480,29.400,29.470,16165461.0,549100
2024-7-1,10:55,29.460,29.500,29.450,29.490,28143026.0,954600
2024-7-1,11:00,29.480,29.520,29.480,29.510,39798088.0,1349000
2024-7-1,11:05,29.510,29.510,29.490,29.500,18951116.0,642500
2024-7-1,11:10,29.500,29.600,29.490,29.580,61787668.0,2091000
2024-7-1,11:15,29.560,29.650,29.560,29.640,30497786.0,1029700
2024-7-1,11:20,29.640,29.640,29.550,29.570,30795184.0,1041200
2024-7-1,11:25,29.570,29.610,29.570,29.580,15532777.0,524900
2024-7-1,11:30,29.580,29.590,29.490,29.490,28359888.0,960400
2024-7-1,13:05,29.490,29.490,29.360,29.370,65786664.0,2235700
2024-7-1,13:10,29.370,29.400,29.330,29.380,66076252.0,2250300
2024-7-1,13:15,29.400,29.450,29.370,29.370,40273608.0,1369800
2024-7-1,13:20,29.370,29.370,29.160,29.170,113251920.0,3871000
2024-7-1,13:25,29.160,29.210,29.150,29.200,66924252.0,2294300
2024-7-1,13:30,29.200,29.250,29.170,29.240,32193508.0,1101900
2024-7-1,13:35,29.250,29.300,29.220,29.290,33224484.0,1135800
2024-7-1,13:40,29.300,29.350,29.290,29.330,34372720.0,1172300
2024-7-1,13:45,29.330,29.380,29.330,29.370,26793780.0,912500
2024-7-1,13:50,29.360,29.360,29.310,29.330,21232432.0,723800
2024-7-1,13:55,29.330,29.350,29.300,29.350,22024144.0,751100
2024-7-1,14:00,29.350,29.360,29.310,29.350,24952512.0,850700
2024-7-1,14:05,29.340,29.360,29.310,29.320,26296080.0,896200
2024-7-1,14:10,29.320,29.320,29.290,29.300,28677896.0,978800
2024-7-1,14:15,29.300,29.360,29.300,29.350,17679764.0,602900
2024-7-1,14:20,29.360,29.380,29.350,29.380,25135244.0,855900
2024-7-1,14:25,29.390,29.490,29.390,29.450,58355072.0,1981300
2024-7-1,14:30,29.440,29.480,29.430,29.470,24060964.0,816900
2024-7-1,14:35,29.470,29.510,29.450,29.510,50155772.0,1700900
2024-7-1,14:40,29.500,29.510,29.480,29.490,31686588.0,1074400
2024-7-1,14:45,29.490,29.490,29.450,29.480,22947654.0,778900
2024-7-1,14:50,29.480,29.490,29.460,29.490,28111550.0,953700
2024-7-1,14:55,29.500,29.520,29.470,29.480,51093580.0,1732200
2024-7-1,15:00,29.480,29.490,29.470,29.480,30810684.0,1045200
2024-7-2,09:35,29.470,29.470,29.240,29.420,145819760.0,4969700
2024-7-2,09:40,29.420,29.500,29.330,29.360,100423464.0,3413500
2024-7-2,09:45,29.360,29.450,29.340,29.380,47151236.0,1605200
2024-7-2,09:50,29.380,29.390,29.330,29.350,54812520.0,1867600
2024-7-2,09:55,29.360,29.390,29.320,29.350,38743968.0,1319800
2024-7-2,10:00,29.350,29.440,29.330,29.390,35390148.0,1204400
2024-7-2,10:05,29.390,29.460,29.340,29.460,38677056.0,1316000
2024-7-2,10:10,29.460,29.470,29.390,29.420,31759940.0,1079100
2024-7-2,10:15,29.430,29.480,29.420,29.430,43890300.0,1490300
2024-7-2,10:20,29.440,29.460,29.400,29.410,31143024.0,1058600
2024-7-2,10:25,29.420,29.420,29.350,29.360,44110260.0,1501300
2024-7-2,10:30,29.360,29.420,29.360,29.400,25679100.0,873900
2024-7-2,10:35,29.400,29.440,29.390,29.390,20957772.0,712400
2024-7-2,10:40,29.380,29.450,29.370,29.440,30136524.0,1025200
2024-7-2,10:45,29.440,29.520,29.440,29.480,63650232.0,2158300
2024-7-2,10:50,29.500,29.560,29.500,29.550,33719384.0,1141600
2024-7-2,10:55,29.550,29.550,29.490,29.510,27320304.0,925500
2024-7-2,11:00,29.510,29.550,29.470,29.470,18183782.0,616300
2024-7-2,11:05,29.470,29.470,29.440,29.450,27503064.0,933700
2024-7-2,11:10,29.460,29.460,29.400,29.400,31017668.0,1054500
2024-7-2,11:15,29.400,29.440,29.400,29.410,16512051.0,561200
2024-7-2,11:20,29.420,29.430,29.400,29.410,23546324.0,800500
2024-7-2,11:25,29.410,29.420,29.400,29.410,25463716.0,865900
2024-7-2,11:30,29.410,29.420,29.400,29.400,20265956.0,689200
2024-7-2,13:05,29.400,29.430,29.350,29.410,74054256.0,2520500
2024-7-2,13:10,29.420,29.420,29.380,29.400,23297908.0,792600
2024-7-2,13:15,29.420,29.420,29.390,29.410,26092438.0,887400
2024-7-2,13:20,29.410,29.440,29.390,29.420,35656316.0,1212200
2024-7-2,13:25,29.430,29.440,29.390,29.410,29550776.0,1004600
2024-7-2,13:30,29.410,29.420,29.380,29.390,27860028.0,947600
2024-7-2,13:35,29.390,29.420,29.380,29.400,24990220.0,850100
2024-7-2,13:40,29.410,29.410,29.380,29.380,27551838.0,937400
2024-7-2,13:45,29.380,29.400,29.380,29.400,20176050.0,686600
2024-7-2,13:50,29.400,29.400,29.380,29.390,21725130.0,739200
2024-7-2,13:55,29.390,29.430,29.380,29.410,22510444.0,765600
2024-7-2,14:00,29.410,29.470,29.410,29.470,16906530.0,574300
2024-7-2,14:05,29.470,29.480,29.400,29.400,24564684.0,834300
2024-7-2,14:10,29.410,29.440,29.400,29.440,15985164.0,543300
2024-7-2,14:15,29.450,29.460,29.430,29.440,18856980.0,640500
2024-7-2,14:20,29.440,29.480,29.430,29.460,26394246.0,896200
2024-7-2,14:25,29.450,29.470,29.440,29.450,21143550.0,717800
2024-7-2,14:30,29.450,29.470,29.430,29.430,29037056.0,986000
2024-7-2,14:35,29.430,29.450,29.420,29.420,37302204.0,1267400
2024-7-2,14:40,29.430,29.450,29.400,29.450,41072088.0,1395900
2024-7-2,14:45,29.450,29.460,29.430,29.440,35438768.0,1203700
2024-7-2,14:50,29.430,29.460,29.410,29.440,42501824.0,1443800
2024-7-2,14:55,29.440,29.460,29.420,29.460,38604616.0,1311300
2024-7-2,15:00,29.450,29.480,29.440,29.480,57375968.0,1947000
2024-7-3,09:35,29.410,29.520,29.280,29.300,171796816.0,5849200
2024-7-3,09:40,29.300,29.330,29.230,29.270,121384480.0,4146200
2024-7-3,09:45,29.290,29.290,29.150,29.200,163034416.0,5580300
2024-7-3,09:50,29.200,29.260,29.180,29.200,69937040.0,2394000
2024-7-3,09:55,29.190,29.190,29.020,29.070,154384640.0,5306400
2024-7-3,10:00,29.080,29.190,29.070,29.120,47642032.0,1634400
2024-7-3,10:05,29.120,29.130,29.070,29.090,61404924.0,2111000
2024-7-3,10:10,29.080,29.200,29.080,29.180,54421420.0,1866800
2024-7-3,10:15,29.170,29.220,29.100,29.110,65482908.0,2244700
2024-7-3,10:20,29.120,29.170,29.120,29.170,47004632.0,1613400
2024-7-3,10:25,29.180,29.240,29.180,29.220,54293612.0,1858900
2024-7-3,10:30,29.230,29.230,29.060,29.060,83510336.0,2868100
2024-7-3,10:35,29.060,29.070,29.000,29.030,127744824.0,4401500
2024-7-3,10:40,29.030,29.070,29.020,29.040,48757536.0,1678800
2024-7-3,10:45,29.040,29.090,29.010,29.080,37653772.0,1297100
2024-7-3,10:50,29.090,29.110,29.080,29.090,26565546.0,913200
2024-7-3,10:55,29.090,29.100,29.050,29.100,17645154.0,606800
2024-7-3,11:00,29.080,29.120,29.080,29.120,16662473.0,572600
2024-7-3,11:05,29.120,29.120,29.070,29.080,19294692.0,663300
2024-7-3,11:10,29.090,29.090,29.020,29.030,32763972.0,1128100
2024-7-3,11:15,29.020,29.080,29.020,29.070,20758416.0,714800
2024-7-3,11:20,29.070,29.080,29.040,29.050,18919002.0,651200
2024-7-3,11:25,29.040,29.050,29.010,29.040,37779908.0,1301600
2024-7-3,11:30,29.040,29.040,29.010,29.040,23964910.0,825800
2024-7-3,13:05,29.040,29.120,29.030,29.090,46434112.0,1596900
2024-7-3,13:10,29.090,29.110,29.080,29.090,20589248.0,707700
2024-7-3,13:15,29.080,29.100,29.050,29.050,35941664.0,1236400
2024-7-3,13:20,29.050,29.120,29.050,29.120,23049816.0,792200
2024-7-3,13:25,29.110,29.140,29.090,29.110,20607836.0,708000
2024-7-3,13:30,29.120,29.150,29.110,29.120,14835990.0,509300
2024-7-3,13:35,29.120,29.150,29.110,29.150,19236616.0,660500
2024-7-3,13:40,29.140,29.190,29.140,29.190,31277576.0,1072300
2024-7-3,13:45,29.200,29.230,29.180,29.190,37215476.0,1274200
2024-7-3,13:50,29.200,29.200,29.160,29.170,15198041.0,520900
2024-7-3,13:55,29.170,29.210,29.160,29.200,17234044.0,590500
2024-7-3,14:00,29.210,29.210,29.190,29.200,15604454.0,534400
2024-7-3,14:05,29.190,29.240,29.190,29.210,32432396.0,1110200
2024-7-3,14:10,29.220,29.250,29.210,29.250,17970638.0,614700
