日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,45.510,47.280,45.500,46.790,603191104.0,12996700
2024-9-30,09:40,46.850,47.870,46.770,46.770,540084224.0,11431800
2024-9-30,09:45,46.770,46.770,46.310,46.400,209931856.0,4518100
2024-9-30,09:50,46.440,46.610,46.180,46.180,221589472.0,4769800
2024-9-30,09:55,46.160,46.280,45.900,46.280,198270304.0,4300700
2024-9-30,10:00,46.260,46.320,46.100,46.250,142637056.0,3085400
2024-9-30,10:05,46.240,46.320,46.030,46.320,111710192.0,2419600
2024-9-30,10:10,46.230,46.230,45.960,46.000,123692824.0,2683300
2024-9-30,10:15,45.980,46.000,45.540,45.960,184772624.0,4036300
2024-9-30,10:20,46.000,46.010,45.590,45.720,116184928.0,2539500
2024-9-30,10:25,45.720,46.200,45.720,46.200,80961864.0,1761800
2024-9-30,10:30,46.220,46.290,46.150,46.190,76251712.0,1650400
2024-9-30,10:35,46.190,46.240,46.070,46.070,96754336.0,2096100
2024-9-30,10:40,46.070,46.130,46.050,46.070,73410664.0,1592600
2024-9-30,10:45,46.080,46.090,45.910,45.990,90056680.0,1957200
2024-9-30,10:50,46.000,46.200,45.940,46.080,79011320.0,1713400
2024-9-30,10:55,46.100,46.890,46.100,46.880,153949952.0,3310400
2024-9-30,11:00,46.870,46.870,46.500,46.610,68703272.0,1475200
2024-9-30,11:05,46.620,46.980,46.600,46.930,115580080.0,2472300
2024-9-30,11:10,46.990,47.140,46.580,46.590,119731392.0,2552400
2024-9-30,11:15,46.590,46.640,46.420,46.450,68145128.0,1464100
2024-9-30,11:20,46.450,46.490,46.320,46.460,76246432.0,1643600
2024-9-30,11:25,46.460,46.600,46.440,46.520,63639648.0,1368200
2024-9-30,11:30,46.510,47.090,46.510,47.000,124595744.0,2655400
2024-9-30,13:05,47.000,47.070,46.880,46.950,125304312.0,2665900
2024-9-30,13:10,47.000,47.290,47.000,47.290,145597168.0,3084600
2024-9-30,13:15,47.290,47.400,47.000,47.050,133441352.0,2826300
2024-9-30,13:20,47.060,47.060,46.960,46.960,96949536.0,2062600
2024-9-30,13:25,46.970,46.990,46.960,46.990,75187616.0,1600500
2024-9-30,13:30,46.980,47.100,46.980,47.100,92103184.0,1958300
2024-9-30,13:35,47.090,47.320,47.090,47.270,79247400.0,1677100
2024-9-30,13:40,47.260,47.500,47.260,47.500,90710872.0,1914700
2024-9-30,13:45,47.490,47.800,47.490,47.700,218222240.0,4580600
2024-9-30,13:50,47.700,47.800,47.650,47.780,109534440.0,2295000
2024-9-30,13:55,47.780,47.950,47.740,47.930,164349664.0,3435400
2024-9-30,14:00,47.950,47.980,47.850,47.900,83080984.0,1734200
2024-9-30,14:05,47.900,47.920,47.790,47.890,74994472.0,1567000
2024-9-30,14:10,47.890,47.940,47.880,47.920,74639200.0,1557900
2024-9-30,14:15,47.920,48.120,47.920,48.090,264124832.0,5500000
2024-9-30,14:20,48.080,48.090,47.810,47.820,102463440.0,2137500
2024-9-30,14:25,47.820,47.830,47.440,47.460,154972896.0,3255300
2024-9-30,14:30,47.450,47.500,47.270,47.480,134246256.0,2833300
2024-9-30,14:35,47.480,47.490,47.340,47.340,84773192.0,1789300
2024-9-30,14:40,47.340,47.460,47.270,47.450,76417936.0,1613800
2024-9-30,14:45,47.450,47.550,47.400,47.550,86637968.0,1825400
2024-9-30,14:50,47.550,47.810,47.550,47.740,77765776.0,1629700
2024-9-30,14:55,47.740,48.000,47.740,48.000,107973872.0,2255700
2024-9-30,15:00,48.000,48.000,47.930,47.940,114753224.0,2392500
2024-10-8,09:35,52.730,52.730,51.850,52.480,1015454336.0,19318500
2024-10-8,09:40,52.490,52.500,51.780,51.840,346854656.0,6640800
2024-10-8,09:45,51.820,51.880,50.800,50.830,371605600.0,7215900
2024-10-8,09:50,50.800,51.510,50.580,51.500,289296160.0,5675000
2024-10-8,09:55,51.500,52.000,51.450,51.950,263502912.0,5095600
2024-10-8,10:00,51.910,51.990,51.510,51.520,158535104.0,3067400
2024-10-8,10:05,51.510,51.770,51.500,51.710,165255616.0,3202300
2024-10-8,10:10,51.690,51.880,51.670,51.750,159223392.0,3074700
2024-10-8,10:15,51.750,51.760,51.050,51.050,199915712.0,3879100
2024-10-8,10:20,51.020,51.400,51.010,51.340,161573984.0,3158800
2024-10-8,10:25,51.370,51.380,51.000,51.010,126627368.0,2473900
2024-10-8,10:30,51.000,51.020,50.500,50.520,145723408.0,2869100
2024-10-8,10:35,50.510,50.610,49.770,49.800,202734944.0,4041600
2024-10-8,10:40,49.770,49.800,49.210,49.800,193421472.0,3910500
2024-10-8,10:45,49.800,51.190,49.800,51.190,129318536.0,2562900
2024-10-8,10:50,51.200,51.200,50.600,50.770,83275808.0,1637200
2024-10-8,10:55,50.720,50.860,50.640,50.800,63412772.0,1248900
2024-10-8,11:00,50.790,50.980,50.310,50.310,68451456.0,1350800
