日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,281.000,287.980,280.020,283.400,765190848.0,2700200
2024-9-30,09:40,283.270,284.000,278.000,278.010,372403552.0,1326800
2024-9-30,09:45,278.000,279.880,277.500,278.020,264034592.0,946700
2024-9-30,09:50,279.000,279.000,273.190,273.230,228100016.0,825200
2024-9-30,09:55,273.190,275.910,269.140,275.000,258649232.0,951400
2024-9-30,10:00,275.000,277.470,274.340,277.470,145757632.0,528900
2024-9-30,10:05,276.980,279.010,275.110,278.820,122111280.0,440600
2024-9-30,10:10,278.820,279.990,278.030,279.010,151762528.0,543300
2024-9-30,10:15,279.010,280.180,278.690,279.810,87691872.0,313600
2024-9-30,10:20,279.810,281.870,279.810,281.080,126975960.0,452000
2024-9-30,10:25,281.020,283.500,281.020,283.500,97988416.0,347000
2024-9-30,10:30,283.500,284.440,283.500,284.350,98110760.0,345700
2024-9-30,10:35,284.200,284.440,280.080,281.360,98690160.0,350000
2024-9-30,10:40,281.770,283.290,281.770,282.790,108652976.0,384600
2024-9-30,10:45,282.790,283.500,282.550,282.910,99998760.0,353400
2024-9-30,10:50,282.740,284.940,282.640,284.940,83068416.0,292900
2024-9-30,10:55,284.930,286.480,284.930,286.410,133464824.0,467500
2024-9-30,11:00,286.220,287.500,286.220,287.470,116649584.0,406600
2024-9-30,11:05,287.380,287.500,285.500,286.440,107270408.0,374400
2024-9-30,11:10,286.440,287.260,285.060,287.250,75240416.0,262800
2024-9-30,11:15,287.260,288.000,286.850,288.000,91661888.0,318900
2024-9-30,11:20,287.970,289.610,287.970,289.170,141239600.0,489100
2024-9-30,11:25,289.100,289.340,288.000,289.340,76930448.0,266800
2024-9-30,11:30,289.350,289.500,288.480,288.830,78127192.0,270300
2024-9-30,13:05,288.830,294.000,288.830,293.280,209535680.0,718800
2024-9-30,13:10,293.170,293.920,292.780,293.480,119135688.0,405900
2024-9-30,13:15,293.490,293.900,291.600,292.130,118704520.0,405200
2024-9-30,13:20,291.790,293.660,291.640,293.660,117456528.0,401600
2024-9-30,13:25,293.120,293.500,292.910,293.000,77346872.0,263800
2024-9-30,13:30,293.000,293.000,292.090,292.590,59845236.0,204600
2024-9-30,13:35,292.590,294.440,292.330,294.420,90148096.0,307300
2024-9-30,13:40,294.260,297.800,294.260,297.610,184115952.0,621700
2024-9-30,13:45,297.650,297.970,295.550,297.810,134512256.0,452900
2024-9-30,13:50,297.990,299.980,297.480,299.270,143674368.0,480800
2024-9-30,13:55,299.290,299.540,298.870,299.540,109950752.0,367500
2024-9-30,14:00,299.540,300.650,299.220,300.490,148751376.0,496100
2024-9-30,14:05,300.620,300.880,299.360,299.600,116695736.0,388900
2024-9-30,14:10,299.580,299.590,297.140,297.680,99184488.0,332500
2024-9-30,14:15,297.960,299.140,297.960,298.900,75715520.0,253400
2024-9-30,14:20,298.980,299.020,293.600,293.600,91689192.0,309400
2024-9-30,14:25,293.600,293.600,288.580,289.480,160391744.0,551900
2024-9-30,14:30,288.970,293.500,288.570,292.450,93964832.0,321900
2024-9-30,14:35,292.570,293.050,289.560,292.910,96374472.0,331200
2024-9-30,14:40,292.500,294.180,291.500,291.960,101900656.0,348200
2024-9-30,14:45,292.000,293.490,291.840,293.420,102170256.0,349500
2024-9-30,14:50,293.410,294.700,292.030,294.480,82290152.0,280900
2024-9-30,14:55,294.480,296.900,294.000,296.100,110939872.0,375400
2024-9-30,15:00,296.020,296.500,293.000,293.000,162082272.0,551600
2024-10-8,09:35,351.600,351.600,340.390,348.500,1621842432.0,4630100
2024-10-8,09:40,348.500,351.000,340.000,344.070,445283968.0,1285700
2024-10-8,09:45,344.850,344.850,327.320,329.540,476712160.0,1417700
2024-10-8,09:50,330.020,342.000,330.020,336.950,394585088.0,1168900
2024-10-8,09:55,341.500,343.000,335.060,336.800,346344256.0,1022200
2024-10-8,10:00,339.900,339.990,335.000,335.630,210902336.0,625200
2024-10-8,10:05,335.530,336.120,330.580,330.580,198369344.0,592400
2024-10-8,10:10,331.450,336.700,330.000,331.000,221176112.0,664900
2024-10-8,10:15,333.990,335.000,321.380,321.980,200479008.0,612400
2024-10-8,10:20,322.000,333.000,320.980,330.000,236033408.0,721500
2024-10-8,10:25,328.200,332.260,322.800,323.000,164662336.0,503700
2024-10-8,10:30,323.000,327.610,319.510,319.690,175992672.0,546600
2024-10-8,10:35,319.700,322.000,312.110,313.010,343162688.0,1081300
2024-10-8,10:40,312.000,317.480,308.500,310.410,373016064.0,1196500
2024-10-8,10:45,314.500,330.000,310.730,326.010,272352288.0,847600
2024-10-8,10:50,329.920,329.920,319.680,322.370,163616256.0,506100
2024-10-8,10:55,320.110,322.260,316.800,318.030,171852672.0,537700
2024-10-8,11:00,318.020,326.000,318.020,319.010,102491680.0,319400
2024-10-8,11:05,319.990,323.800,318.020,319.900,142559184.0,446000
2024-10-8,11:10,319.900,325.300,319.420,321.010,226148800.0,703300
