日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,71.000,71.400,69.210,70.000,22949866.0,327400
2024-12-31,09:40,70.000,70.170,69.000,69.300,19726332.0,283200
2024-12-31,09:45,69.120,69.380,69.000,69.180,21530368.0,311200
2024-12-31,09:50,69.340,69.520,68.800,69.420,15763968.0,228000
2024-12-31,09:55,69.520,69.790,68.200,68.480,12552480.0,182000
2024-12-31,10:00,68.340,68.500,67.580,67.800,18878688.0,277600
2024-12-31,10:05,67.810,69.180,67.720,69.110,20009996.0,293400
2024-12-31,10:10,69.010,69.840,68.770,69.840,13812244.0,199200
2024-12-31,10:15,69.800,70.340,69.400,70.300,10857530.0,155400
2024-12-31,10:20,70.300,70.850,69.960,69.960,11218221.0,159100
2024-12-31,10:25,69.900,70.140,69.500,69.930,4792948.0,68600
2024-12-31,10:30,69.880,70.290,69.600,70.290,4633453.0,66300
2024-12-31,10:35,70.290,70.290,69.800,69.870,4259126.0,60800
2024-12-31,10:40,69.880,69.910,69.440,69.440,5581258.0,80200
2024-12-31,10:45,69.530,69.820,69.420,69.670,2789938.0,40100
2024-12-31,10:50,69.670,69.670,69.280,69.310,2857995.0,41100
2024-12-31,10:55,69.370,69.650,69.370,69.460,3254364.0,46800
2024-12-31,11:00,69.450,69.550,69.220,69.550,4126439.0,59500
2024-12-31,11:05,69.550,69.550,69.020,69.160,5060692.0,73100
2024-12-31,11:10,69.090,69.450,69.080,69.340,3906230.0,56400
2024-12-31,11:15,69.330,69.710,69.270,69.540,3049470.0,43900
2024-12-31,11:20,69.620,69.840,69.220,69.250,2706782.0,38800
2024-12-31,11:25,69.240,69.600,69.240,69.530,1055541.0,15200
2024-12-31,11:30,69.500,69.690,69.150,69.190,6605751.0,95000
2024-12-31,13:05,69.200,69.700,69.190,69.190,5035711.0,72600
2024-12-31,13:10,69.190,69.190,68.600,68.600,3933673.0,57100
2024-12-31,13:15,68.600,68.680,68.390,68.500,5381431.0,78500
2024-12-31,13:20,68.530,68.820,68.410,68.550,7769432.0,113400
2024-12-31,13:25,68.540,68.640,68.170,68.290,5286660.0,77400
2024-12-31,13:30,68.290,68.380,67.660,67.770,21229176.0,312800
2024-12-31,13:35,67.830,67.830,67.320,67.650,13714061.0,202800
2024-12-31,13:40,67.580,67.860,67.500,67.770,9894640.0,146300
2024-12-31,13:45,67.770,67.860,67.710,67.710,4445920.0,65600
2024-12-31,13:50,67.710,68.270,67.710,68.240,2922146.0,43000
2024-12-31,13:55,68.240,68.380,67.910,68.380,4480782.0,65800
2024-12-31,14:00,68.180,68.360,68.020,68.360,3427023.0,50200
2024-12-31,14:05,68.310,68.330,68.120,68.120,2327322.0,34100
2024-12-31,14:10,68.130,68.190,67.770,67.830,4524897.0,66600
2024-12-31,14:15,67.830,68.200,67.760,68.110,4088477.0,60200
2024-12-31,14:20,68.110,68.510,68.110,68.490,5854729.0,85700
2024-12-31,14:25,68.470,68.800,68.000,68.450,12665765.0,185100
2024-12-31,14:30,68.450,68.680,68.290,68.290,4806847.0,70200
2024-12-31,14:35,68.350,68.940,68.320,68.750,11207285.0,163600
2024-12-31,14:40,68.730,68.990,68.720,68.860,5234709.0,76100
2024-12-31,14:45,68.860,68.880,68.630,68.660,5599915.0,81500
2024-12-31,14:50,68.650,68.850,68.420,68.420,9403812.0,137000
2024-12-31,14:55,68.410,68.410,68.000,68.210,17605626.0,258300
2024-12-31,15:00,68.210,68.210,68.000,68.000,8987081.0,132100
2025-1-2,09:35,67.740,67.980,66.010,66.190,35036876.0,525400
2025-1-2,09:40,66.190,67.000,65.700,67.000,38947916.0,588800
2025-1-2,09:45,67.010,67.290,66.310,67.030,12369913.0,185500
2025-1-2,09:50,67.060,67.150,66.380,67.150,5052837.0,75600
2025-1-2,09:55,67.210,68.450,67.210,68.120,15099363.0,222200
2025-1-2,10:00,68.360,68.730,67.880,68.630,22678632.0,331700
2025-1-2,10:05,68.720,69.290,68.040,68.290,18310136.0,266100
2025-1-2,10:10,68.340,69.360,68.240,69.350,16695917.0,242300
2025-1-2,10:15,69.270,70.500,69.190,69.700,32284800.0,462800
2025-1-2,10:20,69.780,69.780,68.720,69.380,14212380.0,205200
2025-1-2,10:25,69.380,69.680,69.110,69.600,6096109.0,87900
2025-1-2,10:30,69.690,70.810,69.610,70.530,25002476.0,355100
2025-1-2,10:35,70.800,71.880,70.760,71.600,34508916.0,483900
2025-1-2,10:40,71.630,72.150,71.220,71.480,21111642.0,294500
2025-1-2,10:45,71.640,71.950,71.220,71.460,18189046.0,253900
2025-1-2,10:50,71.460,72.710,71.460,72.600,20755548.0,287300
2025-1-2,10:55,72.700,73.610,72.500,72.630,24815788.0,339200
2025-1-2,11:00,72.660,72.970,72.290,72.310,12316500.0,169400
2025-1-2,11:05,72.300,72.300,71.760,71.770,14838746.0,206400
