日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,8.870,8.960,8.870,8.930,15351458.0,1723100
2024-12-31,09:40,8.920,8.960,8.850,8.850,10043770.0,1128900
2024-12-31,09:45,8.850,8.880,8.840,8.840,11529673.0,1301600
2024-12-31,09:50,8.850,8.890,8.810,8.870,8328933.0,942500
2024-12-31,09:55,8.890,8.890,8.810,8.820,6768151.0,764800
2024-12-31,10:00,8.820,8.820,8.710,8.730,15288828.0,1745100
2024-12-31,10:05,8.740,8.830,8.730,8.820,13276664.0,1515700
2024-12-31,10:10,8.810,8.860,8.810,8.820,9040955.0,1023100
2024-12-31,10:15,8.820,8.830,8.790,8.810,3815120.0,433200
2024-12-31,10:20,8.810,8.860,8.810,8.830,4902771.0,554900
2024-12-31,10:25,8.830,8.860,8.810,8.820,3749932.0,424500
2024-12-31,10:30,8.810,8.830,8.790,8.830,2653847.0,301300
2024-12-31,10:35,8.820,8.820,8.780,8.790,2776240.0,315700
2024-12-31,10:40,8.790,8.810,8.770,8.780,1520604.0,173100
2024-12-31,10:45,8.780,8.800,8.770,8.780,3439044.0,391800
2024-12-31,10:50,8.780,8.790,8.750,8.770,2557104.0,291700
2024-12-31,10:55,8.770,8.780,8.740,8.740,2944571.0,336100
2024-12-31,11:00,8.740,8.760,8.730,8.750,4607698.0,527200
2024-12-31,11:05,8.760,8.770,8.720,8.760,7232827.0,827400
2024-12-31,11:10,8.760,8.780,8.750,8.780,3686355.0,420700
2024-12-31,11:15,8.780,8.840,8.770,8.830,4722619.0,536200
2024-12-31,11:20,8.830,8.830,8.790,8.790,2428701.0,275400
2024-12-31,11:25,8.790,8.820,8.780,8.820,2518270.0,286400
2024-12-31,11:30,8.820,8.830,8.790,8.790,1821791.0,206700
2024-12-31,13:05,8.780,8.800,8.750,8.770,2290144.0,261100
2024-12-31,13:10,8.770,8.770,8.730,8.730,2806244.0,320900
2024-12-31,13:15,8.730,8.730,8.710,8.720,4619789.0,529700
2024-12-31,13:20,8.720,8.730,8.700,8.710,5981638.0,686200
2024-12-31,13:25,8.730,8.740,8.710,8.730,2322407.0,266000
2024-12-31,13:30,8.740,8.740,8.710,8.730,3010527.0,345000
2024-12-31,13:35,8.730,8.730,8.680,8.690,7981794.0,917500
2024-12-31,13:40,8.680,8.710,8.650,8.700,8134187.0,937700
2024-12-31,13:45,8.690,8.700,8.670,8.670,2275196.0,262000
2024-12-31,13:50,8.670,8.710,8.670,8.710,4647962.0,535200
2024-12-31,13:55,8.720,8.730,8.680,8.680,1917899.0,220600
2024-12-31,14:00,8.680,8.680,8.650,8.660,4553679.0,525700
2024-12-31,14:05,8.660,8.670,8.630,8.640,4214100.0,487200
2024-12-31,14:10,8.640,8.640,8.560,8.570,10731985.0,1248400
2024-12-31,14:15,8.570,8.590,8.540,8.580,10435313.0,1218800
2024-12-31,14:20,8.590,8.600,8.570,8.600,7483369.0,871500
2024-12-31,14:25,8.600,8.610,8.580,8.610,4579175.0,532500
2024-12-31,14:30,8.610,8.620,8.570,8.570,3559188.0,414000
2024-12-31,14:35,8.570,8.670,8.570,8.630,5058870.0,586000
2024-12-31,14:40,8.630,8.680,8.630,8.670,4799413.0,554100
2024-12-31,14:45,8.670,8.680,8.630,8.660,4955396.0,572600
2024-12-31,14:50,8.670,8.680,8.610,8.630,5865901.0,678700
2024-12-31,14:55,8.620,8.630,8.560,8.580,13100180.0,1525800
2024-12-31,15:00,8.580,8.600,8.570,8.600,12013647.0,1397600
2025-1-2,09:35,8.550,8.570,8.370,8.410,23321834.0,2765500
2025-1-2,09:40,8.410,8.520,8.410,8.500,11065213.0,1307900
2025-1-2,09:45,8.500,8.520,8.430,8.510,6061893.0,714700
2025-1-2,09:50,8.500,8.540,8.490,8.510,6818907.0,801200
2025-1-2,09:55,8.510,8.580,8.510,8.530,5175475.0,605300
2025-1-2,10:00,8.520,8.550,8.490,8.500,4863149.0,570700
2025-1-2,10:05,8.500,8.570,8.500,8.550,5981505.0,701000
2025-1-2,10:10,8.540,8.570,8.520,8.540,3398622.0,397900
2025-1-2,10:15,8.540,8.600,8.510,8.580,5631730.0,657800
2025-1-2,10:20,8.580,8.610,8.570,8.610,4835270.0,562900
2025-1-2,10:25,8.610,8.650,8.600,8.650,6672736.0,774000
2025-1-2,10:30,8.650,8.930,8.650,8.830,41445692.0,4703700
2025-1-2,10:35,8.830,9.020,8.800,8.930,30972896.0,3473500
2025-1-2,10:40,8.950,8.960,8.890,8.900,17677372.0,1982400
2025-1-2,10:45,8.900,8.910,8.850,8.880,9614945.0,1081700
2025-1-2,10:50,8.880,8.920,8.840,8.900,6708534.0,755300
2025-1-2,10:55,8.900,8.960,8.890,8.930,8178379.0,915700
2025-1-2,11:00,8.960,9.000,8.920,8.940,10701310.0,1193300
2025-1-2,11:05,8.940,9.010,8.920,8.990,9688915.0,1080300
2025-1-2,11:10,8.980,9.050,8.950,9.040,18853584.0,2093300
2025-1-2,11:15,9.050,9.050,8.920,8.970,13679506.0,1522100
2025-1-2,11:20,8.970,9.050,8.940,8.990,11451823.0,1274100
2025-1-2,11:25,8.980,9.010,8.970,8.980,4690559.0,522000
2025-1-2,11:30,8.980,8.980,8.920,8.930,3119742.0,348800
2025-1-2,13:05,8.920,8.940,8.910,8.910,7249959.0,813100
2025-1-2,13:10,8.900,8.980,8.870,8.910,10294643.0,1154600
2025-1-2,13:15,8.910,8.940,8.860,8.890,9042166.0,1015700
2025-1-2,13:20,8.890,8.900,8.870,8.900,8354297.0,940600
2025-1-2,13:25,8.880,8.900,8.840,8.850,9820101.0,1107100
2025-1-2,13:30,8.840,8.870,8.830,8.870,9289389.0,1050100
2025-1-2,13:35,8.860,8.880,8.830,8.840,3719536.0,419900
2025-1-2,13:40,8.840,8.850,8.800,8.810,7401584.0,839600
2025-1-2,13:45,8.810,8.820,8.760,8.770,5673719.0,645600
2025-1-2,13:50,8.770,8.800,8.760,8.760,4850202.0,552300
2025-1-2,13:55,8.760,8.770,8.740,8.760,5394569.0,616200
2025-1-2,14:00,8.760,8.850,8.750,8.850,5179032.0,588100
2025-1-2,14:05,8.840,8.850,8.820,8.840,3871513.0,438000
2025-1-2,14:10,8.840,8.840,8.780,8.800,5398927.0,613300
2025-1-2,14:15,8.800,8.800,8.760,8.760,5107864.0,582100
2025-1-2,14:20,8.760,8.780,8.740,8.770,6496465.0,741600
2025-1-2,14:25,8.780,8.790,8.740,8.790,4442742.0,507000
2025-1-2,14:30,8.790,8.830,8.780,8.800,5481625.0,622700
2025-1-2,14:35,8.810,8.810,8.760,8.770,4631419.0,527100
2025-1-2,14:40,8.770,8.770,8.680,8.700,12869693.0,1476300
2025-1-2,14:45,8.700,8.710,8.680,8.690,7235889.0,832000
2025-1-2,14:50,8.690,8.700,8.660,8.700,8606454.0,991500
2025-1-2,14:55,8.700,8.810,8.700,8.800,16058636.0,1829800
2025-1-2,15:00,8.810,8.840,8.790,8.810,17667382.0,2005400
2025-1-3,09:35,8.790,8.790,8.410,8.440,30738962.0,3588400
2025-1-3,09:40,8.450,8.480,8.270,8.350,45501048.0,5442300
2025-1-3,09:45,8.360,8.440,8.290,8.360,21687060.0,2593400
2025-1-3,09:50,8.360,8.370,8.240,8.250,19004056.0,2288100
2025-1-3,09:55,8.250,8.290,8.220,8.270,12663844.0,1533700
2025-1-3,10:00,8.250,8.340,8.230,8.310,8776423.0,1058900
2025-1-3,10:05,8.310,8.330,8.250,8.250,7687657.0,928600
2025-1-3,10:10,8.250,8.350,8.240,8.310,7068244.0,855100
2025-1-3,10:15,8.320,8.350,8.310,8.320,4182088.0,502100
2025-1-3,10:20,8.320,8.370,8.310,8.320,5613529.0,673100
2025-1-3,10:25,8.320,8.420,8.310,8.420,5549233.0,663600
2025-1-3,10:30,8.410,8.470,8.410,8.450,10733306.0,1271100
