日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,56.940,57.600,56.880,57.360,24681632.0,431700
2024-12-31,09:40,57.360,57.360,56.860,56.900,15178659.0,265600
2024-12-31,09:45,56.860,56.880,56.400,56.400,17237062.0,304300
2024-12-31,09:50,56.380,56.750,56.210,56.700,19736664.0,350100
2024-12-31,09:55,56.670,56.750,55.680,55.750,23289732.0,414900
2024-12-31,10:00,55.750,55.770,55.300,55.520,25215868.0,453600
2024-12-31,10:05,55.520,56.080,55.480,56.080,11139513.0,199800
2024-12-31,10:10,56.020,56.090,55.750,55.800,8431494.0,150900
2024-12-31,10:15,55.800,56.100,55.800,55.980,4788883.0,85600
2024-12-31,10:20,55.940,56.480,55.940,56.350,11251992.0,199900
2024-12-31,10:25,56.370,56.640,56.130,56.400,6455285.0,114400
2024-12-31,10:30,56.300,56.390,56.160,56.170,2183374.0,38800
2024-12-31,10:35,56.170,56.170,55.850,55.850,5287908.0,94400
2024-12-31,10:40,55.990,56.010,55.700,55.720,14676085.0,263000
2024-12-31,10:45,55.730,55.820,55.730,55.750,4679492.0,83900
2024-12-31,10:50,55.760,55.760,55.600,55.610,5707839.0,102500
2024-12-31,10:55,55.600,55.620,55.450,55.450,8960727.0,161300
2024-12-31,11:00,55.460,55.460,55.380,55.410,7281804.0,131400
2024-12-31,11:05,55.410,55.440,55.270,55.320,13013800.0,235200
2024-12-31,11:10,55.330,55.490,55.160,55.160,7349345.0,132900
2024-12-31,11:15,55.000,55.400,55.000,55.260,20737728.0,376200
2024-12-31,11:20,55.210,55.390,55.210,55.220,4122076.0,74500
2024-12-31,11:25,55.220,55.240,55.130,55.200,9095424.0,164800
2024-12-31,11:30,55.180,55.350,55.020,55.120,8420398.0,152600
2024-12-31,13:05,55.140,55.250,55.000,55.020,12738533.0,231400
2024-12-31,13:10,55.030,55.030,54.600,54.680,12564361.0,229300
2024-12-31,13:15,54.690,54.690,54.140,54.160,23842852.0,438400
2024-12-31,13:20,54.150,54.620,54.150,54.300,12515853.0,230200
2024-12-31,13:25,54.280,54.470,54.230,54.230,11623892.0,214000
2024-12-31,13:30,54.230,54.450,54.160,54.310,7757141.0,143100
2024-12-31,13:35,54.330,54.410,53.990,54.000,15430358.0,285200
2024-12-31,13:40,53.990,54.270,53.980,54.230,8560878.0,158300
2024-12-31,13:45,54.340,54.430,54.210,54.270,7897554.0,145400
2024-12-31,13:50,54.270,54.670,54.270,54.670,5955111.0,109300
2024-12-31,13:55,54.670,54.880,54.670,54.850,9138580.0,166800
2024-12-31,14:00,54.840,54.880,54.630,54.850,9072915.0,165700
2024-12-31,14:05,54.870,54.880,54.660,54.790,4099985.0,74800
2024-12-31,14:10,54.790,54.800,54.390,54.390,8839628.0,162200
2024-12-31,14:15,54.390,54.390,54.230,54.280,5176049.0,95300
2024-12-31,14:20,54.250,54.510,54.250,54.510,5619606.0,103100
2024-12-31,14:25,54.520,54.880,54.100,54.290,12445280.0,229000
2024-12-31,14:30,54.250,54.400,54.070,54.070,12696120.0,234200
2024-12-31,14:35,54.070,54.490,54.000,54.380,9694860.0,179000
2024-12-31,14:40,54.370,54.620,54.360,54.600,7064590.0,129500
2024-12-31,14:45,54.600,54.620,54.410,54.480,5567181.0,102100
2024-12-31,14:50,54.480,54.490,54.450,54.450,7739419.0,142100
2024-12-31,14:55,54.450,54.450,54.150,54.160,12478413.0,229700
2024-12-31,15:00,54.150,54.200,54.000,54.000,14891011.0,275300
2025-1-2,09:35,53.900,53.900,51.600,51.640,64614872.0,1242100
2025-1-2,09:40,51.650,52.200,51.360,51.680,42794772.0,827700
2025-1-2,09:45,51.680,51.800,51.000,51.790,35237696.0,684900
2025-1-2,09:50,51.770,52.290,51.760,51.960,19597970.0,377000
2025-1-2,09:55,51.960,52.270,51.940,52.190,9532681.0,182900
2025-1-2,10:00,52.190,52.850,52.100,52.850,15815744.0,301800
2025-1-2,10:05,52.780,53.000,52.480,52.910,17464830.0,330700
2025-1-2,10:10,52.950,53.430,52.890,53.060,18040480.0,339600
2025-1-2,10:15,53.130,53.440,52.660,52.660,11517337.0,216900
2025-1-2,10:20,52.600,52.700,52.250,52.570,18147518.0,346500
2025-1-2,10:25,52.500,53.090,52.500,53.060,10207879.0,193600
2025-1-2,10:30,53.000,53.310,52.820,53.150,12977002.0,244300
2025-1-2,10:35,53.120,53.400,52.810,52.920,15038480.0,282900
2025-1-2,10:40,52.990,53.300,52.820,52.840,8283378.0,155900
2025-1-2,10:45,52.840,53.220,52.840,53.000,6557488.0,123800
2025-1-2,10:50,53.000,53.500,53.000,53.500,13080815.0,245600
2025-1-2,10:55,53.570,54.560,53.570,54.100,55068976.0,1017100
2025-1-2,11:00,54.050,54.250,53.850,54.250,12334607.0,228200
2025-1-2,11:05,54.250,54.280,53.970,54.270,10122586.0,186900
2025-1-2,11:10,54.290,54.360,54.010,54.290,9555125.0,176100
2025-1-2,11:15,54.290,54.320,53.600,53.780,13317755.0,247000
2025-1-2,11:20,53.780,53.820,53.700,53.800,3747084.0,69700
2025-1-2,11:25,53.810,53.820,53.770,53.810,2421084.0,45000
2025-1-2,11:30,53.810,53.810,53.630,53.630,1991948.0,37100
2025-1-2,13:05,53.600,53.620,53.100,53.300,6365115.0,119300
2025-1-2,13:10,53.300,53.470,53.100,53.100,2740766.0,51500
2025-1-2,13:15,53.080,53.130,52.800,52.800,6204037.0,117000
2025-1-2,13:20,52.800,52.940,52.800,52.800,4831119.0,91400
2025-1-2,13:25,52.800,52.820,52.400,52.400,8729149.0,165900
2025-1-2,13:30,52.430,52.670,52.410,52.640,8666102.0,165000
2025-1-2,13:35,52.640,53.060,52.620,52.880,6914836.0,130800
2025-1-2,13:40,52.890,52.950,52.470,52.490,2574711.0,48900
2025-1-2,13:45,52.490,52.490,52.310,52.380,7198387.0,137400
2025-1-2,13:50,52.360,52.390,52.310,52.310,3392869.0,64800
2025-1-2,13:55,52.320,52.320,52.000,52.010,7845823.0,150600
2025-1-2,14:00,52.000,52.600,52.000,52.580,9442368.0,180700
2025-1-2,14:05,52.580,52.580,52.230,52.230,4006609.0,76500
2025-1-2,14:10,52.220,52.220,52.000,52.010,5540492.0,106500
2025-1-2,14:15,52.010,52.070,51.810,51.880,9760663.0,188000
2025-1-2,14:20,51.870,51.990,51.710,51.990,6523392.0,125900
2025-1-2,14:25,52.000,52.020,51.860,52.000,7661086.0,147500
2025-1-2,14:30,52.020,52.630,52.020,52.580,5810610.0,111000
2025-1-2,14:35,52.580,52.580,51.980,51.980,4869757.0,93100
2025-1-2,14:40,51.980,51.980,51.700,51.700,6935431.0,133700
2025-1-2,14:45,51.720,51.730,51.620,51.620,8994933.0,174000
2025-1-2,14:50,51.620,51.620,51.300,51.380,11879080.0,230700
2025-1-2,14:55,51.400,51.860,51.400,51.860,13185221.0,255500
2025-1-2,15:00,51.860,52.110,51.860,52.110,11724197.0,225100
2025-1-3,09:35,52.110,52.250,50.450,50.920,37914704.0,740500
2025-1-3,09:40,50.940,51.300,50.230,50.270,28641324.0,565500
2025-1-3,09:45,50.270,50.700,50.050,50.300,31448692.0,624900
2025-1-3,09:50,50.270,50.300,49.600,49.790,37748496.0,756700
2025-1-3,09:55,49.780,50.360,49.650,50.030,25093206.0,503100
2025-1-3,10:00,50.010,50.160,49.820,49.940,11258231.0,225300
2025-1-3,10:05,49.980,50.220,49.900,49.910,8938197.0,178500
2025-1-3,10:10,49.900,50.360,49.820,50.200,14945201.0,298500
2025-1-3,10:15,50.260,50.450,50.140,50.310,9864103.0,196000
2025-1-3,10:20,50.370,50.410,50.150,50.150,5751100.0,114300
2025-1-3,10:25,50.160,50.890,50.150,50.890,13931673.0,275800
2025-1-3,10:30,50.850,51.000,50.510,50.520,10214447.0,200800
2025-1-3,10:35,50.510,50.610,50.280,50.360,7734634.0,153400
2025-1-3,10:40,50.100,50.370,50.000,50.030,7943524.0,158300
2025-1-3,10:45,50.000,50.040,49.900,49.920,7180466.0,143700
2025-1-3,10:50,49.910,49.930,49.760,49.760,9527151.0,191100
2025-1-3,10:55,49.730,49.880,49.710,49.800,7314472.0,146900
2025-1-3,11:00,49.780,49.840,49.760,49.800,5203773.0,104500
2025-1-3,11:05,49.800,50.010,49.780,49.820,4201807.0,84200
2025-1-3,11:10,49.870,49.990,49.810,49.810,3862739.0,77400
2025-1-3,11:15,49.810,49.970,49.700,49.940,4898749.0,98400
2025-1-3,11:20,49.940,49.970,49.680,49.700,4716598.0,94700
2025-1-3,11:25,49.700,50.000,49.660,49.970,8383252.0,168600
2025-1-3,11:30,49.970,50.000,49.720,49.770,4986533.0,100200
2025-1-3,13:05,50.000,50.280,49.760,50.230,9842805.0,196700
2025-1-3,13:10,50.230,50.310,50.140,50.250,7973544.0,158800
2025-1-3,13:15,50.220,50.310,49.920,50.290,5773759.0,115100
2025-1-3,13:20,50.290,50.430,50.130,50.130,5068530.0,100700
2025-1-3,13:25,50.140,50.150,49.940,49.940,6667216.0,133200
2025-1-3,13:30,49.940,50.100,49.770,49.950,11444078.0,229200
2025-1-3,13:35,49.940,50.080,49.820,50.080,7630483.0,152700
2025-1-3,13:40,50.060,50.070,49.810,49.830,4226407.0,84700
2025-1-3,13:45,49.830,49.830,49.400,49.630,17202032.0,347100
2025-1-3,13:50,49.640,49.680,49.590,49.670,7032542.0,141700
2025-1-3,13:55,49.710,49.710,49.380,49.440,8328252.0,168200
2025-1-3,14:00,49.420,49.630,49.370,49.530,9316124.0,188300
2025-1-3,14:05,49.540,49.580,49.350,49.510,8108515.0,164000
2025-1-3,14:10,49.510,49.510,49.350,49.380,5139632.0,104000
2025-1-3,14:15,49.360,49.480,49.230,49.230,8197920.0,166100
2025-1-3,14:20,49.250,49.340,49.100,49.340,9207374.0,187300
2025-1-3,14:25,49.340,49.800,49.340,49.780,10973739.0,221100
2025-1-3,14:30,49.770,49.990,49.720,49.820,7675397.0,154000
2025-1-3,14:35,49.820,49.820,49.390,49.530,7978986.0,160800
2025-1-3,14:40,49.550,49.700,49.500,49.600,8413639.0,169700
2025-1-3,14:45,49.600,49.600,49.450,49.450,9073184.0,183200
2025-1-3,14:50,49.480,49.480,49.050,49.100,11767502.0,239200
2025-1-3,14:55,49.100,49.170,49.000,49.110,19751752.0,402700
2025-1-3,15:00,49.120,49.150,49.020,49.020,11869040.0,242000
2025-1-6,09:35,49.000,49.990,48.710,49.970,35640608.0,723400
2025-1-6,09:40,49.920,50.500,49.820,49.820,41341304.0,824800
2025-1-6,09:45,49.820,49.960,48.960,48.970,16013427.0,323400
2025-1-6,09:50,49.050,49.570,48.910,49.560,12716730.0,258700
2025-1-6,09:55,49.560,49.560,49.010,49.210,9164109.0,185800
2025-1-6,10:00,49.100,49.570,49.090,49.380,6555342.0,132700
2025-1-6,10:05,49.380,49.490,48.900,49.010,7268975.0,148000
2025-1-6,10:10,49.050,49.800,49.050,49.800,13328006.0,269100
2025-1-6,10:15,49.760,49.960,49.710,49.790,13926452.0,279600
2025-1-6,10:20,49.780,49.800,49.660,49.700,12449353.0,250300
2025-1-6,10:25,49.660,50.070,49.510,49.990,9194760.0,185000
2025-1-6,10:30,49.980,50.010,49.780,49.780,7215915.0,144500
2025-1-6,10:35,49.780,49.810,49.660,49.760,4083793.0,82100
2025-1-6,10:40,49.790,49.790,49.550,49.550,6533468.0,131500
2025-1-6,10:45,49.530,49.540,49.400,49.460,5121607.0,103500
2025-1-6,10:50,49.460,49.460,49.370,49.400,3750718.0,75900
2025-1-6,10:55,49.440,49.610,49.320,49.530,5496692.0,111100
2025-1-6,11:00,49.530,49.600,49.450,49.450,1767054.0,35700
2025-1-6,11:05,49.460,49.530,49.400,49.500,3226151.0,65200
2025-1-6,11:10,49.500,49.730,49.450,49.500,4602857.0,92800
2025-1-6,11:15,49.490,49.550,49.400,49.500,1974060.0,39900
2025-1-6,11:20,49.500,49.500,49.330,49.500,3338218.0,67600
2025-1-6,11:25,49.390,49.850,49.360,49.730,5305256.0,106900
2025-1-6,11:30,49.730,49.730,49.390,49.570,2667505.0,53900
2025-1-6,13:05,49.460,49.800,49.360,49.670,8799387.0,177500
2025-1-6,13:10,49.590,49.750,49.590,49.740,4934392.0,99300
2025-1-6,13:15,49.690,49.800,49.630,49.650,7036303.0,141500
2025-1-6,13:20,49.630,49.710,49.450,49.700,4798647.0,96800
2025-1-6,13:25,49.690,49.690,49.390,49.390,3602619.0,72800
2025-1-6,13:30,49.380,49.380,48.860,48.880,14910368.0,303900
2025-1-6,13:35,48.880,48.930,48.720,48.930,11193509.0,229300
2025-1-6,13:40,48.930,49.180,48.860,49.130,7534901.0,153800
2025-1-6,13:45,49.130,49.280,49.000,49.010,6975201.0,142100
2025-1-6,13:50,49.000,49.170,49.000,49.130,5306242.0,108100
2025-1-6,13:55,49.110,49.150,48.990,49.140,3792314.0,77300
2025-1-6,14:00,49.140,49.140,48.900,48.990,3732236.0,76100
2025-1-6,14:05,48.990,49.330,48.990,49.310,4295606.0,87300
2025-1-6,14:10,49.330,49.650,49.330,49.380,7212177.0,145700
2025-1-6,14:15,49.380,49.460,49.300,49.300,2777320.0,56300
2025-1-6,14:20,49.300,49.300,49.200,49.220,2649029.0,53800
2025-1-6,14:25,49.210,49.220,49.140,49.170,1770486.0,36000
2025-1-6,14:30,49.170,49.210,49.150,49.160,3692548.0,75100
2025-1-6,14:35,49.220,49.250,49.000,49.020,5524819.0,112600
2025-1-6,14:40,49.010,49.160,49.000,49.160,2276631.0,46400
2025-1-6,14:45,49.160,49.380,49.140,49.330,6877071.0,139600
2025-1-6,14:50,49.330,49.730,49.330,49.730,11249563.0,227100
2025-1-6,14:55,49.730,49.850,49.600,49.690,15093113.0,303500
2025-1-6,15:00,49.690,49.820,49.680,49.800,12333310.0,247800
2025-1-7,09:35,49.800,50.130,49.330,50.110,20077700.0,403100
2025-1-7,09:40,50.110,50.300,49.740,49.950,18779768.0,375500
2025-1-7,09:45,49.940,50.020,49.760,49.830,11226836.0,225100
2025-1-7,09:50,49.830,50.040,49.830,49.900,10130490.0,202800
2025-1-7,09:55,49.890,50.070,49.810,50.010,9627437.0,192800
2025-1-7,10:00,50.010,50.190,49.700,49.720,9912597.0,198500
2025-1-7,10:05,49.710,49.890,49.690,49.800,8243087.0,165600
2025-1-7,10:10,49.780,49.850,49.740,49.740,6018714.0,120900
2025-1-7,10:15,49.750,49.870,49.620,49.870,12361193.0,248600
2025-1-7,10:20,49.900,50.170,49.740,50.090,9168969.0,183300
2025-1-7,10:25,50.110,50.110,49.910,49.990,3600432.0,72000
2025-1-7,10:30,49.990,50.000,49.720,49.720,4905888.0,98300
2025-1-7,10:35,49.720,49.720,49.400,49.400,19632274.0,396200
2025-1-7,10:40,49.390,49.430,49.060,49.210,13247483.0,268600
2025-1-7,10:45,49.200,49.360,49.180,49.250,6193134.0,125800
2025-1-7,10:50,49.250,49.410,49.250,49.350,2536035.0,51400
2025-1-7,10:55,49.380,49.390,49.210,49.260,3736008.0,75800
2025-1-7,11:00,49.280,49.340,49.220,49.270,2108997.0,42800
2025-1-7,11:05,49.210,49.350,49.110,49.280,4317752.0,87800
2025-1-7,11:10,49.340,49.380,49.230,49.330,2056177.0,41700
2025-1-7,11:15,49.390,49.650,49.390,49.500,4001876.0,80800
2025-1-7,11:20,49.500,49.570,49.400,49.530,1539517.0,31100
2025-1-7,11:25,49.560,49.700,49.460,49.560,3718953.0,75000
2025-1-7,11:30,49.500,49.560,49.320,49.420,1343348.0,27200
2025-1-7,13:05,49.460,49.700,49.420,49.420,3345708.0,67500
2025-1-7,13:10,49.420,49.600,49.370,49.530,1355888.0,27400
2025-1-7,13:15,49.520,49.520,49.380,49.410,702137.0,14200
2025-1-7,13:20,49.410,49.600,49.350,49.390,2046968.0,41400
2025-1-7,13:25,49.460,49.460,49.300,49.400,2191552.0,44400
2025-1-7,13:30,49.420,49.690,49.420,49.660,6114632.0,123200
2025-1-7,13:35,49.660,49.820,49.600,49.820,7291486.0,146700
2025-1-7,13:40,49.830,49.970,49.660,49.900,5904458.0,118400
2025-1-7,13:45,49.930,49.930,49.700,49.830,3462970.0,69500
2025-1-7,13:50,49.830,50.100,49.830,50.080,10654228.0,213100
2025-1-7,13:55,50.060,50.060,49.900,49.910,4501249.0,90100
2025-1-7,14:00,49.910,49.920,49.760,49.780,3766948.0,75600
2025-1-7,14:05,49.770,49.870,49.770,49.860,2719134.0,54600
2025-1-7,14:10,49.830,49.950,49.830,49.950,2648930.0,53100
2025-1-7,14:15,49.950,49.960,49.830,49.910,3846988.0,77100
2025-1-7,14:20,49.920,50.240,49.920,50.170,12860118.0,256500
2025-1-7,14:25,50.190,50.400,50.160,50.300,15941486.0,316900
2025-1-7,14:30,50.310,50.520,50.280,50.460,15797952.0,313400
2025-1-7,14:35,50.480,50.500,50.200,50.200,9031805.0,179200
2025-1-7,14:40,50.180,50.210,50.000,50.120,15626685.0,311900
2025-1-7,14:45,50.110,50.290,50.070,50.220,16437828.0,327600
2025-1-7,14:50,50.220,50.270,50.190,50.250,12116362.0,241200
2025-1-7,14:55,50.250,50.310,50.230,50.310,16576124.0,329700
2025-1-7,15:00,50.370,50.470,50.370,50.450,16375881.0,324700
2025-1-8,09:35,50.500,50.500,50.010,50.300,29750436.0,591100
2025-1-8,09:40,50.290,50.800,50.140,50.210,25708268.0,509300
2025-1-8,09:45,50.200,50.660,50.150,50.650,17359688.0,344200
2025-1-8,09:50,50.620,50.700,50.360,50.540,16264428.0,321900
2025-1-8,09:55,50.450,50.540,50.170,50.250,11189067.0,222200
2025-1-8,10:00,50.260,50.260,50.070,50.070,12444819.0,248200
2025-1-8,10:05,50.050,50.250,49.940,50.080,13098639.0,261700
2025-1-8,10:10,50.090,50.090,49.700,49.710,10654568.0,213300
2025-1-8,10:15,49.720,49.810,49.680,49.790,8945320.0,179800
2025-1-8,10:20,49.790,49.800,49.690,49.780,8241479.0,165700
2025-1-8,10:25,49.790,49.910,49.720,49.720,7032376.0,141200
2025-1-8,10:30,49.750,49.890,49.750,49.800,4885680.0,98100
2025-1-8,10:35,49.810,49.810,49.430,49.430,10531219.0,212400
2025-1-8,10:40,49.380,49.380,49.100,49.200,10961146.0,222600
2025-1-8,10:45,49.200,49.440,49.180,49.350,8687837.0,176500
2025-1-8,10:50,49.350,49.350,49.230,49.310,3105779.0,63000
2025-1-8,10:55,49.390,49.390,49.300,49.360,1746541.0,35400
2025-1-8,11:00,49.360,49.450,49.350,49.440,1308998.0,26500
2025-1-8,11:05,49.440,49.450,49.160,49.210,3330153.0,67600
2025-1-8,11:10,49.200,49.400,49.200,49.290,1901327.0,38600
2025-1-8,11:15,49.290,49.450,49.260,49.450,2540793.0,51500
