日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,90.500,92.520,89.100,89.760,28998146.0,319600
2025-3-31,09:40,90.030,90.420,89.510,90.310,5203204.0,57700
2025-3-31,09:45,90.510,91.000,89.670,89.830,11430473.0,126400
2025-3-31,09:50,89.830,90.100,89.630,90.100,2978924.0,33100
2025-3-31,09:55,89.930,91.640,89.450,91.220,6666986.0,73700
2025-3-31,10:00,91.220,92.010,91.000,91.530,5773930.0,63000
2025-3-31,10:05,92.000,92.500,91.560,92.100,10390390.0,112700
2025-3-31,10:10,92.150,92.150,91.100,91.240,3749135.0,41000
2025-3-31,10:15,91.300,91.310,90.990,90.990,3141734.0,34500
2025-3-31,10:20,90.460,90.990,90.400,90.400,1995528.0,22000
2025-3-31,10:25,90.400,90.660,90.000,90.030,2734492.0,30300
2025-3-31,10:30,90.130,90.330,89.800,90.000,2241026.0,24900
2025-3-31,10:35,89.880,90.350,89.650,89.870,1919760.0,21400
2025-3-31,10:40,89.920,90.000,89.720,89.730,686567.0,7600
2025-3-31,10:45,89.730,89.850,89.550,89.740,2304044.0,25700
2025-3-31,10:50,89.840,89.920,89.630,89.680,638629.0,7100
2025-3-31,10:55,89.680,89.880,89.310,89.310,3637460.0,40600
2025-3-31,11:00,89.400,90.200,89.400,89.970,2635107.0,29400
2025-3-31,11:05,90.100,90.610,89.900,90.210,1973389.0,21900
2025-3-31,11:10,90.200,90.500,90.000,90.160,2671336.0,29600
2025-3-31,11:15,90.060,90.260,89.900,90.160,1375095.0,15300
2025-3-31,11:20,90.160,91.000,90.160,91.000,2674680.0,29500
2025-3-31,11:25,90.590,90.590,90.000,90.060,2306778.0,25600
2025-3-31,11:30,90.070,90.560,90.050,90.560,747457.0,8300
2025-3-31,13:05,90.560,91.970,90.560,91.560,3509139.0,38400
2025-3-31,13:10,91.540,92.190,91.540,92.190,1897599.0,20700
2025-3-31,13:15,92.220,92.460,91.500,91.820,2933879.0,31800
2025-3-31,13:20,91.820,91.820,91.500,91.500,282521.0,3100
2025-3-31,13:25,91.500,91.500,91.050,91.480,731445.0,8000
2025-3-31,13:30,91.370,91.370,91.000,91.000,732098.0,8100
2025-3-31,13:35,91.000,91.460,90.830,91.140,748550.0,8200
2025-3-31,13:40,91.080,91.980,91.070,91.790,791522.0,8600
2025-3-31,13:45,91.840,91.840,91.420,91.420,922805.0,10100
2025-3-31,13:50,91.440,91.570,91.200,91.350,396085.0,4300
2025-3-31,13:55,91.350,91.710,91.330,91.580,478380.0,5300
2025-3-31,14:00,91.500,91.500,91.220,91.220,427152.0,4600
2025-3-31,14:05,91.490,91.620,91.180,91.610,1083422.0,11900
2025-3-31,14:10,91.600,92.530,91.600,92.530,2926490.0,31700
2025-3-31,14:15,92.500,92.790,92.410,92.790,2771928.0,30000
2025-3-31,14:20,92.790,93.080,92.470,92.800,4912883.0,52900
2025-3-31,14:25,92.470,92.980,92.470,92.770,1031210.0,11100
2025-3-31,14:30,92.700,92.700,92.420,92.420,940891.0,10100
2025-3-31,14:35,92.420,92.870,92.400,92.400,684585.0,7400
2025-3-31,14:40,92.350,92.640,92.350,92.560,2496048.0,27000
2025-3-31,14:45,92.450,92.910,92.350,92.880,1300741.0,14000
2025-3-31,14:50,92.890,93.430,92.880,93.300,6239834.0,67100
2025-3-31,14:55,93.310,93.440,92.970,93.100,2544420.0,27300
2025-3-31,15:00,93.010,93.270,92.930,93.110,2221592.0,23900
2025-4-1,09:35,94.790,94.790,93.100,93.610,26181916.0,278500
2025-4-1,09:40,94.030,94.030,92.630,93.080,4996372.0,53600
2025-4-1,09:45,92.860,93.180,92.430,93.180,7318799.0,78900
2025-4-1,09:50,93.170,93.390,92.780,93.090,1774843.0,19100
2025-4-1,09:55,93.430,93.430,92.620,92.940,1314178.0,14100
2025-4-1,10:00,92.800,92.800,92.400,92.610,1159561.0,12600
