日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,50.760,51.200,48.600,48.780,153929600.0,3099500
2025-3-31,09:40,48.780,48.980,48.000,48.690,93752688.0,1929300
2025-3-31,09:45,48.610,48.720,48.030,48.250,78247816.0,1619000
2025-3-31,09:50,48.260,48.600,48.140,48.270,41022084.0,849100
2025-3-31,09:55,48.210,48.800,47.800,48.790,58102748.0,1206600
2025-3-31,10:00,48.790,49.200,48.690,48.810,47470396.0,970200
2025-3-31,10:05,48.800,48.950,48.270,48.300,27205188.0,559100
2025-3-31,10:10,48.270,48.270,48.000,48.020,29488386.0,613100
2025-3-31,10:15,48.020,48.050,47.650,47.670,41833868.0,874600
2025-3-31,10:20,47.650,47.780,47.530,47.650,25640250.0,537900
2025-3-31,10:25,47.650,47.700,47.280,47.320,35951912.0,757300
2025-3-31,10:30,47.300,47.630,47.300,47.400,21219110.0,447300
2025-3-31,10:35,47.400,47.420,47.140,47.250,23973480.0,507000
2025-3-31,10:40,47.250,47.390,47.200,47.200,12477661.0,264000
2025-3-31,10:45,47.210,47.210,46.930,47.200,43580032.0,926700
2025-3-31,10:50,47.240,47.350,47.150,47.280,14268095.0,302000
2025-3-31,10:55,47.330,47.550,47.260,47.550,9583484.0,202100
2025-3-31,11:00,47.550,47.890,47.450,47.600,19919928.0,417900
2025-3-31,11:05,47.600,47.600,47.450,47.480,11279689.0,237400
2025-3-31,11:10,47.480,47.520,47.310,47.440,4784112.5,101000
2025-3-31,11:15,47.440,47.510,47.380,47.510,4252926.5,89600
2025-3-31,11:20,47.520,47.670,47.380,47.560,7700958.0,162000
2025-3-31,11:25,47.570,47.570,47.190,47.190,8207076.0,173400
2025-3-31,11:30,47.250,47.440,47.210,47.440,4800548.0,101500
2025-3-31,13:05,47.390,47.890,47.180,47.650,20672304.0,434400
2025-3-31,13:10,47.630,48.040,47.630,47.910,12801129.0,267400
2025-3-31,13:15,47.920,48.180,47.750,48.180,12190997.0,254200
2025-3-31,13:20,48.180,48.260,47.930,47.930,18042626.0,374700
2025-3-31,13:25,47.910,47.930,47.780,47.900,7338991.0,153400
2025-3-31,13:30,47.930,47.930,47.690,47.720,6409158.0,134100
2025-3-31,13:35,47.710,47.800,47.610,47.710,6508192.0,136400
2025-3-31,13:40,47.710,47.910,47.600,47.870,7567728.0,158600
2025-3-31,13:45,47.880,47.950,47.680,47.680,4961524.0,103700
2025-3-31,13:50,47.700,47.740,47.570,47.740,5876392.0,123300
2025-3-31,13:55,47.740,47.870,47.670,47.780,5401673.0,113100
2025-3-31,14:00,47.780,47.790,47.680,47.710,7245909.0,151800
2025-3-31,14:05,47.710,47.790,47.600,47.790,6908863.0,144900
2025-3-31,14:10,47.790,48.330,47.790,48.300,11898154.0,247100
2025-3-31,14:15,48.320,48.650,48.200,48.600,16549651.0,341700
2025-3-31,14:20,48.620,48.830,48.400,48.440,21464308.0,441100
2025-3-31,14:25,48.440,48.750,48.400,48.640,11474957.0,236300
2025-3-31,14:30,48.660,48.670,48.350,48.380,8744570.0,180400
2025-3-31,14:35,48.360,48.690,48.360,48.680,9709919.0,200100
2025-3-31,14:40,48.660,48.780,48.580,48.640,8730434.0,179400
2025-3-31,14:45,48.630,48.640,48.420,48.610,7797291.0,160600
2025-3-31,14:50,48.610,48.720,48.570,48.640,15527865.0,319200
2025-3-31,14:55,48.620,48.640,48.450,48.610,25291076.0,520800
2025-3-31,15:00,48.620,48.680,48.550,48.600,20383056.0,419300
2025-4-1,09:35,49.320,49.400,47.910,48.250,59729608.0,1230800
2025-4-1,09:40,48.200,48.270,47.770,47.770,38295480.0,796700
2025-4-1,09:45,47.740,47.760,47.350,47.590,33844940.0,711700
2025-4-1,09:50,47.550,47.960,47.550,47.890,17885142.0,374200
2025-4-1,09:55,47.820,47.830,47.650,47.820,17397210.0,364300
2025-4-1,10:00,47.820,47.860,47.610,47.650,16071288.0,336600
2025-4-1,10:05,47.660,47.880,47.600,47.630,16890784.0,354100
2025-4-1,10:10,47.620,47.770,47.610,47.720,12165018.0,255200
2025-4-1,10:15,47.700,47.930,47.690,47.850,11535754.0,241100
2025-4-1,10:20,47.810,47.920,47.710,47.740,10486356.0,219400
2025-4-1,10:25,47.750,47.790,47.630,47.780,12580072.0,263700
2025-4-1,10:30,47.770,48.040,47.740,47.990,13607164.0,283900
2025-4-1,10:35,47.960,47.970,47.700,47.890,8071959.0,168700
2025-4-1,10:40,47.910,47.990,47.680,47.950,7297083.0,152600
2025-4-1,10:45,47.950,47.980,47.760,47.880,6212907.0,129800
2025-4-1,10:50,47.800,47.850,47.750,47.810,3870934.0,81000
2025-4-1,10:55,47.810,47.820,47.560,47.790,12490961.0,262100
2025-4-1,11:00,47.760,47.760,47.600,47.620,5695427.0,119500
2025-4-1,11:05,47.610,47.630,47.470,47.490,12068143.0,254000
2025-4-1,11:10,47.490,47.490,47.300,47.420,15803112.0,333500
2025-4-1,11:15,47.430,47.430,47.220,47.400,13318362.0,281400
2025-4-1,11:20,47.400,47.540,47.380,47.530,4387632.0,92500
2025-4-1,11:25,47.500,47.600,47.450,47.450,4462655.0,93900
2025-4-1,11:30,47.400,47.460,47.350,47.420,5399321.0,113900
