日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,88.750,89.640,87.880,89.500,27734858.0,312400
2025-6-30,09:40,89.240,90.680,89.140,90.640,31922032.0,354800
2025-6-30,09:45,90.580,90.900,90.100,90.230,37919560.0,419300
2025-6-30,09:50,90.220,91.280,89.900,91.000,25385852.0,280300
2025-6-30,09:55,91.200,91.830,90.850,91.670,25799874.0,282700
2025-6-30,10:00,91.790,91.870,91.340,91.400,19822554.0,216300
2025-6-30,10:05,91.390,91.400,90.550,90.740,14391762.0,158200
2025-6-30,10:10,90.720,90.970,90.300,90.540,13554818.0,149700
2025-6-30,10:15,90.570,90.600,90.210,90.500,8990236.0,99500
2025-6-30,10:20,90.530,90.860,90.520,90.700,5852539.0,64500
2025-6-30,10:25,90.690,91.190,90.660,90.830,6657664.0,73300
2025-6-30,10:30,90.650,90.780,90.340,90.650,6436662.0,71100
2025-6-30,10:35,90.600,90.600,90.350,90.350,4104956.0,45400
2025-6-30,10:40,90.390,90.590,90.240,90.590,6764965.0,74900
2025-6-30,10:45,90.500,90.640,90.390,90.640,3923750.25,43300
2025-6-30,10:50,90.570,90.620,90.280,90.300,3077969.75,34100
2025-6-30,10:55,90.300,90.620,90.280,90.460,4914559.0,54300
2025-6-30,11:00,90.420,90.460,90.390,90.400,1157509.75,12800
2025-6-30,11:05,90.400,90.900,90.390,90.660,5308405.5,58600
2025-6-30,11:10,90.680,90.710,90.530,90.620,3045237.0,33600
2025-6-30,11:15,90.630,90.650,90.390,90.390,5360215.0,59200
2025-6-30,11:20,90.460,90.550,90.390,90.390,2640808.0,29200
2025-6-30,11:25,90.390,90.510,90.390,90.480,1429191.0,15800
2025-6-30,11:30,90.480,91.140,90.480,90.960,5672422.5,62500
2025-6-30,13:05,90.930,91.300,90.250,90.250,9918989.0,109300
2025-6-30,13:10,90.470,90.850,90.240,90.850,5508906.5,60900
2025-6-30,13:15,90.840,90.990,90.600,90.610,3495831.75,38500
2025-6-30,13:20,90.650,90.800,90.500,90.630,2192593.0,24200
2025-6-30,13:25,90.500,90.770,90.460,90.510,4909363.0,54200
2025-6-30,13:30,90.470,90.510,90.440,90.480,2664124.5,29400
2025-6-30,13:35,90.580,90.580,90.480,90.500,3604650.5,39900
2025-6-30,13:40,90.500,90.700,90.500,90.620,2602502.0,28700
2025-6-30,13:45,90.640,90.790,90.310,90.330,5257572.5,58100
2025-6-30,13:50,90.330,90.370,90.220,90.300,5138852.5,56900
2025-6-30,13:55,90.210,90.290,89.600,89.750,15528367.0,172800
2025-6-30,14:00,89.770,89.840,88.900,88.950,16108629.0,180300
2025-6-30,14:05,89.000,89.300,88.920,89.070,13879272.0,155800
2025-6-30,14:10,89.150,89.230,88.900,89.140,10827192.0,121600
2025-6-30,14:15,89.140,89.220,89.050,89.190,7165584.0,80400
2025-6-30,14:20,89.200,89.200,88.920,88.940,9169677.0,103000
2025-6-30,14:25,88.920,89.140,88.910,89.000,6138097.5,69000
2025-6-30,14:30,88.960,89.140,88.730,89.140,11991757.0,134900
2025-6-30,14:35,89.140,89.230,89.090,89.230,5543254.0,62100
2025-6-30,14:40,89.120,89.460,89.000,89.420,7620297.0,85400
2025-6-30,14:45,89.420,89.590,89.300,89.470,7878901.0,88100
2025-6-30,14:50,89.300,89.450,89.010,89.220,7851732.0,88000
2025-6-30,14:55,89.290,89.400,89.180,89.260,20219480.0,226500
2025-6-30,15:00,89.260,89.290,89.200,89.290,9202808.0,103100
2025-7-1,09:35,88.500,89.450,87.870,88.680,32671622.0,369900
2025-7-1,09:40,88.680,89.800,88.600,89.590,11986007.0,134500
2025-7-1,09:45,89.460,90.270,89.070,90.080,20845260.0,232000
2025-7-1,09:50,90.070,90.870,89.930,90.310,23684700.0,261900
2025-7-1,09:55,90.230,90.840,90.230,90.240,16453176.0,181600
2025-7-1,10:00,90.180,90.180,89.330,89.330,13054452.0,145500
2025-7-1,10:05,89.310,89.310,89.000,89.030,8222049.0,92300
2025-7-1,10:10,89.000,89.890,89.000,89.500,6811090.0,76200
2025-7-1,10:15,89.500,89.590,89.020,89.200,7189588.0,80500
2025-7-1,10:20,89.200,89.550,89.100,89.550,4767806.0,53400
2025-7-1,10:25,89.550,89.850,89.260,89.610,5968904.0,66700
2025-7-1,10:30,89.820,89.820,89.430,89.550,3487672.0,38900
2025-7-1,10:35,89.560,89.560,89.140,89.150,4822090.0,54000
2025-7-1,10:40,89.150,89.220,89.010,89.110,6475494.0,72700
2025-7-1,10:45,89.110,89.120,88.800,88.810,5381159.0,60500
2025-7-1,10:50,88.880,88.950,88.850,88.880,4212997.0,47400
2025-7-1,10:55,88.880,89.120,88.700,88.860,4280008.5,48200
2025-7-1,11:00,88.860,88.950,88.710,88.710,1895735.0,21300
2025-7-1,11:05,88.770,88.900,88.690,88.760,2347072.5,26500
2025-7-1,11:10,88.760,88.920,88.700,88.860,3640100.0,41000
2025-7-1,11:15,88.710,88.710,88.500,88.500,4360469.0,49200
2025-7-1,11:20,88.490,88.490,88.200,88.200,5367509.0,60800
2025-7-1,11:25,88.210,88.820,88.200,88.740,4393475.0,49600
2025-7-1,11:30,88.730,88.960,88.670,88.820,2628529.0,29600
2025-7-1,13:05,88.750,89.210,88.710,89.210,2627769.5,29500
2025-7-1,13:10,89.210,89.270,89.030,89.030,1925698.0,21600
2025-7-1,13:15,89.040,89.140,88.860,88.860,3484235.0,39200
2025-7-1,13:20,88.880,89.090,88.880,88.940,1423158.0,16000
2025-7-1,13:25,88.930,89.280,88.860,89.280,5184940.0,58200
2025-7-1,13:30,89.280,89.720,89.220,89.600,7576509.0,84600
2025-7-1,13:35,89.580,89.870,89.520,89.700,4380721.5,48900
2025-7-1,13:40,89.710,89.730,89.390,89.440,2902627.0,32400
2025-7-1,13:45,89.490,89.560,89.450,89.490,1225951.0,13700
2025-7-1,13:50,89.490,89.550,89.310,89.320,2311585.5,25800
2025-7-1,13:55,89.320,89.500,89.320,89.400,4478276.5,50100
2025-7-1,14:00,89.350,89.360,89.220,89.310,2500328.0,28000
2025-7-1,14:05,89.300,89.300,88.980,88.980,3028537.5,34000
2025-7-1,14:10,88.980,89.150,88.980,89.100,2018816.0,22700
2025-7-1,14:15,89.030,89.330,89.010,89.140,2472565.0,27700
2025-7-1,14:20,89.140,89.220,89.000,89.220,2315855.0,26000
2025-7-1,14:25,89.230,89.230,89.020,89.020,1691991.75,19000
2025-7-1,14:30,89.040,89.070,88.990,89.020,3339514.0,37500
2025-7-1,14:35,89.060,89.160,88.970,89.100,3849968.5,43200
2025-7-1,14:40,89.110,89.180,89.030,89.180,2767701.5,31100
2025-7-1,14:45,89.130,89.170,89.000,89.000,3276712.5,36800
2025-7-1,14:50,89.010,89.150,89.010,89.010,4071128.0,45700
2025-7-1,14:55,89.020,89.150,88.980,89.130,9163469.0,102900
2025-7-1,15:00,89.150,89.250,89.150,89.250,5780752.5,64800
2025-7-2,09:35,88.020,89.690,88.020,89.660,20492870.0,230200
2025-7-2,09:40,89.460,89.860,89.010,89.030,15272019.0,170700
2025-7-2,09:45,89.000,89.260,88.350,88.370,13554251.0,152900
2025-7-2,09:50,88.390,88.490,87.340,87.640,27587410.0,314200
2025-7-2,09:55,87.880,88.490,87.600,88.410,11191554.0,127100
2025-7-2,10:00,88.200,88.390,88.010,88.340,4529091.5,51400
2025-7-2,10:05,88.310,88.800,88.080,88.400,8031790.0,90800
2025-7-2,10:10,88.500,88.960,88.340,88.900,6652914.0,75100
2025-7-2,10:15,88.820,89.160,88.700,88.750,5502258.5,61900
2025-7-2,10:20,88.750,88.750,88.390,88.590,3676303.0,41500
2025-7-2,10:25,88.590,88.850,88.530,88.840,2864142.5,32300
2025-7-2,10:30,88.780,88.980,88.740,88.780,2318306.0,26100
2025-7-2,10:35,88.780,88.990,88.360,88.380,3997785.0,45100
2025-7-2,10:40,88.400,88.400,88.040,88.040,4365722.0,49500
2025-7-2,10:45,88.060,88.140,87.870,88.100,5869836.0,66700
2025-7-2,10:50,88.030,88.030,87.580,87.740,7489489.0,85300
2025-7-2,10:55,87.720,87.990,87.710,87.890,2829106.0,32200
2025-7-2,11:00,87.890,87.890,87.690,87.690,2265598.0,25800
2025-7-2,11:05,87.680,87.810,87.510,87.690,7378044.0,84200
2025-7-2,11:10,87.800,88.190,87.740,88.190,2114712.25,24000
2025-7-2,11:15,88.300,88.300,87.910,87.920,2551962.0,29000
2025-7-2,11:20,87.920,88.040,87.820,88.040,1573515.5,17900
2025-7-2,11:25,87.930,88.030,87.880,87.900,1556351.0,17700
2025-7-2,11:30,87.900,88.400,87.880,88.250,3814532.5,43300
2025-7-2,13:05,88.210,89.180,88.200,88.900,7652287.0,86200
2025-7-2,13:10,88.890,88.900,88.500,88.680,2415322.0,27200
2025-7-2,13:15,88.540,88.540,88.100,88.170,1174265.0,13300
2025-7-2,13:20,88.180,88.230,87.910,87.910,1874964.0,21300
2025-7-2,13:25,87.910,88.100,87.880,87.880,3096697.0,35200
