日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,44.010,45.100,44.010,45.040,34892120.0,781500
2025-6-30,09:40,45.050,45.800,44.950,45.750,48418272.0,1066500
2025-6-30,09:45,45.780,45.790,45.530,45.590,34148592.0,747700
2025-6-30,09:50,45.590,46.180,45.540,46.160,47739488.0,1040200
2025-6-30,09:55,46.200,46.320,46.040,46.250,38412308.0,831800
2025-6-30,10:00,46.250,46.290,45.880,46.230,27448304.0,595700
2025-6-30,10:05,46.180,46.270,45.670,45.890,15664374.0,341400
2025-6-30,10:10,45.890,45.950,45.800,45.900,8506577.0,185500
2025-6-30,10:15,45.900,46.120,45.860,46.120,9165449.0,199500
2025-6-30,10:20,46.120,46.180,45.940,46.000,8736659.0,189500
2025-6-30,10:25,46.030,46.070,45.800,45.830,9135514.0,199000
2025-6-30,10:30,45.830,45.980,45.790,45.970,4314037.0,94000
2025-6-30,10:35,45.950,45.970,45.730,45.730,8711572.0,190000
2025-6-30,10:40,45.750,45.750,45.630,45.630,6838593.0,149600
2025-6-30,10:45,45.600,45.610,45.380,45.610,9672615.0,212800
2025-6-30,10:50,45.620,45.630,45.320,45.320,10688356.0,235300
2025-6-30,10:55,45.320,45.470,45.300,45.420,5402016.0,119100
2025-6-30,11:00,45.440,45.510,45.350,45.390,5753130.0,126600
2025-6-30,11:05,45.400,45.550,45.330,45.370,7403280.0,163100
2025-6-30,11:10,45.360,45.420,45.330,45.360,3942045.0,86900
2025-6-30,11:15,45.360,45.510,45.350,45.500,4289175.0,94500
2025-6-30,11:20,45.510,45.560,45.370,45.380,3495086.0,76900
2025-6-30,11:25,45.370,45.580,45.370,45.580,1959832.0,43100
2025-6-30,11:30,45.580,45.590,45.480,45.580,4268746.0,93700
2025-6-30,13:05,45.560,45.650,45.400,45.530,7884299.0,173200
2025-6-30,13:10,45.540,45.570,45.470,45.540,3222535.0,70800
2025-6-30,13:15,45.540,45.810,45.530,45.720,7308235.0,160100
2025-6-30,13:20,45.700,45.750,45.630,45.670,5935927.0,129900
2025-6-30,13:25,45.670,45.670,45.480,45.500,4609000.0,101200
2025-6-30,13:30,45.500,45.530,45.450,45.510,4294556.0,94400
2025-6-30,13:35,45.520,45.590,45.420,45.510,7947969.0,174700
2025-6-30,13:40,45.510,45.660,45.470,45.520,4801170.0,105400
2025-6-30,13:45,45.530,45.610,45.460,45.540,4917920.0,108000
2025-6-30,13:50,45.540,45.540,45.460,45.480,4857185.0,106800
2025-6-30,13:55,45.480,45.480,45.290,45.350,12694138.0,279800
2025-6-30,14:00,45.350,45.350,45.310,45.350,3907343.0,86200
2025-6-30,14:05,45.340,45.430,45.340,45.400,2647927.0,58300
2025-6-30,14:10,45.410,45.480,45.360,45.470,2654898.0,58500
2025-6-30,14:15,45.480,45.570,45.450,45.520,4710715.0,103500
2025-6-30,14:20,45.520,45.520,45.440,45.490,5421199.0,119200
2025-6-30,14:25,45.500,45.520,45.400,45.400,5965943.0,131300
2025-6-30,14:30,45.400,45.450,45.360,45.400,4866649.0,107200
2025-6-30,14:35,45.400,45.600,45.380,45.510,5557204.0,122200
2025-6-30,14:40,45.540,45.600,45.460,45.590,8327367.0,182900
2025-6-30,14:45,45.570,45.840,45.570,45.840,13804375.0,302300
2025-6-30,14:50,45.780,45.940,45.720,45.940,15310528.0,334000
2025-6-30,14:55,45.930,46.140,45.860,46.140,35768292.0,777000
2025-6-30,15:00,46.140,46.270,46.100,46.240,32674000.0,707100
2025-7-1,09:35,45.780,46.320,45.590,45.770,39861736.0,870200
2025-7-1,09:40,45.760,45.920,45.660,45.820,19224520.0,420000
2025-7-1,09:45,45.780,46.200,45.600,46.200,19973556.0,436800
2025-7-1,09:50,46.200,46.490,46.020,46.040,22602496.0,489100
2025-7-1,09:55,46.060,46.230,46.010,46.190,7982912.0,173000
2025-7-1,10:00,46.190,46.190,46.000,46.050,6843451.0,148600
2025-7-1,10:05,46.030,46.050,45.870,45.910,7993374.0,173900
2025-7-1,10:10,45.910,45.930,45.710,45.710,9294653.0,202800
2025-7-1,10:15,45.700,45.700,45.410,45.540,13923505.0,305400
2025-7-1,10:20,45.540,45.830,45.540,45.830,8115773.0,177600
2025-7-1,10:25,45.840,45.950,45.830,45.830,5589497.0,121800
2025-7-1,10:30,45.830,45.830,45.550,45.590,7095908.0,155400
2025-7-1,10:35,45.600,45.650,45.510,45.510,7683968.0,168600
