日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,14.400,14.920,14.390,14.870,50660848.0,3449400
2025-6-30,09:40,14.880,15.300,14.870,15.120,71121880.0,4716100
2025-6-30,09:45,15.110,15.230,15.020,15.210,41941512.0,2766100
2025-6-30,09:50,15.210,15.280,15.100,15.140,41254392.0,2712800
2025-6-30,09:55,15.140,15.150,15.050,15.120,17743492.0,1175300
2025-6-30,10:00,15.120,15.150,15.070,15.070,11477196.0,759600
2025-6-30,10:05,15.070,15.090,14.960,14.980,18164196.0,1208200
2025-6-30,10:10,14.980,14.990,14.940,14.980,8667362.0,579300
2025-6-30,10:15,14.980,15.150,14.930,15.100,16535388.0,1098200
2025-6-30,10:20,15.100,15.120,15.080,15.120,10224752.0,677000
2025-6-30,10:25,15.120,15.140,15.070,15.130,10486094.0,694400
2025-6-30,10:30,15.150,15.220,15.150,15.200,20892724.0,1375000
2025-6-30,10:35,15.210,15.290,15.200,15.250,29600670.0,1940200
2025-6-30,10:40,15.250,15.270,15.210,15.260,8434399.0,553100
2025-6-30,10:45,15.270,15.290,15.260,15.280,10208585.0,668200
2025-6-30,10:50,15.290,15.290,15.190,15.190,8717879.0,571800
2025-6-30,10:55,15.200,15.200,15.170,15.200,3338089.0,219800
2025-6-30,11:00,15.200,15.260,15.190,15.250,5937391.0,389700
2025-6-30,11:05,15.260,15.280,15.230,15.230,7954673.0,521500
2025-6-30,11:10,15.250,15.290,15.210,15.240,9105322.0,596600
2025-6-30,11:15,15.240,15.400,15.240,15.380,40407280.0,2638500
2025-6-30,11:20,15.380,15.390,15.240,15.240,8413543.0,550300
2025-6-30,11:25,15.240,15.330,15.230,15.300,6556511.0,428900
2025-6-30,11:30,15.300,15.300,15.240,15.260,2563312.0,167900
2025-6-30,13:05,15.260,15.300,15.150,15.150,10248369.0,672800
2025-6-30,13:10,15.160,15.200,15.130,15.170,4296344.0,283300
2025-6-30,13:15,15.180,15.190,15.150,15.150,3480390.0,229500
2025-6-30,13:20,15.150,15.160,15.130,15.150,2735824.0,180600
2025-6-30,13:25,15.160,15.160,15.130,15.130,4105884.0,271200
2025-6-30,13:30,15.110,15.130,15.090,15.110,6830191.0,452000
2025-6-30,13:35,15.120,15.190,15.100,15.160,4598814.0,303700
2025-6-30,13:40,15.160,15.170,15.140,15.140,4709790.0,310700
2025-6-30,13:45,15.140,15.180,15.120,15.120,4698846.0,310100
2025-6-30,13:50,15.120,15.150,15.120,15.120,3333447.0,220400
2025-6-30,13:55,15.110,15.120,15.070,15.090,6167829.0,408700
2025-6-30,14:00,15.090,15.130,15.080,15.110,4248535.0,281300
2025-6-30,14:05,15.100,15.140,15.100,15.110,2809230.0,185800
2025-6-30,14:10,15.120,15.150,15.120,15.140,3262657.0,215600
2025-6-30,14:15,15.150,15.180,15.110,15.120,5577505.0,368300
2025-6-30,14:20,15.110,15.130,15.110,15.120,2935707.0,194200
2025-6-30,14:25,15.120,15.150,15.110,15.120,5167475.0,341600
2025-6-30,14:30,15.130,15.160,15.110,15.150,6757945.0,446500
2025-6-30,14:35,15.160,15.200,15.140,15.190,9369889.0,617800
2025-6-30,14:40,15.190,15.330,15.190,15.330,20666980.0,1353400
2025-6-30,14:45,15.330,15.330,15.260,15.300,15393099.0,1006600
2025-6-30,14:50,15.300,15.320,15.290,15.300,18278508.0,1194100
2025-6-30,14:55,15.310,15.310,15.290,15.300,19839260.0,1296400
2025-6-30,15:00,15.300,15.320,15.290,15.300,16207453.0,1059100
2025-7-1,09:35,15.300,15.320,15.020,15.080,29006288.0,1920300
2025-7-1,09:40,15.100,15.260,15.070,15.190,15442520.0,1017800
2025-7-1,09:45,15.200,15.200,15.090,15.140,8089083.0,534700
2025-7-1,09:50,15.140,15.260,15.140,15.230,9149953.0,601100
2025-7-1,09:55,15.230,15.250,15.180,15.240,8359988.0,549300
2025-7-1,10:00,15.250,15.290,15.200,15.270,8791150.0,576200
2025-7-1,10:05,15.270,15.340,15.180,15.300,9699324.0,635300
2025-7-1,10:10,15.300,15.450,15.300,15.310,20446352.0,1332100
2025-7-1,10:15,15.320,15.410,15.300,15.390,11171092.0,727300
2025-7-1,10:20,15.400,15.400,15.290,15.310,7467595.0,487200
2025-7-1,10:25,15.310,15.340,15.270,15.330,4917856.0,321400
