日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,37.510,37.800,37.500,37.610,16037992.0,426400
2025-6-30,09:40,37.600,37.820,37.510,37.780,11240704.0,298600
2025-6-30,09:45,37.790,37.830,37.720,37.720,5049496.0,133700
2025-6-30,09:50,37.750,37.890,37.700,37.730,11029172.0,291800
2025-6-30,09:55,37.730,37.920,37.710,37.890,11842892.0,313400
2025-6-30,10:00,37.910,38.100,37.850,38.070,10647321.0,280600
2025-6-30,10:05,38.070,38.070,37.880,37.940,9163938.0,241300
2025-6-30,10:10,37.950,37.990,37.860,37.860,3525451.0,93000
2025-6-30,10:15,37.860,38.060,37.860,38.060,6553683.0,172600
2025-6-30,10:20,38.040,38.080,37.940,37.970,7183917.0,189000
2025-6-30,10:25,37.970,38.000,37.840,37.900,6576432.0,173500
2025-6-30,10:30,37.900,38.000,37.860,37.920,10427276.0,275000
2025-6-30,10:35,37.930,38.020,37.920,37.990,3400042.0,89500
2025-6-30,10:40,37.990,37.990,37.910,37.990,2732476.0,72000
2025-6-30,10:45,37.970,38.310,37.910,38.270,16608548.0,435900
2025-6-30,10:50,38.270,38.270,38.030,38.040,2840554.0,74500
2025-6-30,10:55,38.030,38.090,37.980,37.980,3163457.0,83200
2025-6-30,11:00,37.950,38.500,37.920,38.450,12604094.0,328900
2025-6-30,11:05,38.340,38.360,38.190,38.210,5646251.0,147500
2025-6-30,11:10,38.200,38.290,38.160,38.160,3246427.0,84900
2025-6-30,11:15,38.180,38.200,38.030,38.080,3950948.0,103700
2025-6-30,11:20,38.070,38.100,38.010,38.010,2727479.0,71700
2025-6-30,11:25,38.010,38.030,37.990,38.000,2550512.0,67100
2025-6-30,11:30,37.980,38.020,37.980,38.000,911286.1875,24000
2025-6-30,13:05,38.010,38.010,37.910,37.930,4205674.0,110800
2025-6-30,13:10,37.930,37.950,37.890,37.930,3571383.0,94200
2025-6-30,13:15,37.930,37.960,37.880,37.890,2005825.0,52900
2025-6-30,13:20,37.890,37.910,37.870,37.890,3027381.0,79900
2025-6-30,13:25,37.900,37.940,37.880,37.900,2330772.0,61500
2025-6-30,13:30,37.900,37.940,37.880,37.930,1952565.0,51500
2025-6-30,13:35,37.930,37.950,37.920,37.950,2181304.0,57500
2025-6-30,13:40,37.920,37.950,37.920,37.920,2089762.0,55100
2025-6-30,13:45,37.920,37.920,37.820,37.830,6818669.0,180000
2025-6-30,13:50,37.840,37.840,37.770,37.780,4908811.0,129900
2025-6-30,13:55,37.770,37.790,37.700,37.790,4302159.0,114000
2025-6-30,14:00,37.800,37.820,37.750,37.760,2717186.0,71900
2025-6-30,14:05,37.750,37.780,37.740,37.780,2570929.0,68100
2025-6-30,14:10,37.780,37.830,37.770,37.800,2263806.0,59900
2025-6-30,14:15,37.800,37.800,37.780,37.800,1326492.0,35100
2025-6-30,14:20,37.800,37.870,37.790,37.800,3436928.0,90900
2025-6-30,14:25,37.790,37.820,37.760,37.760,3577579.0,94700
2025-6-30,14:30,37.760,37.760,37.730,37.760,1947717.0,51600
2025-6-30,14:35,37.750,37.880,37.750,37.840,3863498.0,102200
2025-6-30,14:40,37.850,37.880,37.820,37.880,1551457.0,41000
2025-6-30,14:45,37.880,37.910,37.820,37.900,3312999.0,87500
2025-6-30,14:50,37.890,37.920,37.810,37.840,5512152.0,145600
2025-6-30,14:55,37.840,37.920,37.840,37.900,4413505.0,116500
2025-6-30,15:00,37.900,37.910,37.880,37.910,6716334.0,177200
2025-7-1,09:35,37.790,37.910,37.400,37.560,16684763.0,444000
2025-7-1,09:40,37.560,37.670,37.560,37.590,5189790.0,138000
2025-7-1,09:45,37.560,37.580,37.490,37.540,11954870.0,318600
2025-7-1,09:50,37.560,37.940,37.560,37.810,7030902.0,185900
2025-7-1,09:55,37.800,37.830,37.710,37.710,3828212.0,101400
2025-7-1,10:00,37.720,37.720,37.680,37.680,3758530.0,99700
2025-7-1,10:05,37.680,37.690,37.610,37.650,3854848.0,102400
2025-7-1,10:10,37.650,37.650,37.590,37.590,4167381.0,110800
2025-7-1,10:15,37.570,37.570,37.530,37.560,4889015.0,130200
2025-7-1,10:20,37.540,37.550,37.460,37.540,5778875.0,154100
2025-7-1,10:25,37.550,37.600,37.540,37.550,2290521.5,61000
2025-7-1,10:30,37.550,37.560,37.520,37.560,2091174.0,55700
2025-7-1,10:35,37.550,37.560,37.450,37.470,5883652.0,156900
2025-7-1,10:40,37.470,37.470,37.330,37.340,7776839.0,207900
2025-7-1,10:45,37.340,37.350,37.300,37.310,6091073.0,163200
2025-7-1,10:50,37.310,37.400,37.290,37.370,3293110.0,88200
2025-7-1,10:55,37.370,37.400,37.330,37.340,2547116.0,68200
2025-7-1,11:00,37.340,37.450,37.320,37.450,2220078.0,59400
2025-7-1,11:05,37.410,37.440,37.400,37.420,2491616.0,66600
