日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,23.380,23.380,23.020,23.260,58069328.0,2505700
2025-6-30,09:40,23.210,23.420,23.190,23.420,27977904.0,1200700
2025-6-30,09:45,23.410,23.800,23.340,23.770,56357832.0,2393600
2025-6-30,09:50,23.760,24.090,23.620,23.870,98388800.0,4116400
2025-6-30,09:55,23.860,23.890,23.680,23.710,40933352.0,1720400
2025-6-30,10:00,23.720,23.750,23.680,23.740,22789880.0,961400
2025-6-30,10:05,23.750,23.860,23.690,23.840,25998506.0,1095200
2025-6-30,10:10,23.840,23.870,23.760,23.770,22584432.0,948000
2025-6-30,10:15,23.770,23.850,23.770,23.830,12657345.0,531600
2025-6-30,10:20,23.830,23.840,23.780,23.790,16514533.0,693700
2025-6-30,10:25,23.800,23.850,23.740,23.840,19702152.0,827600
2025-6-30,10:30,23.840,23.850,23.810,23.830,9308912.0,390600
2025-6-30,10:35,23.830,23.840,23.810,23.810,10295048.0,432000
2025-6-30,10:40,23.820,23.820,23.750,23.770,12644500.0,531800
2025-6-30,10:45,23.800,23.850,23.780,23.850,9239378.0,388000
2025-6-30,10:50,23.850,23.870,23.830,23.830,9949764.0,417100
2025-6-30,10:55,23.830,23.850,23.800,23.840,7420244.0,311500
2025-6-30,11:00,23.840,24.040,23.830,24.030,24650994.0,1029200
2025-6-30,11:05,24.040,24.090,23.920,23.980,26212396.0,1090700
2025-6-30,11:10,24.000,24.000,23.970,23.990,11286541.0,470500
2025-6-30,11:15,24.000,24.060,23.990,24.020,13307548.0,553900
2025-6-30,11:20,24.020,24.080,24.020,24.020,13288812.0,552500
2025-6-30,11:25,24.030,24.070,24.000,24.010,7369183.0,306500
2025-6-30,11:30,24.000,24.010,23.990,24.000,6539697.0,272500
2025-6-30,13:05,24.010,24.030,23.860,23.900,16336446.0,681400
2025-6-30,13:10,23.890,23.930,23.840,23.910,11681623.0,489000
2025-6-30,13:15,23.920,24.070,23.910,24.050,13918247.0,579700
2025-6-30,13:20,24.060,24.220,23.990,24.090,31075664.0,1288100
2025-6-30,13:25,24.090,24.230,24.090,24.200,15759903.0,652000
2025-6-30,13:30,24.200,24.360,24.160,24.360,22655248.0,933500
2025-6-30,13:35,24.370,24.390,24.210,24.210,22836624.0,939500
2025-6-30,13:40,24.210,24.210,24.010,24.020,12607939.0,522100
2025-6-30,13:45,24.010,24.130,24.010,24.060,14244569.0,591800
2025-6-30,13:50,24.070,24.220,24.060,24.160,13869678.0,574200
2025-6-30,13:55,24.130,24.130,24.060,24.110,6581669.0,273200
2025-6-30,14:00,24.120,24.130,24.090,24.110,6200432.0,257200
2025-6-30,14:05,24.100,24.120,24.090,24.120,5210727.0,216200
2025-6-30,14:10,24.120,24.180,24.110,24.170,6557265.0,271500
2025-6-30,14:15,24.170,24.170,24.100,24.110,7603857.0,315100
2025-6-30,14:20,24.100,24.110,24.060,24.070,11843419.0,491600
2025-6-30,14:25,24.070,24.100,24.060,24.080,6452665.0,268000
2025-6-30,14:30,24.080,24.080,23.960,24.030,18697436.0,778300
2025-6-30,14:35,24.030,24.060,24.000,24.040,6295703.0,262000
2025-6-30,14:40,24.040,24.080,24.030,24.080,9392944.0,390500
2025-6-30,14:45,24.080,24.150,24.080,24.130,22350544.0,927100
2025-6-30,14:50,24.150,24.190,24.140,24.150,25515360.0,1056200
2025-6-30,14:55,24.160,24.160,24.100,24.110,26328524.0,1090900
2025-6-30,15:00,24.120,24.150,24.120,24.150,25286076.0,1047500
2025-7-1,09:35,24.000,24.050,23.680,23.700,61386152.0,2577900
2025-7-1,09:40,23.700,23.870,23.550,23.580,48994036.0,2067300
2025-7-1,09:45,23.580,23.620,23.430,23.430,40241920.0,1710200
2025-7-1,09:50,23.440,23.690,23.420,23.530,26943188.0,1143700
2025-7-1,09:55,23.530,23.530,23.450,23.500,23497520.0,1000400
2025-7-1,10:00,23.500,23.500,23.420,23.430,22428810.0,956100
2025-7-1,10:05,23.430,23.440,23.050,23.380,62481124.0,2690900
2025-7-1,10:10,23.390,23.390,23.200,23.200,21217520.0,910500
2025-7-1,10:15,23.200,23.310,23.130,23.300,23065258.0,995600
2025-7-1,10:20,23.290,23.290,23.160,23.250,15568268.0,671300
2025-7-1,10:25,23.240,23.300,23.210,23.300,9588188.0,412300
2025-7-1,10:30,23.300,23.300,23.180,23.200,13511975.0,581900
2025-7-1,10:35,23.200,23.340,23.190,23.190,12671406.0,545800
2025-7-1,10:40,23.190,23.210,23.170,23.190,9358983.0,403700
2025-7-1,10:45,23.190,23.200,23.160,23.170,10207517.0,440500
2025-7-1,10:50,23.170,23.190,23.160,23.160,6972936.0,301000
2025-7-1,10:55,23.170,23.180,23.070,23.070,17381514.0,751600
2025-7-1,11:00,23.070,23.120,23.010,23.120,19440410.0,843600
2025-7-1,11:05,23.120,23.170,23.090,23.090,6132383.0,265200
2025-7-1,11:10,23.100,23.100,23.030,23.040,8045404.0,349000
2025-7-1,11:15,23.030,23.070,23.010,23.010,11196217.0,485900
2025-7-1,11:20,23.020,23.030,22.740,22.890,41758896.0,1823000
2025-7-1,11:25,22.900,22.980,22.850,22.860,17026864.0,743200
2025-7-1,11:30,22.870,22.920,22.870,22.910,6989079.0,305300
2025-7-1,13:05,22.910,22.910,22.800,22.810,14813205.0,648000
2025-7-1,13:10,22.810,23.020,22.800,23.020,9371507.0,409200
2025-7-1,13:15,23.010,23.020,22.870,22.890,8012331.0,349400
2025-7-1,13:20,22.890,22.970,22.880,22.970,6506942.0,284000
2025-7-1,13:25,22.990,23.050,22.990,23.050,6419310.0,279000
2025-7-1,13:30,23.060,23.230,23.060,23.140,10491206.0,452700
2025-7-1,13:35,23.150,23.160,23.130,23.140,4442542.0,192000
2025-7-1,13:40,23.150,23.150,23.100,23.100,3456185.0,149500
2025-7-1,13:45,23.100,23.120,23.100,23.100,4029343.0,174400
2025-7-1,13:50,23.110,23.110,23.020,23.050,4551920.0,197400
