日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,20.510,21.430,20.360,21.340,272663520.0,12883800
2025-6-30,09:40,21.360,21.400,21.080,21.260,118860664.0,5590100
2025-6-30,09:45,21.260,21.280,21.070,21.120,62081260.0,2933600
2025-6-30,09:50,21.150,21.260,21.120,21.260,46083008.0,2174200
2025-6-30,09:55,21.270,21.280,21.130,21.130,35823308.0,1690100
2025-6-30,10:00,21.150,21.150,21.070,21.130,27683492.0,1311200
2025-6-30,10:05,21.100,21.150,20.980,21.040,38507320.0,1830200
2025-6-30,10:10,21.040,21.080,20.970,21.000,31052622.0,1476400
2025-6-30,10:15,21.000,21.090,21.000,21.010,15709745.0,746800
2025-6-30,10:20,21.020,21.060,21.000,21.000,11775900.0,560000
2025-6-30,10:25,21.020,21.020,20.950,21.020,22295976.0,1062400
2025-6-30,10:30,21.020,21.170,21.010,21.160,20974380.0,993800
2025-6-30,10:35,21.160,21.180,21.100,21.120,13660900.0,646600
2025-6-30,10:40,21.110,21.110,21.000,21.050,14589614.0,693700
2025-6-30,10:45,21.030,21.080,21.000,21.070,7745443.0,368300
2025-6-30,10:50,21.070,21.100,21.050,21.050,11904821.0,564800
2025-6-30,10:55,21.060,21.150,21.040,21.090,11862546.0,562500
2025-6-30,11:00,21.100,21.120,21.070,21.070,8732552.0,414100
2025-6-30,11:05,21.080,21.080,20.960,20.970,12996630.0,618500
2025-6-30,11:10,20.970,21.020,20.970,20.980,12311334.0,586500
2025-6-30,11:15,20.990,21.100,20.990,21.040,17038812.0,809900
2025-6-30,11:20,21.050,21.060,21.010,21.010,5168305.0,245700
2025-6-30,11:25,21.010,21.040,21.010,21.020,4635882.0,220500
2025-6-30,11:30,21.020,21.080,21.020,21.040,9694582.0,460400
2025-6-30,13:05,21.040,21.040,20.930,20.960,22441888.0,1069800
2025-6-30,13:10,20.960,20.990,20.940,20.970,12659752.0,603900
2025-6-30,13:15,20.970,21.020,20.970,20.980,9607151.0,457800
2025-6-30,13:20,20.980,20.990,20.950,20.980,9227699.0,440200
2025-6-30,13:25,20.980,21.010,20.970,20.980,13667750.0,651000
2025-6-30,13:30,20.990,21.020,20.970,21.020,6935970.0,330400
2025-6-30,13:35,21.020,21.080,20.970,21.060,13102272.0,622900
2025-6-30,13:40,21.070,21.080,21.020,21.040,11574061.0,549700
2025-6-30,13:45,21.030,21.040,20.940,20.960,12085914.0,576100
2025-6-30,13:50,20.950,20.960,20.880,20.900,26130108.0,1249600
2025-6-30,13:55,20.900,20.900,20.800,20.860,30219680.0,1450700
2025-6-30,14:00,20.870,20.880,20.830,20.830,12391458.0,594300
2025-6-30,14:05,20.840,20.930,20.830,20.910,12698060.0,608300
2025-6-30,14:10,20.920,20.920,20.880,20.910,6335380.0,303100
2025-6-30,14:15,20.900,20.900,20.820,20.840,20475020.0,982100
2025-6-30,14:20,20.850,20.900,20.840,20.870,8805287.0,421800
2025-6-30,14:25,20.870,20.890,20.820,20.840,9520016.0,456700
2025-6-30,14:30,20.840,20.890,20.830,20.890,11143266.0,534100
2025-6-30,14:35,20.890,20.920,20.890,20.900,14654193.0,701000
2025-6-30,14:40,20.890,20.930,20.880,20.920,10094800.0,483000
2025-6-30,14:45,20.920,20.930,20.900,20.910,12943814.0,619000
2025-6-30,14:50,20.920,20.920,20.900,20.920,20063904.0,959400
2025-6-30,14:55,20.910,20.950,20.900,20.930,28566992.0,1365500
2025-6-30,15:00,20.930,20.950,20.920,20.930,27203884.0,1299600
2025-7-1,09:35,20.940,20.980,20.620,20.770,68389584.0,3298800
2025-7-1,09:40,20.770,20.800,20.510,20.510,62166148.0,3013900
2025-7-1,09:45,20.510,20.540,20.470,20.500,43905468.0,2141800
