日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,27.170,27.820,27.000,27.640,221134176.0,8099900
2024-9-30,09:40,27.650,27.760,27.300,27.300,111028528.0,4027300
2024-9-30,09:45,27.350,27.610,27.260,27.410,85665440.0,3120100
2024-9-30,09:50,27.400,27.530,27.220,27.240,63963024.0,2336700
2024-9-30,09:55,27.220,27.270,26.650,26.960,94779336.0,3523000
2024-9-30,10:00,26.990,27.150,26.990,27.150,50727876.0,1873800
2024-9-30,10:05,27.150,27.340,27.150,27.340,33142436.0,1217600
2024-9-30,10:10,27.350,27.350,27.260,27.330,22876908.0,837900
2024-9-30,10:15,27.330,27.330,27.190,27.270,36532324.0,1339500
2024-9-30,10:20,27.280,27.350,27.240,27.350,32069836.0,1175000
2024-9-30,10:25,27.350,27.580,27.350,27.580,35311120.0,1284900
2024-9-30,10:30,27.580,27.790,27.580,27.780,50231292.0,1813200
2024-9-30,10:35,27.800,27.800,27.550,27.590,30340904.0,1095900
2024-9-30,10:40,27.560,27.670,27.560,27.620,20460968.0,740800
2024-9-30,10:45,27.620,27.740,27.600,27.710,17337290.0,626500
2024-9-30,10:50,27.700,27.850,27.700,27.830,33694164.0,1212500
2024-9-30,10:55,27.850,27.880,27.830,27.880,19640394.0,705300
2024-9-30,11:00,27.880,27.900,27.870,27.870,14823504.0,531600
2024-9-30,11:05,27.880,27.950,27.800,27.800,17160160.0,614900
2024-9-30,11:10,27.800,27.840,27.680,27.840,17133634.0,617600
2024-9-30,11:15,27.850,27.890,27.830,27.870,9341195.0,335300
2024-9-30,11:20,27.870,27.870,27.800,27.830,8662511.0,311300
2024-9-30,11:25,27.830,27.880,27.830,27.870,10453821.0,375400
2024-9-30,11:30,27.870,27.930,27.860,27.930,10175017.0,364700
2024-9-30,13:05,27.930,28.210,27.930,28.180,55730828.0,1984700
2024-9-30,13:10,28.190,28.280,28.190,28.280,23270364.0,823900
2024-9-30,13:15,28.270,28.290,28.060,28.070,19928752.0,706700
2024-9-30,13:20,28.060,28.120,28.020,28.070,14807962.0,527400
2024-9-30,13:25,28.070,28.180,28.060,28.180,12712283.0,452000
2024-9-30,13:30,28.180,28.250,28.180,28.240,14643362.0,518900
2024-9-30,13:35,28.240,28.290,28.240,28.290,14585506.0,516100
2024-9-30,13:40,28.290,28.300,28.260,28.290,28193152.0,996600
2024-9-30,13:45,28.290,28.300,28.280,28.290,22287988.0,787700
2024-9-30,13:50,28.300,28.300,28.280,28.300,17183184.0,607300
2024-9-30,13:55,28.300,28.310,28.290,28.310,19315428.0,682500
2024-9-30,14:00,28.300,28.310,28.290,28.310,18225380.0,644000
2024-9-30,14:05,28.310,28.310,28.300,28.310,18919172.0,668400
2024-9-30,14:10,28.300,28.310,28.300,28.300,24508430.0,865800
2024-9-30,14:15,28.310,28.310,28.300,28.310,22447252.0,793000
2024-9-30,14:20,28.310,28.310,28.300,28.310,31494088.0,1112500
2024-9-30,14:25,28.310,28.310,27.900,28.160,44314700.0,1575900
2024-9-30,14:30,28.140,28.200,27.980,28.160,34268084.0,1221300
2024-9-30,14:35,28.150,28.150,28.060,28.140,14275232.0,507900
2024-9-30,14:40,28.140,28.270,28.100,28.220,19420466.0,689200
2024-9-30,14:45,28.220,28.310,28.220,28.300,22553364.0,797300
2024-9-30,14:50,28.310,28.310,28.300,28.310,22804052.0,805600
2024-9-30,14:55,28.310,28.310,28.310,28.310,7572925.0,267500
2024-9-30,15:00,28.310,28.310,28.310,28.310,4259296.0,150400
2024-10-8,09:35,31.140,31.140,30.710,30.810,246337824.0,7952700
2024-10-8,09:40,30.770,30.990,30.250,30.400,134525776.0,4375000
2024-10-8,09:45,30.340,30.600,30.010,30.020,130738176.0,4312200
