日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,14.500,14.680,14.410,14.680,318491840.0,21960200
2024-9-30,09:40,14.680,14.950,14.680,14.720,158357792.0,10700400
2024-9-30,09:45,14.720,14.720,14.550,14.610,103275216.0,7061600
2024-9-30,09:50,14.600,14.610,14.350,14.350,114252696.0,7898700
2024-9-30,09:55,14.360,14.360,14.010,14.070,166064880.0,11755400
2024-9-30,10:00,14.060,14.240,14.060,14.190,93071880.0,6579900
2024-9-30,10:05,14.180,14.250,14.110,14.250,67024952.0,4733500
2024-9-30,10:10,14.250,14.250,14.140,14.170,75249096.0,5309800
2024-9-30,10:15,14.170,14.210,14.120,14.210,43463408.0,3070400
2024-9-30,10:20,14.210,14.290,14.210,14.250,32424284.0,2278000
2024-9-30,10:25,14.250,14.400,14.210,14.400,41913668.0,2927800
2024-9-30,10:30,14.400,14.420,14.320,14.380,57586488.0,4009000
2024-9-30,10:35,14.380,14.450,14.360,14.360,53478348.0,3710400
2024-9-30,10:40,14.370,14.370,14.230,14.250,28655044.0,2005400
2024-9-30,10:45,14.250,14.340,14.250,14.320,33488296.0,2343200
2024-9-30,10:50,14.310,14.430,14.300,14.430,43107784.0,2997500
2024-9-30,10:55,14.430,14.600,14.430,14.600,50231744.0,3455900
2024-9-30,11:00,14.610,14.740,14.590,14.730,46626356.0,3184500
2024-9-30,11:05,14.720,14.730,14.560,14.560,43463032.0,2966100
2024-9-30,11:10,14.560,14.560,14.480,14.520,37659336.0,2595900
2024-9-30,11:15,14.530,14.550,14.500,14.540,32222164.0,2219200
2024-9-30,11:20,14.540,14.560,14.500,14.520,27110376.0,1865100
2024-9-30,11:25,14.510,14.580,14.500,14.570,35315828.0,2429300
2024-9-30,11:30,14.570,14.580,14.550,14.560,31263608.0,2146300
2024-9-30,13:05,14.500,14.940,14.500,14.900,133127224.0,9050800
2024-9-30,13:10,14.900,14.980,14.880,14.980,51813424.0,3473500
2024-9-30,13:15,14.980,15.130,14.910,14.910,75104896.0,4999200
2024-9-30,13:20,14.910,14.980,14.900,14.950,32615204.0,2182400
2024-9-30,13:25,14.950,14.950,14.900,14.940,22106120.0,1481500
2024-9-30,13:30,14.930,14.990,14.930,14.980,20345194.0,1359900
2024-9-30,13:35,14.980,15.060,14.970,15.060,23789416.0,1585200
2024-9-30,13:40,15.050,15.150,15.040,15.150,42501312.0,2816600
2024-9-30,13:45,15.150,15.200,15.150,15.170,42349412.0,2791100
2024-9-30,13:50,15.180,15.180,15.150,15.180,25098280.0,1654700
2024-9-30,13:55,15.180,15.200,15.130,15.140,33249908.0,2191100
2024-9-30,14:00,15.140,15.170,15.120,15.160,21332178.0,1408900
2024-9-30,14:05,15.170,15.220,15.170,15.210,26465136.0,1741800
2024-9-30,14:10,15.210,15.320,15.200,15.320,33582832.0,2202300
2024-9-30,14:15,15.320,15.480,15.320,15.480,34220748.0,2220700
2024-9-30,14:20,15.490,15.600,15.260,15.260,46510204.0,3004200
2024-9-30,14:25,15.260,15.260,14.960,14.960,47523944.0,3153500
2024-9-30,14:30,14.960,15.100,14.830,15.050,45108992.0,3018300
2024-9-30,14:35,15.060,15.060,14.860,14.890,39142096.0,2620900
2024-9-30,14:40,14.900,14.970,14.890,14.940,56309456.0,3774000
2024-9-30,14:45,14.940,15.060,14.930,15.050,28060836.0,1873500
2024-9-30,14:50,15.060,15.160,15.050,15.160,36692936.0,2432000
2024-9-30,14:55,15.160,15.210,15.110,15.170,38747232.0,2554800
2024-9-30,15:00,15.170,15.200,15.160,15.200,44481600.0,2928400
2024-10-8,09:35,16.350,16.450,15.640,15.700,684973760.0,42183500
2024-10-8,09:40,15.720,15.930,15.610,15.730,250346080.0,15860400
2024-10-8,09:45,15.730,15.730,15.220,15.230,176235008.0,11370200
2024-10-8,09:50,15.230,15.600,15.210,15.600,159873296.0,10384100
2024-10-8,09:55,15.600,15.690,15.480,15.480,111044048.0,7121700
2024-10-8,10:00,15.480,15.550,15.350,15.390,116562544.0,7550600
2024-10-8,10:05,15.380,15.410,15.330,15.340,87053960.0,5661700
2024-10-8,10:10,15.340,15.360,15.300,15.310,82139920.0,5359700
2024-10-8,10:15,15.310,15.320,15.110,15.120,115301400.0,7568000
2024-10-8,10:20,15.120,15.260,15.040,15.260,85817680.0,5671500
2024-10-8,10:25,15.260,15.330,15.130,15.130,44544556.0,2923500
