日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,1.630,1.720,1.630,1.710,201329632.0,120381300
2024-9-30,09:40,1.710,1.710,1.670,1.670,98492688.0,58307200
2024-9-30,09:45,1.680,1.680,1.660,1.660,89172944.0,53490700
2024-9-30,09:50,1.660,1.670,1.650,1.650,48373404.0,29174700
2024-9-30,09:55,1.650,1.660,1.640,1.660,64840472.0,39346700
2024-9-30,10:00,1.650,1.670,1.650,1.660,37170612.0,22394500
2024-9-30,10:05,1.660,1.670,1.650,1.670,32054280.0,19266900
2024-9-30,10:10,1.670,1.680,1.660,1.670,32028266.0,19175400
2024-9-30,10:15,1.670,1.670,1.660,1.670,18931564.0,11368900
2024-9-30,10:20,1.660,1.670,1.660,1.670,12772384.0,7671300
2024-9-30,10:25,1.670,1.680,1.660,1.680,28902312.0,17288600
2024-9-30,10:30,1.680,1.690,1.670,1.680,34590468.0,20558500
2024-9-30,10:35,1.680,1.690,1.670,1.680,21358808.0,12700900
2024-9-30,10:40,1.680,1.680,1.670,1.680,18044574.0,10749100
2024-9-30,10:45,1.680,1.690,1.670,1.690,13601446.0,8084100
2024-9-30,10:50,1.690,1.690,1.680,1.690,10104871.0,5990700
2024-9-30,10:55,1.690,1.690,1.680,1.690,14412008.0,8542700
2024-9-30,11:00,1.680,1.700,1.680,1.700,30506788.0,18047300
2024-9-30,11:05,1.700,1.700,1.690,1.700,20545178.0,12096200
2024-9-30,11:10,1.690,1.700,1.680,1.690,34599912.0,20459300
2024-9-30,11:15,1.690,1.700,1.690,1.700,8924102.0,5262100
2024-9-30,11:20,1.700,1.700,1.690,1.700,14403833.0,8483900
2024-9-30,11:25,1.700,1.700,1.690,1.690,16193801.0,9534500
2024-9-30,11:30,1.700,1.700,1.690,1.700,18587828.0,10942600
2024-9-30,13:05,1.700,1.710,1.690,1.710,50620848.0,29685800
2024-9-30,13:10,1.710,1.720,1.710,1.720,42667440.0,24902500
2024-9-30,13:15,1.720,1.720,1.700,1.700,36498284.0,21303500
2024-9-30,13:20,1.710,1.710,1.700,1.700,18901890.0,11083000
2024-9-30,13:25,1.700,1.710,1.700,1.700,15544805.0,9110600
2024-9-30,13:30,1.700,1.710,1.700,1.710,13283985.0,7782900
2024-9-30,13:35,1.700,1.720,1.700,1.720,32749696.0,19131400
2024-9-30,13:40,1.710,1.720,1.710,1.710,20749864.0,12081200
2024-9-30,13:45,1.720,1.720,1.710,1.720,18299758.0,10654700
2024-9-30,13:50,1.710,1.720,1.710,1.720,25377360.0,14776800
2024-9-30,13:55,1.710,1.720,1.710,1.720,28409456.0,16543700
2024-9-30,14:00,1.720,1.730,1.710,1.730,41354560.0,24044200
2024-9-30,14:05,1.720,1.730,1.720,1.730,20818838.0,12057400
2024-9-30,14:10,1.720,1.730,1.720,1.720,20535750.0,11900800
2024-9-30,14:15,1.730,1.730,1.720,1.720,21373044.0,12376200
2024-9-30,14:20,1.720,1.730,1.720,1.730,23167130.0,13414200
2024-9-30,14:25,1.730,1.730,1.710,1.710,65906364.0,38388800
2024-9-30,14:30,1.710,1.720,1.700,1.710,31340100.0,18377800
2024-9-30,14:35,1.710,1.710,1.700,1.710,21012394.0,12320000
