日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,27.870,28.620,27.870,28.550,296707136.0,10530700
2024-9-30,09:40,28.570,28.760,28.350,28.380,154178016.0,5387300
2024-9-30,09:45,28.380,28.380,28.180,28.180,131597520.0,4662500
2024-9-30,09:50,28.190,28.210,27.810,27.820,116975136.0,4180300
2024-9-30,09:55,27.820,27.820,27.430,27.650,102349560.0,3711400
2024-9-30,10:00,27.650,27.780,27.530,27.530,72980512.0,2639700
2024-9-30,10:05,27.550,27.700,27.520,27.600,73669768.0,2672900
2024-9-30,10:10,27.680,27.780,27.540,27.540,60568104.0,2191900
2024-9-30,10:15,27.520,27.540,27.400,27.500,90551568.0,3297600
2024-9-30,10:20,27.520,27.660,27.490,27.660,38419244.0,1394500
2024-9-30,10:25,27.660,27.810,27.630,27.800,67608768.0,2437900
2024-9-30,10:30,27.790,27.870,27.760,27.850,44628176.0,1605100
2024-9-30,10:35,27.850,27.890,27.700,27.700,47148480.0,1695800
2024-9-30,10:40,27.700,27.750,27.600,27.620,30940632.0,1118100
2024-9-30,10:45,27.620,27.750,27.600,27.670,39604392.0,1431500
2024-9-30,10:50,27.660,27.940,27.660,27.930,50897148.0,1828600
2024-9-30,10:55,27.920,28.150,27.910,28.150,57883628.0,2067300
2024-9-30,11:00,28.150,28.270,28.030,28.070,59739340.0,2118800
2024-9-30,11:05,28.070,28.200,28.060,28.110,48043144.0,1707400
2024-9-30,11:10,28.100,28.100,27.900,27.980,43194396.0,1544400
2024-9-30,11:15,27.970,28.130,27.970,28.060,25415598.0,905700
2024-9-30,11:20,28.060,28.240,28.050,28.220,25746460.0,914000
2024-9-30,11:25,28.210,28.220,28.150,28.200,23522628.0,834200
2024-9-30,11:30,28.200,28.240,28.180,28.230,19244908.0,682500
2024-9-30,13:05,28.240,28.700,28.240,28.700,92580992.0,3245100
2024-9-30,13:10,28.700,28.850,28.670,28.840,82070648.0,2853300
2024-9-30,13:15,28.820,28.980,28.800,28.880,81921504.0,2835500
2024-9-30,13:20,28.850,28.860,28.590,28.750,53373616.0,1860000
2024-9-30,13:25,28.760,28.770,28.710,28.740,23730178.0,825800
2024-9-30,13:30,28.740,28.850,28.740,28.850,30803556.0,1069900
2024-9-30,13:35,28.850,28.970,28.850,28.970,33797988.0,1169000
2024-9-30,13:40,28.970,28.980,28.900,28.980,39687680.0,1370700
2024-9-30,13:45,28.980,29.250,28.980,29.250,45222644.0,1556300
2024-9-30,13:50,29.250,29.560,29.230,29.560,48202792.0,1642200
2024-9-30,13:55,29.560,29.660,29.460,29.460,39907976.0,1350700
2024-9-30,14:00,29.460,29.460,29.210,29.350,37924272.0,1295000
2024-9-30,14:05,29.380,29.500,29.380,29.410,23860974.0,810100
2024-9-30,14:10,29.410,29.470,29.370,29.460,30510704.0,1037500
2024-9-30,14:15,29.460,29.800,29.450,29.800,34931864.0,1180000
2024-9-30,14:20,29.790,29.950,29.590,29.610,53010300.0,1777200
2024-9-30,14:25,29.600,29.600,28.880,28.880,55700272.0,1910800
2024-9-30,14:30,28.840,29.130,28.600,29.110,47216124.0,1639000
2024-9-30,14:35,29.110,29.110,28.890,28.970,29403496.0,1015500
2024-9-30,14:40,28.950,29.210,28.950,29.210,33236496.0,1142600
2024-9-30,14:45,29.210,29.280,29.210,29.270,30429344.0,1040600
2024-9-30,14:50,29.280,29.350,29.260,29.310,37136672.0,1267100
2024-9-30,14:55,29.310,29.320,29.280,29.300,77545344.0,2646900
2024-9-30,15:00,29.290,29.300,29.240,29.290,64033936.0,2187200
2024-10-8,09:35,31.460,31.660,29.980,30.000,732474496.0,23515900
2024-10-8,09:40,29.980,30.310,29.500,29.760,347629248.0,11607900
2024-10-8,09:45,29.760,29.760,28.880,28.930,258525360.0,8808100
2024-10-8,09:50,28.930,29.700,28.660,29.700,191068368.0,6571800
2024-10-8,09:55,29.690,29.930,29.360,29.360,176361104.0,5937800
2024-10-8,10:00,29.370,29.440,29.210,29.390,115367032.0,3936300
2024-10-8,10:05,29.390,29.410,29.200,29.230,103697408.0,3539400
2024-10-8,10:10,29.230,29.250,29.080,29.080,80597856.0,2761100
2024-10-8,10:15,29.090,29.090,28.880,28.880,81012712.0,2795500
2024-10-8,10:20,28.890,29.100,28.840,29.090,79704192.0,2752200
2024-10-8,10:25,29.090,29.160,28.880,28.890,63326412.0,2184100
2024-10-8,10:30,28.890,28.890,28.720,28.720,68623888.0,2381500
2024-10-8,10:35,28.720,28.730,28.510,28.510,85784248.0,2993600
2024-10-8,10:40,28.520,28.520,28.010,28.050,94342368.0,3337600
2024-10-8,10:45,28.060,28.950,28.040,28.950,55192616.0,1936900
2024-10-8,10:50,28.960,29.020,28.630,28.630,35778316.0,1237400
2024-10-8,10:55,28.650,28.680,28.560,28.660,18862660.0,659200
2024-10-8,11:00,28.660,28.740,28.610,28.620,26423180.0,921800
2024-10-8,11:05,28.620,28.810,28.580,28.810,21068176.0,735500
2024-10-8,11:10,28.810,28.980,28.810,28.960,17420080.0,603000
2024-10-8,11:15,28.960,29.220,28.890,29.220,32506792.0,1119800
2024-10-8,11:20,29.220,29.380,29.180,29.250,46553480.0,1590500
2024-10-8,11:25,29.360,29.360,29.000,29.010,27642322.0,947800
2024-10-8,11:30,28.990,28.990,28.660,28.700,38170200.0,1328400
2024-10-8,13:05,28.700,28.820,28.700,28.810,56467296.0,1965700
2024-10-8,13:10,28.810,29.200,28.740,29.200,38620144.0,1332600
2024-10-8,13:15,29.190,29.200,28.710,28.710,29147900.0,1007200
2024-10-8,13:20,28.710,28.790,28.610,28.610,32907168.0,1146200
2024-10-8,13:25,28.620,28.620,28.500,28.590,36705392.0,1285200
2024-10-8,13:30,28.600,28.600,28.530,28.530,24573032.0,860400
2024-10-8,13:35,28.530,28.550,28.420,28.420,37696744.0,1322400
2024-10-8,13:40,28.420,28.430,28.350,28.400,25911932.0,912600
2024-10-8,13:45,28.400,28.520,28.300,28.520,23480100.0,827500
2024-10-8,13:50,28.520,28.570,28.430,28.440,20751244.0,727800
2024-10-8,13:55,28.430,28.440,28.330,28.350,25657256.0,904500
2024-10-8,14:00,28.350,28.450,28.340,28.440,15236932.0,536700
2024-10-8,14:05,28.440,28.690,28.440,28.670,18692094.0,653600
2024-10-8,14:10,28.660,28.670,28.480,28.490,13338984.0,467100
2024-10-8,14:15,28.500,28.520,28.490,28.500,12350247.0,433300
2024-10-8,14:20,28.490,28.600,28.490,28.600,13373673.0,468800
2024-10-8,14:25,28.590,28.740,28.590,28.700,21749680.0,758200
2024-10-8,14:30,28.710,28.970,28.710,28.960,23247224.0,805800
2024-10-8,14:35,28.970,29.060,28.930,28.960,30638332.0,1057000
2024-10-8,14:40,28.950,28.970,28.880,28.880,29647528.0,1025000
2024-10-8,14:45,28.890,28.890,28.740,28.750,30542878.0,1060600
2024-10-8,14:50,28.740,28.750,28.700,28.710,48768152.0,1698100
2024-10-8,14:55,28.710,28.830,28.690,28.830,53988580.0,1880000
2024-10-8,15:00,28.860,28.950,28.850,28.940,42926352.0,1484100
2024-10-9,09:35,28.180,28.180,27.180,27.580,175876384.0,6375500
2024-10-9,09:40,27.600,27.790,27.520,27.630,137396320.0,4972300
2024-10-9,09:45,27.610,28.150,27.600,28.070,101144336.0,3625000
2024-10-9,09:50,28.080,28.330,28.080,28.130,75410992.0,2673700
2024-10-9,09:55,28.130,28.450,28.130,28.250,73827920.0,2610200
2024-10-9,10:00,28.260,28.330,27.990,27.990,54435540.0,1933100
2024-10-9,10:05,27.990,28.130,27.990,28.070,41385328.0,1475700
2024-10-9,10:10,28.080,28.100,27.810,27.820,38003176.0,1359700
2024-10-9,10:15,27.810,27.870,27.680,27.820,41204220.0,1483700
2024-10-9,10:20,27.830,27.860,27.580,27.650,42562176.0,1535800
2024-10-9,10:25,27.630,27.810,27.630,27.730,23261996.0,839200
2024-10-9,10:30,27.730,27.780,27.550,27.650,28063356.0,1014400
2024-10-9,10:35,27.650,27.730,27.620,27.620,26206528.0,946900
2024-10-9,10:40,27.620,27.620,27.420,27.420,29611684.0,1075000
2024-10-9,10:45,27.430,27.690,27.410,27.680,31024716.0,1127200
2024-10-9,10:50,27.690,27.740,27.580,27.630,19381696.0,700700
2024-10-9,10:55,27.610,27.700,27.550,27.560,12203503.0,441400
2024-10-9,11:00,27.550,27.580,27.430,27.490,14596007.0,530400
2024-10-9,11:05,27.480,27.730,27.480,27.570,12360320.0,447600
2024-10-9,11:10,27.560,27.560,27.360,27.390,32918902.0,1200100
2024-10-9,11:15,27.380,27.430,27.250,27.260,27901396.0,1020600
