日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,15.330,15.370,15.220,15.270,19397700.0,1268300
2024-12-31,09:40,15.290,15.310,15.230,15.300,13192277.0,863800
2024-12-31,09:45,15.300,15.380,15.270,15.310,12752874.0,831600
2024-12-31,09:50,15.320,15.390,15.300,15.370,7713595.0,502900
2024-12-31,09:55,15.370,15.460,15.370,15.410,22750120.0,1475900
2024-12-31,10:00,15.390,15.390,15.300,15.310,10264465.0,669000
2024-12-31,10:05,15.320,15.400,15.310,15.370,7830479.0,509900
2024-12-31,10:10,15.350,15.370,15.320,15.330,3454061.0,225100
2024-12-31,10:15,15.350,15.360,15.340,15.350,2528783.0,164700
2024-12-31,10:20,15.350,15.390,15.350,15.380,5301615.0,344900
2024-12-31,10:25,15.370,15.390,15.360,15.370,3110354.0,202300
2024-12-31,10:30,15.370,15.420,15.370,15.420,2977817.0,193400
2024-12-31,10:35,15.420,15.440,15.400,15.430,8510423.0,551800
2024-12-31,10:40,15.420,15.460,15.420,15.430,9345042.0,605300
2024-12-31,10:45,15.420,15.530,15.410,15.520,16708095.0,1079700
2024-12-31,10:50,15.520,15.530,15.440,15.460,11343567.0,732200
2024-12-31,10:55,15.460,15.480,15.440,15.440,4133516.0,267300
2024-12-31,11:00,15.440,15.460,15.410,15.430,7144854.0,462900
2024-12-31,11:05,15.420,15.440,15.380,15.390,5845030.0,379400
2024-12-31,11:10,15.380,15.390,15.350,15.350,4064689.0,264400
2024-12-31,11:15,15.350,15.390,15.350,15.370,6400682.0,416700
2024-12-31,11:20,15.370,15.390,15.350,15.350,4462736.0,290300
2024-12-31,11:25,15.350,15.390,15.350,15.390,4588024.0,298700
2024-12-31,11:30,15.400,15.440,15.390,15.420,4814330.0,312100
2024-12-31,13:05,15.410,15.480,15.400,15.440,10994374.0,711900
2024-12-31,13:10,15.440,15.480,15.410,15.440,6599238.0,427100
2024-12-31,13:15,15.440,15.450,15.430,15.430,5733327.0,371300
2024-12-31,13:20,15.430,15.460,15.430,15.450,5463569.0,353800
2024-12-31,13:25,15.450,15.450,15.410,15.440,6240010.0,404400
2024-12-31,13:30,15.430,15.480,15.430,15.470,6550302.0,423600
2024-12-31,13:35,15.480,15.480,15.410,15.430,6142135.0,397300
2024-12-31,13:40,15.420,15.430,15.390,15.390,5422747.0,352000
2024-12-31,13:45,15.380,15.420,15.380,15.400,4575380.0,297100
2024-12-31,13:50,15.390,15.450,15.390,15.440,8180177.0,530800
2024-12-31,13:55,15.440,15.450,15.400,15.430,4012417.0,260200
2024-12-31,14:00,15.430,15.430,15.400,15.410,3731287.0,242100
2024-12-31,14:05,15.400,15.420,15.390,15.400,4025617.0,261300
2024-12-31,14:10,15.400,15.400,15.350,15.370,5922140.0,385300
2024-12-31,14:15,15.370,15.370,15.340,15.350,5818182.0,379000
2024-12-31,14:20,15.350,15.360,15.330,15.340,4186991.0,272900
2024-12-31,14:25,15.350,15.380,15.340,15.360,4657948.0,303300
2024-12-31,14:30,15.360,15.370,15.310,15.320,8743286.0,569800
