日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-31,09:35,16.080,16.110,15.960,15.990,27909460.0,1741100
2024-12-31,09:40,15.990,16.000,15.910,15.930,27072536.0,1697500
2024-12-31,09:45,15.920,15.970,15.910,15.920,13885512.0,871100
2024-12-31,09:50,15.910,15.970,15.900,15.960,13752367.0,863700
2024-12-31,09:55,15.970,16.040,15.950,16.030,12915957.0,807000
2024-12-31,10:00,16.030,16.030,15.950,15.980,7241704.0,453100
2024-12-31,10:05,15.990,15.990,15.950,15.980,7280414.0,455800
2024-12-31,10:10,15.980,16.020,15.970,15.990,9769643.0,611200
2024-12-31,10:15,15.990,16.000,15.980,15.990,3479536.0,217600
2024-12-31,10:20,15.990,16.000,15.970,15.980,3319870.0,207700
2024-12-31,10:25,15.980,15.990,15.950,15.990,3987840.0,249700
2024-12-31,10:30,15.980,16.010,15.980,16.000,4308209.0,269300
2024-12-31,10:35,16.010,16.010,15.960,15.960,4614771.0,288700
2024-12-31,10:40,15.970,15.980,15.960,15.960,3360959.0,210500
2024-12-31,10:45,15.970,15.990,15.940,15.990,8054071.0,504800
2024-12-31,10:50,15.990,15.990,15.940,15.940,3855541.0,241500
2024-12-31,10:55,15.940,15.960,15.930,15.930,5138855.0,322300
2024-12-31,11:00,15.940,15.940,15.900,15.900,12170052.0,764700
2024-12-31,11:05,15.910,15.910,15.870,15.880,20366992.0,1282100
2024-12-31,11:10,15.890,15.890,15.840,15.860,11070030.0,697900
2024-12-31,11:15,15.850,15.880,15.840,15.860,5828347.0,367500
2024-12-31,11:20,15.860,15.900,15.850,15.850,5519264.0,347700
2024-12-31,11:25,15.860,15.900,15.850,15.890,4630096.0,291800
2024-12-31,11:30,15.900,15.920,15.870,15.870,3638223.0,228900
2024-12-31,13:05,15.860,15.920,15.860,15.890,6137272.0,386500
2024-12-31,13:10,15.890,15.900,15.850,15.850,3076625.0,193800
2024-12-31,13:15,15.860,15.860,15.820,15.830,12791999.0,807600
2024-12-31,13:20,15.830,15.840,15.820,15.820,5153393.0,325600
2024-12-31,13:25,15.820,15.830,15.800,15.820,9756264.0,617100
2024-12-31,13:30,15.820,15.820,15.800,15.810,4095008.0,259000
2024-12-31,13:35,15.800,15.810,15.760,15.770,17563372.0,1112700
2024-12-31,13:40,15.770,15.790,15.740,15.770,9050263.0,574100
2024-12-31,13:45,15.740,15.760,15.740,15.750,4759313.0,302100
2024-12-31,13:50,15.750,15.820,15.740,15.820,10106162.0,640500
2024-12-31,13:55,15.820,15.820,15.790,15.800,4599611.0,291100
2024-12-31,14:00,15.800,15.800,15.770,15.780,4823627.0,305600
2024-12-31,14:05,15.780,15.780,15.740,15.740,5966724.0,378600
2024-12-31,14:10,15.740,15.760,15.700,15.710,10291554.0,654700
2024-12-31,14:15,15.720,15.720,15.700,15.710,7533865.0,479700
2024-12-31,14:20,15.700,15.730,15.700,15.730,8319909.0,529500
2024-12-31,14:25,15.720,15.730,15.700,15.720,7067775.0,449800
2024-12-31,14:30,15.720,15.730,15.700,15.720,4600473.0,292700
2024-12-31,14:35,15.710,15.770,15.700,15.730,8646698.0,549800
2024-12-31,14:40,15.730,15.780,15.720,15.760,6455392.0,410000
2024-12-31,14:45,15.760,15.810,15.760,15.810,5981732.0,379100
2024-12-31,14:50,15.830,15.840,15.770,15.770,10915626.0,690200
2024-12-31,14:55,15.770,15.780,15.720,15.720,10995856.0,698200
2024-12-31,15:00,15.720,15.750,15.720,15.730,13623576.0,866200
2025-1-2,09:35,15.860,15.930,15.760,15.800,39926624.0,2519300
2025-1-2,09:40,15.800,15.810,15.760,15.810,19923998.0,1262600
2025-1-2,09:45,15.820,15.850,15.750,15.800,15294860.0,967700
2025-1-2,09:50,15.800,15.810,15.750,15.760,10499035.0,665300
2025-1-2,09:55,15.760,15.900,15.740,15.880,14267011.0,902300
2025-1-2,10:00,15.880,16.050,15.880,16.030,46638112.0,2920700
2025-1-2,10:05,16.030,16.080,15.950,15.960,31176600.0,1945600
2025-1-2,10:10,15.960,16.120,15.960,16.120,38785748.0,2415800
2025-1-2,10:15,16.120,16.230,16.110,16.210,76846616.0,4746900
2025-1-2,10:20,16.200,16.220,16.150,16.190,26666010.0,1648200
2025-1-2,10:25,16.180,16.280,16.180,16.220,33205380.0,2045600
2025-1-2,10:30,16.220,16.220,16.130,16.180,15096563.0,933600
2025-1-2,10:35,16.180,16.250,16.180,16.220,20208852.0,1245100
2025-1-2,10:40,16.220,16.300,16.190,16.280,35100528.0,2158200
2025-1-2,10:45,16.280,16.280,16.160,16.160,20023490.0,1234800
2025-1-2,10:50,16.150,16.200,16.150,16.190,8068505.5,498900
2025-1-2,10:55,16.190,16.200,16.170,16.180,8317746.0,513900
2025-1-2,11:00,16.180,16.200,16.160,16.190,7183751.0,444000
2025-1-2,11:05,16.200,16.250,16.190,16.240,7034369.0,433900
2025-1-2,11:10,16.250,16.260,16.210,16.260,15089462.0,929400
2025-1-2,11:15,16.260,16.330,16.240,16.300,35156028.0,2158700
2025-1-2,11:20,16.320,16.380,16.300,16.360,40390084.0,2471600
2025-1-2,11:25,16.380,16.380,16.320,16.340,19494428.0,1191500
2025-1-2,11:30,16.340,16.340,16.310,16.310,10248240.0,627500
2025-1-2,13:05,16.310,16.310,16.210,16.220,10540404.0,647900
2025-1-2,13:10,16.210,16.230,16.190,16.200,9075073.0,559900
2025-1-2,13:15,16.190,16.200,16.170,16.180,9266335.0,572800
2025-1-2,13:20,16.180,16.180,16.110,16.120,13172288.0,816000
2025-1-2,13:25,16.120,16.120,16.090,16.120,13824812.0,858300
2025-1-2,13:30,16.120,16.150,16.110,16.120,11873373.0,736500
2025-1-2,13:35,16.120,16.200,16.120,16.200,15715068.0,972400
2025-1-2,13:40,16.210,16.220,16.160,16.160,10408687.0,642700
2025-1-2,13:45,16.160,16.180,16.140,16.170,8893525.0,550500
2025-1-2,13:50,16.170,16.180,16.110,16.120,10508655.0,650800
2025-1-2,13:55,16.110,16.130,16.080,16.080,10999372.0,683100
2025-1-2,14:00,16.080,16.180,16.070,16.180,13397767.0,831400
2025-1-2,14:05,16.180,16.180,16.110,16.140,10483217.0,649600
2025-1-2,14:10,16.150,16.150,16.100,16.100,9313866.0,577700
2025-1-2,14:15,16.100,16.100,16.070,16.090,10625654.0,660600
2025-1-2,14:20,16.090,16.100,16.000,16.010,19483272.0,1214700
2025-1-2,14:25,16.010,16.070,16.010,16.070,15147525.0,944700
2025-1-2,14:30,16.070,16.140,16.050,16.110,10287902.0,639200
2025-1-2,14:35,16.100,16.110,16.000,16.000,14338832.0,893300
2025-1-2,14:40,16.010,16.020,15.960,15.960,23383758.0,1461700
2025-1-2,14:45,15.960,16.010,15.960,15.990,12937987.0,809000
2025-1-2,14:50,15.980,16.000,15.930,15.940,19730936.0,1236200
2025-1-2,14:55,15.940,15.980,15.920,15.980,25629946.0,1608000
2025-1-2,15:00,15.980,16.020,15.980,16.020,24918160.0,1556500
2025-1-3,09:35,16.210,16.800,16.210,16.600,201969216.0,12215400
2025-1-3,09:40,16.600,16.680,16.520,16.630,107397720.0,6462400
2025-1-3,09:45,16.630,16.750,16.610,16.640,80487488.0,4821400
2025-1-3,09:50,16.640,16.730,16.620,16.620,58327956.0,3496600
2025-1-3,09:55,16.590,16.700,16.520,16.700,49421728.0,2980200
2025-1-3,10:00,16.690,16.700,16.610,16.680,36234684.0,2173600
2025-1-3,10:05,16.680,16.690,16.540,16.540,35720800.0,2147200
2025-1-3,10:10,16.540,16.610,16.510,16.600,34817552.0,2104400
2025-1-3,10:15,16.600,16.600,16.470,16.540,28679036.0,1735400
2025-1-3,10:20,16.530,16.610,16.510,16.580,20753516.0,1252900
2025-1-3,10:25,16.600,16.660,16.570,16.660,18483350.0,1111600
2025-1-3,10:30,16.660,16.770,16.660,16.750,75157744.0,4490800
2025-1-3,10:35,16.760,16.770,16.660,16.670,23024224.0,1377900
2025-1-3,10:40,16.660,16.670,16.630,16.630,12817825.0,769700
2025-1-3,10:45,16.640,16.690,16.630,16.650,10124822.0,607900
2025-1-3,10:50,16.650,16.680,16.610,16.640,19093646.0,1147600
2025-1-3,10:55,16.640,16.640,16.560,16.580,19977320.0,1203400
2025-1-3,11:00,16.580,16.590,16.510,16.590,13138418.0,793900
2025-1-3,11:05,16.590,16.610,16.580,16.590,6892428.0,415300
2025-1-3,11:10,16.590,16.620,16.590,16.610,6638453.0,399800
2025-1-3,11:15,16.600,16.600,16.550,16.600,6052239.0,365200
2025-1-3,11:20,16.600,16.610,16.570,16.580,3904989.0,235300
2025-1-3,11:25,16.590,16.590,16.550,16.570,4512395.0,272300
2025-1-3,11:30,16.570,16.590,16.560,16.570,6350989.0,383200
2025-1-3,13:05,16.580,16.640,16.540,16.640,15805349.0,953100
2025-1-3,13:10,16.640,16.650,16.540,16.540,11996176.0,723200
2025-1-3,13:15,16.540,16.600,16.540,16.600,13271917.0,800900
2025-1-3,13:20,16.600,16.610,16.550,16.550,25985794.0,1566900
2025-1-3,13:25,16.550,16.550,16.530,16.540,9635538.0,582700
2025-1-3,13:30,16.540,16.570,16.540,16.570,8008952.0,483800
2025-1-3,13:35,16.570,16.620,16.570,16.620,9362094.0,564100
2025-1-3,13:40,16.620,16.620,16.570,16.570,7980392.0,481000
2025-1-3,13:45,16.570,16.590,16.560,16.560,8283798.0,499800
2025-1-3,13:50,16.570,16.570,16.540,16.550,7581447.0,458000
2025-1-3,13:55,16.550,16.560,16.490,16.490,24142462.0,1460700
2025-1-3,14:00,16.490,16.530,16.480,16.510,14416248.0,874100
2025-1-3,14:05,16.510,16.520,16.470,16.490,15868564.0,962200
2025-1-3,14:10,16.490,16.490,16.410,16.430,15852937.0,963200
2025-1-3,14:15,16.420,16.490,16.400,16.430,16099687.0,980200
2025-1-3,14:20,16.430,16.440,16.400,16.440,13308740.0,810400
2025-1-3,14:25,16.440,16.510,16.440,16.470,20583748.0,1248900
2025-1-3,14:30,16.470,16.550,16.470,16.540,16200272.0,981300
2025-1-3,14:35,16.530,16.540,16.480,16.480,17706222.0,1073500
2025-1-3,14:40,16.480,16.550,16.460,16.500,18197212.0,1102200
2025-1-3,14:45,16.510,16.590,16.500,16.560,25230128.0,1525200
2025-1-3,14:50,16.560,16.570,16.530,16.560,45408768.0,2743400
