日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,8.230,8.230,8.080,8.150,10629661.0,1303600
2025-3-31,09:40,8.150,8.170,8.120,8.170,5756906.0,706600
2025-3-31,09:45,8.170,8.190,8.130,8.160,4843323.0,593200
2025-3-31,09:50,8.150,8.170,8.130,8.150,2375803.0,291500
2025-3-31,09:55,8.140,8.170,8.130,8.160,1994508.0,244700
2025-3-31,10:00,8.170,8.190,8.150,8.190,2762020.0,337900
2025-3-31,10:05,8.180,8.190,8.150,8.170,2109612.0,258200
2025-3-31,10:10,8.170,8.180,8.160,8.160,1138800.0,139400
2025-3-31,10:15,8.160,8.160,8.100,8.110,3931287.0,483800
2025-3-31,10:20,8.110,8.110,8.090,8.090,3544056.0,437600
2025-3-31,10:25,8.100,8.100,8.070,8.080,6333358.0,783700
2025-3-31,10:30,8.080,8.080,8.040,8.050,5038744.0,625500
2025-3-31,10:35,8.050,8.060,8.040,8.060,2092307.0,259900
2025-3-31,10:40,8.050,8.080,8.050,8.060,3336112.0,414000
2025-3-31,10:45,8.050,8.070,8.040,8.050,2412356.0,299600
2025-3-31,10:50,8.050,8.080,8.050,8.080,1835626.0,227600
2025-3-31,10:55,8.080,8.100,8.050,8.070,2146737.0,265800
2025-3-31,11:00,8.070,8.080,8.060,8.060,1165876.0,144500
2025-3-31,11:05,8.080,8.080,8.050,8.080,1145977.0,142100
2025-3-31,11:10,8.060,8.080,8.050,8.070,1747861.0,216800
2025-3-31,11:15,8.070,8.080,8.060,8.070,807074.0,100000
2025-3-31,11:20,8.080,8.090,8.060,8.080,907735.0,112400
2025-3-31,11:25,8.080,8.090,8.030,8.030,3077303.0,382300
2025-3-31,11:30,8.030,8.040,8.000,8.020,4972848.0,620000
2025-3-31,13:05,8.010,8.080,8.000,8.080,3297235.0,410100
2025-3-31,13:10,8.080,8.090,8.060,8.090,1835001.0,227200
2025-3-31,13:15,8.090,8.120,8.080,8.100,2622325.0,323800
2025-3-31,13:20,8.100,8.110,8.080,8.090,1004170.0,124000
2025-3-31,13:25,8.090,8.090,8.070,8.080,604152.0,74800
2025-3-31,13:30,8.080,8.090,8.070,8.070,942559.0,116700
2025-3-31,13:35,8.080,8.090,8.060,8.090,1491928.0,184800
2025-3-31,13:40,8.080,8.100,8.070,8.090,1468488.0,181700
2025-3-31,13:45,8.090,8.100,8.070,8.080,761751.0,94200
2025-3-31,13:50,8.080,8.090,8.060,8.070,551448.0,68300
2025-3-31,13:55,8.060,8.070,8.060,8.070,232352.0,28800
2025-3-31,14:00,8.070,8.070,8.060,8.060,450752.0,55900
2025-3-31,14:05,8.070,8.090,8.050,8.080,2151222.0,266800
2025-3-31,14:10,8.080,8.120,8.080,8.120,1788981.0,220900
2025-3-31,14:15,8.110,8.140,8.110,8.140,2655193.0,326900
2025-3-31,14:20,8.140,8.170,8.140,8.160,2703166.0,331600
2025-3-31,14:25,8.150,8.180,8.140,8.160,1628282.0,199500
2025-3-31,14:30,8.160,8.170,8.120,8.130,1865327.0,229100
2025-3-31,14:35,8.140,8.150,8.130,8.130,639646.0,78600
2025-3-31,14:40,8.130,8.160,8.130,8.150,1212700.0,148800
2025-3-31,14:45,8.140,8.160,8.130,8.160,2098384.0,257600
2025-3-31,14:50,8.150,8.160,8.140,8.150,1237419.0,151800
2025-3-31,14:55,8.150,8.160,8.140,8.140,2346159.0,288000
2025-3-31,15:00,8.150,8.150,8.140,8.140,2486545.0,305400
2025-4-1,09:35,8.200,8.230,8.180,8.230,5846706.0,712800
2025-4-1,09:40,8.220,8.230,8.170,8.170,2591309.0,316200
2025-4-1,09:45,8.180,8.180,8.130,8.140,2787124.0,342000
2025-4-1,09:50,8.140,8.140,8.120,8.140,1518983.0,186800
2025-4-1,09:55,8.140,8.140,8.100,8.130,3858704.0,475600
2025-4-1,10:00,8.130,8.160,8.110,8.160,3221156.0,395800
2025-4-1,10:05,8.160,8.160,8.130,8.150,2243452.0,275300
2025-4-1,10:10,8.150,8.170,8.140,8.160,1302591.0,159700
2025-4-1,10:15,8.160,8.170,8.150,8.160,1355627.0,166200
2025-4-1,10:20,8.170,8.170,8.150,8.160,1612450.0,197600
2025-4-1,10:25,8.170,8.180,8.160,8.160,1207771.0,147900
2025-4-1,10:30,8.170,8.170,8.150,8.170,1278853.0,156700
2025-4-1,10:35,8.170,8.180,8.160,8.170,1239464.0,151800
2025-4-1,10:40,8.170,8.170,8.150,8.160,1120095.0,137300
2025-4-1,10:45,8.170,8.180,8.160,8.170,2075336.0,253900
2025-4-1,10:50,8.170,8.170,8.150,8.150,1021799.0,125200
2025-4-1,10:55,8.160,8.160,8.140,8.150,2305593.0,282900
2025-4-1,11:00,8.160,8.170,8.150,8.160,924882.0,113300
2025-4-1,11:05,8.170,8.170,8.150,8.170,721914.0,88500
2025-4-1,11:10,8.160,8.170,8.140,8.150,1398328.0,171500
2025-4-1,11:15,8.160,8.160,8.140,8.150,924022.0,113400
2025-4-1,11:20,8.150,8.200,8.150,8.190,3032649.0,370800
2025-4-1,11:25,8.190,8.210,8.180,8.200,1155767.0,141000
2025-4-1,11:30,8.200,8.200,8.180,8.180,678343.0,82800
2025-4-1,13:05,8.180,8.190,8.150,8.150,2424829.0,296700
2025-4-1,13:10,8.150,8.170,8.150,8.160,1163438.0,142700
2025-4-1,13:15,8.150,8.170,8.140,8.150,1456084.0,178600
2025-4-1,13:20,8.150,8.160,8.130,8.140,2691863.0,330600
2025-4-1,13:25,8.150,8.150,8.130,8.150,1200115.0,147400
2025-4-1,13:30,8.150,8.160,8.140,8.140,1376769.0,169000
2025-4-1,13:35,8.140,8.150,8.140,8.140,655255.0,80500
2025-4-1,13:40,8.140,8.140,8.130,8.130,776114.0,95400
2025-4-1,13:45,8.140,8.140,8.120,8.130,1403712.0,172600
2025-4-1,13:50,8.130,8.140,8.120,8.130,1213728.0,149300
2025-4-1,13:55,8.130,8.140,8.120,8.130,335069.0,41200
2025-4-1,14:00,8.130,8.140,8.130,8.140,500888.0,61600
2025-4-1,14:05,8.140,8.150,8.130,8.140,785946.0,96600
2025-4-1,14:10,8.140,8.140,8.120,8.140,683673.0,84100
2025-4-1,14:15,8.140,8.140,8.120,8.130,1171659.0,144100
2025-4-1,14:20,8.130,8.140,8.120,8.130,461756.0,56800
2025-4-1,14:25,8.140,8.140,8.130,8.130,485378.0,59700
2025-4-1,14:30,8.130,8.150,8.120,8.150,1816699.0,223400
2025-4-1,14:35,8.150,8.150,8.130,8.130,1781544.0,218700
2025-4-1,14:40,8.130,8.140,8.130,8.130,665454.0,81800
2025-4-1,14:45,8.140,8.150,8.130,8.140,1287397.0,158100
2025-4-1,14:50,8.140,8.150,8.130,8.140,2730014.0,335400
2025-4-1,14:55,8.150,8.150,8.130,8.140,2358077.0,289700
2025-4-1,15:00,8.140,8.160,8.140,8.140,3370405.0,413900
2025-4-2,09:35,8.110,8.210,8.100,8.160,5256818.0,643900
2025-4-2,09:40,8.160,8.170,8.140,8.160,1652506.0,202500
2025-4-2,09:45,8.170,8.180,8.160,8.160,2576277.0,315300
2025-4-2,09:50,8.160,8.160,8.140,8.160,1925084.0,236200
2025-4-2,09:55,8.160,8.200,8.160,8.200,4618712.0,564400
2025-4-2,10:00,8.200,8.280,8.200,8.280,9014148.0,1094400
2025-4-2,10:05,8.280,8.300,8.240,8.250,5149729.0,622200
2025-4-2,10:10,8.240,8.250,8.240,8.240,877330.0,106400
2025-4-2,10:15,8.240,8.240,8.220,8.240,1306805.0,158700
2025-4-2,10:20,8.230,8.260,8.220,8.260,2165762.0,262800
2025-4-2,10:25,8.260,8.270,8.250,8.270,1585359.0,191900
2025-4-2,10:30,8.260,8.280,8.260,8.260,1768336.0,213800
2025-4-2,10:35,8.260,8.270,8.250,8.250,1488971.0,180300
2025-4-2,10:40,8.250,8.280,8.240,8.270,2277575.0,275700
2025-4-2,10:45,8.260,8.270,8.250,8.260,843433.0,102100
2025-4-2,10:50,8.250,8.260,8.250,8.250,487003.0,59000
2025-4-2,10:55,8.260,8.260,8.230,8.230,1120615.0,136000
2025-4-2,11:00,8.230,8.250,8.230,8.240,774901.0,94000
2025-4-2,11:05,8.240,8.250,8.230,8.240,435704.0,52900
2025-4-2,11:10,8.240,8.240,8.230,8.240,524470.0,63700
2025-4-2,11:15,8.240,8.260,8.230,8.250,1287968.0,156200
2025-4-2,11:20,8.250,8.250,8.240,8.240,1201197.0,145700
2025-4-2,11:25,8.230,8.250,8.230,8.250,552148.0,67000
2025-4-2,11:30,8.240,8.250,8.230,8.250,472288.0,57300
2025-4-2,13:05,8.250,8.260,8.230,8.240,2069754.0,251100
2025-4-2,13:10,8.240,8.260,8.240,8.250,1712463.0,207500
2025-4-2,13:15,8.240,8.250,8.230,8.250,1938416.0,235200
2025-4-2,13:20,8.250,8.250,8.240,8.240,603459.0,73200
2025-4-2,13:25,8.250,8.250,8.230,8.230,1009655.0,122600
2025-4-2,13:30,8.230,8.250,8.230,8.250,1015664.0,123300
2025-4-2,13:35,8.250,8.250,8.230,8.230,1216195.0,147700
2025-4-2,13:40,8.230,8.240,8.200,8.200,2753156.0,335100
2025-4-2,13:45,8.200,8.220,8.200,8.210,1061074.0,129200
2025-4-2,13:50,8.210,8.230,8.210,8.230,1066587.0,129800
2025-4-2,13:55,8.230,8.230,8.220,8.230,374215.0,45500
2025-4-2,14:00,8.220,8.240,8.220,8.240,1329959.0,161600
2025-4-2,14:05,8.230,8.240,8.220,8.220,907836.0,110300
2025-4-2,14:10,8.220,8.230,8.220,8.230,273119.0,33200
2025-4-2,14:15,8.220,8.230,8.200,8.220,1024435.0,124700
2025-4-2,14:20,8.220,8.220,8.210,8.220,509180.0,62000
2025-4-2,14:25,8.210,8.220,8.200,8.210,595052.0,72500
2025-4-2,14:30,8.200,8.210,8.190,8.200,1201859.0,146600
2025-4-2,14:35,8.200,8.210,8.190,8.200,932486.0,113700
2025-4-2,14:40,8.200,8.200,8.190,8.200,1060634.0,129400
2025-4-2,14:45,8.190,8.200,8.180,8.180,2674695.0,326700
2025-4-2,14:50,8.180,8.210,8.180,8.200,3256346.0,397300
2025-4-2,14:55,8.190,8.200,8.190,8.190,2557148.0,312100
2025-4-2,15:00,8.200,8.210,8.190,8.200,2180148.0,265900
2025-4-3,09:35,8.120,8.220,8.090,8.170,8958944.0,1097500
2025-4-3,09:40,8.170,8.180,8.150,8.180,2443774.0,299200
2025-4-3,09:45,8.170,8.210,8.160,8.200,4123516.0,503600
2025-4-3,09:50,8.200,8.200,8.180,8.180,2332357.0,284700
2025-4-3,09:55,8.190,8.190,8.140,8.150,2957961.0,362200
2025-4-3,10:00,8.140,8.160,8.130,8.140,2424830.0,298000
2025-4-3,10:05,8.130,8.140,8.110,8.120,5859846.0,721300
2025-4-3,10:10,8.120,8.130,8.080,8.120,5460592.0,674200
2025-4-3,10:15,8.120,8.140,8.100,8.140,1415733.0,174500
2025-4-3,10:20,8.140,8.140,8.120,8.130,582007.0,71600
2025-4-3,10:25,8.130,8.150,8.120,8.140,1145115.0,140700
2025-4-3,10:30,8.140,8.190,8.130,8.170,1351202.0,165500
2025-4-3,10:35,8.170,8.180,8.150,8.160,788812.0,96600
2025-4-3,10:40,8.160,8.160,8.140,8.140,254250.0,31200
2025-4-3,10:45,8.150,8.150,8.130,8.130,565595.0,69500
2025-4-3,10:50,8.130,8.160,8.120,8.120,794949.0,97700
2025-4-3,10:55,8.120,8.120,8.100,8.110,1696986.0,209200
2025-4-3,11:00,8.100,8.100,8.090,8.100,1785195.0,220500
2025-4-3,11:05,8.090,8.100,8.090,8.100,1191719.0,147200
2025-4-3,11:10,8.090,8.100,8.080,8.090,1577926.0,195000
2025-4-3,11:15,8.090,8.100,8.080,8.090,652742.0,80700
2025-4-3,11:20,8.090,8.110,8.090,8.100,1866245.0,230500
2025-4-3,11:25,8.100,8.110,8.100,8.100,626413.0,77300
2025-4-3,11:30,8.100,8.110,8.090,8.100,1845977.0,227900
2025-4-3,13:05,8.100,8.120,8.100,8.120,1625516.0,200400
