日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,13.360,13.410,13.130,13.230,47119088.0,3554800
2025-3-31,09:40,13.260,13.290,13.160,13.200,22567142.0,1706600
2025-3-31,09:45,13.210,13.270,13.170,13.200,16144792.0,1221200
2025-3-31,09:50,13.210,13.250,13.150,13.170,12824046.0,973100
2025-3-31,09:55,13.160,13.220,13.150,13.210,8686674.0,659700
2025-3-31,10:00,13.200,13.280,13.180,13.270,7424301.0,561200
2025-3-31,10:05,13.260,13.270,13.190,13.230,7048017.0,533000
2025-3-31,10:10,13.230,13.270,13.200,13.240,5631811.0,425800
2025-3-31,10:15,13.230,13.240,13.150,13.150,9819769.0,745200
2025-3-31,10:20,13.160,13.160,13.060,13.080,23967584.0,1828900
2025-3-31,10:25,13.070,13.090,13.030,13.050,12616101.0,966600
2025-3-31,10:30,13.040,13.050,12.960,12.970,17495240.0,1345300
2025-3-31,10:35,12.960,13.020,12.960,13.020,9051122.0,697000
2025-3-31,10:40,13.030,13.040,13.000,13.010,4696804.0,360800
2025-3-31,10:45,13.000,13.050,12.940,13.040,10381321.0,799800
2025-3-31,10:50,13.030,13.030,13.000,13.020,3687921.0,283400
2025-3-31,10:55,13.000,13.010,12.980,12.990,2624734.0,202000
2025-3-31,11:00,12.980,13.030,12.980,13.020,2745362.5,211000
2025-3-31,11:05,13.020,13.030,12.980,13.020,2182539.0,167800
2025-3-31,11:10,13.010,13.010,12.990,12.990,2689769.0,206900
2025-3-31,11:15,13.000,13.030,12.980,13.020,3184534.0,245100
2025-3-31,11:20,13.010,13.080,13.010,13.050,4690003.0,359500
2025-3-31,11:25,13.050,13.050,12.980,12.980,3689185.0,283600
2025-3-31,11:30,12.980,12.990,12.950,12.990,3600986.0,277700
2025-3-31,13:05,12.980,13.060,12.980,13.040,3274264.0,251600
2025-3-31,13:10,13.050,13.080,13.010,13.080,4096551.0,313900
2025-3-31,13:15,13.060,13.100,13.020,13.100,4627433.0,354200
2025-3-31,13:20,13.090,13.100,13.010,13.020,2568921.0,197000
2025-3-31,13:25,13.010,13.040,13.000,13.030,1983120.0,152400
2025-3-31,13:30,13.030,13.030,13.000,13.010,1820549.0,139900
2025-3-31,13:35,13.000,13.030,12.980,13.020,2371356.0,182400
2025-3-31,13:40,13.010,13.030,12.990,13.030,2090233.0,160700
2025-3-31,13:45,13.030,13.060,13.010,13.020,2577585.0,197800
2025-3-31,13:50,13.010,13.020,12.990,13.000,1691508.0,130100
2025-3-31,13:55,12.990,13.000,12.980,12.990,2707495.0,208500
2025-3-31,14:00,12.990,13.000,12.970,13.000,4220120.0,325100
2025-3-31,14:05,13.000,13.000,12.960,12.990,3047751.0,234800
2025-3-31,14:10,12.990,13.100,12.990,13.100,6696578.0,512500
2025-3-31,14:15,13.080,13.150,13.070,13.120,4162809.0,317600
2025-3-31,14:20,13.130,13.210,13.130,13.190,9245979.0,701200
2025-3-31,14:25,13.190,13.250,13.170,13.210,7761344.0,587400
2025-3-31,14:30,13.200,13.210,13.150,13.160,4750714.0,360700
2025-3-31,14:35,13.160,13.200,13.150,13.180,4325938.0,328300
2025-3-31,14:40,13.180,13.200,13.160,13.180,2546743.0,193200
2025-3-31,14:45,13.190,13.190,13.150,13.180,4532979.0,344100
2025-3-31,14:50,13.180,13.190,13.170,13.170,4369110.0,331400
2025-3-31,14:55,13.170,13.170,13.130,13.150,8791571.0,668300
2025-3-31,15:00,13.160,13.180,13.140,13.170,10671216.0,810800
2025-4-1,09:35,13.180,13.290,13.150,13.290,21046572.0,1591400
2025-4-1,09:40,13.290,13.300,13.190,13.230,14582324.0,1100900
2025-4-1,09:45,13.210,13.210,13.110,13.110,8120927.0,617100
2025-4-1,09:50,13.130,13.200,13.110,13.150,9045348.0,687600
2025-4-1,09:55,13.150,13.250,13.140,13.250,4726283.0,358400
2025-4-1,10:00,13.240,13.270,13.200,13.260,7599015.0,574000
2025-4-1,10:05,13.250,13.320,13.240,13.260,12939387.0,974700
2025-4-1,10:10,13.250,13.260,13.230,13.260,3208670.0,242200
2025-4-1,10:15,13.260,13.290,13.260,13.280,4958548.0,373500
2025-4-1,10:20,13.270,13.290,13.260,13.270,3557044.0,267900
2025-4-1,10:25,13.270,13.290,13.240,13.280,4125291.0,311000
2025-4-1,10:30,13.280,13.280,13.250,13.270,1640458.0,123600
2025-4-1,10:35,13.270,13.290,13.250,13.290,2513889.0,189400
2025-4-1,10:40,13.290,13.290,13.260,13.270,2889164.0,217600
2025-4-1,10:45,13.270,13.330,13.270,13.310,8043964.0,604600
2025-4-1,10:50,13.300,13.310,13.260,13.270,3687951.0,277600
2025-4-1,10:55,13.270,13.310,13.270,13.290,2841422.75,213800
2025-4-1,11:00,13.300,13.350,13.290,13.330,6607906.0,496200
2025-4-1,11:05,13.330,13.340,13.310,13.310,2641343.0,198200
2025-4-1,11:10,13.310,13.310,13.260,13.270,2554271.0,192300
2025-4-1,11:15,13.270,13.280,13.240,13.270,4049810.0,305500
2025-4-1,11:20,13.270,13.420,13.260,13.410,14184092.0,1060900
2025-4-1,11:25,13.410,13.450,13.390,13.400,10071652.0,750700
2025-4-1,11:30,13.400,13.410,13.370,13.380,1766062.0,131900
2025-4-1,13:05,13.380,13.380,13.280,13.280,5704409.0,428000
2025-4-1,13:10,13.280,13.300,13.260,13.260,3441173.0,259200
2025-4-1,13:15,13.260,13.270,13.230,13.270,4964308.0,374500
2025-4-1,13:20,13.280,13.300,13.250,13.260,3739692.0,281800
2025-4-1,13:25,13.260,13.270,13.240,13.270,2187708.0,165000
2025-4-1,13:30,13.270,13.310,13.270,13.290,3276086.0,246400
2025-4-1,13:35,13.290,13.290,13.260,13.280,3320628.0,250100
2025-4-1,13:40,13.280,13.290,13.250,13.270,5941352.0,447800
2025-4-1,13:45,13.260,13.270,13.250,13.260,1560446.0,117700
2025-4-1,13:50,13.250,13.290,13.250,13.270,2702966.0,203600
2025-4-1,13:55,13.270,13.300,13.260,13.290,1973757.0,148600
2025-4-1,14:00,13.290,13.290,13.260,13.270,1850469.0,139400
2025-4-1,14:05,13.270,13.290,13.260,13.270,2583883.0,194700
2025-4-1,14:10,13.250,13.270,13.230,13.260,2903768.0,219200
2025-4-1,14:15,13.260,13.270,13.240,13.250,2024895.0,152800
2025-4-1,14:20,13.260,13.260,13.230,13.240,3549430.0,268000
2025-4-1,14:25,13.240,13.380,13.240,13.340,12877255.0,966800
2025-4-1,14:30,13.340,13.340,13.300,13.330,3725216.0,279700
2025-4-1,14:35,13.330,13.330,13.300,13.300,3539145.0,265800
2025-4-1,14:40,13.300,13.320,13.290,13.320,2634505.0,198000
2025-4-1,14:45,13.310,13.350,13.300,13.320,5542371.0,415900
2025-4-1,14:50,13.330,13.330,13.310,13.330,5212818.0,391400
2025-4-1,14:55,13.330,13.350,13.320,13.350,11410227.0,855900
2025-4-1,15:00,13.350,13.390,13.350,13.380,15762295.0,1178500
2025-4-2,09:35,13.380,13.470,13.240,13.330,16032589.0,1200200
2025-4-2,09:40,13.330,13.350,13.260,13.310,10481198.0,787700
2025-4-2,09:45,13.300,13.350,13.240,13.280,8835169.0,665000
2025-4-2,09:50,13.290,13.330,13.280,13.320,5072115.0,381400
2025-4-2,09:55,13.330,13.400,13.320,13.370,5607191.0,419500
2025-4-2,10:00,13.370,13.500,13.370,13.480,12760685.0,949700
2025-4-2,10:05,13.490,13.490,13.420,13.420,7264015.0,539600
2025-4-2,10:10,13.420,13.450,13.400,13.440,5043273.0,375800
2025-4-2,10:15,13.440,13.440,13.370,13.370,5726346.0,427000
2025-4-2,10:20,13.370,13.410,13.370,13.390,3020483.0,225600
2025-4-2,10:25,13.390,13.430,13.380,13.430,6735469.0,502900
2025-4-2,10:30,13.420,13.430,13.390,13.390,3347646.0,249600
2025-4-2,10:35,13.400,13.410,13.360,13.360,4637034.0,346500
2025-4-2,10:40,13.350,13.540,13.350,13.450,23247410.0,1725900
2025-4-2,10:45,13.450,13.510,13.450,13.490,17425222.0,1292200
2025-4-2,10:50,13.480,13.490,13.430,13.440,3338150.0,248100
2025-4-2,10:55,13.430,13.460,13.410,13.450,3033066.0,225900
2025-4-2,11:00,13.440,13.470,13.430,13.450,4321674.0,321300
2025-4-2,11:05,13.440,13.450,13.410,13.420,4220675.0,314400
2025-4-2,11:10,13.420,13.420,13.400,13.410,2222023.0,165700
2025-4-2,11:15,13.410,13.430,13.400,13.420,3067676.0,228700
2025-4-2,11:20,13.410,13.420,13.390,13.390,3733669.0,278500
2025-4-2,11:25,13.390,13.390,13.370,13.380,2355279.0,176000
2025-4-2,11:30,13.390,13.400,13.380,13.390,1362127.375,101700
2025-4-2,13:05,13.410,13.410,13.370,13.400,3993939.0,298300
