日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,11.630,11.670,11.510,11.640,29120838.0,2508700
2025-6-30,09:40,11.640,11.650,11.600,11.600,10282043.0,885100
2025-6-30,09:45,11.610,11.640,11.580,11.590,11224939.0,966900
2025-6-30,09:50,11.590,11.610,11.580,11.590,6899842.0,595300
2025-6-30,09:55,11.580,11.630,11.580,11.630,8774230.0,755600
2025-6-30,10:00,11.630,11.630,11.610,11.620,6558299.0,564600
2025-6-30,10:05,11.620,11.620,11.590,11.600,5232925.0,450900
2025-6-30,10:10,11.600,11.620,11.580,11.610,6704928.0,578500
2025-6-30,10:15,11.620,11.630,11.610,11.620,9131689.0,786000
2025-6-30,10:20,11.610,11.630,11.600,11.610,6228043.0,536400
2025-6-30,10:25,11.610,11.610,11.590,11.600,7634053.0,658300
2025-6-30,10:30,11.590,11.640,11.590,11.640,7495164.0,644800
2025-6-30,10:35,11.640,11.650,11.630,11.630,5367348.0,461000
2025-6-30,10:40,11.630,11.710,11.620,11.690,29040962.0,2486500
2025-6-30,10:45,11.680,11.700,11.660,11.700,13034434.0,1116400
2025-6-30,10:50,11.690,11.720,11.680,11.680,14844055.0,1267900
2025-6-30,10:55,11.690,11.690,11.660,11.670,4157446.0,356000
2025-6-30,11:00,11.670,11.690,11.660,11.670,3205080.0,274400
2025-6-30,11:05,11.670,11.680,11.660,11.670,4584050.0,392900
2025-6-30,11:10,11.660,11.670,11.640,11.650,2904969.0,249300
2025-6-30,11:15,11.650,11.660,11.630,11.630,2441922.0,209700
2025-6-30,11:20,11.630,11.700,11.630,11.670,12260200.0,1050600
2025-6-30,11:25,11.670,11.690,11.660,11.680,4195661.0,359400
2025-6-30,11:30,11.680,11.680,11.650,11.660,5259921.0,450800
2025-6-30,13:05,11.680,11.680,11.640,11.650,6501413.5,557600
2025-6-30,13:10,11.640,11.660,11.640,11.660,2758627.0,236800
2025-6-30,13:15,11.660,11.660,11.630,11.640,8171870.0,702000
2025-6-30,13:20,11.630,11.660,11.620,11.660,5139393.0,441800
2025-6-30,13:25,11.650,11.670,11.650,11.650,1712313.0,146900
2025-6-30,13:30,11.660,11.660,11.650,11.650,2227105.0,191100
2025-6-30,13:35,11.660,11.660,11.640,11.650,1965745.0,168800
2025-6-30,13:40,11.640,11.660,11.630,11.630,4377834.0,376100
2025-6-30,13:45,11.630,11.640,11.610,11.630,7067982.5,608100
2025-6-30,13:50,11.640,11.640,11.620,11.630,2904087.0,249700
2025-6-30,13:55,11.640,11.690,11.610,11.680,13853986.0,1189700
2025-6-30,14:00,11.680,11.730,11.670,11.720,15440836.0,1319500
2025-6-30,14:05,11.730,11.740,11.710,11.720,21520018.0,1835300
2025-6-30,14:10,11.720,11.820,11.720,11.800,44375272.0,3763900
2025-6-30,14:15,11.790,11.840,11.770,11.830,21028084.0,1780400
2025-6-30,14:20,11.840,11.860,11.810,11.830,31300724.0,2644400
2025-6-30,14:25,11.830,11.830,11.780,11.800,24757330.0,2096900
2025-6-30,14:30,11.790,11.810,11.770,11.810,11061804.0,938000
2025-6-30,14:35,11.820,11.820,11.770,11.790,13083397.0,1109400
2025-6-30,14:40,11.790,11.810,11.770,11.810,11713891.0,993700
2025-6-30,14:45,11.810,11.820,11.780,11.790,15958145.0,1353200
2025-6-30,14:50,11.790,11.800,11.770,11.790,18273704.0,1550600
2025-6-30,14:55,11.780,11.800,11.780,11.800,19888056.0,1686600
2025-6-30,15:00,11.800,11.800,11.770,11.770,20987320.0,1781400
2025-7-1,09:35,11.770,11.780,11.650,11.700,25412860.0,2171900
2025-7-1,09:40,11.700,11.700,11.640,11.660,27875164.0,2389600
2025-7-1,09:45,11.650,11.660,11.610,11.620,15798726.0,1358400
2025-7-1,09:50,11.620,11.650,11.600,11.620,18450288.0,1587700
2025-7-1,09:55,11.620,11.640,11.600,11.630,11768443.0,1013200
2025-7-1,10:00,11.630,11.650,11.620,11.630,7790230.0,669500
2025-7-1,10:05,11.630,11.640,11.610,11.630,7967856.0,685700
2025-7-1,10:10,11.630,11.680,11.620,11.680,8862174.0,760800
2025-7-1,10:15,11.680,11.680,11.630,11.640,5964024.0,511800
2025-7-1,10:20,11.650,11.650,11.610,11.630,6483364.0,557700
2025-7-1,10:25,11.630,11.640,11.620,11.620,9183029.0,790300
2025-7-1,10:30,11.630,11.640,11.620,11.620,5759186.0,495400
2025-7-1,10:35,11.620,11.630,11.610,11.610,3736246.0,321500
2025-7-1,10:40,11.610,11.620,11.580,11.600,19388960.0,1671500
2025-7-1,10:45,11.600,11.610,11.590,11.600,2937555.0,253200
2025-7-1,10:50,11.590,11.610,11.590,11.590,3400103.0,293100
2025-7-1,10:55,11.590,11.600,11.580,11.580,7937917.0,685100
2025-7-1,11:00,11.590,11.600,11.580,11.600,3209029.75,276900
2025-7-1,11:05,11.600,11.620,11.590,11.610,3967498.0,341900
2025-7-1,11:10,11.600,11.630,11.600,11.610,2599617.0,223800
2025-7-1,11:15,11.620,11.620,11.590,11.600,3182488.0,274300
2025-7-1,11:20,11.590,11.600,11.570,11.570,6993581.0,604000
2025-7-1,11:25,11.580,11.610,11.560,11.600,4888214.0,422200
2025-7-1,11:30,11.600,11.620,11.580,11.610,2604474.0,224600
2025-7-1,13:05,11.610,11.640,11.610,11.640,3326791.0,286200
2025-7-1,13:10,11.640,11.650,11.630,11.640,4379553.0,376200
2025-7-1,13:15,11.640,11.660,11.640,11.640,3113065.0,267200
