日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,51.000,51.420,50.580,51.250,64881776.0,1272400
2025-6-30,09:40,51.240,51.340,51.150,51.290,28092216.0,548200
2025-6-30,09:45,51.290,51.290,51.100,51.140,24308136.0,474900
2025-6-30,09:50,51.120,51.540,51.050,51.300,28750288.0,560300
2025-6-30,09:55,51.300,52.150,51.300,51.950,51709760.0,997500
2025-6-30,10:00,51.960,51.960,51.690,51.700,24885304.0,479800
2025-6-30,10:05,51.690,51.800,51.580,51.630,16633761.0,321800
2025-6-30,10:10,51.630,51.800,51.480,51.800,15424892.0,299000
2025-6-30,10:15,51.800,51.920,51.770,51.840,17531716.0,338100
2025-6-30,10:20,51.850,51.880,51.660,51.700,12653779.0,244200
2025-6-30,10:25,51.690,51.760,51.610,51.670,6796350.0,131500
2025-6-30,10:30,51.670,51.960,51.660,51.960,8748371.0,168900
2025-6-30,10:35,51.960,52.070,51.950,51.960,16993568.0,326800
2025-6-30,10:40,51.970,52.270,51.940,52.100,30297088.0,581100
2025-6-30,10:45,52.080,52.120,51.940,52.020,12999276.0,249700
2025-6-30,10:50,52.030,52.050,51.900,51.940,8560490.0,164700
2025-6-30,10:55,51.940,51.940,51.820,51.820,5554586.0,107100
2025-6-30,11:00,51.820,51.870,51.790,51.800,6531241.0,126000
2025-6-30,11:05,51.790,51.900,51.710,51.850,7395989.0,142800
2025-6-30,11:10,51.850,52.010,51.850,51.910,4148304.0,79900
2025-6-30,11:15,51.900,51.980,51.840,51.890,4193936.0,80800
2025-6-30,11:20,51.900,52.020,51.850,51.920,6425695.0,123700
2025-6-30,11:25,51.950,52.050,51.900,51.900,6759554.0,130000
2025-6-30,11:30,51.940,51.960,51.820,51.860,7187541.0,138500
2025-6-30,13:05,51.870,51.910,51.750,51.790,7794148.0,150400
2025-6-30,13:10,51.800,51.870,51.770,51.850,4693500.0,90600
2025-6-30,13:15,51.850,51.900,51.800,51.800,4006326.0,77300
2025-6-30,13:20,51.810,51.950,51.780,51.910,5665462.0,109300
2025-6-30,13:25,51.910,51.910,51.810,51.850,4600119.0,88700
2025-6-30,13:30,51.860,51.870,51.780,51.810,4481524.0,86500
2025-6-30,13:35,51.820,51.830,51.730,51.770,5690761.0,109900
2025-6-30,13:40,51.760,51.790,51.730,51.760,5941122.0,114800
2025-6-30,13:45,51.760,51.780,51.660,51.700,10023622.0,193800
2025-6-30,13:50,51.680,51.730,51.630,51.690,8793825.0,170200
2025-6-30,13:55,51.690,52.100,51.620,51.950,25279646.0,487400
2025-6-30,14:00,51.940,51.960,51.820,51.930,20434196.0,393800
2025-6-30,14:05,51.930,52.110,51.930,52.090,26517296.0,509600
2025-6-30,14:10,52.090,52.700,52.080,52.450,78852288.0,1504500
2025-6-30,14:15,52.460,52.830,52.410,52.830,53117024.0,1011000
2025-6-30,14:20,52.830,53.380,52.690,53.110,112422176.0,2120600
2025-6-30,14:25,53.120,53.230,52.980,53.140,53452776.0,1005800
2025-6-30,14:30,53.160,53.290,52.920,53.270,33782120.0,636300
2025-6-30,14:35,53.250,53.270,52.970,53.010,20871434.0,393200
2025-6-30,14:40,53.010,53.060,52.980,53.000,16220342.0,306000
2025-6-30,14:45,52.990,53.020,52.910,52.910,26572170.0,501600
2025-6-30,14:50,52.910,53.030,52.900,53.030,20651226.0,389900
2025-6-30,14:55,53.020,53.160,53.010,53.080,25971508.0,489400
2025-6-30,15:00,53.090,53.120,53.090,53.120,30178296.0,568200
2025-7-1,09:35,52.580,53.000,52.520,53.000,73600496.0,1397200
2025-7-1,09:40,53.000,53.020,52.230,52.230,48198264.0,916600
2025-7-1,09:45,52.230,52.230,52.040,52.110,40171608.0,770800
2025-7-1,09:50,52.110,52.150,51.700,51.790,56815644.0,1094200
2025-7-1,09:55,51.820,51.860,51.530,51.720,39673692.0,767400
2025-7-1,10:00,51.730,51.870,51.730,51.830,20730148.0,400000
2025-7-1,10:05,51.820,52.050,51.750,52.050,14693050.0,283400
2025-7-1,10:10,52.050,52.530,52.010,52.490,22257998.0,425800
2025-7-1,10:15,52.420,52.530,52.270,52.460,24007830.0,458100
2025-7-1,10:20,52.490,52.490,52.130,52.180,14022341.0,268300
2025-7-1,10:25,52.180,52.290,51.970,52.010,16420929.0,315100
2025-7-1,10:30,52.010,52.030,51.860,51.890,11405938.0,219500
2025-7-1,10:35,51.890,51.940,51.840,51.860,13672343.0,263500
2025-7-1,10:40,51.860,51.980,51.800,51.830,9449456.0,182200
2025-7-1,10:45,51.830,51.830,51.720,51.810,13295877.0,256700
2025-7-1,10:50,51.810,51.860,51.700,51.720,9145839.0,176700
2025-7-1,10:55,51.720,51.730,51.680,51.690,11441188.0,221300
2025-7-1,11:00,51.710,51.720,51.650,51.700,10931389.0,211500
2025-7-1,11:05,51.700,51.930,51.610,51.850,14915207.0,288600
2025-7-1,11:10,51.850,51.850,51.640,51.790,11280063.0,218000
2025-7-1,11:15,51.740,51.800,51.630,51.630,7507984.0,145300
2025-7-1,11:20,51.630,51.630,51.560,51.590,11713123.0,227100
2025-7-1,11:25,51.600,51.600,51.540,51.540,8523599.0,165300
2025-7-1,11:30,51.540,51.550,51.370,51.390,25593186.0,497300
2025-7-1,13:05,51.400,51.400,51.100,51.120,20392652.0,397900
2025-7-1,13:10,51.310,51.390,51.200,51.380,6355761.0,123800
2025-7-1,13:15,51.440,51.560,51.400,51.530,7487013.0,145400
2025-7-1,13:20,51.530,51.570,51.400,51.460,13551606.0,263400
2025-7-1,13:25,51.450,51.510,51.340,51.510,11064843.0,215300
2025-7-1,13:30,51.510,51.640,51.410,51.640,6743143.0,130800
2025-7-1,13:35,51.650,51.680,51.530,51.560,6486419.0,125700
2025-7-1,13:40,51.570,51.700,51.560,51.680,9018978.0,174800
2025-7-1,13:45,51.680,51.700,51.540,51.560,8367145.0,162100
2025-7-1,13:50,51.590,51.780,51.570,51.690,8308367.0,160700
2025-7-1,13:55,51.690,51.740,51.670,51.690,6735142.0,130300
2025-7-1,14:00,51.680,51.700,51.650,51.680,5823860.0,112700
2025-7-1,14:05,51.690,51.950,51.650,51.950,10935456.0,211300
2025-7-1,14:10,51.940,52.070,51.890,52.030,14541138.0,279600
2025-7-1,14:15,52.030,52.030,51.890,51.900,8550801.0,164500
2025-7-1,14:20,51.900,52.130,51.890,52.070,11484272.0,220800
2025-7-1,14:25,52.090,52.180,51.940,51.950,10441472.0,200600
2025-7-1,14:30,51.930,52.030,51.900,52.010,8568321.0,164900
2025-7-1,14:35,52.020,52.050,51.900,51.950,8327763.0,160200
2025-7-1,14:40,51.990,52.250,51.950,52.080,12290407.0,235900
2025-7-1,14:45,52.090,52.150,52.060,52.090,9131167.0,175300
2025-7-1,14:50,52.100,52.200,52.090,52.180,10189583.0,195400
2025-7-1,14:55,52.190,52.250,52.170,52.230,19251040.0,368700
2025-7-1,15:00,52.230,52.280,52.230,52.280,17624608.0,337200
2025-7-2,09:35,51.650,52.660,51.500,51.830,46695504.0,899000
2025-7-2,09:40,51.810,52.080,51.740,52.080,24408644.0,471200
2025-7-2,09:45,52.020,52.100,51.860,52.050,16678903.0,320900
2025-7-2,09:50,52.050,52.430,51.950,52.410,29189668.0,559300
2025-7-2,09:55,52.440,52.880,52.440,52.820,70598544.0,1339500
2025-7-2,10:00,52.870,53.150,52.850,52.870,66373760.0,1252800
2025-7-2,10:05,52.880,53.510,52.880,53.100,101334344.0,1903200
2025-7-2,10:10,53.250,53.400,53.000,53.000,41069424.0,771400
2025-7-2,10:15,53.010,53.050,52.740,52.840,21677968.0,409800
2025-7-2,10:20,52.830,52.880,52.770,52.820,14563851.0,275700
2025-7-2,10:25,52.810,52.990,52.750,52.960,13792466.0,260900
2025-7-2,10:30,52.990,53.020,52.810,52.810,18016324.0,340200
2025-7-2,10:35,52.810,52.810,52.580,52.660,14435173.0,274000
2025-7-2,10:40,52.660,52.930,52.650,52.910,7616379.0,144200
2025-7-2,10:45,52.910,52.940,52.680,52.840,9683305.0,183200
2025-7-2,10:50,52.850,52.930,52.850,52.920,6227472.0,117700
2025-7-2,10:55,52.930,53.220,52.920,53.150,16517829.0,311000
2025-7-2,11:00,53.140,53.300,53.080,53.120,14654539.0,275500
2025-7-2,11:05,53.110,53.110,52.920,52.920,5310886.0,100200
2025-7-2,11:10,52.930,53.230,52.920,53.170,6495659.0,122400
2025-7-2,11:15,53.100,53.200,53.000,53.180,8655424.0,162800
2025-7-2,11:20,53.170,53.180,53.080,53.120,3602213.0,67800
2025-7-2,11:25,53.120,53.130,52.980,52.980,4083357.0,77000
2025-7-2,11:30,52.990,53.130,52.980,53.130,6759503.0,127500
2025-7-2,13:05,53.120,53.230,53.120,53.180,11209434.0,210800
2025-7-2,13:10,53.180,53.190,53.120,53.150,5715186.0,107500
2025-7-2,13:15,53.160,53.320,53.150,53.320,12680736.0,238100
2025-7-2,13:20,53.320,53.500,53.280,53.320,39057912.0,731000
2025-7-2,13:25,53.310,53.350,53.180,53.180,13076878.0,245500
2025-7-2,13:30,53.180,53.220,52.950,53.160,11823550.0,222700
2025-7-2,13:35,53.140,53.160,52.980,53.160,6863616.0,129400
2025-7-2,13:40,53.150,53.280,53.100,53.180,14087325.0,264700
2025-7-2,13:45,53.170,53.310,53.130,53.260,15752018.0,295900
2025-7-2,13:50,53.260,53.260,53.170,53.210,11194300.0,210400
2025-7-2,13:55,53.200,53.210,53.000,53.110,18972356.0,357100
2025-7-2,14:00,53.110,53.300,53.110,53.120,14001192.0,263100
2025-7-2,14:05,53.120,53.120,52.990,52.990,11111796.0,209500
2025-7-2,14:10,52.990,52.990,52.580,52.740,11371148.0,215300
2025-7-2,14:15,52.760,52.770,52.530,52.530,13225199.0,250900
2025-7-2,14:20,52.530,52.590,52.290,52.480,19348244.0,368700
2025-7-2,14:25,52.500,52.550,52.430,52.550,10405786.0,198200
2025-7-2,14:30,52.570,52.630,52.550,52.560,6742461.0,128200
2025-7-2,14:35,52.560,52.640,52.550,52.640,10262076.0,195100
2025-7-2,14:40,52.620,52.700,52.620,52.660,5140855.0,97600
2025-7-2,14:45,52.670,52.670,52.470,52.470,11724223.0,222900
2025-7-2,14:50,52.460,52.460,52.240,52.380,16802422.0,321100
2025-7-2,14:55,52.370,52.400,52.320,52.370,16135731.0,308100
2025-7-2,15:00,52.370,52.420,52.370,52.400,22264744.0,424900
2025-7-3,09:35,52.100,52.450,51.510,51.960,71585824.0,1380900
2025-7-3,09:40,51.970,53.070,51.900,53.020,49975072.0,950300
2025-7-3,09:45,53.020,53.260,52.760,53.140,51392688.0,968300
2025-7-3,09:50,53.120,53.140,52.730,52.760,22333756.0,422200
2025-7-3,09:55,52.760,52.790,52.510,52.650,11521822.0,218900
2025-7-3,10:00,52.670,52.700,52.470,52.510,11075002.0,210600
2025-7-3,10:05,52.530,52.720,52.500,52.680,7659863.0,145700
2025-7-3,10:10,52.710,53.060,52.710,52.850,19994106.0,377600
2025-7-3,10:15,52.860,52.920,52.600,52.600,9559326.0,181200
2025-7-3,10:20,52.600,52.640,52.540,52.620,11528260.0,219200
2025-7-3,10:25,52.620,52.800,52.620,52.740,7057883.0,133900
2025-7-3,10:30,52.750,53.080,52.640,52.770,16264777.0,307300
2025-7-3,10:35,52.770,52.880,52.710,52.710,5418807.0,102600
2025-7-3,10:40,52.710,52.830,52.650,52.680,7088722.0,134500
2025-7-3,10:45,52.680,52.680,52.580,52.650,8299274.0,157700
2025-7-3,10:50,52.650,52.670,52.500,52.500,11258938.0,214200
2025-7-3,10:55,52.500,52.700,52.420,52.700,6232663.0,118600
2025-7-3,11:00,52.700,52.700,52.420,52.450,5370597.0,102200
2025-7-3,11:05,52.450,52.530,52.410,52.530,3057038.0,58300
2025-7-3,11:10,52.450,52.510,52.440,52.490,4932553.0,94000
2025-7-3,11:15,52.520,52.670,52.490,52.660,4161458.0,79100
2025-7-3,11:20,52.650,52.780,52.650,52.660,6997168.0,132800
2025-7-3,11:25,52.660,52.900,52.620,52.780,5781411.0,109600
2025-7-3,11:30,52.770,53.030,52.770,52.830,14489916.0,273600
2025-7-3,13:05,52.880,52.880,52.610,52.740,5298932.0,100500
2025-7-3,13:10,52.740,52.880,52.630,52.870,4067849.0,77200
2025-7-3,13:15,52.870,52.950,52.800,52.870,7546324.0,142700
2025-7-3,13:20,52.850,53.010,52.850,52.930,15498764.0,292600
2025-7-3,13:25,52.940,53.000,52.870,52.880,8081479.0,152600
2025-7-3,13:30,52.870,52.930,52.810,52.870,4033419.0,76300
2025-7-3,13:35,52.930,53.730,52.930,53.320,90459864.0,1694400
2025-7-3,13:40,53.300,53.310,53.150,53.260,14021770.0,263500
2025-7-3,13:45,53.260,53.260,53.150,53.180,6765234.0,127200
2025-7-3,13:50,53.180,53.200,53.090,53.090,6484967.0,122000
2025-7-3,13:55,53.090,53.270,53.050,53.170,7094245.0,133400
2025-7-3,14:00,53.170,53.170,53.080,53.170,3893515.0,73300
2025-7-3,14:05,53.170,53.220,53.100,53.100,6068438.0,114100
2025-7-3,14:10,53.100,53.120,52.980,53.000,8402296.0,158400
2025-7-3,14:15,53.000,53.030,52.990,52.990,5268251.0,99400
2025-7-3,14:20,53.000,53.000,52.860,52.890,6075746.0,114800
2025-7-3,14:25,52.850,53.010,52.850,52.990,5095031.0,96200
2025-7-3,14:30,52.990,53.000,52.960,52.980,3714199.0,70100
2025-7-3,14:35,52.990,52.990,52.840,52.850,5127333.0,96900
2025-7-3,14:40,52.820,52.950,52.820,52.900,6698317.0,126700
2025-7-3,14:45,52.890,52.890,52.750,52.750,16571468.0,313800
2025-7-3,14:50,52.750,52.750,52.690,52.700,14485002.0,274800
2025-7-3,14:55,52.690,52.740,52.620,52.740,22664486.0,430400
2025-7-3,15:00,52.740,52.770,52.650,52.750,20338976.0,385700
2025-7-4,09:35,52.760,52.800,51.930,52.060,58748344.0,1122200
2025-7-4,09:40,52.080,52.080,51.470,51.530,81896096.0,1584400
2025-7-4,09:45,51.540,51.750,51.280,51.320,51828416.0,1007300
2025-7-4,09:50,51.320,51.580,51.320,51.560,23547760.0,457800
