日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,12.980,13.000,12.830,12.970,52868516.0,4088200
2025-6-30,09:40,12.960,13.000,12.950,12.990,33424644.0,2576700
2025-6-30,09:45,13.000,13.000,12.920,12.930,20485148.0,1581000
2025-6-30,09:50,12.940,12.970,12.930,12.950,16555919.0,1278300
2025-6-30,09:55,12.950,12.990,12.940,12.970,15967069.0,1230800
2025-6-30,10:00,12.970,12.970,12.940,12.960,12034076.0,928700
2025-6-30,10:05,12.960,12.970,12.920,12.930,14055330.0,1085900
2025-6-30,10:10,12.940,13.000,12.930,12.990,17769000.0,1370600
2025-6-30,10:15,13.000,13.070,12.980,13.030,43211036.0,3315100
2025-6-30,10:20,13.030,13.060,13.010,13.030,25969676.0,1991700
2025-6-30,10:25,13.030,13.040,13.010,13.030,10533596.0,808800
2025-6-30,10:30,13.030,13.060,13.030,13.050,8259050.0,633200
2025-6-30,10:35,13.040,13.080,13.040,13.080,18450892.0,1413300
2025-6-30,10:40,13.080,13.110,13.070,13.090,30708104.0,2345700
2025-6-30,10:45,13.080,13.080,13.050,13.080,16638860.0,1273100
2025-6-30,10:50,13.070,13.080,13.060,13.070,8885291.0,679800
2025-6-30,10:55,13.070,13.070,13.040,13.050,7739642.0,593000
2025-6-30,11:00,13.040,13.050,13.020,13.040,7546378.0,578800
2025-6-30,11:05,13.030,13.050,13.020,13.030,6686248.0,512900
2025-6-30,11:10,13.020,13.050,13.020,13.030,7236639.0,555200
2025-6-30,11:15,13.040,13.050,13.020,13.040,5876606.0,450900
2025-6-30,11:20,13.040,13.070,13.030,13.060,6907905.0,529200
2025-6-30,11:25,13.060,13.090,13.050,13.070,15072637.0,1153100
2025-6-30,11:30,13.070,13.100,13.070,13.100,18296396.0,1398000
2025-6-30,13:05,13.100,13.110,13.060,13.070,21347708.0,1631000
2025-6-30,13:10,13.070,13.090,13.070,13.090,7685366.0,587600
2025-6-30,13:15,13.090,13.120,13.080,13.110,17790486.0,1357400
2025-6-30,13:20,13.110,13.110,13.090,13.110,11778541.0,899100
2025-6-30,13:25,13.110,13.120,13.100,13.110,8471108.0,646200
2025-6-30,13:30,13.100,13.120,13.100,13.110,8956310.0,682800
2025-6-30,13:35,13.110,13.120,13.100,13.110,8549435.0,652000
2025-6-30,13:40,13.110,13.110,13.080,13.080,11182668.0,853800
2025-6-30,13:45,13.080,13.100,13.080,13.090,7817006.0,597400
