日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,16.740,16.880,16.620,16.880,234256912.0,14011100
2024-1-2,09:40,16.880,16.890,16.720,16.760,118669976.0,7055900
2024-1-2,09:45,16.750,16.750,16.670,16.680,97974608.0,5867400
2024-1-2,09:50,16.680,16.710,16.640,16.660,98365168.0,5903500
2024-1-2,09:55,16.660,16.680,16.640,16.640,62167580.0,3732100
2024-1-2,10:00,16.640,16.640,16.580,16.600,150656656.0,9070200
2024-1-2,10:05,16.590,16.590,16.540,16.560,158274336.0,9557900
2024-1-2,10:10,16.560,16.580,16.550,16.580,87284896.0,5268800
2024-1-2,10:15,16.580,16.580,16.450,16.480,187734736.0,11372900
2024-1-2,10:20,16.480,16.500,16.350,16.390,177775872.0,10827800
2024-1-2,10:25,16.390,16.540,16.380,16.500,95792352.0,5816700
2024-1-2,10:30,16.510,16.540,16.450,16.460,54887376.0,3327400
2024-1-2,10:35,16.450,16.510,16.450,16.470,45948320.0,2788500
2024-1-2,10:40,16.480,16.480,16.420,16.420,43750924.0,2660600
2024-1-2,10:45,16.420,16.460,16.370,16.400,93603984.0,5706500
2024-1-2,10:50,16.390,16.410,16.350,16.410,76946752.0,4700000
2024-1-2,10:55,16.400,16.420,16.380,16.380,56707604.0,3457400
2024-1-2,11:00,16.370,16.390,16.350,16.390,46544568.0,2844500
2024-1-2,11:05,16.390,16.400,16.380,16.400,18658416.0,1138300
2024-1-2,11:10,16.400,16.430,16.370,16.430,29853544.0,1820700
2024-1-2,11:15,16.430,16.470,16.420,16.450,19833348.0,1206000
2024-1-2,11:20,16.440,16.450,16.410,16.410,16015429.0,974900
2024-1-2,11:25,16.410,16.420,16.360,16.400,38544084.0,2352200
2024-1-2,11:30,16.410,16.470,16.400,16.430,45059328.0,2742900
2024-1-2,13:05,16.430,16.490,16.410,16.470,34527316.0,2098500
2024-1-2,13:10,16.480,16.520,16.470,16.510,28216504.0,1710500
2024-1-2,13:15,16.490,16.500,16.460,16.480,38922424.0,2359800
2024-1-2,13:20,16.480,16.480,16.440,16.440,30079264.0,1827400
2024-1-2,13:25,16.450,16.460,16.420,16.420,23837590.0,1450400
2024-1-2,13:30,16.410,16.440,16.410,16.430,17111324.0,1041600
2024-1-2,13:35,16.420,16.430,16.390,16.400,33204184.0,2024000
2024-1-2,13:40,16.400,16.410,16.370,16.380,42864832.0,2616600
2024-1-2,13:45,16.370,16.410,16.370,16.410,41277088.0,2519300
2024-1-2,13:50,16.400,16.410,16.390,16.410,28700240.0,1749900
2024-1-2,13:55,16.410,16.420,16.390,16.400,17397156.0,1060500
2024-1-2,14:00,16.400,16.410,16.390,16.390,16403085.0,1000200
2024-1-2,14:05,16.390,16.400,16.360,16.370,44300412.0,2705100
2024-1-2,14:10,16.360,16.380,16.350,16.360,46721036.0,2855600
2024-1-2,14:15,16.360,16.390,16.360,16.370,25679984.0,1568500
2024-1-2,14:20,16.370,16.370,16.280,16.310,183534128.0,11248700
2024-1-2,14:25,16.320,16.370,16.310,16.350,51388796.0,3143900
2024-1-2,14:30,16.360,16.370,16.300,16.310,58965328.0,3611300
2024-1-2,14:35,16.310,16.370,16.310,16.330,46530844.0,2848500
2024-1-2,14:40,16.330,16.340,16.290,16.300,54649904.0,3350900
2024-1-2,14:45,16.290,16.320,16.290,16.290,69086008.0,4238500
2024-1-2,14:50,16.290,16.310,16.270,16.280,99909552.0,6134000
2024-1-2,14:55,16.280,16.300,16.250,16.260,93641136.0,5753600
2024-1-2,15:00,16.260,16.270,16.240,16.240,103955816.0,6396300
2024-1-3,09:35,16.180,16.220,16.030,16.060,207379056.0,12880200
2024-1-3,09:40,16.050,16.080,15.950,15.970,217031712.0,13559000
2024-1-3,09:45,15.990,16.050,15.940,16.050,148600496.0,9291800
2024-1-3,09:50,16.060,16.140,16.050,16.120,89176656.0,5537600
2024-1-3,09:55,16.140,16.170,16.100,16.100,59747888.0,3703900
2024-1-3,10:00,16.090,16.100,16.000,16.000,98206400.0,6127400
2024-1-3,10:05,16.000,16.040,15.990,16.000,58845928.0,3675000
2024-1-3,10:10,16.000,16.010,15.980,15.990,75690280.0,4731600
2024-1-3,10:15,16.000,16.010,15.950,15.990,94339072.0,5904000
2024-1-3,10:20,15.990,15.990,15.910,15.930,72911896.0,4573300
2024-1-3,10:25,15.930,15.950,15.920,15.930,45292736.0,2842700
2024-1-3,10:30,15.930,15.950,15.920,15.940,37762916.0,2369800
2024-1-3,10:35,15.950,16.000,15.950,15.970,45137580.0,2826800
2024-1-3,10:40,15.980,15.980,15.860,15.860,94876000.0,5964200
2024-1-3,10:45,15.860,15.870,15.800,15.850,121908080.0,7701100
2024-1-3,10:50,15.840,15.850,15.790,15.830,157135888.0,9939800
2024-1-3,10:55,15.830,15.880,15.820,15.880,43425692.0,2741300
2024-1-3,11:00,15.880,15.880,15.830,15.860,35738860.0,2253500
