日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-4-1,09:35,45.980,46.800,45.980,46.740,75712048.0,1629500
2024-4-1,09:40,46.700,46.720,46.400,46.460,40016984.0,860600
2024-4-1,09:45,46.470,46.520,46.280,46.430,34870704.0,751300
2024-4-1,09:50,46.480,46.690,46.410,46.410,29742050.0,638700
2024-4-1,09:55,46.400,46.650,46.320,46.440,38214628.0,821400
2024-4-1,10:00,46.420,46.570,46.390,46.470,24521784.0,527800
2024-4-1,10:05,46.500,46.600,46.410,46.570,32146290.0,691100
2024-4-1,10:10,46.540,46.580,46.490,46.520,18485248.0,397200
2024-4-1,10:15,46.520,46.530,46.380,46.390,15435603.0,332300
2024-4-1,10:20,46.400,46.430,46.280,46.290,25157132.0,542900
2024-4-1,10:25,46.280,46.330,46.230,46.330,20017820.0,432600
2024-4-1,10:30,46.330,46.440,46.270,46.270,21824456.0,470900
2024-4-1,10:35,46.290,46.390,46.170,46.200,40075612.0,866500
2024-4-1,10:40,46.220,46.310,46.110,46.110,39441276.0,853900
2024-4-1,10:45,46.230,46.420,46.120,46.200,21108320.0,455800
2024-4-1,10:50,46.200,46.400,46.200,46.250,9595415.0,207300
2024-4-1,10:55,46.260,46.360,46.100,46.120,27328688.0,591800
2024-4-1,11:00,46.120,46.330,46.120,46.210,12812606.0,277200
2024-4-1,11:05,46.210,46.380,46.210,46.290,17191554.0,371400
2024-4-1,11:10,46.300,46.310,46.220,46.220,11220373.0,242500
2024-4-1,11:15,46.220,46.280,46.200,46.210,6488403.0,140300
2024-4-1,11:20,46.220,46.320,46.140,46.270,13336514.0,288500
2024-4-1,11:25,46.270,46.320,46.200,46.320,12322898.0,266400
2024-4-1,11:30,46.320,46.350,46.230,46.240,12769048.0,275800
2024-4-1,13:05,46.240,46.380,46.220,46.370,13383250.0,289000
2024-4-1,13:10,46.390,46.440,46.370,46.420,8962096.0,193100
2024-4-1,13:15,46.420,46.420,46.310,46.320,10086439.0,217500
2024-4-1,13:20,46.320,46.400,46.300,46.330,9598006.0,207100
2024-4-1,13:25,46.320,46.400,46.320,46.340,7603536.0,164000
2024-4-1,13:30,46.350,46.390,46.310,46.330,10699391.0,230900
2024-4-1,13:35,46.310,46.310,46.210,46.280,12056481.0,260600
2024-4-1,13:40,46.250,46.390,46.200,46.200,12915276.0,279400
2024-4-1,13:45,46.200,46.210,46.170,46.190,8743690.0,189300
2024-4-1,13:50,46.190,46.250,46.170,46.230,11925268.0,258100
2024-4-1,13:55,46.230,46.230,46.160,46.180,10199823.0,220800
2024-4-1,14:00,46.180,46.290,46.150,46.240,27442856.0,594000
2024-4-1,14:05,46.260,46.360,46.240,46.320,11779276.0,254200
2024-4-1,14:10,46.320,46.400,46.270,46.280,15709723.0,339000
2024-4-1,14:15,46.290,46.300,46.180,46.190,11195042.0,242200
2024-4-1,14:20,46.180,46.280,46.140,46.250,14937387.0,323300
2024-4-1,14:25,46.280,46.290,46.240,46.280,12134891.0,262300
2024-4-1,14:30,46.270,46.280,46.210,46.210,13492009.0,291700
2024-4-1,14:35,46.210,46.290,46.200,46.260,25314412.0,547500
2024-4-1,14:40,46.260,46.350,46.230,46.230,19260994.0,416300
2024-4-1,14:45,46.230,46.280,46.220,46.270,16364918.0,353800
2024-4-1,14:50,46.260,46.310,46.250,46.270,18151302.0,392300
2024-4-1,14:55,46.280,46.280,46.200,46.270,17560936.0,379700
2024-4-1,15:00,46.260,46.330,46.260,46.320,17718472.0,382600
2024-4-2,09:35,46.200,46.690,46.200,46.460,57573528.0,1239800
2024-4-2,09:40,46.490,46.530,46.150,46.150,19043838.0,411400
2024-4-2,09:45,46.160,46.160,45.870,46.000,42334580.0,920100
2024-4-2,09:50,45.990,46.000,45.770,45.980,35136300.0,765800
2024-4-2,09:55,45.980,46.000,45.860,45.880,14436155.0,314400
2024-4-2,10:00,45.940,45.980,45.850,45.930,20839844.0,454200
2024-4-2,10:05,45.900,46.000,45.750,45.760,22792444.0,497400
2024-4-2,10:10,45.760,45.790,45.600,45.620,40898848.0,895500
2024-4-2,10:15,45.620,45.680,45.560,45.640,28179968.0,617700
2024-4-2,10:20,45.670,45.700,45.560,45.560,23774420.0,521000
2024-4-2,10:25,45.560,45.740,45.510,45.720,21882376.0,480200
2024-4-2,10:30,45.720,45.830,45.600,45.710,12668577.0,277200
2024-4-2,10:35,45.720,45.780,45.680,45.780,14206724.0,310800
2024-4-2,10:40,45.780,45.790,45.700,45.730,9351152.0,204500
2024-4-2,10:45,45.730,45.760,45.610,45.690,20739246.0,454000
2024-4-2,10:50,45.670,45.720,45.650,45.680,9297280.0,203500
2024-4-2,10:55,45.670,45.770,45.660,45.670,12175747.0,266400
2024-4-2,11:00,45.680,45.730,45.610,45.620,13433262.0,294100
2024-4-2,11:05,45.610,45.670,45.600,45.600,15349432.0,336400
2024-4-2,11:10,45.610,45.610,45.510,45.520,20676908.0,454000
2024-4-2,11:15,45.530,45.540,45.500,45.540,21769388.0,478400
2024-4-2,11:20,45.590,45.590,45.510,45.530,13074333.0,287100
2024-4-2,11:25,45.530,45.540,45.460,45.480,19133772.0,420600
2024-4-2,11:30,45.480,45.500,45.460,45.500,11751880.0,258400
2024-4-2,13:05,45.520,45.520,45.410,45.420,23109942.0,508400
2024-4-2,13:10,45.430,45.440,45.400,45.420,18129396.0,399200
2024-4-2,13:15,45.420,45.430,45.310,45.360,18756898.0,413300
2024-4-2,13:20,45.360,45.360,45.300,45.300,15373921.0,339300
2024-4-2,13:25,45.300,45.340,45.210,45.230,26981440.0,595900
2024-4-2,13:30,45.200,45.230,45.110,45.170,28204612.0,624300
2024-4-2,13:35,45.170,45.170,45.100,45.130,27970860.0,619900
2024-4-2,13:40,45.130,45.130,45.070,45.120,26087232.0,578400
2024-4-2,13:45,45.120,45.130,45.060,45.060,24596912.0,545400
2024-4-2,13:50,45.070,45.200,45.060,45.150,30681062.0,680000
2024-4-2,13:55,45.150,45.280,45.130,45.280,23485452.0,519600
2024-4-2,14:00,45.290,45.300,45.220,45.230,16459241.0,363600
2024-4-2,14:05,45.250,45.330,45.200,45.280,22657704.0,500500
2024-4-2,14:10,45.280,45.310,45.250,45.250,9286567.0,205000
2024-4-2,14:15,45.260,45.380,45.230,45.350,13870012.0,306000
2024-4-2,14:20,45.350,45.490,45.300,45.390,24551536.0,541200
2024-4-2,14:25,45.420,45.480,45.380,45.450,15763725.0,347000
2024-4-2,14:30,45.450,45.450,45.250,45.250,19639204.0,433400
2024-4-2,14:35,45.270,45.300,45.220,45.230,19221136.0,424700
2024-4-2,14:40,45.220,45.320,45.220,45.220,18476212.0,408200
2024-4-2,14:45,45.220,45.290,45.200,45.270,28063684.0,620500
2024-4-2,14:50,45.270,45.400,45.270,45.400,20065416.0,442600
2024-4-2,14:55,45.390,45.480,45.370,45.420,21183460.0,466300
2024-4-2,15:00,45.420,45.460,45.410,45.460,11120197.0,244700
2024-4-3,09:35,45.100,45.330,45.050,45.100,44308252.0,980800
2024-4-3,09:40,45.080,45.090,44.730,44.750,68609856.0,1527700
2024-4-3,09:45,44.730,44.980,44.520,44.920,96400096.0,2158100
2024-4-3,09:50,45.050,45.290,45.050,45.150,53935280.0,1195000
2024-4-3,09:55,45.160,45.290,45.070,45.090,35401032.0,783800
2024-4-3,10:00,45.080,45.140,44.910,44.950,27985418.0,622000
2024-4-3,10:05,44.950,45.140,44.910,44.910,28987622.0,644000
2024-4-3,10:10,44.940,44.940,44.820,44.900,23644304.0,526900
2024-4-3,10:15,44.880,44.900,44.790,44.790,21548952.0,480400
2024-4-3,10:20,44.790,44.890,44.720,44.850,22141756.0,494500
2024-4-3,10:25,44.850,44.930,44.750,44.770,23525754.0,525000
2024-4-3,10:30,44.760,44.910,44.740,44.800,26477848.0,591000
2024-4-3,10:35,44.790,44.930,44.760,44.890,19736446.0,440300
2024-4-3,10:40,44.880,44.980,44.820,44.820,21046316.0,468800
2024-4-3,10:45,44.840,44.950,44.760,44.850,22369600.0,499000
2024-4-3,10:50,44.870,45.030,44.810,44.980,17083984.0,380300
2024-4-3,10:55,44.970,45.090,44.920,45.070,16956268.0,376700
2024-4-3,11:00,45.080,45.140,44.930,44.970,13653726.0,303300
2024-4-3,11:05,44.970,45.070,44.960,44.970,17014068.0,377800
2024-4-3,11:10,44.940,45.000,44.880,44.920,14294509.0,318100
2024-4-3,11:15,44.920,45.040,44.910,44.990,14174579.0,315100
2024-4-3,11:20,45.000,45.050,44.940,44.990,15767347.0,350400
2024-4-3,11:25,44.970,44.980,44.890,44.900,11225639.0,249900
2024-4-3,11:30,44.900,45.070,44.880,44.930,10210691.0,227300
2024-4-3,13:05,44.950,45.140,44.940,45.070,15695871.0,348400
2024-4-3,13:10,45.060,45.120,45.040,45.080,19075560.0,423200
2024-4-3,13:15,45.070,45.080,44.980,45.030,11487120.0,255100
2024-4-3,13:20,45.030,45.050,44.950,44.990,9293211.0,206500
2024-4-3,13:25,45.020,45.080,44.950,44.980,13417231.0,298200
2024-4-3,13:30,45.000,45.100,45.000,45.100,9653517.0,214300
2024-4-3,13:35,45.110,45.130,45.030,45.030,10687548.0,236900
2024-4-3,13:40,45.050,45.090,44.980,45.090,18163088.0,403400
2024-4-3,13:45,45.090,45.110,44.970,44.970,11896360.0,264000
2024-4-3,13:50,44.970,45.000,44.900,45.000,20115910.0,447600
2024-4-3,13:55,45.000,45.010,44.880,44.920,15127973.0,336700
2024-4-3,14:00,44.920,45.000,44.800,44.880,26944796.0,600600
2024-4-3,14:05,44.880,44.880,44.810,44.850,13812155.0,308000
2024-4-3,14:10,44.860,44.860,44.800,44.820,13839246.0,308700
2024-4-3,14:15,44.810,44.920,44.780,44.910,14577880.0,325200
2024-4-3,14:20,44.910,44.960,44.860,44.860,9325586.0,207600
2024-4-3,14:25,44.860,44.880,44.810,44.840,17790616.0,396700
2024-4-3,14:30,44.850,44.920,44.810,44.840,17093942.0,381300
2024-4-3,14:35,44.840,44.890,44.780,44.800,21078640.0,470500
2024-4-3,14:40,44.810,44.860,44.780,44.820,19404478.0,433100
2024-4-3,14:45,44.820,44.900,44.800,44.830,21045158.0,469300
2024-4-3,14:50,44.840,44.900,44.800,44.870,19047476.0,424700
2024-4-3,14:55,44.860,44.860,44.770,44.770,23472130.0,523800
2024-4-3,15:00,44.760,44.800,44.760,44.760,25536728.0,570400
2024-4-8,09:35,44.800,45.650,44.800,45.490,127832560.0,2818900
2024-4-8,09:40,45.480,45.790,45.310,45.720,84056240.0,1845900
2024-4-8,09:45,45.700,45.870,45.420,45.420,62185144.0,1360900
2024-4-8,09:50,45.400,45.540,45.180,45.350,38892692.0,858100
2024-4-8,09:55,45.340,45.450,45.260,45.280,17839452.0,393400
2024-4-8,10:00,45.290,45.300,45.200,45.220,18628672.0,411700
2024-4-8,10:05,45.250,45.340,45.100,45.100,28454824.0,629200
2024-4-8,10:10,45.100,45.100,45.010,45.090,18074716.0,401200
2024-4-8,10:15,45.100,45.190,45.090,45.170,19968650.0,442300
2024-4-8,10:20,45.160,45.320,45.150,45.320,20873624.0,461600
2024-4-8,10:25,45.320,45.320,45.200,45.270,15025134.0,331900
2024-4-8,10:30,45.260,45.270,45.030,45.110,16739988.0,370700
2024-4-8,10:35,45.120,45.130,45.010,45.060,12241791.0,271600
2024-4-8,10:40,45.060,45.110,44.990,44.990,30277064.0,672400
2024-4-8,10:45,45.020,45.080,44.980,45.040,18488052.0,410700
2024-4-8,10:50,45.050,45.090,45.030,45.080,8711496.0,193300
2024-4-8,10:55,45.070,45.080,44.960,45.040,11822165.0,262700
2024-4-8,11:00,45.050,45.120,45.030,45.120,5875337.0,130400
2024-4-8,11:05,45.140,45.190,45.110,45.130,10643305.0,235700
2024-4-8,11:10,45.130,45.220,45.080,45.170,6677571.0,147900
2024-4-8,11:15,45.170,45.240,45.150,45.160,7761891.0,171700
2024-4-8,11:20,45.170,45.180,45.080,45.090,7189282.0,159300
2024-4-8,11:25,45.090,45.180,45.060,45.110,9021787.0,199900
2024-4-8,11:30,45.110,45.120,44.980,44.990,12031144.0,267100
2024-4-8,13:05,45.000,45.220,44.960,45.200,16722985.0,371200
2024-4-8,13:10,45.160,45.320,45.130,45.270,20679448.0,457000
2024-4-8,13:15,45.260,45.420,45.260,45.370,32439756.0,715500
2024-4-8,13:20,45.350,45.420,45.230,45.240,18540534.0,409000
2024-4-8,13:25,45.230,45.320,45.220,45.290,11434805.0,252700
2024-4-8,13:30,45.290,45.400,45.290,45.360,18969252.0,418100
2024-4-8,13:35,45.370,45.400,45.320,45.350,25713552.0,567000
2024-4-8,13:40,45.360,45.360,45.260,45.320,10850500.0,239400
2024-4-8,13:45,45.310,45.340,45.250,45.250,9899309.0,218500
2024-4-8,13:50,45.250,45.450,45.250,45.410,25194244.0,555700
2024-4-8,13:55,45.410,45.470,45.380,45.420,17807740.0,392000
2024-4-8,14:00,45.430,45.470,45.410,45.470,18582864.0,409000
2024-4-8,14:05,45.470,45.580,45.460,45.510,28797088.0,632400
2024-4-8,14:10,45.510,45.560,45.410,45.440,24191308.0,531600
2024-4-8,14:15,45.440,45.540,45.350,45.480,29636080.0,652000
2024-4-8,14:20,45.480,45.480,45.370,45.450,13158415.0,289600
2024-4-8,14:25,45.460,45.540,45.450,45.470,15058721.0,330900
2024-4-8,14:30,45.460,45.520,45.430,45.490,15276329.0,336000
2024-4-8,14:35,45.490,45.500,45.420,45.450,13902112.0,305800
2024-4-8,14:40,45.460,45.520,45.450,45.460,13921074.0,306000
2024-4-8,14:45,45.460,45.520,45.440,45.510,14625673.0,321600
2024-4-8,14:50,45.530,45.530,45.400,45.400,25315532.0,557000
2024-4-8,14:55,45.400,45.470,45.340,45.370,23595864.0,519900
2024-4-8,15:00,45.360,45.400,45.340,45.400,17717752.0,390400
2024-4-9,09:35,45.400,45.530,44.900,44.940,53226752.0,1178400
2024-4-9,09:40,44.940,45.070,44.850,44.900,30752868.0,684400
2024-4-9,09:45,44.890,44.890,44.580,44.610,39854984.0,890300
2024-4-9,09:50,44.610,44.610,44.280,44.300,57268724.0,1289600
2024-4-9,09:55,44.340,44.700,44.340,44.640,35673192.0,801300
2024-4-9,10:00,44.630,44.750,44.480,44.480,28520124.0,639100
2024-4-9,10:05,44.490,44.690,44.460,44.690,22698248.0,509200
2024-4-9,10:10,44.690,44.700,44.590,44.610,15597238.0,349500
2024-4-9,10:15,44.630,44.680,44.500,44.670,18996846.0,426200
2024-4-9,10:20,44.680,44.750,44.630,44.640,11696017.0,261800
2024-4-9,10:25,44.650,44.670,44.560,44.590,13307317.0,298300
2024-4-9,10:30,44.630,44.640,44.420,44.420,11004146.0,247100
2024-4-9,10:35,44.420,44.450,44.370,44.420,21571010.0,485800
2024-4-9,10:40,44.410,44.450,44.350,44.370,20318468.0,457700
2024-4-9,10:45,44.360,44.420,44.350,44.360,23479336.0,529100
2024-4-9,10:50,44.360,44.490,44.340,44.390,40471260.0,911400
2024-4-9,10:55,44.400,44.560,44.380,44.560,12325779.0,277300
