日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-4-1,09:35,30.250,30.600,30.160,30.480,13962826.0,458500
2024-4-1,09:40,30.480,30.860,30.450,30.830,16526812.0,538400
2024-4-1,09:45,30.850,30.910,30.550,30.550,13141489.0,427000
2024-4-1,09:50,30.510,30.570,30.280,30.330,11617251.0,382100
2024-4-1,09:55,30.330,30.370,30.260,30.290,9641231.0,318100
2024-4-1,10:00,30.300,30.300,30.220,30.260,4636647.5,153200
2024-4-1,10:05,30.240,30.520,30.230,30.340,14271876.0,469700
2024-4-1,10:10,30.340,30.460,30.270,30.380,7056069.0,232400
2024-4-1,10:15,30.380,30.610,30.360,30.600,5377322.5,176500
2024-4-1,10:20,30.590,30.660,30.540,30.590,6165740.0,201500
2024-4-1,10:25,30.590,30.750,30.580,30.720,8068702.0,263000
2024-4-1,10:30,30.750,30.880,30.680,30.830,8967571.0,291200
2024-4-1,10:35,30.820,30.820,30.740,30.780,5785278.0,188000
2024-4-1,10:40,30.770,30.780,30.610,30.610,6060764.0,197400
2024-4-1,10:45,30.610,30.640,30.580,30.580,6794227.0,222100
2024-4-1,10:50,30.580,30.650,30.510,30.640,3474929.0,113700
2024-4-1,10:55,30.640,30.760,30.640,30.760,5259109.0,171200
2024-4-1,11:00,30.780,30.780,30.750,30.760,2830565.0,92000
2024-4-1,11:05,30.770,30.810,30.770,30.810,5739439.0,186400
2024-4-1,11:10,30.810,30.840,30.750,30.750,5213171.0,169200
2024-4-1,11:15,30.750,30.850,30.740,30.820,5227916.0,169700
2024-4-1,11:20,30.820,30.890,30.780,30.820,10328194.0,334700
2024-4-1,11:25,30.820,30.880,30.780,30.790,4372404.0,141800
2024-4-1,11:30,30.800,30.800,30.730,30.780,5845705.0,190000
2024-4-1,13:05,30.790,30.970,30.790,30.920,9796463.0,316900
2024-4-1,13:10,30.920,31.050,30.880,31.030,16872256.0,544700
2024-4-1,13:15,31.020,31.110,30.880,30.950,12720332.0,409800
2024-4-1,13:20,30.930,30.960,30.870,30.880,2906093.0,94000
2024-4-1,13:25,30.880,31.070,30.870,30.970,5180403.0,167200
2024-4-1,13:30,30.970,31.030,30.940,31.020,4475505.0,144400
2024-4-1,13:35,31.010,31.010,30.900,30.920,7946508.0,256500
2024-4-1,13:40,30.920,30.960,30.900,30.950,1376129.0,44500
2024-4-1,13:45,30.950,30.950,30.850,30.880,2863782.0,92700
2024-4-1,13:50,30.880,30.890,30.860,30.890,1383179.0,44800
2024-4-1,13:55,30.870,30.870,30.820,30.870,1027400.0,33300
2024-4-1,14:00,30.860,30.910,30.860,30.880,1269394.0,41100
2024-4-1,14:05,30.870,30.880,30.840,30.860,2307996.0,74800
2024-4-1,14:10,30.860,30.890,30.840,30.860,1990885.0,64500
2024-4-1,14:15,30.860,30.940,30.840,30.910,2260921.0,73200
2024-4-1,14:20,30.900,30.940,30.890,30.920,1863564.75,60300
2024-4-1,14:25,30.920,31.020,30.910,31.000,3195829.0,103200
2024-4-1,14:30,31.000,31.060,31.000,31.010,5334703.0,171900
2024-4-1,14:35,31.010,31.040,31.000,31.030,2218357.0,71500
2024-4-1,14:40,31.030,31.040,31.020,31.030,3044034.0,98100
